race,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Black,Non-binary,-6.769036964436993,E,-58.46817419972854,62.62534919914854,A,17.004807332847154,A,-229.8848636188628,-140.0871803792678,48.43300322447777,98.84352256327892,0
African American,Male,247.9585972721122,E,-92.0288595086705,131.7349865406237,E,-27.124898946685743,E,-261.3659933218454,96.39419823961572,0.24784402343222584,236.01508060537014,1
African American,Female,125.98288100131954,C,225.13436055594784,28.488309268748353,D,-91.12468800359791,D,-38.243397701279704,28.31383434895423,-39.52115408041724,97.52399355099236,0
White,Female,86.1299242770756,D,-61.466171682409176,-124.05344642869314,E,19.12659989538393,A,-78.49875018959767,177.02135960435615,-84.92203293754686,60.90632050710361,1
Hispanic,M,-92.19487948566885,B,148.0239994880605,-66.05132275098616,D,91.44322896619232,D,-117.36918221841069,98.5865512569095,84.73077454514176,-202.29885572663156,1
Other,Male,-133.63310354860832,D,153.81170680973253,-215.3104467447736,B,26.032702989973505,A,62.24918186411481,59.66081089589955,-124.11168111332734,142.79981934439806,0
African American,Female,-50.40016151069153,B,57.8974764238877,24.42315937175009,A,-106.3027085873094,B,81.81982595567861,-10.253642295471717,-88.71623728508959,17.445194717957747,0
White,Non-binary,101.79330982760581,B,28.692030014824372,-125.91729691750564,B,86.84716075652621,D,-34.22927443780699,-56.10972149487284,-8.780218806294704,-10.188395120052311,0
White,F,-109.12332026597107,B,-79.77214189940659,-114.69581905420472,D,127.13299999684278,A,-120.09140803814265,-147.07275173424927,-145.6048852066755,-22.71420405663141,1
Asian,Other,-132.79601668939065,A,-229.6102921872468,-166.72688032248078,C,-132.2667477502834,A,100.78648673718882,140.40757574526853,-21.38990310916559,-21.63105096520136,0
Asian,Male,-17.93799948292194,E,-78.70200701993323,-18.413274569684372,A,62.95442539859762,D,57.313907562038146,83.50153255179252,-76.22367815681218,-33.57537200001565,1
Other,Male,37.472963908855036,D,-110.99592217907765,82.03280441966749,A,103.36575075656937,C,-182.36810650226465,37.80750149373105,-80.58544028510151,7.850565252801917,0
Black,M,62.8923643941228,C,-6.632491521261068,97.35203720646237,A,195.66441884871753,B,-36.594238677003524,-88.08796127517493,132.7377005285071,-195.97296152735797,1
Hispanic,Non-binary,5.068911122305552,A,-90.63363390465535,-177.8621518110839,D,92.82941218164017,C,23.138712146790542,2.1680919986367586,-7.136495441595778,-95.74512245963058,0
Asian,Other,55.47730939111229,D,111.09951660735413,-43.4000271894867,C,54.94584554056847,C,-239.7345001644607,28.779510952042347,-38.74404680810698,-100.3054228125496,1
Other,Male,57.27793266495155,A,-35.01806540521773,-28.972322137323285,E,-244.32285927735205,D,84.37807891821,14.971344286930293,-57.02975777200678,-11.319496121187095,1
Asian,M,-4.992919675371509,D,-5.185169407248614,-50.624434413528064,E,8.03600440485491,B,-21.242922392526882,21.056889118294546,51.150156422719995,79.57985438310574,1
Hispanic,M,38.043533054757496,C,-213.1341805982263,105.66411365854248,C,89.55812674096143,B,-19.089997543181163,165.55287149510315,-9.176695352893852,-66.79836217974434,1
Asian,Other,-98.41298148978555,D,4.9777998791415765,-59.033569083398596,A,54.55494641097307,B,-81.1060900430568,-155.95073485551086,108.70796474820932,-83.95357496157315,0
Black,Non-binary,-60.73862022203448,D,-29.330895412956426,79.52401793566516,E,-75.87498811326834,C,-3.0170093647561314,-20.199352861403295,5.635039372249272,77.69027462865849,1
Asian,F,-22.80784442589226,D,-90.66878255093968,102.46594677690992,C,-142.48813401115515,A,142.9296426805291,-57.38095922485789,-217.487644209245,31.004561113735203,1
White,Other,-88.53351153396008,E,-107.633614739367,-104.31741910732748,D,27.64382959335716,A,-103.17667082174948,-123.4642147650558,-26.546895717134262,-70.08339735391154,0
White,Female,-39.96073462013007,A,-53.349343466122654,-74.3313955146754,D,-36.008386179823724,C,-121.43783782378318,-33.23281741409699,89.60771742044234,221.83833842292867,0
White,Male,80.61371694925292,D,169.62232145886412,157.3739315001488,D,-141.66716117740074,A,262.80071129660297,91.32037297229894,52.95171920315644,-107.45485537476836,1
Other,Other,-108.31732283255111,A,41.684484815384785,23.96522473304581,B,-94.5120102203457,E,-81.73940719963691,-27.072748202566803,15.43331771845255,39.29790941048004,1
Other,Other,-163.46603983922975,A,-3.7430596031770214,156.44526316087865,B,116.05648688719832,B,67.60766569642873,68.2808523491904,-8.070266216584265,111.00593686418429,1
Other,Non-binary,60.99771286160238,B,86.35969524372211,44.03308265960938,A,-29.154104324882212,D,-12.018337522160673,-27.648237007146886,-71.5559214106643,51.46348106883695,0
Hispanic,Non-binary,37.06732990349629,C,146.05444091694935,-45.90010582109251,E,82.97703058475042,E,-208.05280514115805,-45.544862279143324,76.6542943949954,-3.7110314249964027,0
Black,M,3.4367363694051396,C,73.51950508942983,-94.66909971190113,B,14.54436454455886,C,13.109869444559635,86.97108309671609,70.94059663027544,54.31591226187938,1
Hispanic,Non-binary,-96.62251242486195,E,-23.991586423469123,49.90488935194729,C,-79.97878472391143,E,-232.29939143464918,-155.683532512231,33.85142869460734,-114.75651464341388,0
Asian,Non-binary,-157.568278737878,D,69.58970790094892,75.59592610562477,C,91.67601498579664,C,-213.00760092442786,194.15700377176114,-190.01319363206443,-51.08185535414227,0
African American,M,50.824102801792016,B,-5.443916103902072,-92.55207707645683,B,257.11362542767483,E,-178.6092902603228,-45.50474893148975,-97.65129492622788,-100.33054496907579,1
Asian,Female,-5.0821977810087295,C,-5.92959564121668,-257.0616001000873,B,201.30592573701006,D,-73.71894749842886,-32.76835241424862,-92.74407234898902,48.55193531870046,1
African American,Other,-129.90653922144693,E,-27.773837786988683,-126.60296470886603,A,8.40630913677641,A,-101.46817984368042,-128.0837579324352,-59.85322801838344,-56.45990797015481,1
African American,Female,59.846827136474175,D,-11.745312500403294,145.44017212455842,D,139.00645112738178,D,31.035686226905355,111.86523801362492,-44.08255784349369,13.334510838211648,1
White,F,115.34532976313207,A,95.11461254028873,-114.16867350501165,E,-139.83038915560624,E,33.853981007369185,-53.96384129623998,141.83003242696537,141.726304834721,0
White,F,-10.579250779583708,A,269.43872709761627,-78.49695196237916,A,-137.73242936320887,B,-24.81818267159129,-116.26509035117228,-9.64663213311094,-52.16804929823745,0
