sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Homosexual,D,110.78637240140495,74.24505935311704,1.1686894977108222,E,0
Other,C,221.1048525851195,-34.42530611496105,77.53246495815625,E,1
Homosexual,D,25.764130402319374,98.26512581365446,-206.1573301505049,C,1
Bisexual,C,95.7864838154318,163.75594057200752,184.91802218263388,E,1
Bisexual,C,-176.27930767023224,92.66934374823913,42.722504392851825,C,0
Other,B,42.29103876892098,-140.67309200195984,-83.00642377454066,C,1
Bisexual,A,81.84298875481791,-58.2845406919978,60.11346191072002,D,0
Homosexual,B,-111.49092779395902,49.518887848560205,81.3930806540086,C,1
Other,E,-109.81043111570246,96.16449863312275,-160.00585685119808,D,0
Other,D,75.06138365592447,60.13484843461552,7.575013825975893,E,0
Bisexual,B,-96.04055563650394,25.723223220665247,-101.47733762005167,A,0
Heterosexual,C,35.33212170005412,-71.7921509337359,67.91631859154556,D,1
Homosexual,A,-149.29701962165498,8.425571730102718,117.5317505258709,E,0
Heterosexual,C,153.15532672559274,-63.10465819051188,32.166404383096456,E,0
Other,E,-161.07994448831647,-65.53682097391757,178.6176459507109,B,0
Bisexual,A,-64.93987784390951,105.53428787574558,-162.12840771531606,D,1
Heterosexual,B,6.359038451629126,-137.66970789929863,29.956925013571205,A,0
Homosexual,C,56.112857818085935,-25.469527237792743,9.588652089386093,C,0
Bisexual,D,-28.649698512348177,-17.970846449856758,94.44670315858919,A,0
Bisexual,C,-59.74294007370656,63.97215035360746,-17.494436833270463,D,1
Other,C,130.78528224072093,-59.04298418012127,-142.3407700782463,A,0
Bisexual,E,33.11193967392185,-14.504173241827377,-52.7411292119445,A,0
Bisexual,B,-40.56126799292743,68.65983158704736,-7.695637168122815,D,0
Heterosexual,E,-144.24360084252191,-18.094335635730605,126.69666480694335,B,0
Heterosexual,B,-59.8698570666661,62.227624656594,-219.28012406775235,D,0
Heterosexual,B,54.4430253159202,145.91211065346891,-5.094930158591111,D,1
Bisexual,A,-235.24401996560877,15.519216283436851,84.25746452579888,C,0
Heterosexual,B,132.60883146116194,-110.89962361092066,104.3561685894163,B,0
Homosexual,A,26.569056467100232,117.5301276513815,-33.97935882803018,C,1
