age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
65+,D,111.808486745274,B,C,-82.97976424162187,-19.6980808749508,1
65+,B,0.11042098179497499,A,E,-77.89922997050678,-221.217477921954,1
51-65,E,103.92226369615767,A,C,87.13589082830305,36.91292837424401,0
18-25,D,-64.69483585708366,D,A,203.72530316632265,44.04693984380174,1
18-25,C,75.64767088082652,A,B,-123.66645411215637,26.91053566086271,1
65+,D,138.98137106319479,B,B,134.96803345009275,-137.00422383841484,1
26-35,B,151.00827953965867,B,E,18.0329567375504,-32.64452908533142,0
18-25,B,-108.08325378826007,E,A,45.84011151604177,-43.62010183505019,0
51-65,E,-119.10839907764716,B,D,22.126182995747815,127.69102341247797,0
18-25,A,-28.709497138702293,D,A,43.27133550796603,214.24213293080828,0
65+,A,23.223584304005612,A,B,10.982019285474141,-36.66305095578043,0
18-25,E,107.43493484510205,B,E,-49.54049025514292,18.519714375141525,1
18-25,E,-113.18626627644655,C,C,15.792145455729727,60.31965465675899,0
26-35,C,79.89331532583375,E,A,26.875671268531637,-193.069493373562,1
26-35,C,-132.405687459729,E,C,266.10934324761234,113.09543322816754,1
26-35,B,-215.5973846108839,C,C,23.38276583945595,-20.683078935322985,1
18-25,B,-47.8446212244071,E,B,-97.13405603550171,193.19081394901053,1
18-25,A,62.929406299739256,B,E,-50.47424192845625,190.73135833263902,0
65+,B,37.01031445956287,C,A,-42.68025614226754,-13.37134229761646,0
51-65,E,-47.43596607807444,E,D,-54.61269598102425,-31.1295777592636,1
26-35,B,-103.85759331088451,E,A,101.04664357427752,31.898225630818168,0
36-50,B,209.0539058277852,D,E,-244.0928084049804,188.71218059686146,1
51-65,A,60.188216494535254,B,E,58.884188705561826,-173.4868234466877,1
65+,A,-6.411556707334542,D,B,-20.94091982064788,20.982638146208423,0
65+,C,147.78217330181604,A,C,-114.71240266258091,118.60695531653096,0
65+,E,-214.17521827610946,D,C,-83.91211995859786,-41.526974465933655,1
51-65,E,-181.87086131794254,E,C,-102.363448616634,-41.75711978562729,1
51-65,D,20.43460534396766,C,D,92.39313164791794,-70.3093225387454,0
51-65,C,85.26674271199253,D,D,-121.55626673286302,-234.8367022616304,1
36-50,C,60.24940901639619,A,C,19.66401201138889,-168.21952285938693,0
18-25,E,-30.259158954503185,D,E,-44.69767575743873,126.70137135882393,1
36-50,D,-68.79095473830742,A,A,-77.85840562388387,6.973720379989183,1
51-65,E,48.998759520565386,D,A,50.269262761722274,-5.165553448767595,0
51-65,C,160.68888444594086,E,E,203.68801221639453,4.936644909558638,1
51-65,D,76.84080515968056,B,C,113.4100827009068,213.0166461655195,1
36-50,E,-119.64303548947632,C,C,-136.97224107079523,-73.17102403509358,0
51-65,E,-129.07073945023163,A,E,0.3636755864129214,46.939471076305054,0
65+,C,-5.516117330470961,B,D,9.424740170337685,172.93454348815877,1
51-65,C,-6.312200843623065,E,B,84.30689426217619,-77.51555450867271,0
26-35,B,-86.63551137361311,D,B,18.459206468755433,102.36710255450477,1
36-50,E,-176.590430182055,D,A,-31.740248368111,119.39908898944607,1
26-35,C,100.30596362880335,B,B,1.7297966010069838,-36.98909427508384,0
36-50,C,-1.9879153178668376,A,B,-184.84533233088007,-33.77065373755752,0
36-50,C,-64.12954857305395,E,A,-18.038747011581563,-26.21527318824185,1
65+,D,147.7601495416389,C,C,-115.37113206382932,107.0902039002985,1
18-25,E,-3.5408741078300796,B,B,78.12191863203837,-3.0282761650936094,1
36-50,A,89.29037450795431,C,C,-249.00578685654034,98.7104625149502,1
36-50,D,-71.00898278478994,C,C,3.0929753712695693,12.796251568428943,0
65+,E,-60.34441977854335,A,C,-213.65293059580287,-102.42290025840724,1
26-35,E,160.63819470310156,C,E,-25.341807239451242,-108.65972140498168,1
51-65,B,185.81084524373028,E,E,-22.824577842029782,15.888414910822728,1
36-50,E,96.14483458479495,C,C,70.75424849023062,-107.74013145360064,1
26-35,B,-142.125963089669,B,A,25.77366452849002,117.09425971785008,1
18-25,C,-10.321855774581318,C,D,-18.513055714589473,-94.31833148052625,0
65+,E,66.80052756684466,A,B,82.83114488193792,-0.17048963502837916,1
65+,E,-10.029845373099223,C,D,-17.677639511459933,-40.86088613281344,0
36-50,A,-4.4955401474582315,C,A,55.969193470959866,-82.24481635060941,1
51-65,A,215.02223892721193,D,A,-10.852505624689098,103.72049127338529,1
51-65,A,22.889654587687836,E,E,207.31458730394027,34.0359304183121,0
65+,D,-174.07964864045258,D,C,6.648893452349736,-42.75962433251802,0
65+,A,147.8420588238666,D,A,40.0868458138911,56.72919793762154,1
51-65,A,132.05867159850672,E,E,186.56679998406628,39.83705064804674,0
51-65,A,-69.30493252045,E,A,-59.1209485357171,28.269226872547986,1
65+,C,-24.125047247423932,B,B,59.124997654857616,52.48603052521828,1
18-25,C,96.34312043721528,D,E,-169.56535757007515,-120.48787855442218,0
51-65,B,-163.99730214067245,D,C,174.27020132659783,8.205116922378114,1
26-35,D,35.188146400605035,E,E,55.819840578882896,-68.53668412664528,0
36-50,C,177.29180662058425,D,A,30.09525102075279,-6.004701836405998,1
36-50,E,4.144138630344984,C,E,234.87474304444697,-34.966250624496794,1
36-50,E,66.36714434440808,D,E,43.484585028404524,-27.113095164271396,1
26-35,C,-213.1334942396309,A,B,-61.71537453855481,-218.47713221510125,1
36-50,B,-232.38697269614383,E,E,-29.95611696778392,38.26136377860592,1
51-65,B,86.81257864855752,C,D,-242.58915200872715,8.462291925430817,1
51-65,C,-195.99425226070716,A,A,-46.02983327525767,61.002310768763564,0
65+,D,1.4177879768091297,B,E,10.284798519935173,-137.44912277464158,1
18-25,C,230.8293145556976,E,D,133.2788385872236,61.45595124807941,0
36-50,E,-270.841440222772,A,D,25.10286416545608,0.6712730584258126,1
36-50,E,-73.29758408319886,B,A,36.71772643639986,-13.532457240395072,0
18-25,E,72.50295237707547,A,D,8.248546931876067,-233.8838835683526,1
36-50,A,-3.199926959057392,B,C,-25.27602781636025,141.928168244131,0
65+,C,91.14066136675679,D,D,-12.880163735507615,22.835404993817217,0
65+,E,15.23008046976925,B,C,17.74614509745668,-160.2028926855024,1
26-35,D,145.62082454218296,E,A,-75.56135587472774,1.7890108525815716,1
65+,E,80.08935227099683,B,E,-34.05958847421636,192.39649634698694,0
36-50,B,-77.5794051754088,D,C,-28.046242748287074,50.829431679734924,0
36-50,B,109.81882424339635,C,A,-23.06490633538848,-5.935602286911664,0
51-65,A,17.877609402468174,C,A,19.720705644163353,-133.7068803077959,1
26-35,D,14.098711489430213,E,B,3.6506093959527317,-26.868173508315362,1
51-65,A,-33.96875968364404,E,B,-29.0172350795972,-232.34389846872742,1
65+,C,81.92570651877695,C,C,32.77578954477015,174.7587963114819,1
36-50,D,78.34805151233351,C,E,11.037744294004204,-135.23941175741044,0
36-50,A,168.88240868174742,D,A,42.18893729982469,-81.84477425353428,0
51-65,A,26.388675817418743,E,D,-147.4479939842189,53.38617610184423,1
26-35,B,10.331054330770028,A,A,-76.23234198672318,55.66971545901948,0
36-50,C,-132.0129394985587,E,E,-72.70785622549366,-139.66946521900277,1
51-65,E,60.311081860442265,B,A,148.79553133548177,-34.09787643547191,1
51-65,D,-24.52773714709973,B,B,-131.118242740149,194.32373991445368,1
65+,C,-23.08828121563512,B,E,-25.76553817127245,-52.77032354386125,0
36-50,A,-28.578858451063255,C,E,-43.096956540788405,-62.4692114133654,1
26-35,A,94.1910382036651,B,D,59.03289708875551,189.08487112216338,1
26-35,E,-68.0854112104513,C,C,86.96453651429812,-53.25054374135109,0
26-35,B,203.3107990542459,C,E,104.92892360032162,-74.4560837986727,1
26-35,E,-29.07878762071284,A,C,20.201956121478396,75.08506071693407,1
26-35,B,47.646677647104454,B,C,78.3842168277916,113.78089076047402,0
18-25,D,-68.78336623355835,E,C,-30.41385463390178,251.84587437215652,1
65+,C,21.19918300270258,D,D,65.00960497104437,56.77851861756139,0
26-35,E,191.75168088044603,B,E,57.43109618348768,146.48734816737658,1
65+,C,-114.8806108583655,A,B,-22.96019445732373,126.87825438124798,1
51-65,E,77.47690475144819,C,A,0.8846722343472389,-63.770843166185166,1
51-65,A,-115.08126268705539,A,A,-145.5873911275785,-39.57003838945076,0
26-35,E,-316.9631177418759,B,D,121.29669015118442,53.70248429888219,1
36-50,D,136.50184923362582,B,E,25.36111078163327,164.31317685120115,0
65+,A,-99.8429175729326,B,C,113.75923498295708,-39.64840219161329,0
18-25,D,-44.70675492131058,C,E,168.28118113537104,-26.950267247439243,0
26-35,E,-102.01298360412952,E,E,100.36973451626778,96.31632829877233,1
18-25,C,223.0047747000583,E,C,62.28115675746019,-5.174613843991611,1
51-65,B,-50.250726306357265,C,E,110.40864794598421,-178.22273130198658,1
51-65,A,218.36788716528886,E,D,-35.94832762026341,78.82205947740785,1
36-50,A,-98.46826229798994,B,C,86.32560980833634,91.82782101316084,1
51-65,B,31.464079661218232,E,E,-88.1393210420872,-38.77175085914447,0
18-25,E,61.61017188688631,E,E,17.70439050953557,-11.075642393213984,1
26-35,E,-184.82330377986042,E,C,-7.952740833125799,-115.35832691640533,1
51-65,D,42.704154202191305,A,D,-76.05123591161565,48.72537833600543,0
18-25,C,-27.963011003996343,B,A,75.65063329929971,86.63139746966564,1
18-25,A,9.243839428462593,E,D,-9.08690999313969,107.25553912023472,1
18-25,E,-68.42342495118099,A,C,-73.38904193952364,91.2045677894912,1
26-35,D,-187.7937948206416,D,D,143.44896941465748,47.051371806214796,0
