age_range,SEX,ethnicity,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
18-25,Female,Asian,None,D,B,B,-132.46947036123873,D,-70.06259695912681,-113.48750804065872,E,70.04125755236318,-118.86019067165674,B,0.7292987658527581,E,1
18-25,F,Hispanic,Yes,D,B,D,-287.6290470088011,E,129.81786355995487,145.3852822722109,D,-135.6204967189955,70.87219105432492,A,88.65460740284036,D,1
65+,Female,African American,No,E,E,E,-79.13806774561147,B,-18.74657990777066,-18.08555827424346,E,9.72572286042905,-99.4448119265232,D,-26.287733211822516,B,0
18-25,M,African American,Physical,C,C,A,188.46404294426077,E,-12.690552277340558,-173.10867143699008,C,81.76345507488753,-63.40677345972134,C,175.21742865128985,D,0
51-65,M,Asian,Both,C,B,A,-98.52288028151158,B,-164.75970083873568,-47.40999280571232,D,98.05455515748486,17.797188333775992,C,151.83558304612959,C,0
51-65,M,Other,Both,C,C,E,122.95292810336595,A,-61.38349273822574,102.37967145434301,C,113.18907395019531,-62.67259541655853,E,20.881138159821916,D,0
18-25,Non-binary,Asian,Physical,C,B,E,132.0410976398951,E,268.01247152872577,55.84373123253966,A,-100.90407523991121,81.08405952097783,C,35.33705842728966,D,1
65+,Non-binary,White,None,D,A,B,98.02507636756783,A,141.4984867937096,-99.48639369313396,B,-24.012877256111267,25.564318885400116,A,137.26707047201546,E,0
36-50,M,Black,Physical,C,D,C,-91.325835677586,B,25.969010089907286,-80.3463126702558,E,-67.89018062576393,-154.2375381400133,D,38.0899470826114,D,0
65+,Other,African American,None,D,B,A,181.98537655665433,B,-67.09494696733735,-39.70909373708079,A,-64.57331369234095,-5.0941999015944175,E,-105.48487964617141,E,1
65+,F,White,None,D,B,C,-172.4219289199929,E,70.36812320352387,107.05825600941881,D,74.50694358585223,25.913887641849687,B,53.14056045722376,A,0
51-65,F,Hispanic,Yes,D,A,E,78.99261085344249,C,199.60571963729947,-114.40150466502845,A,47.647878046158034,-59.260186917714584,E,-234.384152676787,E,0
26-35,Non-binary,Other,No,B,E,D,117.16081990226495,D,109.68506315158548,-203.35671065963172,C,0.306053815140231,13.201173437515902,A,-8.434500539881736,D,1
51-65,Female,Hispanic,Both,B,B,B,130.37274578894485,D,-178.51327202109096,2.2937718949652073,B,73.37170167802725,-0.670459429301182,D,9.743577794919151,B,0
26-35,Non-binary,African American,Both,A,B,A,-97.74547381728975,C,-198.54070616380295,-43.13415181388252,D,109.78108910035517,-109.4784422133529,E,66.60015190546143,C,1
26-35,Other,Other,Mental,B,C,E,-224.07761447312402,C,-68.62186339538769,49.596025167029126,E,-236.458924922653,-84.36448492766007,E,102.42005168842906,B,0
65+,Other,Hispanic,No,D,B,D,78.65734343545799,D,-75.19806485959744,-46.27027564432201,A,225.2991427174822,-40.45088676673584,B,247.10699774095707,D,1
65+,F,African American,Yes,C,D,A,-39.48809146355215,B,136.28431677453193,54.10926302847283,C,-71.7447681388025,117.91524696939935,A,112.60426338378026,E,0
36-50,Male,Black,Physical,D,C,B,-116.31815773382984,E,40.701341974060604,54.899333159827066,D,-62.891009444042346,-38.55118212667037,D,-133.1695337090848,E,0
65+,Female,White,Yes,C,E,A,-158.6696865521382,E,-51.04364547594032,-92.96362928379234,D,0.018913520787085587,-172.7894850208379,A,-234.77182443492762,B,1
51-65,Non-binary,Other,No,B,A,A,69.78224911405057,B,90.24617514776001,-80.46267595911108,E,11.333136698895693,182.34539633675226,A,45.04264267320786,B,0
26-35,Non-binary,Black,Both,B,E,D,-40.0694352733523,B,9.325455169796644,-85.07617527978513,E,-168.5299791470385,51.35358479728998,E,-76.0487330381204,B,1
51-65,Female,Asian,Physical,E,C,D,-100.72690209005822,A,21.34167191242904,-103.56031808203883,C,-7.2802381692102625,46.71437859719554,B,307.23671057538417,A,0
65+,Other,Black,None,C,B,A,-143.66978986625185,D,-39.03226901047138,121.7093293055038,E,59.030464776080564,21.89751635066579,D,120.84296774134293,E,0
65+,F,Other,Mental,A,B,B,-144.24296345654366,B,-98.35269822838673,-23.157774565178997,A,33.82635539129644,80.88262737424508,B,-31.373276942934243,D,0
51-65,Female,Other,No,B,B,D,-103.9645048371395,A,-26.38432524644207,110.0922821055506,E,134.42441009094145,-46.00817783015639,A,64.11443522077316,A,0
65+,F,Other,Both,D,B,A,23.758922706820528,E,37.60133309440975,-12.647455039233387,A,-22.89839953264579,70.96109255003957,C,123.32603113139633,C,1
51-65,Male,Hispanic,None,D,B,B,-4.058403508212619,A,26.359244786937126,-32.16038427327363,D,46.26420575223766,164.49256853481944,B,158.8465015589204,C,0
26-35,Male,Asian,Mental,E,D,B,117.61345708930865,C,103.97500542570822,-51.31355189973905,C,30.742536493586137,22.61477397424933,A,76.68244912296291,E,1
26-35,Non-binary,Asian,Yes,C,E,C,89.63589031467941,B,12.83144663922388,12.217691137144554,E,-8.945682734748416,23.35031054757081,A,120.91192139418084,C,1
26-35,Male,Asian,Both,A,D,A,98.54197537595167,D,-24.88969425554719,45.61591184996499,B,47.888384225626574,13.328761214776828,B,29.177592521286442,A,1
26-35,Female,African American,Mental,C,D,E,83.82882247521798,B,-24.542199914906096,50.746709601662786,C,170.81619353439805,-120.56167701622252,B,-7.99035334871646,A,0
65+,M,White,None,D,A,D,70.62478249558578,A,-83.49257462088477,-141.1855661028583,A,2.118140314961326,-24.762949298242344,A,210.2019097068362,E,0
18-25,Female,Hispanic,No,B,A,D,-128.78101578155238,D,40.0853444563598,-76.14344562742671,C,31.664656814004193,149.81072266668394,C,-237.34968783535604,A,1
26-35,M,Black,Physical,A,D,C,-186.68275984032198,E,52.976668571305055,135.02639576886273,B,-26.91957858711278,-22.6445766036498,E,37.34660785588975,A,0
51-65,Male,Asian,No,A,C,D,-174.2177614521141,B,26.725186559595155,104.219353031215,E,-50.41995751224423,153.7299364448485,C,56.51065025127496,B,0
18-25,Male,Hispanic,Physical,C,E,B,-52.40380046991267,E,10.845820103500701,141.34750660824832,C,-30.764447637327496,27.808570626481384,D,40.50172259987247,A,0
18-25,M,Black,Physical,E,A,C,-104.8571430537625,C,159.10122006536747,53.80893592596618,E,-95.53576177120185,-140.05384802307313,E,-26.165480611165247,A,0
65+,Female,African American,Both,E,C,B,45.97522803144111,E,29.65281356388585,-184.92548288511549,B,-23.611129479624577,-43.897686082407354,E,-63.87568593312114,A,1
18-25,Other,White,Yes,C,D,D,9.472722335004944,E,-154.8423255787897,106.43349723778606,D,-66.3977350683146,-20.7179793187852,A,-214.21083387183887,E,0
26-35,F,African American,Both,B,E,D,-64.70569266443526,B,10.07888305092713,67.83088929653529,D,-31.700034564897194,26.153819981272353,E,-173.15371880240323,A,0
65+,Female,White,Both,B,E,D,97.74620676553518,B,125.50046416648107,-46.11653982401212,D,-15.654047811866517,-33.98151114224117,C,-12.644732545229287,B,1
65+,F,Asian,None,A,A,A,-106.31043123568176,C,121.30965234316801,125.88826698456057,B,-102.57074567606841,116.76526694714117,A,-139.65927345336075,E,1
18-25,Male,Other,Physical,D,D,A,196.37561548366185,C,78.55619640827322,45.602862828803396,E,29.061626006445906,-144.20684041672482,B,74.33432551242072,C,1
65+,Male,African American,Yes,B,E,B,-203.13133250269283,B,97.73099947052803,116.26086684056642,C,-20.82450138941667,225.88473155444305,E,47.56332979795068,C,1
26-35,M,White,Both,E,E,E,28.21669669765469,C,-1.520526581982688,30.4881483473426,A,-29.47625813832332,157.68923367514697,D,-23.052042173914536,E,0
65+,M,Asian,Yes,C,D,E,62.61317917365352,E,-173.76849677114245,156.86857178546828,E,20.679551332377656,42.24609856686175,A,-59.58037693209795,C,1
36-50,Male,White,Physical,D,E,C,-27.6921572205877,E,31.631370580068257,10.574076599234937,A,-67.41995561323465,-74.51479597969947,B,113.51429756425937,C,0
18-25,M,Hispanic,Yes,E,E,D,-27.3107978724333,C,-27.958727925175648,147.49809367858865,D,-3.503487695658334,-19.854529643825835,A,-143.84213172414402,E,0
65+,Other,Asian,Mental,A,E,D,29.795801938469708,B,-78.54680782868115,20.515954867760836,D,105.23512515036315,194.67849376858013,C,-45.46938014434941,A,1
18-25,Female,White,Physical,A,A,C,21.742504139054354,B,-22.53391196937469,-3.231727835756567,B,-41.74350483707157,79.10846244881746,E,-241.73661928274268,A,0
26-35,Other,Black,Physical,D,D,A,-73.8636469205004,A,16.655193107459574,-51.66845254501094,D,-36.52109222825046,80.07522181624927,E,24.443553646954445,D,1
18-25,F,White,Mental,C,B,C,-115.86144732856616,D,-64.27443453217614,-22.311226412119904,B,-68.25873712904003,209.65492067329183,C,-76.1688605652174,D,1
65+,M,Black,None,B,C,B,41.19747352036334,C,-48.1979567168667,-132.7257074389254,A,-2.0096559058822865,-24.440926841360746,B,198.18481083163397,E,1
26-35,M,White,No,D,B,A,-199.22831118541703,B,1.490802242506893,121.57035141823359,C,216.00570393590516,-86.71471813402583,A,40.502567792821466,D,0
18-25,Male,African American,Physical,D,E,E,-21.972341829057378,B,-49.77083090337908,4.848450865104885,A,-65.73289496578305,31.86284050274608,E,-45.34828125384563,D,1
26-35,M,Hispanic,Both,A,D,B,23.546231982547923,B,-62.32322472979107,19.568981437362595,D,139.9844236031881,15.725220743065119,C,-110.35212588592489,A,0
65+,Female,White,Physical,B,B,B,108.93897293045163,A,-50.33997047536604,-95.50245658717009,D,37.62106310192761,85.72158699596628,C,-108.47538574303105,C,1
26-35,Male,African American,None,D,C,C,-178.34282427240237,C,-31.19032162876253,-162.641032257317,D,-43.26052214871515,37.3974066586149,D,163.63956754574562,A,0
18-25,Other,Asian,Both,D,D,A,-46.367619867065045,D,-91.05880122544063,34.579771962397544,D,-62.15129145564286,111.63122048846532,D,69.42421402023025,A,0
51-65,Non-binary,White,Mental,C,E,A,115.9569530311009,A,-22.91609953283515,-12.462420080798378,E,-95.90571044808411,-42.81577323685056,A,-143.16451552818327,D,1
26-35,Non-binary,Other,Yes,D,D,B,41.73070910549538,E,-27.02977787585519,-113.60033857522839,E,18.21063138252018,185.14933251513418,C,3.6375782751264136,A,0
51-65,Female,Hispanic,No,E,E,C,45.15878004213397,B,103.04544442318809,-114.55262695059199,D,111.3095860577439,-20.932320713781603,B,96.61660693462039,A,1
51-65,F,Asian,None,C,E,E,-28.075287002724696,A,-61.184986181027554,-55.02466373029107,D,-19.15572810297012,-55.27871760289348,A,126.35533839456252,C,0
