Race,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,Germany,D,C,E,E,C,28.114082472426883,D,1
Other,US,C,C,C,A,B,228.32861218039872,D,0
Other,Other,A,E,B,C,E,-224.94247492773644,D,0
Asian,UK,E,C,E,E,B,-20.696594009195017,C,0
Asian,India,E,D,C,E,B,-93.3868526906747,C,1
African American,India,C,A,C,B,A,61.67912770111099,A,1
Asian,Mexico,B,A,D,D,A,90.54513929691203,B,0
Asian,India,B,C,E,A,C,-57.585263213534496,D,1
White,UK,A,D,D,A,E,14.96945088290807,A,0
Black,UK,E,C,D,B,A,83.99347902060988,D,1
Hispanic,Other,D,B,A,E,D,68.47679226932675,B,1
Other,UK,E,A,A,E,D,20.64248455708626,D,0
Black,India,E,C,E,A,A,45.13220106821853,E,0
Other,India,D,C,A,A,C,117.54097761405349,E,1
White,US,A,D,B,E,A,-60.74564137642745,D,1
African American,UK,C,B,B,E,C,63.289299480205486,C,1
African American,India,B,D,E,D,A,-136.13685982434467,A,1
Asian,Mexico,E,C,A,D,A,-81.7437303289691,E,0
Asian,Other,A,A,C,B,B,-23.88350623952295,E,1
African American,UK,C,A,E,B,C,71.98359411079367,A,1
White,US,A,E,E,A,B,47.108867211568366,E,0
Hispanic,Germany,E,D,A,E,B,-84.29683074155136,A,1
Black,Brazil,C,E,A,C,E,125.04732845059176,A,1
Other,Mexico,C,B,C,D,E,-27.69329646998142,C,0
African American,Brazil,B,B,E,A,D,-76.50726788142072,D,0
Black,China,A,D,C,E,E,-43.030846946361386,B,1
Other,Germany,E,D,C,E,E,-234.48102757247193,A,0
White,UK,E,A,D,B,B,-164.72761202930278,E,1
Other,Brazil,D,B,B,D,A,-149.0756028926083,D,0
White,Mexico,E,D,D,A,A,-139.78163281546452,B,1
Asian,Other,C,B,D,E,B,-139.06051682780785,A,0
Hispanic,UK,B,C,D,B,A,-209.86998674640262,A,0
African American,UK,E,B,C,B,C,123.8331924580371,E,0
Black,Germany,B,A,D,D,E,158.61053260943746,C,0
African American,China,B,D,B,A,D,-155.68517787099438,E,1
Asian,Mexico,E,E,D,B,A,-0.43748620457079973,A,1
Asian,UK,C,E,B,C,B,-29.70442193734304,A,0
African American,India,C,C,C,A,D,94.9918041435323,B,0
Asian,US,A,D,D,A,B,-76.10232240921562,D,1
Asian,Germany,C,B,D,A,C,26.92626744179824,E,0
Black,Other,C,D,C,A,A,-83.95718157318365,B,0
Asian,US,D,D,A,A,B,117.50113008684436,B,1
Other,Germany,C,D,C,B,D,-74.86964113613273,B,0
White,Brazil,B,D,B,E,B,166.8155104507635,B,1
Hispanic,Other,C,E,A,B,E,-76.22200076538923,D,0
Asian,India,B,A,E,B,D,-111.47413675026732,E,1
White,US,C,B,B,A,E,-44.17505255833527,A,0
Hispanic,India,C,B,A,E,B,-46.655566259876906,E,1
Other,US,A,A,B,B,D,-107.7345536336954,D,1
Black,Brazil,C,B,D,C,B,82.95452644996077,E,1
Black,Mexico,E,C,E,B,A,112.0402593771401,E,1
Other,Mexico,E,B,E,C,E,11.115356234237835,A,0
Hispanic,China,B,E,B,A,D,24.787138037893357,B,0
Black,Germany,C,B,D,D,B,-104.75240145575664,B,1
Asian,Germany,A,E,B,A,D,66.77617875762989,A,1
Black,China,C,C,B,E,D,106.93476206555576,E,0
Hispanic,Brazil,E,B,E,A,C,-72.66206531639602,B,0
Black,China,B,C,A,B,A,80.49253544005097,B,0
Other,Germany,D,E,C,D,B,-109.49404945378669,A,0
Other,China,A,A,E,B,D,-107.06844905113768,E,1
African American,India,E,C,D,C,E,-44.831707699482074,A,0
Asian,India,B,A,D,D,C,56.189046118300276,E,0
Black,Other,E,A,D,E,E,-142.63754841263687,D,1
White,Other,E,E,B,C,D,-95.68940540736965,D,0
Black,Brazil,A,B,D,E,D,1.0731007809007689,D,0
White,Brazil,A,C,B,A,A,2.9840323599578973,D,1
Asian,US,C,B,C,D,A,10.171910259050104,E,1
Black,China,E,E,A,D,E,125.56449772079168,D,1
Hispanic,Brazil,C,A,C,A,B,41.77480762607251,B,0
Black,UK,A,D,B,B,B,-122.56684362653102,E,0
Hispanic,Mexico,D,D,B,D,A,-45.71047501937115,E,0
Hispanic,US,B,B,B,C,E,37.26669167936999,B,1
Other,US,C,E,E,A,D,-8.24443600510164,A,1
Hispanic,Brazil,A,D,B,D,A,16.27760019428117,A,1
Asian,India,A,E,B,C,B,-25.284790642370393,C,1
Asian,India,C,D,D,D,D,19.516606363811032,E,1
White,China,C,A,B,D,E,-2.4096119736249144,D,0
African American,India,A,B,C,E,A,198.57203326436633,A,1
Asian,Brazil,C,B,D,B,C,95.71507389492261,B,0
African American,Brazil,A,B,D,C,A,-20.817882106881374,E,0
Other,US,E,A,D,A,C,-246.46172207152355,B,0
Other,India,C,B,A,A,E,73.43624990915683,A,1
Asian,Mexico,A,E,C,C,B,-30.458977163810374,E,0
African American,China,D,A,C,B,C,-54.40067835686313,A,1
African American,China,A,B,D,E,C,94.42769673491188,D,0
Hispanic,Brazil,A,A,A,A,D,-98.6089384108954,E,1
Black,Germany,D,C,E,E,D,44.16480347751305,E,0
Hispanic,UK,E,E,D,B,A,-130.1827572749914,A,0
Asian,UK,D,C,A,A,E,119.64932344321466,C,0
White,Germany,C,C,A,B,B,3.5108474093176203,A,0
Asian,Germany,B,B,B,A,B,-28.3001099747408,A,0
Asian,Other,C,E,A,D,A,78.76537377032658,A,0
Black,US,A,B,E,E,A,-58.97850198113187,B,0
White,India,B,D,A,A,E,-152.47097193182466,A,1
African American,Germany,D,E,E,C,C,-5.667626792216767,C,1
