Nationality,anos,age_range,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Brazil,38,26-35,Non-binary,E,D,-2.6800892925805844,105.19741409109254,-5.6350534794812015,39.57418408162681,32.478943172383836,43.568945035185926,84.4756903733165,E,D,-159.99450358095916,133.09350226339927,1
Brazil,62,65+,Other,B,C,-8.889642060201963,31.952296465287773,-33.42402930481526,56.38000703354253,132.16284257552203,-5.918210416416779,131.02094869716166,E,C,88.76427187524361,23.830890085774655,1
India,31,51-65,Other,E,D,50.585353274304325,263.6746396732585,70.90935243014428,-101.20018695993913,-68.19698748893161,-112.34152829821014,-127.76760761791192,B,A,-17.916510498369238,33.760442882640994,0
Other,37,26-35,Other,A,D,44.65249611000695,-26.828542653286526,48.964854099564405,71.40025328679573,110.37317091586863,-51.23660076053198,-27.86800506283173,C,B,27.75184874962124,28.678335862257182,0
Mexico,70,51-65,F,D,D,-113.76838893781931,71.83209201256169,-70.53445003021537,-53.5715525325395,29.2317997897844,119.62054297710803,-93.13175306589204,D,D,-45.43983833024948,264.58207806679775,1
Other,72,26-35,Non-binary,C,C,-78.67592067851845,-77.1497435581227,24.237301893925604,-99.93267481567,2.9564816823724,-5.286822838978664,3.4225217937340395,C,B,-110.30358945591767,70.9916693024052,1
Mexico,58,18-25,Female,D,C,-44.362500906043586,-60.73599607005479,-23.68767078683005,88.70190831326146,-90.58985272595163,158.86033828432727,157.9179213202769,D,D,-31.35820400161714,133.58441370276327,1
US,21,51-65,Other,A,E,76.79625681003554,53.49866522588944,40.95904399542486,-9.913622377164424,-75.74662557170339,-105.04917308841905,94.37944311639451,D,B,69.53091075048404,-57.14445880685536,0
India,60,36-50,M,B,B,25.257478435332853,-52.77364229432142,-51.44462279966425,-39.59216781178436,-129.90471586588566,-120.59880215486703,28.27152024007888,D,C,74.0103419310544,24.622028734516295,1
UK,32,65+,M,B,B,-29.555102732973776,-2.176443894727219,-104.00713016342283,161.51711789341812,139.08715409504032,30.57794166907672,-1.2960400439255335,D,A,89.03781651701178,-49.40162479080923,1
