age_group,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
36-50,Mexico,C,-119.0245454541962,C,D,-87.10198860273233,35.64213158819992,29.256346470826177,E,-117.64316731348647,126.3690481980539,E,C,E,E,166.26017831977654,1
51-65,Mexico,B,-44.79607340102136,E,B,123.43732555738896,59.98761130971126,-93.02475408535085,B,333.19824116116496,-7.649325036505725,A,C,C,C,-6.986262886670742,1
36-50,India,E,-75.40767524317029,D,A,-31.77347988311791,-414.36798743193765,-54.47577038767572,A,-23.50571660890949,-151.0706783884985,D,D,E,B,208.21471514312023,0
65+,UK,B,32.226470787002945,C,B,59.36076167439214,-185.54489631085193,70.14469438438512,C,-84.23182064618865,63.26543418956525,D,B,C,D,-104.7438256163788,1
65+,Germany,D,22.392211297443406,A,C,112.3549298504124,-53.861565391390755,13.870736335229413,B,57.429696460791725,-41.7529358989258,C,B,E,A,-218.41648964681482,0
36-50,Mexico,A,100.01210185075561,E,C,22.671216209317617,-43.533814748425165,234.24527361930524,A,26.572120374549797,221.1890586402672,B,D,D,C,-115.2486236920756,1
26-35,UK,B,78.90247560219022,B,E,92.02232115804689,27.468843569167678,-133.78582306279466,E,27.015494690624042,-178.2827008967367,C,E,B,A,0.4223891191221117,0
26-35,India,E,154.39927610247045,A,A,80.3053412804628,-71.5448639119916,15.123751789877504,A,-88.99739258455311,14.567334745685706,B,E,A,C,31.67765390505416,0
65+,Germany,B,23.330397023582726,E,B,-127.92867375110492,-58.249502134002675,173.64727152288052,D,-41.90498946029106,-87.14988318221812,E,D,C,E,-27.042117018541177,1
36-50,Brazil,A,-1.336356749865908,E,E,1.9874919058620877,28.69563151602541,-36.11813963941428,E,46.484032622994555,168.53924903026046,A,B,A,E,-47.760904809072876,0
65+,India,A,-119.90106200992679,E,C,32.685584457765145,70.05791770214658,24.754888196649706,B,-152.56809529531552,-88.0973079287791,C,A,E,B,-46.330620857476234,0
65+,China,D,-46.51087942667797,C,D,130.799348296963,125.54133363521328,56.59653918292492,B,-65.74409325519845,-106.24564827339185,D,B,E,D,-158.5357046263211,0
36-50,Other,B,-42.16834169262768,D,A,131.45564458151296,-46.180775892709015,165.3754976262291,A,89.23630123678676,82.75917824765298,B,D,E,B,-119.95024092686674,0
65+,Other,A,130.70009821218574,D,B,103.66414819244474,80.64343297814759,53.14431336721005,E,156.34140459106675,-64.0262344503972,D,A,A,B,29.97356037625582,0
18-25,Brazil,B,116.33938087865346,B,B,167.14582520231673,103.29657278797055,-38.44651035420817,B,-153.82733662394904,-31.80822813327724,D,B,A,B,-140.43149787255658,0
65+,UK,E,-139.89342067168337,D,C,6.12561010485597,0.9480422513536652,-64.60803773632254,D,28.91219928341635,-25.663918063268525,A,E,D,B,62.59758305074985,1
36-50,Mexico,A,27.674920793795938,E,B,89.03687822963762,102.71135213068123,-38.830300279368444,D,2.903971839077891,-84.14204326625145,D,C,E,D,106.2766390767166,0
36-50,India,D,-50.01505838152492,A,D,135.4834681373028,242.85343914620836,-121.86827668771605,C,66.07034401507532,-93.1343459723206,B,D,E,B,-41.213174428606585,0
26-35,Brazil,A,56.962798922412475,D,E,-114.04356115334633,-7.836469133240853,-70.38659242157665,D,-20.04927529174508,114.15006178121718,C,A,D,E,-152.98501072817493,0
26-35,Brazil,E,-30.64722808487445,D,A,61.09401647638105,119.76984602288128,114.18481263568093,E,17.807094109108203,-126.44270846787045,A,D,A,C,173.42510481518133,0
18-25,Brazil,B,64.49664191722732,D,E,-16.038605129670188,38.83070914043243,15.003688355653026,A,128.55539894957957,113.03647497400023,B,C,B,E,54.42185279454661,0
18-25,Brazil,C,5.781323759594328,D,C,61.011361626675594,-71.09978133491515,63.55861625937473,B,-20.6232574092795,-4.2753445033668624,C,A,C,E,21.477102960853514,0
18-25,Brazil,A,1.3885873736910677,E,B,88.4392444244725,-18.976981095137987,266.97915011326364,D,-232.43462690324947,19.05385341928222,A,D,E,C,69.52821392550868,0
18-25,India,E,-63.520498024696636,E,D,16.45859945973053,-33.21838715869691,-99.92296910508655,B,18.33187642135256,241.31283788473868,C,D,D,B,17.291130983965473,0
51-65,Germany,D,59.438396447062146,B,C,34.76235575719354,87.05556811131778,-15.219560235398191,A,-165.5601059362516,23.73665418235491,D,A,E,A,-96.68559536426523,0
18-25,US,A,-80.0438158377061,E,E,-210.70314640065968,21.042339782544627,-27.820481063768277,D,144.73508383902757,115.91732474842671,D,B,E,E,-134.9516053142364,1
18-25,India,E,110.31198134146129,E,D,-18.598718871975,118.69747893999924,-67.05648882635903,B,-151.41517008769668,108.80248040852027,B,B,B,C,55.076749203159245,0
65+,US,D,149.08687243564898,B,B,-81.48555730283573,-94.88736263689869,21.882161031708506,B,-95.24929466050733,-54.81219516415399,D,C,A,D,-82.74765942596258,0
65+,Brazil,C,8.019547369040577,B,A,135.76839781878905,83.0880183926322,-23.39903415787133,A,68.04086910285488,141.46802351212577,B,C,B,A,-104.25677707226428,0
36-50,Germany,C,66.51543212870479,A,D,65.34711394332342,-44.66607860837298,3.1812735273929937,D,24.11451216119039,-13.141343717305906,C,B,E,E,30.21726207007503,1
26-35,China,B,-134.72154805783518,A,A,13.965627343768,-93.67703405267838,15.642809240608777,C,23.83603464884918,2.8697068570780737,E,B,C,A,-28.198519610912015,0
51-65,China,C,174.12072105536637,D,C,-37.10988469323176,-74.41125368901578,-18.092677784361882,C,110.87798714584835,-9.151914469314084,D,B,A,E,-46.43445336771067,0
65+,Brazil,A,-107.15591215832299,E,B,-85.60810229458822,-11.658516919235286,-51.91830581248892,D,58.01071394137786,32.59355805649965,E,A,D,D,19.514445221201623,1
65+,China,C,-10.638832638010568,C,D,-0.8801479201109049,111.6452288265028,-13.149472077597729,E,28.899336250252183,-21.182261688583456,E,A,C,D,-66.51539059350131,1
51-65,Other,A,-23.59372161819648,E,B,-111.38094058140847,-125.65980680241304,50.63783655820657,E,133.7079574312887,31.58067212818309,E,B,E,B,-137.09673442626936,0
36-50,Brazil,B,170.8588010958494,D,B,-9.860396877099038,61.52909869160759,149.49923684705973,D,155.79513575573546,142.51934636058053,D,A,C,E,-6.687359182689064,0
65+,China,B,138.99530651240548,B,C,-108.64158298605263,-245.3942940884092,-66.51033387140143,C,-15.946908050930489,75.9128637397091,C,B,C,B,-29.813682873211157,1
36-50,Brazil,E,60.9913304928847,D,B,-22.388992646422125,53.22310939625171,15.973154810296522,C,-66.14094626849058,67.08681581067837,B,A,D,C,-118.56637795116771,0
51-65,India,A,-129.47363505881953,A,D,-32.93690869642133,-55.26405150680059,-39.03180519584916,C,66.88733702489422,-50.34178829598951,A,B,A,B,-3.582364912547492,0
