age_range,Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
36-50,Non-Veteran,China,-237.48246120748541,C,C,E,161.3593374132642,A,D,93.28599503841893,1
18-25,Non-Veteran,Mexico,-51.28903818424683,D,C,E,184.01548752435826,E,E,3.432084947556807,1
18-25,Non-Veteran,India,-230.87290229861526,E,D,E,-146.99423117109214,B,C,-69.89829133609119,1
51-65,Veteran,India,-40.39333439031777,E,A,A,116.51409574049619,A,C,-111.41225532618012,1
51-65,No,India,-17.63606958243702,E,B,E,57.90571097839121,D,B,172.11444186770302,0
65+,Non-Veteran,Other,-13.429203588513698,B,C,B,62.541111170428834,D,C,250.1692312886169,1
36-50,Yes,Other,-53.9135503103453,A,D,B,159.8758715273843,A,B,232.59816254951122,1
51-65,Non-Veteran,China,-82.13664877492914,B,A,C,106.45148855851399,C,D,42.02461276588538,1
18-25,Non-Veteran,UK,-146.49836731127277,A,B,D,-79.50257656768582,B,D,153.60138856295103,0
65+,Yes,Mexico,-248.13310829131026,B,D,A,66.48646053343782,C,B,-1.4948009100106665,1
26-35,Non-Veteran,Mexico,27.707100118088402,C,A,D,51.39965237588978,E,C,-69.0626826750743,0
51-65,No,US,-70.95623623648916,B,B,E,-4.125668824563728,E,A,101.91865596731779,0
51-65,Non-Veteran,Other,-49.17685213637884,A,B,E,-45.60920345712523,E,D,-106.65088075233741,0
26-35,Veteran,Mexico,-98.63124830127065,D,B,E,119.25082786052931,B,B,-92.28431555780732,1
26-35,Non-Veteran,Other,38.98829952318057,B,E,E,-48.14510716767425,E,A,-98.43753273852506,0
65+,Non-Veteran,China,10.703360429822188,C,B,B,36.98981218554704,C,E,61.61871595038215,1
51-65,Non-Veteran,Mexico,68.5903907626287,B,E,E,-1.9161286173673613,A,A,67.54302087050156,0
18-25,Non-Veteran,US,-73.75764397702126,B,B,E,-6.481326407490795,C,D,-81.69651676113283,1
18-25,No,India,144.7607688569605,E,E,C,-52.17742282464586,E,E,72.34973169311016,0
18-25,No,Other,85.38339368400977,D,A,C,-83.01609114427974,B,C,-23.611941122024284,1
18-25,No,Germany,84.82562185154806,A,C,C,91.59656106246393,B,E,-226.04657283770013,1
26-35,Non-Veteran,UK,124.35155746112005,B,C,D,6.9737463343590305,E,C,56.104514030463584,1
26-35,Veteran,Other,10.328106125590107,D,D,D,63.667443444513694,E,A,-105.68476679551743,1
26-35,No,Mexico,-63.47309713624093,B,D,D,57.83680825396426,B,D,-22.15217212925495,1
36-50,Non-Veteran,India,62.87745330683985,D,D,B,-132.68525369603714,C,A,17.832582769071152,0
36-50,Non-Veteran,Brazil,21.218002592954253,D,B,A,-135.33869582186847,C,B,35.66152753493241,0
65+,Non-Veteran,US,-154.86130206236348,A,B,C,2.8886535031071436,D,E,37.27415312378779,1
51-65,Veteran,UK,130.26256796515835,B,C,C,31.519773290549757,E,C,159.2285231621958,0
18-25,Veteran,China,-65.3101330090112,A,E,E,26.1840815014509,A,B,52.13111084416444,1
51-65,No,US,108.08445398986652,D,E,A,-3.0883862623685485,A,E,32.135103013576696,1
51-65,Veteran,Germany,132.28373163299793,D,D,B,-1.9782576534809415,D,B,-68.51164802685136,0
26-35,Veteran,India,-92.9434369415191,C,D,B,27.766246606548656,B,E,45.431896635029204,0
51-65,Veteran,Mexico,-86.46652095307384,E,D,B,3.9683356031275387,C,D,161.44902908323317,1
26-35,No,UK,-87.06401078187979,B,D,C,14.665384041986401,E,B,-57.41961727977763,1
51-65,No,Brazil,8.43799972203214,A,E,C,-18.072905496226436,B,D,-24.81510702125896,1
36-50,No,Other,-14.586468823468145,A,D,B,59.69489455470786,A,C,-21.646280360709305,1
26-35,No,UK,61.99520426024224,C,A,B,-58.56433213258189,E,E,-82.6063472002193,0
51-65,Veteran,US,1.6343005689509253,C,D,A,-69.42065791984787,C,B,64.62505283456314,0
51-65,Veteran,UK,22.034600657983248,B,A,D,71.24781707031454,D,C,-7.469704663868517,1
26-35,Non-Veteran,Other,101.17644142374911,E,D,B,-84.20237887806408,A,B,-40.48022405968211,1
18-25,Yes,India,-28.09240608354342,E,C,D,-48.86040826320675,A,B,175.18254064099386,1
26-35,Non-Veteran,Germany,87.3060703826894,A,B,A,-85.32117943208758,C,D,-119.2814265838217,0
65+,Non-Veteran,US,10.21079205066565,D,A,D,-63.05286812446771,C,A,221.3414294159592,1
18-25,Non-Veteran,China,157.71799708561375,E,B,A,22.675317987598937,A,D,91.71956383629788,0
36-50,Veteran,India,128.08837326897338,C,E,B,48.72422410558662,B,B,4.200523254515506,1
51-65,Yes,China,41.1571557723442,B,B,E,59.068168116665476,A,A,-30.124566015371595,1
65+,No,India,-49.35688275694613,C,D,C,-37.64724449350715,B,B,93.71099808987687,0
18-25,Veteran,UK,-79.59881437030786,D,A,E,-9.16052769176585,A,D,-100.79113375451678,1
18-25,Non-Veteran,Brazil,110.74635123250629,D,A,E,225.4744933933009,E,C,115.33915530071287,0
36-50,No,Germany,90.73312725959826,C,A,A,4.919924169635573,E,D,47.88516456416107,0
18-25,Veteran,UK,10.110070118431207,C,C,C,-32.14093715106301,C,A,10.844385102123686,0
36-50,Non-Veteran,US,-40.9190683062803,D,D,E,-45.56100220771183,E,E,52.63417629754923,0
36-50,Veteran,India,-54.720428474502505,B,C,E,2.315301910777646,E,D,54.53177294968725,1
18-25,Yes,UK,-55.020350847781515,E,B,D,75.60687583298599,A,D,-148.50210523786055,1
51-65,Veteran,India,-83.61327569464825,E,E,D,259.5076854050676,C,B,-73.68565217230395,1
51-65,No,US,65.10107247325172,A,E,C,-84.17424713399367,E,D,-143.66897959845141,0
26-35,Yes,Other,-57.425303159562965,D,E,E,15.879194042417183,E,A,107.40555248969184,1
65+,Non-Veteran,India,282.9320794304971,B,A,E,-35.64194756609096,C,A,30.008062168415943,1
65+,Yes,China,36.705877249745875,B,B,A,60.82505705341883,E,D,97.16441179110265,1
65+,Veteran,Other,123.54732229086973,E,B,B,50.361303478795705,E,A,-84.18248881594461,0
36-50,No,Mexico,-47.52653438937545,B,E,E,288.29031647946863,E,A,84.21812242625666,0
51-65,Non-Veteran,US,37.80827868385537,B,E,A,29.76370922113929,D,D,-65.59732157461163,0
18-25,No,UK,-47.15962356630758,D,D,A,62.890065510345025,E,B,-1.5942954474784536,0
65+,Veteran,China,-110.64036175894394,B,B,E,-125.84691475339893,E,E,190.9509951084824,1
51-65,Non-Veteran,UK,-72.04924093039007,D,B,B,173.57505005383518,C,D,-22.142949379036235,1
36-50,Yes,Other,-183.39004632012015,E,B,B,-41.249388371625614,E,E,-39.25326587540443,0
65+,Yes,US,-23.017283234576887,E,E,B,-82.13393224879133,C,B,103.95809661572603,0
65+,Non-Veteran,US,-96.84685469207156,C,D,A,-75.41371436880873,E,E,81.421512330382,1
51-65,Veteran,Other,-106.75916223567006,A,C,C,74.05481742714524,C,A,138.1289636848879,0
18-25,Veteran,Other,-67.4591795082954,A,C,D,-0.33460742064339843,D,E,-85.67152225483166,0
