birth_year,AgeGroup,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
41,18-25,Both,B,A,14.923247540848175,49.9804839318407,D,102.93466965795382,-41.80485998841081,-50.69883935462136,A,117.22965977029114,89.4877587687076,39.519788880308155,C,B,C,68.98139690144973,-7.822962727734667,C,D,1
28,18-25,Yes,B,A,-198.8447409715749,35.07681926775327,E,-50.25384362691457,69.57404570000622,53.194585917066014,C,-76.67624523983899,-8.681788963051952,37.03578227365586,C,A,C,-85.25271779527989,64.69857593469044,A,D,0
36,18-25,Mental,A,E,44.101374736150476,14.747046939468444,A,80.01793672961134,137.49136947099908,-139.67303734543287,E,82.92825473918226,62.62193506322006,-22.089831238294725,E,A,C,3.223783791516715,90.92245618405056,B,E,1
18,51-65,Physical,B,D,125.59915907677241,-21.395871077709884,E,-57.282097536314716,131.10049002350513,-42.30820337246289,E,3.1510035643817864,-29.976068951420192,66.67717472849375,A,B,E,-47.35371216260625,-194.98721665791123,C,A,0
23,26-35,None,D,A,48.18670801655503,-16.687854937262518,E,33.70132323139304,-112.30640286964191,-29.067257732033486,B,175.9213150914778,135.84293398092547,-121.5410383102038,B,C,B,-56.16963829260605,-106.03802989994146,C,A,1
43,36-50,Mental,C,D,109.14555230325935,23.895817521529743,B,61.24728976815684,65.76093011201534,-1.9686762199879642,D,18.491266359335604,-85.72326176779029,-4.234184150198115,C,A,C,-120.78666313003433,-98.83687636496444,B,B,0
58,51-65,Mental,C,D,52.608922509704826,31.909003156730588,C,-28.932026512268667,20.597794488875415,-33.723581675946086,A,75.34843581405191,-121.04806369120402,21.794794093535735,C,C,D,-62.21318620353215,108.29157636942766,C,E,0
36,65+,None,B,D,109.9098953220111,-81.0630572850077,C,-0.40704894041107814,95.38880409476656,-55.64134664000616,D,139.12890451966933,7.44888982259064,-135.93326215608198,B,D,D,40.01584113929636,-31.746212365843462,C,E,1
68,51-65,Both,A,E,28.446577525860278,49.61062187761339,C,-42.755611360464094,-155.3814189477017,15.745212678014141,B,108.63279749144003,-147.45020976156934,-172.60505604942546,D,A,E,212.80987080922355,93.73690072758872,C,A,0
39,26-35,Mental,D,C,-77.15429443750659,85.61211031909598,E,-16.745170437938242,127.00848588378462,-9.310207784951432,D,-62.125998333500895,56.363994087574966,21.058659028396633,E,A,C,66.33331794946012,-30.982663700651226,C,B,1
60,36-50,No,B,C,2.5645258498828576,-83.03697438522691,B,-184.1278098533972,21.65916185253589,-142.46251423564266,B,84.5230489152305,41.35344665903932,12.56580082966669,A,E,A,1.8378784347542154,23.577055639649576,D,B,0
25,36-50,Physical,D,B,-87.31186570040796,-107.57565932317135,A,-227.37407107852997,-6.043833810834528,-1.0910904098025869,C,-24.217750688613123,7.413042583989321,42.70923345286423,E,E,D,15.443839385558405,46.033872527048636,A,B,0
79,18-25,Both,D,A,-145.15732135070664,-53.09524360623287,C,-102.57539695804611,147.69151132112734,35.35691764418939,B,-286.0361119555505,-18.401981146184678,59.64917662266658,C,D,B,167.77311558062985,6.061849467947179,D,A,0
66,65+,Mental,B,E,61.401001460256744,62.437220442941154,E,92.71915363566102,112.48404254788822,64.04574546938761,E,-29.233604806442642,-17.596543818331384,75.25036327133286,B,D,B,-193.64427354363434,53.021324961104895,B,B,0
79,36-50,No,B,C,-236.56448877010575,-13.169476423723289,C,65.6864967390686,-187.32818698757393,101.71978529919276,B,58.03780498550274,146.96841537875065,-146.9009182384837,D,C,C,45.88237183127023,-98.16570560824483,C,E,0
56,26-35,No,D,B,-260.94783298332015,-58.045013307982316,A,-4.322520438352124,6.854232741171851,57.912762038910536,B,-7.99310259866532,44.711273248099,124.95176213032799,B,D,E,-46.98826436518103,0.08248071515108389,C,A,1
34,26-35,Mental,A,E,-53.06036001135794,-14.691272647399703,E,128.77711689851083,-3.1046277450618267,-14.421853800937237,A,124.4343436856723,-112.69544568763243,-5.697171760690637,C,E,B,-32.02271484849076,-104.3641199628162,D,D,1
21,18-25,No,A,D,48.626069569160826,-30.299759039636143,A,-15.46531884577395,9.98692565481336,52.837756762548494,A,-29.060417113570473,-58.33275820781704,-1.711738251550551,C,B,D,44.2484674721871,-19.782832692973262,C,E,0
31,26-35,Both,D,B,-88.42163557937809,-33.5840274357034,B,61.716024010481284,-93.89402636023232,36.89615914364296,E,172.52292491200188,-84.27668438591388,59.77643643948641,A,E,D,166.50855142177292,-61.621072894977445,B,B,0
56,26-35,Yes,E,C,115.01602386735279,61.11538663786552,E,77.75996662303373,15.759927979088422,-69.7389032073407,A,-116.21921701986275,6.866380361271289,-5.548991940557555,A,C,A,-171.79955578427598,-210.2130950868077,D,C,0
23,36-50,Physical,B,A,23.00733250371018,-26.835392539756125,B,146.07879597037342,-42.8305002218147,-168.41683443320218,B,120.35966218638976,101.62918450620965,-104.80724036240545,E,A,A,66.05111406183867,-81.17725610762622,B,E,1
