sex,orientation,married,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Female,Heterosexual,Divorced,51-65,C,C,C,A,39.64342203383637,E,E,D,-1.9187764296226386,C,-3.4785916723396073,-2.893465676940858,-185.35782716395784,162.11348099542658,-57.647090601255854,E,C,0
Male,Heterosexual,Single,26-35,B,D,B,A,-24.226892090039655,E,D,A,-98.37590437113484,C,-14.159045372397905,-33.2117581675808,-114.39532971473452,89.15527429324,-70.74045402003676,A,E,1
F,Homosexual,Divorced,65+,B,A,D,D,-165.53038518014887,A,C,E,110.24645038966155,B,125.5966819137669,-35.03180008888184,-33.548426265440284,-11.893224389846614,-51.20621756416585,E,B,1
Other,Bisexual,Married,36-50,A,B,B,C,-169.73239545171938,A,E,E,-205.20299796135149,D,-169.6280905138698,2.5617916797776403,-33.86002257805405,-83.47785151397461,267.8643371635898,A,D,0
Female,Heterosexual,Divorced,51-65,C,E,A,C,90.38073346576238,C,B,A,-9.740273027850506,E,55.94447030824069,-0.775206275229547,-43.54704425228801,158.55667565250025,92.81534462650517,D,E,1
Non-binary,Bisexual,Single,51-65,C,D,D,D,-65.58478311021389,A,A,D,-247.8653374384427,A,14.793026756710853,-95.23503939461276,105.66508465286799,-137.40693056379885,-114.86573687045009,C,B,1
Other,Bisexual,Married,36-50,C,A,E,B,-39.33162069015537,C,D,C,-87.54506019133152,B,-54.98187099308739,-92.37212128270433,-89.25986729849869,45.96063770310778,-76.98976289518257,A,D,0
Female,Bisexual,Divorced,65+,C,B,A,E,93.69239170234592,D,D,C,97.86608525225424,B,-56.46250525491355,238.32407943280418,-69.07563232173312,121.84050414911924,28.716362507654917,A,A,1
M,Heterosexual,Widowed,26-35,C,A,E,B,-110.75935312574248,E,B,A,-27.07431322410369,C,-16.353580983663363,-78.01714369362509,-35.415144868495965,13.053595330644699,-27.609356771344906,D,C,0
Male,Homosexual,Widowed,18-25,B,C,D,B,132.7730504066138,E,E,B,5.5113516857892595,A,16.561688742385495,197.47883901732806,-0.029520672883054436,159.94258536700542,-24.22070570585185,E,D,1
Non-binary,Homosexual,Divorced,36-50,B,A,A,E,40.92705481782358,E,D,B,-70.12966863784719,A,68.14602175736371,12.202720693890596,-33.3257531945204,-93.83020434927664,9.14114929177352,C,E,0
Other,Bisexual,Widowed,26-35,D,C,E,E,40.00234635925834,B,D,A,-157.30112825410717,D,-80.21812995916973,350.15740392296095,59.908205358922764,-94.69435738297692,48.484390404821795,D,D,1
Other,Other,Widowed,65+,B,B,D,E,-43.95322294261934,E,B,D,-80.2576160820767,B,7.503046964902632,220.0954702932326,108.47528343848208,-12.23959800797235,-165.79286114199354,B,C,1
F,Bisexual,Married,36-50,C,C,B,E,34.717795942137286,D,A,B,-33.797030843939716,A,-2.5854580556987248,-52.619716655798634,-81.11430724586873,-2.1291136387328358,8.944779038165107,A,D,0
Non-binary,Homosexual,Widowed,65+,E,E,D,E,-36.94153320450203,C,E,A,92.38788077450523,A,-27.684783659067314,-78.1758357212365,-23.77019065678998,42.00832375162197,53.23294833986223,B,C,1
M,Bisexual,Single,65+,E,E,E,C,-189.4124651032095,A,B,B,128.82725944987845,B,98.19741889003724,45.930039580856146,-31.519014847777743,-93.22606676467188,-37.63774477139627,B,E,0
F,Other,Married,65+,A,E,C,E,-7.149294453609302,B,A,C,120.08647598635416,D,-184.84575618487423,188.08656793391512,40.54891867999821,-20.50881555402048,122.4841707603525,B,B,0
M,Bisexual,Widowed,36-50,D,B,D,D,158.72253458115472,D,E,D,45.1569830878776,B,-126.79132490432397,94.78279995503271,-81.68375530252516,77.86705942392241,112.70214616431255,E,A,1
Other,Other,Single,26-35,C,B,C,C,-14.202996453043756,C,B,B,-36.08994014634836,D,-60.97905259779078,-60.2934246611349,28.728616191283574,-170.79646999443733,-123.76213839222349,D,C,1
Other,Bisexual,Single,18-25,D,A,C,A,185.51348601409126,B,D,D,-75.66460036961226,B,17.88844172875769,-32.70293831029605,-53.64483980449092,-261.5321805378026,7.714888918859099,C,B,1
Male,Other,Married,36-50,B,B,B,E,-113.71941398776968,A,B,D,-112.01871567138768,A,5.9661256514363465,-47.829625649500365,-179.1365187529403,-159.64638172048603,-112.15009756177734,B,B,0
F,Other,Single,51-65,E,B,D,C,-12.795573566130228,A,E,A,-21.763530860144883,A,-12.389195610869642,121.20441429505885,55.66107353168842,-160.49204921229477,-48.538983963800014,D,E,0
Other,Heterosexual,Widowed,26-35,B,A,A,A,-65.91379239713535,C,E,B,-30.526684156863944,C,182.2441946685305,26.77760655658575,-164.5894701743704,-32.84022379358048,52.141598249475685,D,A,1
Other,Homosexual,Divorced,51-65,D,E,A,C,5.424784506962437,A,A,B,-28.53890116937814,B,167.1778789663052,-60.31415760628388,-17.52220054658358,-117.8288181532973,-48.57165921521888,C,D,1
