disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Physical,D,-43.32548560740909,74.80791390582338,D,22.761274649284207,E,B,1
Physical,C,-55.826515246705256,-16.414255535462942,B,61.187919170651796,B,A,1
Physical,C,35.68158600825907,-31.963741872128715,B,180.6090941464942,B,E,0
Physical,C,31.20120372892102,-52.01995926332894,C,-30.19476375852853,A,B,0
Both,B,-75.91602287619844,-29.152300616638467,B,-61.16382346280334,C,D,1
Both,E,47.669264800169806,-5.736024345244117,D,72.28227309244522,A,D,0
Physical,E,-139.3469082969054,1.0660459156501338,A,-1.310053993294994,B,B,1
Yes,E,-122.5358893556054,-206.75820962428685,D,-29.54903992465261,D,A,0
Physical,C,-21.717508684882198,1.2833822481938442,D,46.231496666962386,B,D,1
Both,B,56.75924864688984,9.112026474961269,D,19.98356602731797,D,A,1
None,C,-42.172517872019874,24.476787207657235,B,-52.11770247841524,B,C,1
Yes,D,-84.24358994678512,-66.8215055151982,A,102.88635091515572,D,C,0
Both,B,-22.615036017555695,-55.43550313201686,A,-155.66347468344674,A,E,0
Mental,E,56.153343566620336,-95.04780931416347,A,-56.64453119983237,D,C,1
Physical,B,-1.2631122734972158,-162.09789072334507,E,-8.444111426255589,D,E,0
Physical,E,9.812484542631285,140.06000223474373,C,-74.54661023490175,B,C,1
No,B,85.33699651056304,107.69785839873767,B,-67.7612856321115,E,D,0
Physical,B,-56.52854945155155,96.69460490362528,A,226.06006165571034,C,A,1
Mental,D,-38.50273569976165,110.59277889897288,B,28.852002148562388,E,B,0
Mental,B,178.3665457379958,-22.10901718572406,B,-16.351843173962074,E,E,1
Physical,D,-15.284926943773097,45.17089234395183,C,85.58170178617507,E,D,1
Both,D,67.72285309205327,59.42698739914489,E,106.94384078588325,D,E,0
Yes,C,-34.21037410631095,-212.81714294602287,A,-71.76866755299942,B,E,0
Both,E,194.68351708134819,-18.22825505274346,E,41.963586344493756,C,E,0
Yes,C,-216.4877555516289,72.37895323814973,D,-36.68827288323612,D,D,1
Both,B,99.23333426820719,28.294701749811196,E,14.34847029203623,B,A,1
None,C,84.99584914366098,-54.00026481563718,E,-111.38302874794421,A,A,1
None,D,130.88250816167573,-246.830729233336,B,42.43585257698651,D,C,0
No,C,185.02084594049765,63.41718912179425,C,225.39310759262312,C,D,1
Physical,B,-190.78124601343072,-41.920046539777374,B,37.37940754054337,E,E,0
Mental,E,123.71235990595295,3.8604588112978546,A,94.49012529034785,E,A,1
None,C,2.9690376909717466,104.29477872757123,B,126.59857238320096,A,C,1
Mental,E,-27.471637774865226,-115.24826315771747,C,53.965634884015834,B,D,0
Mental,D,46.73401879943751,-43.55487064591831,C,13.527798447383724,D,C,0
None,B,-93.79427370614239,10.18668397131324,E,-87.02974555982614,B,E,0
Mental,C,117.21998188661505,-21.68803609744621,A,11.12765498674468,B,A,1
Both,C,80.3779167922921,142.54518008435153,C,49.99053975830652,B,D,0
Mental,A,-184.45440134677835,167.77346668934612,D,-183.1232167525697,A,A,1
Both,A,-3.6990456072925557,6.073844654729407,A,-21.33715930757914,A,E,1
Physical,D,16.01725888479197,0.2904740511031535,E,51.916098846165205,D,D,1
No,C,-141.8837489102382,49.75160065741126,B,18.807787830534245,C,C,0
Yes,B,57.91239442393081,-53.40918379799496,B,97.84504816250065,B,A,0
None,C,124.21454883858809,107.22245061716255,B,-16.526149190360144,C,E,1
Yes,B,-222.6134005911948,64.18346920969687,E,-80.8750305871671,B,D,0
Both,A,100.33326051077265,-23.678632635790443,C,-71.37497201216736,D,D,0
Both,C,-147.50166848904053,-60.07321133998934,D,72.70121758280811,E,C,0
Physical,A,-112.23512030304651,162.00119313292078,B,-47.94318124272882,A,C,0
Physical,D,-123.24005698364833,-55.32056180475362,D,-99.3361043393769,B,C,1
Physical,C,120.06718828966993,122.9712651628214,E,-123.34273332738664,B,D,1
Mental,B,-165.8865485198369,-231.36879503166793,A,-168.4435230948601,B,B,0
None,B,69.10965524365075,-40.70439622110163,C,128.32392519834218,B,D,1
Both,A,-58.26079714637085,122.74835099698514,E,-61.9084716584487,B,C,1
Physical,E,92.64922796010767,-174.78444414801427,B,-66.55797022046002,C,B,0
Physical,D,-88.57504103566447,-86.5916621776377,A,71.84217426274886,E,A,0
Yes,B,-55.566678212277345,-75.88479076837882,E,-110.43877541606034,A,C,1
None,A,107.83310220238809,149.42474801624545,A,64.59219696983259,A,B,1
Physical,A,22.36569703885314,-212.38813376191237,E,-62.16529246500636,B,E,1
Yes,C,114.8809114229544,-134.1660368775094,D,62.73007817357992,E,C,0
Mental,A,-87.39861547048635,60.58521807234393,C,-55.828402782978934,E,A,1
Yes,D,131.99970835585785,145.55308343843868,B,-34.025572153313846,B,D,0
Physical,C,-27.79123702955417,105.75454849521651,A,-65.0924249146681,A,B,1
Physical,D,76.47640577147648,-132.53144993425178,B,173.03356576537647,D,D,1
No,B,-35.82883319099463,-160.14643871556382,A,74.1170142083216,D,A,0
Yes,B,-12.330260192191798,-104.52787974175169,D,64.9023515796638,B,E,1
Yes,D,-102.28968214219334,-124.19655399677983,D,0.9431044420174561,B,D,0
No,C,-34.18301610290232,-123.9368489260233,A,124.26691217426502,C,B,1
No,D,-47.84132117042168,-51.821005458782444,C,14.622328653763134,E,A,1
No,A,181.8040242500242,165.16296065516198,D,-107.69037513146209,C,E,1
Mental,B,-101.27297266831799,-72.22973752196256,E,74.90763195078064,E,E,1
Mental,C,-78.76422837054125,146.7267540030583,A,-100.85668453732136,B,A,1
Yes,C,47.21260700490007,-119.51938808459947,D,-60.50618012861767,D,D,1
Both,B,8.031275899048978,-155.80862880106974,C,-99.57605608586188,B,B,0
Yes,A,-152.87496260654586,-90.1085070540643,D,-69.82799514927261,E,A,0
Physical,E,43.61677241095796,-23.31868827995628,B,116.51919527208807,C,A,1
No,B,57.88910052351238,-5.170093730684632,E,-74.15453772400882,A,A,0
Yes,E,5.303757786957051,195.13655194607952,E,13.367250128596227,E,C,0
Both,C,-60.559253232658136,33.89216094319834,C,-59.74021905272215,A,C,1
Yes,A,54.254917080645136,49.884134857010324,C,-6.165324919400526,A,B,1
Yes,C,5.73634125497469,9.318250063882608,A,-190.79201325313514,B,E,1
None,D,9.923066954482875,-56.76566659531669,D,58.7565512587916,B,C,0
Yes,E,59.24673785499003,-125.27674107239946,E,98.75977331774205,D,A,1
Both,B,33.638010528559924,-89.72412410503121,B,-5.165722202386811,C,E,1
Physical,D,-76.2862523562973,-41.98535749035002,B,-79.87144040467662,C,A,1
Physical,D,52.58802615039503,39.87276122661437,D,-11.677212721574401,D,B,1
Physical,C,0.12540543480130326,169.67338047195517,D,-74.77326102092715,D,A,1
None,C,157.1471024316595,-214.08708107107955,E,-38.2429945451958,C,A,0
Physical,C,-23.772008148322392,108.79970939526214,A,-178.75535420663326,A,A,1
Yes,E,103.10799140173856,8.557872675962747,C,-5.772829921473132,D,A,0
No,B,62.37550177654568,24.519641084090317,C,-36.13883115883892,D,E,1
Physical,B,-107.14229405244564,-107.0965925068031,E,-105.44647001448911,E,D,0
Physical,B,-78.49700262413968,108.63331557111671,B,-19.9884463223469,C,E,1
None,D,9.584287920123643,123.8680128973829,D,189.6708676118318,A,B,1
Physical,C,30.259433367469118,-0.3185151834398374,E,-117.08118970308242,E,B,1
Mental,D,52.94097991717127,117.21287648370708,E,93.43751426299117,B,B,1
No,A,-34.98876465160319,0.7488318059011312,A,-91.26614551538879,B,E,0
Physical,C,-10.307046249490497,-15.87796736080346,B,4.60947294201085,C,A,1
Both,D,-82.12251802587424,-29.639446802358453,A,4.301717510773646,E,A,0
Both,D,130.8948779936266,168.53370670541693,A,-13.777532046237692,B,C,1
None,B,-16.764809729440643,43.26756035083808,D,-32.659096224191764,E,E,1
None,A,-50.33393747574048,32.41401866648561,C,8.025394732208893,C,D,1
Both,E,-143.91312901978526,-19.426970509305562,C,67.81244908639465,A,E,1
Both,C,169.04383059855186,-132.0059482848578,E,-71.45942557528804,E,D,0
None,D,103.13682180888364,67.72906938631523,E,-78.8400647180032,B,C,0
Mental,E,102.51598918414595,-76.35179418813827,A,-3.4224237736182177,A,E,0
Physical,B,92.64456716465358,3.997490782231769,D,-68.58610836354798,D,A,0
No,D,21.15780792853163,6.851059895024187,C,-10.281650846774241,D,D,1
No,A,20.649870347883663,8.618587164848723,A,-29.52118340638789,D,C,1
None,B,-66.82799069660314,-31.59763270882071,B,-176.34309786099777,D,C,0
None,C,-20.26754901848059,1.9389848420671252,E,36.87376076273752,C,D,1
Both,D,86.12422141992847,-35.881330354013556,E,-128.67007234927686,D,E,1
Both,C,-74.79105761371424,-187.16953725605308,B,-47.91674249521753,C,B,1
None,A,17.654800867711423,-81.22896086300439,D,-99.52491176860224,D,E,1
