gender,Veteran,religious_affiliation,anos,feature_0,feature_1,feature_2,feature_3,feature_4,target
Female,Yes,Hindu,64,42.09270121006072,-13.856738750978096,D,-3.2012059533675674,-75.35112045030546,0
Male,No,Other,40,24.9562731778209,-1.5692153507730406,E,69.46091337375215,-73.66108417417615,1
Female,Yes,Christian,71,-129.7513645769682,-111.96212348024177,A,-156.91863724531999,13.026600706055163,1
Female,No,Hindu,22,-143.18036198740077,68.44000469444121,C,215.74909570964303,-93.24853100181787,0
M,Yes,Jewish,71,70.51275727289081,66.11414418965012,A,73.17827074235609,16.814441143620062,0
Non-binary,No,Christian,30,101.84841848105684,121.39220740728686,E,68.72341683230798,-34.898819028170784,1
Non-binary,Yes,Buddhist,34,135.61457563037663,-29.547297336021405,D,22.37662141320529,-42.024356410820204,1
F,Veteran,Buddhist,49,30.849996808673115,12.765020157051385,D,48.9638467880433,-59.52762519937617,0
Male,Non-Veteran,Muslim,67,-144.74833841622439,-27.51651548223392,D,2.195325851358058,-51.74075074874032,1
F,Yes,Other,60,-58.96751492230066,90.82819701078594,B,4.2275882705078915,32.12201594220539,0
F,No,Muslim,50,-68.4657591734427,-68.71027548781268,D,83.68296592535391,-51.55322261271176,1
Male,Yes,None,21,67.86836915377374,-140.17980739779182,D,-52.4119497366195,56.38670987868676,0
Female,Yes,Other,60,56.03191473946486,105.65677248085086,E,-60.158129896480176,20.177265292413495,1
F,Veteran,Buddhist,48,69.69585547601393,28.547981871003568,E,115.43174216420633,28.030353224536515,0
Male,Non-Veteran,None,31,-36.16024186988805,114.40237834719547,E,5.933383508838343,-65.70005288048975,0
Other,Non-Veteran,None,53,77.72618816427301,58.96443953570544,A,-130.42012844518416,-111.50158874118577,1
Male,Veteran,Jewish,33,-63.647819476235554,87.07871124598219,E,45.38162290056151,40.419876229864,0
M,No,Jewish,66,-121.14640577635343,127.49433977454233,B,-160.0297723501113,67.18393368647239,0
M,Veteran,Other,69,29.616997021953313,33.28953702280944,A,-95.12675666139636,168.0620134730707,0
Female,Veteran,Hindu,55,219.18638744490383,195.43357250848536,D,21.57698872192421,250.6440063642783,0
Male,Veteran,None,21,-123.42846373070464,-8.982157712955948,C,-54.09646523562077,42.1030006727036,1
F,Non-Veteran,Jewish,53,-14.23310784215947,-153.56799374953465,A,-0.49807753559821244,-39.408095588341055,0
M,No,Jewish,76,-40.45761494364476,-59.4442138488281,A,-2.7484386175545974,1.1335606336238018,0
F,No,Muslim,44,153.53884095771838,113.90119239448681,A,-72.0173455010129,-27.332793679167857,1
Non-binary,No,Muslim,41,-6.6479676527894345,-38.40288347538751,B,64.57941587399233,71.34999418590546,0
Other,Non-Veteran,Buddhist,34,20.451402334674736,-3.613676322220098,E,117.19173682715665,24.250099897698547,0
Other,Yes,Muslim,37,27.633246290161946,-52.10865921105674,D,32.04771520804381,53.19830812175218,1
Other,Non-Veteran,Hindu,37,95.62307456995647,137.81607793050242,B,-98.3872705798294,88.15265440816307,0
Male,Non-Veteran,Hindu,67,60.772212059264795,-199.97226211643883,D,115.46595180654377,17.712818067709417,1
Other,No,Other,42,194.70180937196926,6.503836654179823,C,154.56868348596424,-89.07846070371116,0
F,Veteran,Jewish,23,-33.5500045485358,180.46174808335928,C,1.2060287699240209,-122.60249930398774,1
Non-binary,Veteran,Buddhist,52,132.0739529097965,-51.383803351989,D,-4.923526986948762,-24.270698443178755,0
M,Veteran,Buddhist,57,112.12386815707988,-25.401153319286713,B,43.10384739323426,145.24292384668226,0
F,Yes,Hindu,66,41.64878640306179,50.11574377569049,B,173.8483339259112,-91.89947006137434,0
Other,Yes,Buddhist,34,76.50313850980008,87.57217321177616,D,-48.17865242755175,-22.900936544080665,0
Female,Veteran,None,57,84.05419494223639,-46.934600294380424,D,-157.70485420851193,-179.75789806556247,0
Male,No,Hindu,50,103.04730599058254,-157.32985453993876,E,-13.51633703413698,171.89988705970455,0
Female,Veteran,None,25,133.7989542048533,125.51319509373289,B,-3.118861004080578,154.17215842356643,0
Other,Veteran,Jewish,28,16.34578783832676,59.15141765082404,C,-13.605822113453394,135.71139588175777,1
F,No,Muslim,57,58.07971860833631,72.06685825383387,D,25.086889701192316,11.7898589695101,1
M,Yes,None,38,112.26262111548463,-77.70086246762665,A,-81.82598388355451,180.50858215633767,1
M,Veteran,Christian,73,26.992048925793327,-98.10748020782556,E,-25.559164973433123,-308.42746007347347,0
M,Non-Veteran,Jewish,29,-66.77304743346606,63.56957321646037,B,-90.50166122968132,8.291942328285163,1
Male,Yes,Other,49,-106.94273902284269,-39.28556245610828,D,89.76906101375512,92.19410853037382,1
Non-binary,Veteran,Other,20,71.0895245792523,-177.22221865765457,D,53.143640057613126,-46.55990972114628,1
Female,No,Muslim,27,185.95029856344541,-198.49575345681384,A,82.06516021123159,-145.64403681451873,1
Female,Yes,Other,34,-58.94978457440638,-71.45034724360684,B,-163.73980744415724,105.62880512135995,0
