civil_status,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Divorced,Asian,A,-5.844125789959012,161.49039054935804,C,-30.7686507860461,-166.68657921884932,1
Married,Hispanic,B,-63.648302935503565,-227.23809596646583,C,-45.57098563411634,-10.313081948487362,1
Widowed,Hispanic,C,-89.46502196698378,77.76862216928049,D,-83.40319853213832,70.15324574134902,0
Married,White,E,58.842457250067795,-152.48432850852421,A,-193.20518779690906,-56.57364414458418,0
Widowed,Other,B,-3.961875923713999,59.89212030897896,C,42.78388045794678,16.133754286947028,1
Divorced,White,D,-52.826366884700526,62.23253783217055,E,145.88902412436394,27.767658807010555,1
Widowed,White,A,-128.95690990921162,-40.555188473039,D,-27.870347815641956,-279.4143442795958,1
Divorced,Hispanic,D,-23.797412559253868,-44.38087353517924,A,-142.34626324363956,161.9853039000984,0
Married,African American,C,30.447084912751805,-128.24539789889891,D,69.94249835050695,-90.5699632459959,0
Widowed,Asian,B,92.48668462485504,109.41491974362798,C,-35.414043880904835,-112.43172733223426,1
Widowed,Hispanic,E,50.22262275422549,150.83015443164254,E,57.33528640312298,102.64593802336192,1
Widowed,Other,C,-2.647289334658719,-24.904776564580207,D,-91.96109697579281,-11.369004262640239,0
Single,Other,E,-14.203804759520533,-117.04645076044275,A,16.122406241616076,161.53521679279928,1
Single,White,D,29.2396015898645,-141.27860627742007,E,-48.00536822072354,36.00484805684993,0
Divorced,African American,E,98.03456191880638,107.75677963758943,A,138.5830857308105,-13.130876521718204,0
Single,Other,C,-44.39639735659362,-53.48262150898799,E,-20.4397285875435,97.41878913289236,1
Divorced,White,A,113.44443204915615,-9.431114715184295,C,16.123617844960762,-10.09510584245103,1
Widowed,Black,C,-48.52829464608626,-144.33596448851452,B,175.8267572521367,44.81434643659823,0
Divorced,Other,D,-269.37464041391985,135.7784827898291,A,72.44464240406671,-2.189237997381286,1
Divorced,Other,A,133.9492060823805,12.227759761211274,B,100.52574437930393,-31.503538681255378,1
Single,Asian,E,59.462264240375404,-175.37349021186856,C,127.00415926811644,155.954978168105,1
Widowed,Asian,C,-173.50435402882002,-127.11876150874251,E,-37.98825849622877,-228.84202788005274,0
Divorced,Asian,C,-114.01955460134641,-33.66992720877355,C,-9.41862980875475,-197.62859605376056,1
Married,Other,A,27.967595091106034,-6.913956928801694,C,-109.42148759031276,208.67710645219688,0
Married,African American,B,-95.06375532080187,56.52250018754239,D,-188.71714278837638,68.0593277638268,0
Divorced,Other,A,-110.27799915006942,-201.80157055386562,E,55.90014300187527,-30.84944690303873,0
Divorced,White,D,-33.03228852472851,-129.3335494670169,B,34.28169397236667,-29.685026352407736,0
Married,White,B,182.00173232888267,-25.65651504162882,D,-56.770310138202284,-80.29121080934934,0
Single,White,B,71.6705146480792,97.57467288247416,A,-0.8715704311986509,65.23532645549399,0
Divorced,Black,A,-154.38925356549566,108.04475986111089,D,202.52704486532122,33.6788628536531,1
Divorced,White,D,51.43432249464976,26.581410257202815,D,36.34075653900461,-20.614121384578517,0
Divorced,Other,A,16.343505491193625,101.27008415078791,C,1.5307117048483294,-76.90683539207714,1
Divorced,Hispanic,A,-106.9452639582406,-28.05561439416836,E,77.40104392562924,49.915237448904314,0
Married,African American,A,-97.75395227587804,-87.29042838413085,A,-41.316662341472544,230.73956348939132,1
Single,White,C,-166.78312339240128,-71.89826797032323,B,-5.950900054530452,39.103919677769966,0
Widowed,White,C,-238.96192825806378,76.0944430777977,B,-217.01185414401363,37.157898305955854,1
Widowed,African American,C,-53.12758954094625,15.859564325452375,E,-143.79071954376815,-8.42636289966388,0
Divorced,White,B,22.848437875104448,91.74410945839408,E,-47.66662783956636,245.40463433383132,1
Widowed,Asian,A,53.66602672849694,146.57101552572567,B,-122.74176361619217,110.7669887676965,0
Divorced,African American,C,101.46972168946307,88.59323651611668,D,23.85770418225079,-104.3495191168444,1
Single,Black,C,18.35566530856303,-101.2302770758208,C,148.59905525772672,-85.18269792620411,1
Divorced,Black,D,131.92873847065746,106.56508413143249,B,97.17936435299833,-68.50998562704638,1
Married,Asian,D,223.46292490894282,41.26492139952915,A,-99.20361847462178,79.07404208024954,0
Divorced,Black,C,123.04186608526493,45.18662504577694,E,-88.22926229780438,107.14260765617345,1
Divorced,Asian,A,-3.747059026835868,228.22073414694103,B,21.012802164995264,12.22396591030203,1
