nationality,genero,orientation,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Mexico,M,Heterosexual,53,74.09871145429824,103.4511104091892,119.89762935976502,A,C,12.599483976058886,66.99625322085151,B,D,-64.88857620026263,A,136.05222642875168,12.458246764154174,D,1
UK,Female,Homosexual,22,46.37542985440556,-40.34296726128241,20.85955722005686,E,A,205.22152228310065,34.95288238812299,E,A,26.661964801523514,A,88.63661985056407,-105.79424869638392,A,0
Mexico,Male,Other,55,4.684853776706196,-140.53768138868043,-232.9166839925596,E,D,-47.05677709494351,19.456150800100644,A,E,-102.09777892349638,B,50.897609280982856,-16.048023816821026,A,0
Mexico,Female,Other,67,-166.0081700506492,91.53734265020027,59.25660157432876,D,A,-68.16948075066792,35.2533247980274,A,E,-146.70089242238376,B,-151.07166280267427,-114.08387551429544,A,0
Brazil,M,Other,37,-116.4178559965919,-13.911589582709752,-84.88337208676043,B,D,-14.123890355944418,-10.447204020214885,E,B,-98.94904721068914,A,-3.2312341903118393,-22.12183007552085,A,0
US,Female,Bisexual,69,9.2743105494195,-138.85950839017175,-61.21927375259174,E,A,54.78099772987621,-4.851717609448831,A,A,169.9026348865479,A,225.56479808220365,58.56679819796513,A,1
Germany,F,Bisexual,62,26.102837405231156,-140.9058426931162,-135.53405870441074,C,E,14.864103307926152,-14.943471402976783,C,C,141.33343412579768,D,138.17875520794325,34.85811935603554,B,1
US,Other,Heterosexual,43,10.642680502346176,139.938900818411,43.49848805179237,B,A,-140.20628121664953,28.6482694054632,B,B,-29.99032944487835,E,130.40117525225736,124.76222391720113,D,1
China,Other,Other,22,-118.73732277034064,189.90062745973526,143.89158189207464,C,C,-203.65998272973152,34.62607841820282,B,E,-28.753599676720526,D,-35.12821611815078,214.3143408378051,B,1
China,F,Bisexual,28,182.6601234151203,41.12373066582351,10.440321031505835,D,B,-224.04833996916014,-32.9019680809436,D,B,-163.1718740448981,C,110.20737458330039,-145.1530454457513,A,1
Germany,Male,Other,43,2.2371711809475547,-70.3039585766178,29.75452535138003,D,E,217.1380533965537,-98.11659864380769,C,C,108.49942029395407,D,56.939448631965305,-192.1992474298448,E,1
UK,Female,Bisexual,32,161.0362955715857,-85.60084540295318,-27.87682579231697,A,D,-6.704421309448079,-80.55660107027599,C,D,19.83625202255079,E,-21.90967397281764,-49.94596312941994,E,1
US,F,Bisexual,66,9.535762368988685,91.79198103422972,3.2429504776255627,D,C,-54.99730082602545,23.507250263459888,D,E,70.14552093078764,A,11.55585498231509,30.912784545085703,D,1
Brazil,Female,Bisexual,29,-133.48633374551008,-188.8526276158244,-21.20044314574705,B,E,-21.60204886293129,-260.32210781911505,E,B,-20.510542553633506,E,-32.109258757788204,53.09610459654613,E,1
India,M,Other,52,-56.25742274122988,26.83551532115269,10.130834646785598,A,B,-56.1406364193773,-84.68200605362475,E,B,-1.4688273949610435,E,28.683461851387083,-45.853912950543716,D,1
