handicap,Race,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Yes,Hispanic,Other,-243.87110959278283,-96.63631495718026,E,C,99.16320298270335,40.74013622409636,A,B,1
No,White,Homosexual,56.28475667224889,16.24608732135687,C,D,-153.42084412991423,98.55727332379581,B,A,1
Physical,Asian,Other,-43.8409117349471,81.06567478582684,A,E,119.91060663568791,-158.79298453092247,A,E,1
Both,Hispanic,Heterosexual,-0.34770600523940126,75.38246094004622,E,E,41.51839676011158,70.47668542805674,C,A,1
No,Asian,Bisexual,102.47073720154016,62.18592920591447,D,D,-112.8425640000632,84.51427340270948,B,C,0
Both,Hispanic,Other,-111.88597574526102,-29.0776238656271,C,C,-49.09094888024346,12.492557324614257,A,C,0
Both,White,Homosexual,-29.487407128484232,-27.796786000990824,B,E,185.6478551248096,-118.41420712727894,A,E,0
None,Asian,Bisexual,-106.04094366575517,103.85596802655014,B,B,66.71162246525502,2.6528557641268864,B,A,0
Physical,African American,Other,-177.21082909190915,-130.04917429124424,A,A,-41.0615302643786,-148.10464170070244,A,E,1
Mental,African American,Heterosexual,37.87598564948694,-71.83373046112094,C,B,124.90806461743458,-25.71751202433657,B,E,1
Physical,Asian,Bisexual,160.80757005260833,-144.54580102608287,A,E,124.19960720321495,-71.59588066387585,B,A,1
Yes,African American,Bisexual,103.20534066962563,126.51935293695323,B,A,50.90108548774006,-206.8599966532517,E,E,1
Yes,Black,Bisexual,147.33159231528793,123.30021925569976,D,E,109.75413384007346,-79.442762741661,D,A,1
None,Black,Heterosexual,-114.33044459581834,107.90699363005731,A,C,24.0720622571945,6.2042428461863075,C,C,0
Both,African American,Bisexual,32.216243044937634,45.983026878217835,E,B,-65.86696469282688,157.64747598903307,A,D,1
None,African American,Other,104.5059922243313,-160.02276816726052,A,D,76.2164929481759,-148.47373781588664,B,E,0
Mental,White,Homosexual,-58.70485974821749,-40.537876249190234,B,C,17.27101638565677,22.960980134566288,C,C,1
