age_group,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
36-50,Other,C,275.19374602686764,E,C,B,45.548163711179605,C,-104.04683455391084,17.917825489499865,B,-182.83024205056654,A,D,A,E,205.8430111046842,0
65+,Other,A,-19.778763480146395,A,E,D,79.89414158769355,C,-161.21174307382816,71.09002676634508,C,-67.97971608001822,C,B,E,E,-156.18790039116072,1
26-35,Mexico,C,140.2065979591644,C,E,C,59.00227592869894,E,-27.654585643640985,61.21349465081226,B,-0.14587125156384362,C,D,E,A,-125.93802535341709,0
51-65,Brazil,C,95.85016285174969,A,D,A,52.71454770864413,C,22.598528468024522,-210.06872202068863,E,-12.10278716106909,D,A,E,C,57.44590854752561,1
36-50,US,D,-8.54000513749996,B,C,A,129.32975594830503,A,-150.2458479612773,-91.89651698072034,C,-115.69180572553317,D,E,C,A,100.83136909455838,1
51-65,Germany,D,234.48641242324726,A,A,E,131.0448167770126,B,-5.891657813855207,-119.37231711073977,E,110.8253052545226,A,A,A,B,13.354352496957056,1
26-35,Brazil,A,81.39528539962046,E,E,E,156.93722950059515,D,152.2144248964164,23.641573855005564,B,73.55381504324127,C,A,B,A,-276.5179463715445,1
26-35,Brazil,A,-76.71716049407023,B,A,A,212.39746738270142,C,-15.118689154343375,-30.406934625607303,C,-98.38942967532654,B,C,E,A,-24.702497219316562,1
18-25,UK,B,121.88215534185345,A,C,B,1.8481673847224638,D,47.46235901025748,-159.5132621695339,D,-56.119782870995394,B,D,C,E,-19.462999370806067,1
18-25,Mexico,D,-106.15036924779314,D,B,C,117.73457058142094,A,-103.91799405080661,133.21803664017068,B,90.50324522528743,B,B,C,E,-120.43727950089698,0
26-35,US,D,122.24801809381391,E,D,E,-108.85677202072446,E,-92.69659681542902,140.74658849662276,A,124.16203605478773,A,D,B,E,-45.33817390290126,1
26-35,Other,E,287.74801450124687,E,C,B,172.0085363412955,E,35.373096260569255,-103.32802214946923,E,-99.10978065229006,D,B,B,C,-139.4855857378723,0
36-50,Brazil,B,32.98494281455884,C,D,B,54.61366670065705,A,-106.41013352363234,-9.688973955401584,E,127.68475613301182,E,D,A,E,44.08560348473182,0
