age,sexuality,gender,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
46,Homosexual,M,18-25,-3.2950185032129027,6.50780121487413,A,128.6236254967073,E,C,24.501252655909596,E,-4.489788479082841,-273.21913893779885,B,B,82.41355105669136,E,10.601816257332423,C,1
21,Heterosexual,M,26-35,-60.172240669450574,-48.69978563951996,B,40.402447348316464,E,D,43.838167163391645,C,-165.5921188895794,-136.6616789274738,D,E,136.82599354301448,C,-73.66190495109873,B,1
64,Bisexual,Other,65+,-23.024117560544777,-115.2059689142479,B,20.236278847563817,A,A,-97.17118724201791,E,92.4397451030798,19.893267372228294,C,D,25.164427261699622,E,115.4298178702338,D,1
46,Bisexual,Non-binary,51-65,-112.4508476131193,-7.116416852886578,B,38.683200656009596,A,A,80.80746622410275,A,-4.362415109409923,104.43216004168698,E,C,35.16500246929819,E,168.42832367338633,A,0
71,Bisexual,Non-binary,51-65,-63.16762616453452,154.11061692403615,E,33.56157195124631,A,A,-78.17210965840711,D,-128.53076862439198,12.649131253568822,A,A,-210.42646076751458,D,56.40397869457764,C,0
26,Other,Female,18-25,-182.42140589518584,-115.25960561405645,E,-41.68268183517008,A,B,-4.276607670820746,C,46.93442901542082,-175.63040012373534,D,D,-15.65573686983399,B,89.61973893665507,E,1
52,Bisexual,M,36-50,-178.1806600347243,28.026814023819412,A,240.92033751597123,B,A,-36.011707569925065,E,22.852596662844824,-40.39512378832338,D,A,-14.024868782852884,C,46.17526731727801,E,1
30,Homosexual,Female,51-65,-19.753187855393602,-91.79297160864456,A,17.412718027194334,A,E,-41.51532218304523,C,74.77451909038547,101.87077647592353,B,C,8.37894957200785,D,-126.13305406042959,E,0
70,Heterosexual,Male,36-50,3.303056243550013,83.12586828291168,C,-118.18481618298881,A,B,-28.923458200168838,B,100.72149280682225,66.8959336191172,B,B,-137.77341715589208,A,44.09095645012725,D,1
28,Homosexual,M,18-25,-33.76703903347076,-3.6022471466511052,A,115.01536703486556,B,A,96.6538848097094,E,85.42293107570904,-10.688682594682247,E,E,27.10457635176989,C,-151.83694136550344,E,1
71,Other,Other,51-65,26.354212932282767,129.2398336001488,B,14.138018450915743,C,D,53.808604277994355,E,-88.44473338603362,-1.9470534725000588,B,A,-215.22724401944168,D,60.767702291825955,C,0
44,Homosexual,Other,36-50,66.99005820179578,123.81700492801309,E,17.005708679493857,E,C,150.48035984221912,B,257.7463577699765,41.53363712944931,C,A,-33.94267816580862,C,-76.13822394535077,D,1
62,Bisexual,F,18-25,154.4592958754769,-61.509844625034994,C,58.57475051429868,E,E,144.80074924014264,E,-126.5430618791548,-53.12642217925079,D,E,-109.47872459909453,B,84.04527789437607,A,1
61,Heterosexual,Other,36-50,6.741583386732379,-1.528730460793161,D,-3.2814719182905403,D,D,-2.3980343507042345,A,30.197722809121828,11.15059216489118,E,A,-83.79262533727386,A,-27.043940355997815,D,0
55,Heterosexual,Female,51-65,140.0752925623166,95.264687061165,E,-119.3669461266794,A,A,-51.19654094896276,D,-139.78637033525862,-67.00326717591132,D,D,-65.61943700764947,C,90.39232463897247,A,0
29,Homosexual,Male,36-50,20.68878668772583,129.14807625718254,C,-23.8537367314685,B,B,-22.965853317523113,B,128.6850782578986,79.95930263005081,A,D,96.37105306425016,E,-99.26787283084761,E,0
52,Heterosexual,Non-binary,65+,-25.543819241531818,50.3692803770346,D,24.465416627074767,B,D,-71.40207300202732,B,208.97506238072773,82.36395095810047,A,C,-89.28906927805664,E,242.86102836914333,A,1
