handicap,age_range,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Yes,36-50,45,-115.2214197093266,B,51.44687082099592,A,-46.64795497668837,-94.89864324540635,A,C,E,-17.996619683440464,0
None,36-50,63,-93.43105734032929,E,131.52189948568707,A,88.72054333242133,-35.22960956313837,D,E,E,177.5654645160711,0
Physical,65+,62,10.448865982779026,D,-34.63474400525504,D,54.75791028188666,45.0946935903333,A,B,D,-100.45130051339004,1
Both,51-65,27,131.93037196476075,A,-40.59665897687627,B,-60.32107469571686,-16.93754901583361,D,C,D,22.126609269303625,0
Yes,18-25,69,-221.52446880744722,D,-13.599852940999597,B,-4.091490153805946,-144.8791715069341,A,C,E,-247.41419740837625,1
Mental,65+,40,175.025277877192,B,-50.897284102806914,B,-230.18798587398982,-60.390527861679146,B,D,E,21.44853782530144,1
Both,26-35,61,19.422310282374447,B,0.07911839565030371,E,-8.982722461745741,-39.48649013186244,B,B,C,-6.76902746396615,1
Yes,51-65,69,17.82924244298633,E,-38.88476663849743,A,-20.168494729710474,54.193833737971175,A,C,A,-75.81102368997611,1
Both,18-25,45,29.340974864191104,B,-96.07369098621976,D,99.32095028015993,-85.69936119084434,C,E,B,49.81722335483587,1
Yes,18-25,62,24.355138910946227,C,-198.13003384430567,D,-31.361084254613065,-199.75343090241358,A,D,A,-70.02701696847956,1
No,26-35,39,175.67396656991704,D,-41.75718756553849,C,135.34887137292424,30.80985016745068,A,E,D,-139.78499554293057,1
None,51-65,30,-10.239786291637598,C,159.297611710351,E,241.99766467098317,-10.354614265127813,A,D,C,116.34739853121032,0
Mental,51-65,28,-129.62274383958254,D,-135.82740060080226,A,-17.355633623047154,44.556335655583865,B,B,C,199.85109031575402,0
Physical,65+,44,21.715201524836047,A,86.76276360485176,E,-33.76451779425579,142.15901044268625,A,C,A,32.39017052826209,0
No,26-35,34,-76.31821780302963,C,3.0810158711140985,B,-76.2786661515257,-89.60808896101041,D,A,B,83.57317195704816,1
Yes,36-50,24,-77.76667373932513,E,-52.89498152585443,A,33.07392437907467,160.7200647852143,E,B,C,69.75026795319461,0
Mental,18-25,56,58.122825814908744,D,87.75820397396626,A,-51.78180844423809,31.61597146328978,B,C,A,-69.93679577682015,1
Mental,65+,71,155.30725856851765,D,75.1927486851246,C,-48.47564099429644,119.48842292297917,C,A,D,3.786841575907575,1
Both,36-50,18,-123.12860063381292,E,-63.26811009939388,B,1.9480272885689616,27.754216701638818,C,B,B,-170.74811766280945,1
No,36-50,31,-0.06718662517112643,C,44.90247931520675,E,5.291680613262248,-48.53258949858771,C,A,A,-154.46196076738735,1
Both,36-50,41,-73.12061482773603,C,59.75856725299299,B,-49.856620461411836,-28.861820137581933,A,D,C,-96.22607234781822,1
None,65+,51,39.460268494741825,D,61.395190608206065,B,-30.929440101028423,12.846826515505509,B,B,A,-70.54627069166034,0
Yes,51-65,24,-70.02707416268098,E,41.563546408954,D,-32.35421376141601,81.66230985761203,C,C,D,-35.00997447873086,1
No,65+,51,74.28564924914998,D,-72.28850289772875,B,159.6971476631645,-121.59431017113764,C,D,D,-74.55835184116472,0
No,26-35,59,123.63790509409789,A,130.8967034643438,D,60.62268609687429,-136.86147253880617,B,B,A,-13.983720768227315,1
Yes,51-65,39,24.427827999456575,B,-87.63464518632277,E,-84.03320419108746,56.664041015628555,E,B,D,3.6684431973546427,1
None,18-25,68,-94.12657627681745,E,-12.41189061500943,D,27.721194884664218,-12.381763078532131,A,E,D,-11.188637515492024,0
Mental,18-25,66,44.88577305641147,C,-191.7310150531168,B,-34.79344004307589,31.452531149742274,D,A,A,-48.42776007838568,0
No,36-50,19,-62.893811658282715,C,-10.401905945062762,C,10.434303960581948,91.06711771813245,B,A,D,-158.61869083767039,1
No,18-25,18,-11.58287307806861,D,-81.59122368251181,C,-104.27725882634091,-35.57612876637166,B,B,B,-7.59935197437658,1
Both,36-50,65,17.470156680979805,D,-2.498972846507871,A,-85.51474660453935,15.798829737673206,C,C,D,-13.15601459991253,0
Mental,36-50,34,216.09303978398034,A,-125.25855049692463,E,10.385490612895417,81.40509258161204,C,C,C,124.50085741367943,1
None,18-25,58,59.942926427008025,A,-17.50356484861339,A,-47.83821017855542,-27.408202222695603,E,B,A,-4.537698618759132,0
Mental,65+,71,0.45408237548287417,E,-59.54443424997754,D,18.427298481923216,8.327086173156582,A,D,D,-20.491274087192394,1
Yes,18-25,43,-217.46159415662638,D,-37.16894174265962,A,146.05842403384602,-156.9996458310011,C,B,A,-88.67878216051625,0
No,65+,27,4.703543367780961,E,-3.629710234618628,D,37.70385057641583,59.91092982960136,D,A,E,-40.945735931516765,0
Physical,51-65,32,84.21887452858553,E,-100.78792104974308,D,-26.590765366901316,24.19267591915167,E,D,E,39.43444652386892,0
Physical,36-50,19,64.41428872639594,C,-150.2182334648645,C,-22.701169595148112,-49.235847325758826,E,B,A,33.67072966813045,0
Both,26-35,29,168.7423483872371,E,-23.686479041643477,D,62.93599412610642,8.076148911955723,E,D,E,5.482619864571111,1
Mental,36-50,21,133.4888457904917,D,-17.506734231111416,C,77.84782099282229,-32.960735236768954,D,B,D,-85.12062398868106,1
Mental,18-25,41,7.005248860058599,B,-78.62251453328268,B,-115.98740234914328,102.18540653543529,B,B,B,54.561671787074786,1
Mental,36-50,58,32.82438895794319,B,-139.88143766485152,E,73.47307885745212,8.085319730450673,A,D,D,-41.78772019088105,1
Both,18-25,53,-69.66292154402389,B,49.52967285743474,B,-40.0012354411557,4.8879141397322,E,B,D,-2.1147245708850266,1
Both,26-35,38,-146.21517247098654,E,-78.20739779289144,B,103.48583374184297,-102.37204073027699,C,A,C,-108.57271804007486,1
Both,51-65,37,42.15022636831154,A,181.63333767987402,E,-3.1441400823996206,142.42748076582953,B,A,E,121.86061601376439,1
Both,51-65,72,35.06252815489959,D,-184.00894063635505,A,-61.350426920687276,-64.60279998866552,E,A,A,12.50592957867952,0
Mental,51-65,65,199.55602608502494,D,-114.53201336790409,E,-6.78396377022127,54.57142281177114,B,C,C,-60.08122840965767,0
Both,36-50,60,-9.672973482984991,C,-41.06583062699235,D,49.72112146943491,-43.51965012660193,D,B,A,-96.13159607538209,1
None,36-50,59,123.2560766762856,A,113.82158966748443,C,-49.05827839204551,-31.035519925163392,E,B,D,170.89494560290026,1
Both,36-50,54,-193.70466301567723,D,-3.14622288065026,A,17.444475182682194,78.72526639755738,D,D,A,20.835869164356573,1
Both,51-65,44,297.11932481067987,D,-10.186828079728826,E,-153.20230414393205,22.237261181551617,C,A,B,-29.577774110350834,0
Yes,36-50,20,-20.666947497888454,A,-94.0184369136348,D,-29.2732770841369,-44.315631241953376,D,C,B,-42.579331575770865,1
No,26-35,71,-163.28121818912388,E,-14.323194111345197,D,168.4409420814715,-148.11517747384903,A,E,B,-84.57772667549149,1
Yes,51-65,43,232.80693216664235,E,-46.58602316506118,C,-111.97267296320162,182.22615058980142,A,B,C,18.73550504344,1
Physical,36-50,54,60.78070087652742,E,-73.25702425468282,D,-86.91506886989659,19.003558891830217,C,B,D,16.19399836039782,1
Physical,18-25,40,-12.057859802470162,A,56.254361543095364,C,43.45971223195658,-109.66758946272554,B,B,A,144.53697453429635,1
Yes,26-35,64,17.686038484326573,B,132.7864811967546,A,131.9761191018832,119.51199062220432,B,B,A,-86.1616950952573,0
Mental,36-50,22,11.09721296283037,D,2.054222764013546,B,-126.40624929975472,0.9690718814658679,B,A,B,33.12519267639386,1
Both,36-50,33,65.88555390763283,D,-33.46160784092245,A,-112.09495619244747,-5.77075947611869,C,B,C,41.44731287674968,0
Physical,36-50,52,27.400517229084354,C,60.39226221161543,C,125.61003152492142,-5.909597341472366,E,C,C,-149.86640828648282,0
No,65+,48,-10.625344834745217,D,226.62155012632894,B,-125.54837249113697,1.8473389098243582,B,C,C,80.42631996978635,0
Both,26-35,34,24.85313580764199,B,21.96451445953817,D,19.74052251220441,1.7375420533583925,A,D,B,-46.01867271546531,1
No,65+,50,15.064217162091936,C,-45.730496288738046,C,-68.95676996471687,68.84088782053702,B,E,C,235.91670019647907,1
None,26-35,30,233.7551480209481,E,73.46584448028865,E,-13.563567490565925,21.959195609059186,B,E,C,-114.23583700386027,1
Yes,51-65,29,-72.37022215811002,D,-101.92728600150609,D,36.10488174735021,26.388246615106105,C,C,C,72.05202867747349,0
Yes,18-25,60,116.78330808699795,E,-267.3960725360578,A,-131.78414859352583,31.538783974826064,A,E,B,69.22157144179191,1
Physical,18-25,55,17.994562612264122,B,-318.1878272736044,D,193.6097248638305,-98.14365969314339,D,E,D,-63.25864154825217,0
Yes,65+,52,-36.248937259193866,D,160.0167035753748,C,-94.31108721795941,49.88392625995006,A,C,D,-83.76041124452563,0
None,18-25,24,-29.492143870011724,C,142.55165170344995,B,219.7356775466232,8.464553426162936,D,B,E,15.987594897795143,1
None,36-50,31,65.87627980774474,A,-251.06600395175298,D,18.138121716449657,268.095769543429,D,D,C,67.85835640305108,0
Yes,51-65,60,-8.125588751301969,D,-11.954094280824885,C,-34.37212578981379,114.17793135657797,D,C,E,-10.573378580455289,1
No,26-35,47,-30.522903436485706,B,63.56260648449952,A,-17.94094722946059,111.5386750062408,B,D,A,154.8392102814798,0
Physical,36-50,18,4.318529592704447,A,84.32881544947814,B,-121.55352719437357,139.13619521246247,B,D,A,-75.41903907401223,0
Physical,18-25,26,-148.0672995574845,E,-69.76261828239124,D,8.899745204185987,229.33904258067983,A,A,D,47.6980971674484,0
No,26-35,64,-48.19490936911306,E,-147.4471509689168,B,-182.74889520294028,-38.99612776151724,E,C,B,-87.1964808150644,0
No,26-35,58,-135.2798753354988,A,-89.57439728593504,E,-83.99805421059504,23.897300021740225,B,B,E,109.82526153023571,1
None,65+,52,189.84927758945614,B,22.22440399859418,E,-75.22429962994617,-25.99417454405179,B,E,A,51.2370480800406,1
No,36-50,69,-19.157566122976995,E,129.46989930781535,B,-133.04796944465278,-38.35852574128666,E,B,A,8.228222374897582,1
Both,51-65,47,-172.03212458176054,C,127.74291917936118,A,-63.778393202609884,-124.22139080395098,C,B,A,3.4023944606370717,0
Mental,51-65,59,-139.53201087344306,B,99.84381290324998,D,39.00996577953759,94.47767281238103,C,B,C,82.11035657033848,0
No,36-50,77,-2.5111891241721285,D,-35.977396871092964,E,-83.90131261965928,-123.15657216185225,E,A,B,35.89753642961285,1
None,26-35,46,53.265143508288574,C,12.000817658463184,E,-1.1262522882322026,-91.56657294709977,D,E,C,-2.4116587458617817,1
Physical,18-25,35,-94.65126053572402,C,89.83807051066101,E,-104.31713735851443,-31.074715941405174,C,D,E,-62.31745563267809,0
Mental,36-50,19,187.31192856765537,D,-124.58689218584038,B,-176.8298436191373,-60.602914694245335,D,A,B,1.0830897816365443,0
Mental,65+,55,-6.5953406190762145,D,-4.876728683995641,D,-33.36106469398213,59.106146948422136,E,A,D,50.03215927291498,1
Both,18-25,46,-61.358837952573595,B,-68.28062302168208,C,-0.12447558813677322,-15.23410441857366,A,D,D,100.54262853964092,1
Yes,36-50,64,-22.30729773786236,A,-9.520929572731124,B,-183.6290469539196,-88.80304102489002,B,E,A,-117.58018539428363,1
Yes,65+,54,-35.90646901615214,E,-119.03536135553725,C,-92.11387617302499,-13.472936007392336,B,A,D,107.73859275369406,0
Yes,65+,43,41.229470745758064,E,94.21620330580461,E,92.01197444358556,-104.20262837882181,B,E,E,63.717532413035684,0
None,26-35,56,-30.22865340003366,D,207.89669135649237,A,81.98298011757186,-122.01579400878475,D,A,D,38.86742664697343,0
Yes,65+,52,73.63695464875755,D,8.096518611683857,A,42.15570354155451,88.89489670914493,A,C,C,28.58084088019492,0
No,51-65,49,-14.502728837047407,D,-21.89141773655579,B,20.791944109310755,-9.826928638649827,D,B,C,133.14884553919745,0
None,51-65,59,-114.06644549825506,E,-191.65730644675546,C,-224.4733996695659,-21.45274796703686,E,C,C,162.20377822410344,1
Mental,51-65,38,-51.00539943043889,B,125.47441322032815,D,-192.0684212889582,72.16862393855797,D,A,E,-127.27026950504698,1
Physical,26-35,74,98.02806719022166,D,-27.413875724622038,D,-7.547420788004873,35.180062394076366,D,C,C,55.03750532408288,0
Both,18-25,58,-5.976845262742272,B,68.66162751895475,A,-89.03061577914481,-4.311728708134221,B,D,E,-77.71943812284597,0
Both,26-35,59,-266.4385107671548,B,-58.613504029150434,E,-54.96725753602259,19.437777913571274,D,C,C,38.025955623330546,1
None,51-65,66,-4.409578093110173,B,98.00276054917666,D,62.358764498732874,-154.35801291792217,B,A,B,-154.0752208438738,0
Yes,51-65,60,132.78263365882955,D,-47.50541458111537,A,-16.55069813905236,159.43000459654314,D,A,B,182.4685658148708,0
Physical,36-50,33,-166.12824169303175,B,118.25888226790894,B,-151.77177042833173,-280.0649407607461,C,B,E,22.425046974298603,1
Mental,18-25,55,140.63842556021203,E,160.3176663043621,C,9.619046589606247,-95.81342140806515,D,A,A,231.8228710369673,1
Mental,18-25,65,-11.597663840712322,A,11.68673483491227,A,-151.09668326619112,67.28689695120855,C,B,C,-60.48173370016223,1
Yes,26-35,46,52.583349156085966,C,-50.19769860256166,D,10.616327605462581,277.3144642082018,C,C,C,61.922366645144336,0
Yes,26-35,51,-244.4590921761628,D,-92.21860677839095,E,-67.41424775853206,-69.80587077589944,A,E,D,62.735850553655496,1
None,18-25,26,158.57964094045897,B,60.43808505438798,C,-60.683814163668146,182.60181427549196,E,C,C,-97.7361524291161,1
Physical,18-25,29,-51.57228486183217,C,113.41336463295666,D,90.45222923109237,-40.10438132938954,D,C,D,-40.15685741282614,0
None,65+,37,133.3238188606581,C,-67.22472711617861,B,43.73596802260672,-6.134545508373411,B,E,B,-111.87596094718847,1
Physical,36-50,29,116.7004002497184,B,-189.3125976697407,D,54.91273266294158,-95.75094376347563,E,C,A,132.7327677949289,1
Yes,51-65,71,-85.79848457404904,B,-88.7551659568393,D,-150.40065323145407,21.83737413585495,A,E,A,38.10769593970715,0
Mental,65+,52,-122.0138131466433,E,-114.98249777437832,B,120.3134190293622,-120.16484388745134,E,C,C,50.93954229479566,0
Yes,65+,66,-40.13797579038027,B,38.23703286885482,B,-12.78242205192059,160.7362845539259,E,E,B,159.8026985093367,0
Mental,51-65,31,-138.59401504458665,A,89.51766003245292,A,119.36870563558544,-6.892457396852661,D,D,E,1.4511891790002178,0
No,26-35,70,-135.58357951716155,B,-218.9973589289556,B,-15.901420326727639,69.60762615593603,A,E,C,-2.065478298704142,1
None,51-65,39,-57.71283857856251,B,-52.1265050762045,C,42.875568428026625,-51.9484407270811,C,E,C,-91.33239261739938,0
No,51-65,75,63.277549648183154,D,-67.30294925145765,C,23.00543265818108,-99.95251435658649,A,C,C,81.96350397363157,1
Physical,26-35,66,6.201579476619186,A,-36.247591053367806,D,-155.14079505445062,-42.087566425248845,E,A,E,-17.983717772935943,1
Mental,65+,56,56.91865489532516,D,-1.0622886775985254,D,-119.56681143342638,1.5890871431393068,C,E,C,45.233218384761294,1
Both,18-25,58,-195.0893583969477,E,-97.31840038462951,B,-65.15070087801304,132.776766656347,A,D,E,-30.22969275829584,1
Physical,26-35,63,50.08050450279088,D,188.95748881827515,A,64.25836927924846,63.13814230932957,E,C,E,221.75328319428274,0
Both,65+,52,-95.2701668336362,C,25.039518892872998,B,97.23402734803192,-105.17977571156545,E,D,C,-106.64822112259036,1
Both,36-50,56,29.05362077535385,E,-80.69660604686035,A,62.83064481935756,-127.84550127052978,B,A,B,-74.3916577793116,1
Yes,36-50,49,211.19022333619256,A,-92.48119049353986,C,76.8147120566089,0.8442700811979691,A,A,D,-49.73948159883027,1
None,26-35,69,103.97575691554937,B,95.45843452639915,D,84.08504255840126,76.9215675221131,A,C,E,20.918630227038683,0
None,51-65,65,29.42467547410032,A,52.06378651479597,B,30.408715087972464,-60.34711764528207,E,C,C,-95.23225112264207,0
Mental,26-35,36,-28.789388317794522,C,-173.99338098210183,C,-81.15002170287713,122.35367251469343,D,E,E,-77.6917613370305,0
None,65+,44,-69.27020365464946,A,3.554141092788728,E,-107.32669000825585,1.7216075423148853,B,C,C,-46.46347234315793,0
None,36-50,41,34.66421373201185,D,-6.494273915634041,E,-1.368822980754525,-45.66671502331815,D,A,D,4.51651442853486,0
Physical,51-65,47,-58.65037031679595,C,130.3726616592417,B,131.09732219440562,-80.71196862116916,C,D,B,208.97756789912057,0
Yes,18-25,25,110.40711230575432,B,-20.835031262750473,C,32.03273517246356,19.411679041096562,C,E,B,-72.13899864553295,0
No,26-35,52,184.8903014842621,B,-194.85738685858448,C,-8.946619721158346,35.502413930042046,E,A,B,52.40866651579703,0
No,26-35,49,-106.8200969639077,E,-17.667935713689786,B,-24.240187241625968,2.5974254285152147,A,D,C,36.73556384535183,1
None,65+,20,-212.4862162943578,D,-94.79151770546379,D,-76.34225686598151,220.98557913641957,D,E,B,-24.17302276383823,0
Yes,36-50,18,48.4756194954378,E,145.9645231764281,A,115.86532142759359,15.162083950546524,E,A,D,-16.000208486638222,0
Mental,36-50,30,-46.469835513624965,D,-69.58194421260323,D,77.94235904877465,58.07091335190172,A,C,D,-117.29149662406309,0
None,26-35,34,179.43939476419425,B,-21.805651373275005,B,8.213388669958434,-63.03102973848198,D,D,B,-103.61475206668584,0
None,36-50,36,3.2039158251288398,B,-55.60209620828157,B,-157.49134803418724,168.89883678082325,B,E,A,-27.915729457730315,1
Mental,65+,48,225.9256396203972,B,-108.68128351090887,B,10.047814215614851,3.9883414651237,E,D,B,-205.85426367488844,1
Mental,36-50,49,75.7039889150248,E,18.92703584956564,B,58.12135492001135,-70.99366637697598,E,E,D,-85.01311630463816,1
Physical,65+,60,67.87060313022056,A,164.9940973266435,B,114.42811885089743,-114.93163243019045,A,A,B,44.470569115858396,1
No,18-25,63,49.96822958694509,A,-28.259365372336763,A,62.51765911492908,2.4307880214617588,D,C,B,-77.93662838076962,1
Mental,26-35,54,118.39459678047888,E,50.56960011901885,C,167.80807788820346,-138.20483267074272,E,C,E,-146.47249726539354,0
Physical,36-50,78,-40.489650140543596,D,64.3274680346964,E,18.722568308847066,145.07283183073335,A,A,C,101.73359401682902,1
Yes,36-50,37,149.68507816230596,A,126.75617035184779,C,0.7691871971235607,-255.59065620515975,A,E,A,54.31250709138071,1
Physical,26-35,36,72.63026473342529,D,-25.657623803734996,D,38.067486567006604,95.5353679514732,A,A,C,67.53052892971189,0
Physical,18-25,68,-109.37032965526356,D,-108.8365101092073,E,79.16103092655837,-67.06002504238371,D,B,C,-159.03932805686304,0
None,65+,54,-40.221446627017485,C,21.56802513471248,B,-15.05823324341441,-144.25455731950785,A,D,A,100.86495809895806,1
Physical,36-50,36,-98.71220383919214,D,104.91832685027956,A,-44.95311570855861,167.94609208594082,D,B,A,68.06220474336716,0
Yes,18-25,31,34.84510132532319,D,-9.915425512537391,D,39.7311749318982,12.27189947800307,C,C,C,-2.0402795178511295,0
Both,18-25,61,-185.2829355021779,D,38.37087850148735,B,-15.151192212441925,-97.89103398138899,C,D,E,67.45660069044486,0
No,26-35,18,180.4562460704336,E,45.591474846292755,A,-80.88428422965193,-21.79392757669646,C,B,B,-39.71225439147521,0
Physical,26-35,64,-76.2492934708293,A,24.902120856730058,E,-0.7143229667899924,-2.7132581990916647,E,E,B,47.19254103566758,0
No,65+,67,-74.45718735353198,C,-81.33877990686696,C,-53.479691138163844,-40.48675487054076,B,E,C,103.79532924386557,1
Both,18-25,40,124.32306997301139,C,-13.98346725595896,A,-57.960130186695636,16.261841985997304,D,A,D,-88.21784258891296,0
None,65+,41,4.71919817485237,A,-211.68624360929417,A,-4.802820020830249,-9.724276918315141,C,C,E,-8.499448176522739,0
Mental,36-50,33,129.58885426534238,E,-29.555084591611553,D,85.90888516317479,71.61146158479086,B,D,C,24.3388805012802,1
None,65+,52,132.79828743481988,C,-99.06922776106201,A,58.05789481027202,-6.722580605934206,D,D,E,54.85780399344866,0
Yes,65+,70,28.910600208621474,B,-145.49761694294722,E,94.45646584182158,-117.44673499829179,B,E,A,-47.22398239728044,0
Physical,36-50,64,-256.5182386270797,C,-45.269994806349565,D,-37.206978814668346,-181.69228889599808,D,B,E,-11.282238594729284,0
None,36-50,29,-55.743512151897775,D,-54.409251433884606,A,-100.39938980159152,53.78004285267093,A,A,C,-64.28033439387218,1
No,65+,32,-2.7798764889704577,A,87.5180685279163,A,110.0129194425014,-66.7340216724126,C,C,E,217.59777119824807,0
Yes,18-25,70,189.93996288139402,E,-97.41118436976355,A,47.035946211257574,39.29395824022567,B,B,A,-173.80984132684299,0
None,51-65,77,35.558329646994075,D,-121.86442382038732,B,-5.642323336457372,56.039373596204534,E,A,E,50.168995444302965,1
None,51-65,25,-134.90455834396252,D,-25.710511661572006,C,-144.02057403990884,108.32718024351497,C,E,D,-29.990807090421235,1
Both,51-65,22,26.10641730897594,D,19.717855849739845,D,76.64961485991802,-69.4167141693274,C,C,B,232.53956809026056,0
None,65+,32,43.16318455629231,C,-96.54453226973489,D,118.14702405961688,-112.67904992600796,A,C,C,-131.24762992515028,0
Physical,36-50,30,2.075906536281847,A,-20.688886642239975,E,-47.59136969312243,-0.06388217103108404,E,C,C,-57.604185032349385,1
None,51-65,28,-30.08104067721604,B,-86.6608309747023,C,113.34403812308085,37.379749379334505,D,C,E,-69.88913922582452,0
No,36-50,65,-57.49223027420233,A,156.97428450172362,C,-88.25644296612448,-81.38488413384364,D,D,E,-107.96299102994328,0
Yes,65+,41,-59.760496129547015,D,-56.40738299207438,D,63.10798004075689,-42.051830521884185,B,E,C,-133.95649186962802,1
Yes,36-50,65,20.944558506493074,A,-81.9959092836551,C,-47.791280691946874,-11.656093006312283,A,E,D,48.58532681411823,1
None,51-65,61,52.79955795083849,C,-179.75312048067622,B,-202.2778208719857,114.88618446000108,B,A,B,-93.76787366120645,0
Physical,51-65,78,-7.013032904593386,B,53.79484943257229,E,33.788250657991,71.72883772726817,D,B,E,21.955457381629095,0
Both,51-65,57,-21.447466520611457,A,-58.273550961833365,B,-171.09318357506538,-4.140458720939804,D,E,B,-95.27859933436802,1
No,26-35,30,4.261591226493208,D,-282.4355014189226,A,-73.87647941139865,-84.87204131682418,C,C,E,-80.79761975379613,1
None,18-25,38,-86.36414372207516,B,128.54896651291168,C,-45.52760614447662,-84.45501800304223,D,C,D,66.0578225881126,0
Physical,51-65,63,-64.15924421444423,A,23.597596004986027,E,-102.02908239615331,-26.844180943768812,B,A,D,-95.90439831894358,1
Physical,51-65,27,-61.60355447763214,A,-39.630536892327775,A,83.9137263957668,-185.49952993679867,C,D,A,2.800836510983456,1
Yes,36-50,40,-77.54989652215181,B,-36.264425136567,D,-115.20329773083009,254.72449329876835,B,C,C,-93.25313717039964,0
Yes,51-65,50,-32.77208854700445,A,-82.24387975785291,C,-43.695458024468266,-144.2685429058273,C,C,A,-130.56848101583955,0
No,51-65,33,-218.3680431909067,A,-14.435314061610931,E,-14.816368986650271,227.90936942477455,B,D,C,-318.5313291928193,0
Yes,18-25,37,-105.94289370212124,B,114.56616494603476,D,20.607727998044012,-96.70437103648177,E,B,D,0.18469973738753528,1
Mental,18-25,45,7.498312927242804,A,-12.264122508192072,D,77.44528705713172,-270.49352436424357,B,A,D,137.8318103793155,1
None,18-25,34,65.34263447818664,E,-148.47842359796238,E,-21.111660420879176,-74.24859138992018,B,E,C,-88.66357015952676,0
No,65+,70,-46.960724054923595,A,17.65506655606642,D,107.5735943845063,13.167138543002293,B,C,A,-77.56233789708618,1
None,26-35,76,96.07132081350296,C,-15.653670105024894,A,3.3180240936714456,106.43014695333552,D,B,D,-68.11925186673766,1
Physical,65+,31,-163.63911943023416,D,-72.30667812463219,A,-81.86057103305782,-230.92249472319097,B,D,D,-75.64087080640502,0
Both,26-35,51,-204.52199729618746,C,-131.96871779076406,A,-134.5618783141712,-12.263545597363663,A,D,C,54.98557836736614,1
No,51-65,43,-15.982415951741977,E,99.50056570012659,C,-76.64311137023134,-63.68526660179128,B,C,E,-51.862073561207566,1
Physical,51-65,44,99.81988464455812,A,-47.23722598511365,B,-169.63705876020913,109.20556943339594,A,C,D,-1.0266542904197657,1
No,51-65,47,139.76975717614272,C,-53.71363981430747,B,-43.299952218939595,68.5873256403904,E,D,E,-39.9226999140318,0
Physical,18-25,26,39.035641522588776,E,25.512915056704227,B,-3.3724555550855206,67.3753854567131,C,C,E,-22.084762827260356,0
Physical,65+,20,-34.77734771904494,B,171.93777860757973,C,111.90531502841708,-47.49942169678308,D,E,C,-50.79449470916868,1
No,18-25,75,-108.4996449321736,C,-38.51560557910491,A,72.90423039406058,-18.566369588736546,D,B,E,109.71201568415285,0
Yes,51-65,46,75.78662180139999,B,-182.02540739704702,E,56.968511815713796,62.725781299748164,A,D,A,160.68031077890925,1
Physical,26-35,49,133.66904044659276,C,145.19537169601904,D,-154.18065594333967,102.29659968988155,B,E,D,162.18583438417738,1
Physical,51-65,66,158.3365677616958,A,-22.569405168239502,B,92.46587325237408,65.04796980355776,A,A,A,62.25322401097013,1
Yes,18-25,21,-38.96611766104025,A,69.22429813371913,B,13.326318277607502,-195.76182861631634,D,A,A,89.0595756998875,1
Both,51-65,74,-14.045714947123681,E,107.97254336861795,E,-248.8968094017912,30.26436165628147,B,E,D,-51.34495664424692,0
Physical,65+,48,-0.10407924411908276,B,115.44687587055932,E,-31.435881410542216,-204.19166949715725,D,C,C,-95.43335231117794,1
No,26-35,74,-45.68456255611345,D,67.48630764268431,C,-81.18508663433576,97.52686645837272,B,D,E,-139.06631853806698,1
Mental,65+,22,-159.12858304320613,D,152.8180651153368,B,194.3477387778419,44.30831299950809,A,B,E,-204.18191503523295,1
None,26-35,45,14.384536587609734,C,111.77822076908845,A,224.93664741412215,-23.800826352768382,A,D,C,-84.25644669345316,0
None,18-25,62,25.024630218365466,C,2.5432643385554834,E,-87.02340562721588,-1.6456526064706096,E,A,D,-40.867436775676275,0
No,18-25,57,71.99847597325933,E,-56.97728432562911,D,74.01016969519402,118.71719494761305,B,C,D,-32.26818783588815,1
Yes,51-65,51,-25.686048243354882,D,-78.62246742009418,A,-87.84382479775454,-176.01915140054427,E,C,B,95.74856146466419,1
No,26-35,28,-31.549332996250307,D,33.69103561811378,C,50.65053920346488,188.19658535719873,E,C,D,-95.3570595789172,0
Both,65+,74,-6.383044756670099,C,155.8498747171655,E,112.58148470709115,62.90061744602971,D,C,B,-25.240308819503106,1
Yes,65+,25,9.451837885080206,D,75.3114651303478,A,5.015147203139778,-35.601376595049075,A,A,D,128.01039062278298,0
Mental,26-35,27,124.48867825252592,B,-86.68457996615925,B,-47.79598683616424,-55.67146080120027,A,C,D,10.915108074992048,0
Mental,26-35,63,37.32911694425742,B,-165.04078478452178,A,-70.78236385018573,83.14685082378884,A,A,C,82.42454698007441,0
Mental,26-35,45,-161.79658310534313,E,99.42187070173082,A,-36.655225596049604,18.03428390646202,D,B,B,24.855207221315442,1
Yes,26-35,22,-52.639044263219695,D,-38.778948435632216,E,61.0211073725367,-91.34507641046046,B,B,C,99.92294088708525,0
None,18-25,78,104.29759685655253,D,-96.54235023217038,D,131.48901214747778,-145.62392345826538,E,B,C,-33.234804179717585,1
Yes,65+,45,142.44104159679716,A,105.1373947591914,C,-18.40057215262298,-8.431612917248522,C,C,E,33.54858938516393,0
