veteran,Age,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,target
Yes,58,Black,27.318929151930142,101.43419943158445,-42.545409626099456,-114.39538907336386,-191.34326922542755,1
Non-Veteran,64,Other,-22.83379255220344,-59.3867459654455,-31.21019716455408,-111.39112336960373,-119.5617060447272,1
Non-Veteran,39,Asian,45.06407486215584,-44.767414684650895,89.76618253017661,13.090773009451725,-91.63707700221873,0
Non-Veteran,58,Other,-77.05218623204271,-51.29888803615905,-112.71045467056196,-132.46565406025533,25.9118891950252,0
Veteran,36,African American,-54.73596835623628,-26.90345832188637,-130.5311901304685,32.102051701879866,108.44126087387345,0
Yes,31,African American,-15.505702344989253,69.35427677747259,-94.05847816823116,36.61873511002057,44.07301659791073,1
No,77,Asian,49.66207152522243,110.6166379473581,35.0602465577499,117.18492133981364,70.98947582400595,0
Non-Veteran,39,White,-117.65434015668355,-50.28234459307538,-60.400276047338174,39.05556075309175,82.53377307061184,0
Non-Veteran,56,Asian,136.84433915159747,-88.4093039694553,81.41319807459703,-20.72500468830451,-69.4879609763943,1
Yes,22,Black,-162.9007191679644,32.45226068594435,33.293129748952964,-15.25057875920747,39.17017025085243,1
Non-Veteran,25,Black,-157.14949681213756,-39.42210833951798,-67.59669400128152,-41.34833989072242,43.65615317708473,1
Yes,60,African American,204.5045662971536,93.6549509390841,-199.2644324918154,-116.90741770341224,-20.95157929695769,1
Veteran,56,African American,112.30495377615487,11.780310793133369,-12.209195225619561,-19.619953268295102,-93.57004154201795,0
Veteran,19,Black,78.06200524206999,15.699468187359969,42.53753776138957,1.19583219834612,53.00784593314258,0
No,49,Asian,5.099666158888923,-72.36974433940647,-82.21559532029838,3.9594289634537088,58.72568209838902,1
Veteran,37,White,21.317443993412258,-136.23015512667214,54.27543075378002,-21.66087854094215,6.658948349902026,0
Veteran,62,Other,1.2550537077203145,-8.15782373204853,-127.19664247665052,-5.84882564715982,61.074150726867614,0
Veteran,45,Asian,-42.78011457100736,181.14737729172293,22.840177106258764,25.926974947571,49.76969261774467,0
Veteran,22,Asian,126.8960585504144,12.887172906850635,-68.51860016865633,112.57621458776512,5.657024806041447,1
Non-Veteran,18,Asian,82.52283655156995,-106.89135066631988,-158.34988194871505,-38.50892407455856,121.17166176815104,0
Yes,32,Asian,17.729200704663715,-196.16530685973115,90.80874686648431,60.60583775218934,15.13445889372362,1
Yes,30,Asian,-52.83936347077722,74.5819007256905,154.78296706334987,-208.5822077695371,127.78476885950654,0
Non-Veteran,64,Hispanic,43.60897622817498,124.69808420614295,90.85688534803225,-139.70213892529867,-16.381919509287915,1
Non-Veteran,50,Black,-13.244292049057785,167.7490992076747,-101.9817070056744,-85.87072478102763,-10.309182320783448,0
Yes,37,African American,43.10437319173386,49.998635342530136,-287.15662667923266,-86.20849287582048,44.425000648720456,0
Veteran,28,Asian,-176.97148908052037,-101.58553027559319,-80.89986170295805,74.08332927663415,-102.1133332525161,1
No,67,Asian,50.27978747454348,-0.8641418739402629,-58.969837694465554,-176.74785356477767,-71.07079608410189,0
Yes,19,White,42.153746640383375,-109.03637606332754,-131.13055736553244,-139.38639032599556,127.51262091124202,1
No,72,African American,69.79213969999465,-99.28503019415938,-111.99949743084134,164.73140820936987,-74.00086739971547,1
Non-Veteran,71,Asian,28.84446697561583,114.828251393935,40.93981659885998,-45.01800114620338,91.87026039007797,1
Non-Veteran,42,Hispanic,-77.78555112290638,-125.190461549801,-56.191928948901705,1.924676115088523,-69.84831561271365,0
Veteran,71,African American,154.97240768125914,-159.50725770696553,23.41288834634049,-55.22200234348068,-48.22311819719802,0
Non-Veteran,27,African American,56.04115627045923,-39.95040255265612,18.654655555842652,-14.091783374999212,-48.38804817134303,0
Yes,42,Black,93.21606993379709,-10.080483401097181,124.10306961676633,-123.78969396744085,-32.98499059750904,0
No,38,Hispanic,-150.70733991092436,71.17355813359481,90.96119175882845,-39.00464804016004,-37.977506780132146,0
Yes,50,Black,80.79279980819646,-93.13623287501545,-93.9683535405933,-119.74156454973519,-65.36266882130136,0
Yes,41,Other,-30.139837497723303,-28.56783933271853,-129.49462007740897,166.51584569838437,-24.25950957668101,1
Non-Veteran,21,Black,-2.6071583219578,-171.7232768722385,-59.65479836912305,87.56479219532248,9.345141202693782,1
No,32,Other,-43.92788304118056,115.22070344669622,89.2079767288005,-15.130788576377496,9.527871023388215,0
Non-Veteran,39,White,-140.3791895467651,4.150122126240887,-65.21090930191026,149.60745585384126,31.656443810252227,1
Non-Veteran,57,Black,-47.868683257240534,32.40966971875141,-55.52887947574157,119.40899585542692,3.0171533222662927,0
Non-Veteran,22,African American,-19.38207040823479,45.183346245796876,34.6682814449132,-10.738225875222835,-69.110779167408,0
Non-Veteran,61,Other,-99.02011090597365,-20.78181842874075,-191.85547555162276,-42.54622922271855,229.14422905636417,1
Veteran,73,Black,-84.43088632316166,-239.10619409178832,-45.4963430927944,42.10750673004712,-10.815596390066377,1
No,63,Black,-3.264011024599599,40.02805997082094,-31.09482638595409,-58.98176137237813,-91.98729440263776,1
Yes,52,Asian,25.659360832725987,-33.50131689242854,-180.1623215773526,65.67875362219095,-12.33897722943354,1
Yes,37,Asian,22.825892181718512,87.78784190153667,-2.587363518686726,8.525662102346773,49.38677367310844,1
Veteran,19,White,-114.00487509211565,57.75684310811662,18.43057688455234,-306.4175569676352,-134.33426174550118,1
