Gender,age,sexuality,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-binary,20,Homosexual,Mental,47.539323870202935,E,-22.30972321415574,6.80163347823419,D,-43.649016804352804,B,D,E,E,54.6519465111323,31.35755267910783,A,1
Male,49,Heterosexual,Both,82.99911826168132,B,-81.51238742606928,114.03343709829502,E,-240.20905007310523,C,C,E,B,-111.27508189737985,-24.911925714727147,B,0
Male,42,Heterosexual,Both,-61.34850945932953,E,-272.97674475648523,20.127418142647556,E,31.56841220887593,B,E,D,E,187.53413349104665,-75.03969214124618,A,0
Female,71,Other,Yes,-58.824707390714735,B,89.95820399325626,-54.564120031805544,D,37.930741806014176,B,D,A,D,-74.05452252010562,124.62928049256254,A,0
Other,26,Bisexual,Both,-53.918648072786354,C,-17.065383643932208,-50.76434762443972,A,94.01037055145976,A,A,D,E,20.021322298663932,-4.086278884294594,A,0
Non-binary,46,Other,Mental,216.0171488794672,E,19.828372400448167,-102.7897329916899,C,81.95068919676135,A,E,C,C,174.09920743673274,-119.5126598277349,B,1
Female,71,Bisexual,Physical,-224.19343552694656,E,38.10798790565595,25.37999123614837,C,158.82434455314808,A,A,C,B,11.60876886302189,77.62627091065649,C,0
Other,78,Heterosexual,No,155.87480862624741,B,10.18920540413039,-184.22912126542178,A,-17.727744801364828,E,E,A,A,217.2074267284852,54.09658658716654,A,0
Male,29,Homosexual,Physical,28.873907641599107,D,2.913435713356644,7.404420138795251,B,-145.2473619656796,C,D,A,A,111.58045775900207,207.46172771523646,D,1
Female,72,Heterosexual,Both,173.67200334044338,E,20.272371566517236,-24.025270788858048,D,69.43132578002962,C,B,D,C,-247.14040423262827,129.6735780243434,E,0
M,31,Homosexual,Physical,-87.44427241825417,C,180.60369727892817,-24.696088550287193,D,120.67107553061487,B,D,B,E,-114.62727432665199,-59.93092336377922,E,1
Female,64,Bisexual,Yes,5.698491561650415,A,-29.15819691144562,207.06849737157435,A,-54.945502327847365,E,D,C,C,-124.97899366804958,-276.66172678006546,D,0
M,39,Heterosexual,No,-170.69023787504355,D,119.42848828955654,-21.338687790982647,B,-48.63408214527288,B,D,C,C,95.73610609818984,37.939308844689236,D,1
Female,76,Homosexual,Both,-13.782430985528979,B,167.97381432412203,26.836355835937386,A,28.68103776656436,C,C,A,A,-13.3200269514476,181.81469250488644,C,0
Female,37,Homosexual,Mental,142.16694073119973,D,-132.82323588739894,-28.571589093823256,C,161.3984380332738,B,B,E,D,103.95637244113256,172.39429708925385,B,1
Other,62,Homosexual,Both,74.85149225750718,E,-128.2802678129507,44.89626833034465,C,109.95979486561487,D,E,B,C,77.84240606529734,-4.724003234883911,A,1
F,52,Heterosexual,Yes,28.543472655200446,C,62.01363385787547,93.33139564806476,D,5.814784103431963,E,C,E,A,124.25825323640687,-12.125682443388948,E,0
Male,72,Bisexual,No,35.723970597976646,E,14.757003821030438,-151.17106029411724,A,-4.0755592538262055,E,E,E,D,-69.2174702962948,-21.06157512546309,A,0
M,77,Heterosexual,Mental,4.255591571586399,B,-13.131526698742832,-82.91453259469394,A,-85.2103611094562,A,B,B,D,90.35754668613536,-26.42354671940097,B,1
M,18,Other,Yes,-21.81797241314746,D,-47.11461861247209,39.92902284083887,A,-25.533852733701913,E,E,B,E,-36.445148446368684,154.47895552653262,E,1
M,73,Other,Physical,-64.89541092670422,C,-92.11582364491942,3.425480469323283,D,132.58230442924847,B,D,A,D,107.95389111608617,-69.6512272265547,E,0
Male,42,Other,Mental,97.15639360587555,C,43.56540330834375,223.4614748936623,A,-1.4361631579916732,A,B,E,C,-52.87767421806884,-27.10542313673644,A,0
Female,31,Other,Yes,33.43476682101929,E,-85.45180912178306,82.34403568019314,E,-0.29685592397954685,E,A,D,A,133.98627722310033,11.135219946977177,E,1
