anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
26,B,-45.13512896124039,208.03420438665694,E,81.64347962453445,D,D,-62.88617590610895,-127.49543193284323,E,68.61712515126827,-196.08291886870663,C,81.39284109151153,D,B,144.7154703077466,1
83,E,-64.40781851870088,18.003222812673304,B,32.65912878630669,A,C,3.8382975900386778,-136.5953362319355,C,-46.66725355287333,14.365865416015655,B,-25.700364738962524,A,E,154.26564369393182,1
38,D,-58.542778904238226,46.05066442175767,A,-27.620167641571946,A,C,106.75288005586549,53.606500169393215,E,75.60969850014864,-179.64841044721115,A,-113.86793637054309,E,B,117.70836691247905,1
26,A,47.448699606001945,12.657120537570805,A,1.7626539640853363,C,C,60.45746502200481,-71.57895223856862,D,55.690224952435706,-35.02215008779545,E,-173.53270371576235,D,D,-1.7191671740207006,1
24,C,-194.20090480720177,-132.71472649107125,B,-152.23162665239954,A,D,-54.83564471909625,39.74407888310025,A,26.28750207487896,-102.8189501674797,A,-42.92589637192085,A,A,24.51219059321345,0
83,E,-110.11981923986538,114.36046286026425,E,126.42553059573989,D,D,37.29490262520137,-49.283810150000946,C,-123.58886240872842,-61.79053151693187,D,-52.192809981755836,C,E,87.26450521239616,0
34,E,-54.08373238345675,-62.528666045345815,C,-94.87770111551951,A,E,73.97704036275263,56.99082238578572,D,-5.33543856398479,-89.30327855944881,C,-6.274374852751191,C,D,-24.121481166599718,0
38,C,220.9569703967278,-124.94917555761104,D,48.07832452008036,D,C,-101.32975920075921,-41.54200955751276,A,-154.054689293542,121.07946892504953,D,-35.232293503368496,C,D,24.324039705087554,0
73,B,-19.831850574225673,7.320478901227796,A,6.291671721602025,E,A,207.22916704896633,94.54396956893655,C,26.782901130892817,-42.38918893003123,A,154.58729471045797,E,A,64.64221123360812,1
52,A,-11.34166937910229,46.79710769258297,E,44.17645207214641,C,E,-1.674134289253727,61.44996546172086,E,83.60874342755992,-74.17033954488116,D,115.22992795133733,B,E,29.3972432711773,1
61,D,-32.45137660823826,-124.17607857597646,A,-224.21661888161856,C,B,-53.82770549621762,-59.28641058220393,C,-26.39068217733744,-11.947882353535688,A,161.3568099256198,E,A,-59.00382040172892,1
40,B,-22.073090472632693,39.3821916080871,C,68.68243415422579,A,D,3.52117713887418,-34.03388249891253,A,-27.150992496388106,29.352865131605512,C,-236.4317711058816,D,A,6.01176706200172,0
56,D,-279.44052566007576,-75.00732570763694,B,-208.49168813701237,E,B,2.1398319704004685,78.82886618917945,D,171.8760553084817,109.74244660486559,C,-30.558179429491272,A,A,76.6505927303387,0
84,B,101.16252060096109,134.02168326176698,B,-102.28531347608639,A,B,122.46298550701378,-52.25599637358796,C,-62.831196739305085,72.18586181431309,C,71.9354645510869,B,B,-7.052206369807116,0
51,C,-44.67964643140564,30.506910087655527,A,-2.3865622187821636,D,C,-98.56752760456982,-126.91265321401286,B,-79.31877088811923,195.7291297984396,C,271.9148668462238,E,A,-4.841460365179533,1
99,A,43.416583244915216,26.79047534598779,D,22.40326430623647,E,A,-146.22801235133787,-40.21535855449914,C,87.17526645314348,112.64525809143989,A,204.5843198938264,B,B,-33.599303583594924,0
49,D,-109.49098071875784,-155.7872476325749,B,77.46699678683146,B,A,114.14443837367405,-54.65200850615643,A,-2.223914651820513,29.38093153371135,D,-57.731880839951664,B,A,-85.59710444089072,0
52,D,68.78872754043665,35.35067332206686,E,-311.741458092565,D,A,-10.588396609335101,-40.35252468175697,E,-136.84602264940693,41.96281089241886,C,-138.87143629519764,C,E,69.03173549395547,1
25,D,94.75635980479608,193.72438621767887,E,-87.5477284322529,A,C,65.32353693879372,10.418356061113904,C,75.7215414539504,100.42632247534597,A,146.2871926984531,B,D,146.0337657964176,1
65,E,-20.131269170892306,-17.358815429952056,E,-7.5679036730218225,B,A,-154.24313686817072,-205.3982123448061,D,-155.51939351860403,63.182786996643514,D,-8.260190963483618,B,A,-41.51306432256861,1
23,C,76.08295683774477,44.508680355088295,C,21.968601063262703,D,D,1.1743748823845734,-182.1343152204813,B,-95.5755620503837,-201.68363759508847,D,136.6168808412145,D,D,-8.990513503976938,0
56,E,96.60409394967877,-95.00667616501832,C,-66.16775313250501,D,A,65.15858592337189,-0.03447713731241105,C,-22.648062109262398,112.3517682037304,E,-15.152155472172593,E,A,-157.658016775573,0
32,A,-14.515232280030935,-159.1274495077638,C,-300.0235179047794,D,C,-144.40828570458632,-149.16464834615417,C,104.59034549047269,-37.99087381511498,D,51.29545076277688,C,D,58.26766407832405,1
65,B,-79.88378371120308,-14.79615140582401,E,-133.79551543843837,C,C,-119.26869789144607,-143.83959091529047,D,-103.97225907318068,124.93167617233394,B,-55.032144394245485,E,A,173.8114669797022,1
64,E,-84.66382716744413,31.735580949693908,E,195.56937979198824,A,B,-101.67172685730199,18.55182628458484,D,227.98317084913663,-68.7562182241555,E,106.18255411579278,A,D,-9.81028918502701,0
25,D,-90.35529939111818,-190.60962388138967,B,6.985881821481967,E,D,-41.60554805200989,21.578896878744,C,-5.159964541384922,112.00054081868458,C,12.810428000069987,C,A,91.92227576804399,0
