married,feature_0,feature_1,feature_2,feature_3,feature_4,target
Widowed,C,C,E,C,-125.73017199018483,1
Widowed,A,B,A,D,-174.15634970936964,1
Married,C,E,E,B,55.900128074176756,0
Married,C,E,B,B,-85.34803301140414,1
Divorced,D,C,A,C,9.736695034209992,0
Single,C,C,E,C,-143.34034040524745,0
Single,C,E,A,B,-56.127657972058756,1
Married,D,C,B,E,-1.7343982435297292,0
Divorced,B,C,D,B,70.15011132576473,0
Single,C,C,D,B,-102.94049059310679,0
Single,D,E,E,C,84.33336093019084,1
Widowed,A,D,C,B,-46.43595343544688,0
Widowed,C,A,D,C,-2.0345903257287015,0
Married,A,D,E,B,-269.7570239328357,1
Widowed,E,B,A,C,-52.61032084348021,1
Married,A,B,D,A,-0.40810162648846504,0
Divorced,D,D,C,A,150.20711269031776,0
Divorced,D,B,A,D,-18.12931542434453,1
Divorced,D,B,E,B,41.952591746390574,1
Married,A,B,C,E,165.86635425429762,1
Divorced,C,A,C,E,16.014434912169243,1
Married,D,D,A,E,6.8289419482788,1
Widowed,A,A,A,D,111.61174191192296,1
Married,D,C,C,B,-114.22749701842281,1
Married,D,A,D,E,21.94487520799205,1
Single,D,C,C,E,208.88183413378903,0
Divorced,B,A,E,C,13.025334012333017,0
Single,D,E,C,B,113.27141215786752,1
Divorced,A,E,C,C,-41.91147105186418,1
Widowed,A,D,D,A,15.830602718828965,0
Widowed,A,B,B,B,-15.174970965632758,0
Married,C,A,B,E,39.27693067438259,0
Married,D,C,D,C,30.2024445553908,1
Divorced,D,B,E,D,-90.97436260079193,1
Married,C,E,E,C,21.070786499354778,1
Divorced,A,C,A,C,-51.17661675175443,0
Married,A,C,E,A,85.90640053801016,0
Divorced,E,B,E,D,36.15916708412355,0
Single,C,D,B,B,-42.99192655545191,1
Married,E,C,A,B,-9.964386990773924,0
Divorced,C,C,C,D,-1.1390871945376613,0
Divorced,E,C,B,C,-12.743995571791977,1
Divorced,B,A,B,B,-37.62022220271305,1
Divorced,E,E,C,E,18.13356766189889,0
Divorced,B,C,B,C,-32.329583285888894,0
Widowed,C,D,A,E,82.472049055115,1
Single,A,E,C,A,73.0170520466197,1
Single,D,B,E,C,160.50037978421824,0
Single,B,A,B,C,-50.49277769577678,0
Divorced,C,E,B,D,208.0983659093413,1
Widowed,D,D,A,E,26.550678306453513,1
Married,B,D,B,B,-165.43122736790363,1
Widowed,E,E,E,E,-73.54474082442947,1
Widowed,C,C,B,D,30.21409987809015,0
Divorced,D,B,E,B,-14.126491754381892,0
Widowed,C,A,C,E,-20.380746476620736,1
Single,C,A,B,E,24.29208364547531,0
Married,A,A,A,A,-159.20158157291448,1
Divorced,C,E,B,A,-10.793846893686359,1
Married,D,A,D,A,-1.0554010582030249,1
Married,A,E,C,A,-19.674368019511405,1
Divorced,D,B,A,B,19.670619508625414,0
Married,D,A,E,B,-167.54558025372828,1
Divorced,A,D,C,A,-65.53035586644641,1
Single,A,A,B,E,-32.69652365892453,0
Married,B,C,A,B,29.394121130340515,1
Married,D,D,D,C,161.47031088987836,0
Single,C,D,E,A,-203.20644546185082,1
Married,A,C,E,C,6.233840161624228,0
Married,A,C,A,A,4.089156021490718,1
Single,D,C,E,A,44.56684007645598,0
Divorced,C,D,A,C,72.8765175384398,1
Single,C,E,C,D,120.40091288423184,1
Single,D,A,E,A,-50.78041249812679,0
Single,A,C,D,C,108.19349178233637,1
Divorced,C,B,E,C,-4.244826095961038,0
Widowed,C,D,E,D,8.265873300043339,0
Married,E,D,B,E,106.79769452449747,0
Married,E,E,D,C,13.938304874677785,0
Divorced,C,A,C,B,111.7134208191648,0
Widowed,A,A,A,D,72.69005954485318,1
Married,C,A,C,C,-15.70853212005664,1
Widowed,A,A,D,D,103.70709160289249,1
Married,E,E,A,A,-63.13283720297116,1
Single,C,A,C,A,-80.61974895025793,0
Divorced,D,E,A,C,153.5694234031636,1
Divorced,A,E,D,D,-104.76205750858283,0
Single,E,B,B,E,-7.005828330666709,1
Married,E,C,E,B,79.78066462315161,0
Divorced,D,C,D,E,-79.5796875068309,1
Divorced,C,A,E,E,-31.947053233601736,1
Widowed,E,C,C,D,-75.59181271976944,1
Married,E,E,D,A,23.55450193341518,0
Single,E,C,C,A,116.64831917849318,0
Single,A,B,D,B,-3.8925000979266717,1
Divorced,D,A,E,B,-48.129305037021666,1
Married,B,A,E,B,19.256879021686665,0
Widowed,B,B,B,A,53.15024191168645,0
Single,C,A,D,A,32.83222956752388,1
Single,D,C,D,A,11.605881897924334,1
Single,A,D,A,A,-55.47016105937864,1
Married,D,A,B,D,33.313864214563,0
Single,D,B,B,B,19.63535911494224,1
Divorced,A,E,C,C,104.72254580316877,0
Divorced,E,E,B,B,100.11056546985621,0
Single,A,B,E,C,-13.27827746865614,0
Divorced,D,B,E,A,119.57298366423178,1
Widowed,E,B,B,C,-83.08626932077135,1
Single,B,A,E,A,76.21232813832187,0
Widowed,D,D,E,D,109.13386471315702,0
Single,A,B,B,A,48.4808265587916,0
Divorced,D,A,E,D,67.19004230625967,0
Widowed,B,D,E,A,21.221411972116012,1
Married,A,B,E,D,7.0757886218350325,1
Divorced,D,C,E,C,-158.29652074836108,1
Single,D,D,C,E,-35.61304566046454,1
Widowed,D,C,B,D,-47.39229154253967,0
Married,C,C,D,A,46.86347540178622,1
Married,A,E,D,D,89.12033867674832,1
Married,E,C,B,A,199.62554507891312,1
Widowed,C,C,B,E,-51.533886862128455,0
Divorced,A,C,B,C,-143.23164072699652,0
Married,E,E,A,A,5.430922905702456,1
Single,D,B,A,E,87.21239335132125,0
Single,D,E,B,D,-110.60978879234489,1
Divorced,E,B,C,D,145.45584942264824,0
Single,E,A,E,B,180.1416236369121,0
Divorced,C,E,B,C,-80.99459307720865,1
Divorced,D,D,C,E,-169.25288097658904,0
Single,D,D,E,D,-117.00441401156658,1
Single,B,E,C,C,-12.445367623842687,1
Divorced,D,A,D,C,8.28862066283214,0
Single,C,E,B,C,-119.71340580684733,0
Widowed,A,C,B,A,-17.261200854105034,0
Divorced,D,B,D,E,-14.698331946297033,1
Divorced,B,E,D,B,53.84721666401213,0
Single,C,D,E,B,-75.93612425996497,0
Married,D,B,D,D,-98.4360201870506,0
Divorced,B,E,E,E,81.40540006021433,0
Married,C,D,B,E,-78.81986421711727,0
Married,D,B,B,D,-50.523650102228935,1
Divorced,B,E,A,A,117.1820679550442,1
Married,A,C,E,D,69.9527859400774,0
Divorced,C,C,A,B,-27.223827187953358,1
Married,D,C,D,C,-46.447331643891395,1
Married,A,C,A,D,-179.63571031928907,0
Widowed,D,A,C,D,-29.428883862855805,0
Divorced,D,C,C,B,99.00868411993211,1
Widowed,C,D,B,A,170.3281332855493,0
Married,B,D,C,C,-121.94355303833204,1
Widowed,D,B,A,E,-115.57646288086458,1
Divorced,E,D,C,E,-186.22633189037037,0
Single,E,A,A,B,163.3096415413927,1
Single,E,C,E,E,60.88981875308359,0
Single,B,A,E,C,-25.613581981751153,0
Widowed,D,D,B,D,-49.12796307069478,0
Divorced,D,B,E,E,42.822962766156124,0
Single,C,B,B,C,61.43758985113362,0
Widowed,B,D,D,D,148.11738779507496,0
Divorced,D,D,E,D,31.58257761160727,1
Widowed,C,A,D,A,-124.3831531344619,0
Single,C,B,A,A,-68.35937713613262,0
Divorced,B,E,B,B,58.45733749612712,0
Single,A,C,D,A,50.30487209107387,0
Single,E,D,C,A,187.1083279406319,0
Widowed,D,C,D,B,5.085848238971135,1
Divorced,C,C,C,C,-134.3010647435659,1
Single,A,B,C,C,-63.66256058262677,1
Widowed,D,E,E,E,61.105055201981614,1
Widowed,C,A,E,A,-80.38033844702352,0
Divorced,C,D,B,D,-26.501390273211044,1
Divorced,B,B,C,E,176.2502083288174,0
Widowed,C,B,D,D,10.887671948644003,1
Single,B,B,C,C,-27.920614898633715,1
Married,D,E,E,D,-0.7134310359770645,0
Single,D,E,D,B,37.515859278113204,0
Widowed,B,C,E,C,120.83627024762642,0
