nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Other,E,-11.439408209662707,A,-99.27850160067389,A,E,-4.243455381803398,E,1
India,A,-39.72807141093022,D,-55.373507012091636,E,A,-31.68095074671811,C,0
UK,C,45.79778082868449,D,5.516604630983349,A,A,13.289941588902881,B,1
Other,C,100.21247249599621,A,117.70108549162997,E,D,-231.07536352952098,D,1
India,C,-130.1971373466172,E,128.08389101180913,E,D,-10.706644698065054,E,0
UK,C,0.8741358854207644,C,-125.0016377164444,A,C,-32.41772129955875,D,1
Brazil,A,-111.81407566679056,D,4.180125703063173,D,C,-118.81678847605903,B,1
US,B,117.1430808400372,B,-36.233004136957874,C,B,-66.02574148660831,E,0
UK,C,36.19453191576942,C,-133.64069829944543,A,C,194.53888215799233,E,0
Mexico,E,-52.00474665771148,E,101.78815536556196,A,C,-24.091468456314608,D,0
China,E,-10.825663779631205,E,-37.83908681640371,C,D,-101.90781028852388,E,1
Germany,C,-43.4638771449527,A,17.685302334431892,C,C,36.396533773067176,C,0
Germany,D,175.03566112783562,A,-175.6229677919933,D,D,76.39663051334095,E,1
UK,C,-64.40092627524396,A,-7.768632781022658,E,B,-59.75964154476495,C,1
India,E,103.83557073120528,E,-69.30122523239629,E,D,99.37059011987974,D,0
UK,C,150.78919499660327,E,-144.18673956696944,A,A,-147.56566275358648,C,0
Brazil,B,-139.70613971496292,C,-129.33968412246412,E,A,139.05459090277444,B,1
Mexico,D,-158.38602542388907,A,-8.001193527369523,C,C,-99.02128290226975,D,1
China,E,-59.667562395570414,D,139.15257858836623,C,E,11.057671415950036,D,0
Brazil,C,-13.822120751516346,B,110.3373231281158,C,E,53.19544239268193,A,1
Brazil,E,183.39512146214406,D,-104.61106363716097,D,B,-118.95504335980758,A,1
Mexico,C,97.76673174564505,C,-68.5300515590851,D,A,-66.08328790881774,B,0
China,C,80.19763269226779,A,-88.50051026190518,E,B,-70.45391191676053,A,1
Other,E,-94.56615309770686,B,-174.8210075941126,B,B,-93.94073992085721,A,0
US,E,231.11552700875947,A,128.58648716129045,C,A,-24.35306416228413,D,1
Brazil,D,-9.735856920520243,D,231.60585671885357,B,B,20.19040286904006,E,0
China,B,-44.71332992280386,A,-156.8206569009786,A,D,21.612750561248294,A,1
US,E,-374.022691883455,A,209.32268450913,D,E,7.6511504000171096,D,0
US,A,121.2633717002493,C,-67.7933113827743,D,E,-178.2827614029414,A,0
China,E,-42.33441884989998,D,42.81215261365629,A,E,78.43255458939204,D,0
India,A,34.35772436334936,B,-80.59752551921213,C,E,-100.27270872340867,E,1
Other,E,-16.761499799008313,C,151.07851778579086,D,E,62.50102614474482,A,1
Brazil,E,-76.8294977146321,A,-32.87498254276161,D,B,110.32429699711935,A,1
Other,C,-192.840316292996,B,8.205597270252584,B,C,-111.79980110928307,A,0
Other,A,-105.32858767392173,D,171.57194197815383,B,A,-53.17045825419695,C,0
China,C,-60.96001520664886,B,-2.3578475156373147,E,D,116.04800986343993,D,0
India,A,32.402183260905886,C,22.155713641692476,C,B,14.925631370260126,B,0
Other,C,81.86686850705772,E,-24.25849536095241,C,E,-173.9702455881388,B,1
China,B,32.42090469340166,B,104.66788532185005,B,A,-99.00949877901748,D,0
Brazil,B,-125.84884784535413,A,-80.32850721635846,B,E,-54.037594924417796,C,0
Germany,A,158.76493898816963,C,-29.42453372974117,C,A,26.56426421801099,A,0
US,B,-99.7049912612746,D,-8.992057339349616,D,C,106.67827549137145,B,0
India,A,-27.63958544295255,E,64.76483335991034,A,D,236.2879527230658,E,0
Brazil,C,124.48479436059337,B,-52.05966540700588,E,B,44.60514284045104,C,0
India,B,99.84417117337748,B,17.08005876826206,B,A,19.234289183431063,D,1
UK,C,8.95416107349923,C,-31.732756209254386,D,B,84.13812745478972,C,1
Mexico,C,-151.7131350631805,E,224.43708513096004,E,B,-0.5420730133417074,A,1
China,E,5.659980624706775,E,53.37076744646808,B,E,34.53762352970802,B,1
India,C,-40.66519335720099,B,-3.2666424905743154,B,D,133.8699707939568,C,0
UK,C,80.33930264837068,A,59.74155544614348,B,B,56.90388930520598,A,1
US,B,-108.9146915328065,B,-44.43015146416794,A,D,129.30248128550866,B,1
India,D,-29.99140006813955,B,-77.77983359360523,E,E,101.84427775434528,C,0
UK,E,28.331770776833487,B,-16.277604441225026,C,C,160.58783702809689,E,0
UK,E,-27.174331503754768,B,-45.48539460921885,D,D,-25.095702895916215,D,0
Other,C,-22.991503834987856,A,-32.344819160038874,E,C,27.923980574513322,E,0
Brazil,E,-191.47422133720943,B,-69.16613195806244,B,A,36.54219773729191,A,1
Mexico,A,-72.28893658897154,A,120.21994531546764,D,B,6.346352846063323,A,0
Other,A,-56.5153689650631,B,70.46372730608891,D,B,55.70386615370907,E,0
US,B,-125.72085882556252,C,90.57154678096845,A,C,35.11821389504484,C,0
Other,C,91.33077199365204,E,85.58718911343152,D,E,120.98168827965057,D,0
Other,D,36.15080851362955,E,-174.14867040207244,A,B,-11.902293300954698,A,0
China,A,-37.25570627030062,B,11.695914630923193,E,E,-134.27192597183026,E,1
India,C,-4.4952207240783935,E,88.8386703480501,C,D,17.087964887765356,B,1
India,C,94.56431488296147,E,-36.853103069612665,A,C,-89.03236191357843,B,1
UK,C,54.0428194186852,D,-5.332995278522681,E,A,-77.46615888465244,A,0
UK,E,-16.86519702530787,A,158.79948762356864,A,D,152.2346311423196,C,1
UK,C,-62.53105122235784,B,157.03265969276785,C,A,116.38913319222269,E,0
India,B,-47.96097598159519,C,-40.85848908601434,A,A,-130.4779924505835,A,1
Brazil,B,-149.1308866165557,C,77.15195985839722,A,B,32.84755544819568,B,0
UK,A,-110.30753499889462,B,-155.1479617167086,A,A,-98.9346246713129,B,1
China,B,-46.36919790696707,B,32.49957109590806,E,E,-51.45980329050822,C,1
Brazil,B,1.31587486992687,C,-31.4669882891613,D,E,-76.05512688856872,B,0
US,E,154.59767272035018,B,-81.02810460252901,D,C,175.18255363937095,B,1
Germany,B,69.89059910895098,C,-19.24926937265668,A,E,-18.3219756579659,C,0
Mexico,D,238.9983434219106,C,122.0598381169783,B,C,43.39495794726941,C,0
China,D,63.03267378685917,B,-36.917706544185144,A,D,5.655409668665158,A,0
India,C,105.23747493636839,E,26.109511269373453,B,A,-56.6290098582377,A,1
Germany,E,9.438894344935525,C,-31.461068660138046,B,A,-68.16297712660632,D,1
UK,C,-61.54719491003121,A,-96.4137470163058,B,C,-172.78250005733588,B,1
China,B,250.84676525090205,A,3.062385489015398,B,B,35.92654354845924,B,0
China,B,24.620789115624287,D,-209.5520946599627,B,B,-22.661810118714463,A,1
Other,C,-37.657817207409586,E,148.7376242373451,D,B,37.253730207422066,B,0
Germany,A,-21.40589227313128,D,-1.3096084431416701,B,A,-88.1393475893806,B,0
China,A,214.84797511395394,C,200.10094269461356,E,A,153.29481272319128,C,0
Other,C,-32.61003282650023,D,4.790906672499448,D,E,-292.1502241967909,E,1
US,D,-131.76918843737897,C,-43.82662025494918,C,C,153.3216559828705,E,0
India,C,151.85303041484914,C,82.89578040562246,E,D,-52.6495373641918,B,1
UK,C,-37.86764861679972,A,-21.074356445929112,D,A,-48.429363953943906,E,1
India,E,-36.08738001832761,C,30.05306505570051,C,A,-2.76667743893201,E,1
Other,A,93.00378460140838,A,32.39410502923632,B,D,-108.04677897959476,A,0
India,D,-122.0867823316226,A,128.69844821538686,D,E,-53.90677366060353,A,0
China,B,-136.1709692028414,A,30.179860218702665,B,C,68.03536085974851,C,1
US,D,71.67744936691996,D,-26.042708644976177,E,D,-61.75142632942291,C,1
India,C,-56.83355751108993,B,-116.3335767189827,C,B,89.00056372351655,E,1
US,C,11.571934342998158,E,119.59914905056795,D,A,-6.720858290424342,B,0
Germany,B,-87.43978844732798,E,-60.197546225317076,E,E,46.95365109041049,B,0
India,A,-7.213581657772833,B,-125.45000666533852,A,D,-153.60424683461054,C,1
Germany,C,-120.78406011613158,E,181.8108727057058,C,B,201.16638910581557,B,0
Mexico,B,-55.93714960251137,D,-40.203283251138814,C,C,-94.19595632719204,B,0
US,E,1.2380265102243622,A,-41.34129517744518,E,D,-3.238961416261725,C,1
US,E,92.05891183627179,A,-81.86485011805911,A,D,-67.80789746397633,B,1
Brazil,B,-127.74302646502207,A,195.59883170153455,D,C,-146.532872628743,D,0
Brazil,A,49.764437286398866,E,50.534820487460294,E,B,60.684297214415814,B,0
Germany,B,12.358147148734318,B,113.19885736967893,D,D,-8.17793543170831,B,1
China,A,-148.06535154087464,E,-82.32872994555916,D,C,44.248815510752635,D,0
Brazil,A,-54.87643198621809,E,6.354249686982191,D,C,63.69758566958361,D,1
Other,B,9.247528406858509,C,119.28615359680315,B,C,-26.0753891669168,E,0
China,E,6.966531670201788,D,180.40749226039839,D,A,-51.22915255055527,A,0
India,A,-83.10175099877821,C,43.40344518345891,A,C,-3.83093951667166,D,0
India,D,-135.2836910227035,B,307.1639732125442,D,C,174.17365322352038,E,0
Germany,E,-59.473873443524404,A,47.079579273756885,E,B,-156.71841198619467,E,0
China,D,72.65414701742831,A,31.18203471874005,C,E,54.06626252967837,B,0
US,D,48.26517647486174,E,1.238152642295721,C,A,-35.353830352152464,B,1
China,A,-105.64239909884505,C,-127.03309479928589,E,E,-31.98944273505707,A,0
UK,D,-46.18611774438327,B,3.820011682467755,E,B,32.70760466380373,D,1
UK,D,-96.16132247689342,E,-44.23896249328641,B,D,198.15904412285917,C,1
India,B,15.838042556572757,E,22.85657320359629,C,B,14.662323137438026,D,1
UK,B,-98.47330625150722,C,-47.43153983066805,C,A,127.02494114108643,E,1
US,D,128.99743722327074,D,-86.89861641041263,B,B,-4.2542672747268115,A,0
Other,B,13.057334535519924,D,5.821121055513088,A,C,-63.8525765474522,D,0
US,B,-60.57364424230393,A,-5.354545081628335,B,E,-28.573854993710146,D,1
Brazil,B,-25.965910487849307,C,92.21715740058652,B,C,139.96849562185517,C,1
Mexico,C,-174.14606140642442,E,23.375787886289054,E,B,45.17665548562974,A,1
UK,B,-10.737401879192742,E,-171.14624288882356,D,D,-66.12497568539315,A,0
UK,E,57.173916477016384,C,85.63909832134556,C,C,-70.56771443751596,A,0
India,E,-62.905094168810685,D,30.720282560598953,E,D,111.80352481007493,A,0
Brazil,E,-28.764921888841606,B,-7.649434741062942,D,C,27.97713773653272,E,0
Germany,D,126.89573330789973,C,-116.47039282845908,D,C,105.3752748756121,E,1
India,E,41.90389239291778,B,-34.14840485440152,E,C,-137.1896995393948,A,1
UK,D,95.64681687225564,C,33.171273679711184,E,B,-38.94017181609441,B,1
Other,B,-93.3429383807524,B,-11.725666789343316,A,E,235.17713500831258,C,0
India,C,-79.45184355532379,B,-187.18430536494984,D,D,51.643136964049205,A,0
Brazil,C,-154.25654201218458,C,112.48679785132596,B,E,-117.24249121246923,C,0
UK,C,61.28530856249199,E,171.0735909953509,B,B,-97.2531717051915,D,1
Mexico,B,-23.052435247858806,B,115.04829184321127,C,E,-200.21964764507186,D,1
US,C,-190.5379677067868,C,115.18352076752487,E,C,123.93312505071437,A,1
Other,B,-214.53116300567515,B,13.909965870898928,B,B,-14.854144778078263,B,1
China,E,-46.171076699293565,A,-90.5912843350587,A,E,83.87387423665447,D,0
India,E,222.47590380773482,E,168.53323092538898,E,D,-33.10138074398464,A,0
Brazil,C,-203.51313232328513,C,38.39890146505071,A,C,-22.2028392897543,A,1
UK,D,33.70019066221003,A,-66.51948517464412,E,C,-0.709694341771187,A,0
Germany,D,-68.02737318864519,D,54.91439905154151,A,E,-29.379558088504933,B,0
Mexico,C,-42.919713918156184,C,-28.86275694633314,C,D,-18.874316741844034,D,0
Other,B,137.36805378789862,A,-3.326432615295205,D,B,9.567659177928425,E,0
Germany,A,91.11825131495041,E,25.132477585847667,B,E,-70.91468029494689,E,1
China,C,45.50499182236376,D,-143.51379618013706,A,B,3.816794171902982,B,0
India,E,226.11796554474296,B,242.1981435467342,E,C,92.69499910713978,D,0
Other,D,113.63272963119908,D,108.6236463562895,E,E,-74.81599611744929,B,0
China,C,69.53944487594268,D,86.42804861392503,D,A,104.11416301256986,B,1
Germany,E,40.85258469517291,E,104.93153395354238,C,A,-77.59697114018613,A,0
Mexico,C,-11.309685681703325,A,17.56795507455675,E,B,-12.716643994637908,C,1
Other,B,-5.857070735549969,B,94.06974205061437,C,E,-101.11252779359008,E,0
China,B,91.89663526939441,B,-94.5406943000884,D,D,-51.37835330111987,C,0
Other,C,-106.57693959260035,B,-174.47054427957738,E,B,-27.719350246582852,E,1
India,A,-168.73922677540102,E,-12.081342643125508,D,B,80.4575684219372,A,0
Germany,C,90.76072181645088,E,98.23937085700668,A,E,2.6384520281985506,B,1
Brazil,D,5.738304059774592,E,64.85429850371884,E,E,-55.05763165793037,E,1
Other,A,78.38754426867322,C,-47.96035531647679,B,D,-60.8504950875514,D,0
Brazil,C,58.07527672792635,A,98.92850014392513,E,D,41.808739338293975,B,0
China,E,-102.48504554789837,A,95.0557914424916,E,C,76.60108082552823,E,0
Germany,E,-58.385067157664764,B,-36.518813346138856,C,C,118.93532569606593,C,1
Mexico,D,36.06695082524058,E,-118.72491536297127,B,D,119.1693488538756,B,0
India,A,-70.88011553353563,B,50.516739048392225,B,E,-19.742760076520693,C,1
Other,B,-72.64547678666582,D,6.604152388975441,C,A,-84.8855269780024,C,0
China,C,-123.22574612503657,E,86.23062330264392,A,C,45.28826610328774,B,0
Mexico,C,-18.953787019061753,B,14.050492795186473,E,D,76.59332687332447,E,0
Other,E,91.98260414198027,C,-10.1461730017452,E,A,103.54816961586182,C,1
US,B,-27.830339199278676,E,53.08205619333308,D,E,-76.86729047890134,B,1
Other,A,-61.7335203075721,A,79.99215228725842,C,D,-184.15329550818643,C,1
