handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
No,22.832292603847808,46.44332784403466,E,A,D,-129.93840833804288,-53.1508150538049,0
Both,123.62404850001461,212.81689155985543,B,A,E,193.27452420460244,-78.52840845471579,1
No,-111.75399252358108,-10.339797203878932,B,C,B,-108.32036291375557,134.66528429151361,0
Mental,-21.103964142452455,-77.9407283941015,D,D,A,-46.59810075345105,-52.98676095931357,0
Both,-74.61584890433454,25.39834830219497,E,C,D,-45.506352001818506,-261.1137014449136,0
None,-8.613896579575794,72.50024742798485,A,C,E,17.52389355295014,-36.58295331738297,0
No,166.05672102168845,23.183170302215796,B,E,B,-157.55770262384493,6.855427879943245,1
Physical,-13.024884138343303,-58.987343490281475,C,B,A,-34.55181042697902,15.580681385177698,0
None,189.38663242499752,28.070794596921182,A,D,D,-143.7251574357649,160.14332510666563,1
Both,-41.25324588831932,62.4991648441377,B,D,A,105.23622716013689,-41.83950225957764,0
Yes,103.07074601731772,42.393470212552984,C,D,E,125.1522894198394,-13.107400560014193,0
No,-117.17459451698006,-35.80067218154764,A,E,E,-11.141343136585325,-41.946495763716115,0
Yes,-11.706639033395131,5.791325444866375,D,A,C,79.8816999367031,-115.0161801149582,0
Yes,-77.02619455729803,-11.793124606520317,A,B,B,-196.61319475168673,-224.57504483052708,1
Mental,-5.550637530093096,-44.247645910099195,C,C,E,-24.090586863169015,-119.04948377413697,1
Physical,45.06772526053952,-15.897115642366344,A,A,E,188.33502660136367,30.066321894314274,0
Physical,-66.84223453968256,-12.710084739350888,B,B,D,109.78519252904557,94.42408971627432,1
Mental,-71.64260142437794,-33.8285687686593,D,D,B,-96.93746178399316,52.60639742178911,0
None,141.74563675544854,60.7707561558768,D,D,A,-66.31203045448274,-135.07902961958914,1
Yes,137.5969419401511,132.35705831983176,D,D,E,132.39746102371043,49.934127802162365,0
Both,-6.9367180354421745,91.8541880587198,C,E,A,-70.51167417022364,-139.95725188129347,0
Physical,79.52145841130566,-3.0407974219962712,D,E,D,49.33206078942261,-96.23890588580151,0
None,25.00463047311255,133.9561806954788,B,D,A,-59.69833853354799,-57.00726165946782,1
Physical,144.70834239390183,-223.5765634799356,D,E,E,-2.7823683502567675,50.73631114721594,0
None,109.61456650414658,37.857159593254956,D,B,E,-110.61840021740042,-145.5787793497679,0
Both,98.86421423982974,257.0259741734641,C,B,A,-23.844650754685777,-141.39980246987452,1
Mental,-12.822081783208262,17.40662074611776,A,B,A,-97.15213768305838,44.857764153262956,1
None,23.286978028181775,14.369463534012471,A,C,E,326.08399942692716,-165.6888680147111,1
Physical,17.755622055303714,72.17720466429844,C,E,E,-52.3075114180198,0.6850712983016604,1
Both,32.181346732742156,-193.25076397856606,B,A,A,21.27895464784104,18.086234763583526,1
No,-53.76059125311079,42.654071942211395,A,B,B,-28.52130202045925,155.392754005512,0
No,-29.64749220461641,154.38623777467063,E,A,E,-35.0250043681926,52.30426069096,0
No,30.886075341843522,43.82701406668194,B,A,A,86.54860973451949,38.76515736269144,1
Both,15.222912293685287,90.60678504611326,E,C,E,15.858458381817067,3.421024518538993,0
Mental,115.61092307076422,-132.71477243999516,E,D,B,-101.80418077702676,57.428834886689664,1
Physical,27.326476272820265,0.8227249407731752,E,D,D,94.10061935277577,116.55968232519602,0
No,-126.7110301803579,-27.584187869342607,D,D,B,-103.78861536887294,-107.60953756357443,1
Physical,163.28881824233952,-108.62613243477897,B,A,C,-32.40054233839533,-67.75172765940242,0
