handicap,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Both,Other,-82.71639642227672,B,B,-52.07684958472064,C,-29.560884025698858,A,E,-120.44742673469086,23.767969509554842,151.05261882885745,B,-23.182713944685975,A,C,0
No,China,105.49371341367906,C,C,18.971340212545375,D,53.117549180112114,D,B,-220.0671862829734,-45.99867995707577,18.991709143024092,B,87.33562691205773,A,C,0
Mental,US,-61.676477900128866,B,E,3.3140915498982,C,134.54021629486823,B,D,-231.67029575123587,61.09873105130793,-70.89388898848654,B,175.71897814898816,C,A,1
None,Germany,-5.288865734105852,C,E,62.52485029445061,C,92.59866705184311,C,B,114.27306427008641,-167.98457485401767,49.59519530994698,B,75.00814981091902,A,C,1
Yes,UK,-128.62581797112222,A,A,52.15979929373664,D,-68.56712688414315,D,A,71.20080076105299,10.907098349267764,-159.40850844964658,D,-36.92727075974597,E,B,1
None,Germany,15.480416823008317,D,E,31.718710671101974,D,14.963258794914266,E,B,187.5890371492706,1.1236309782358487,-2.695384616785524,D,-175.8863174923754,B,C,1
No,UK,-28.019211021262464,C,A,-111.97851352016133,D,-25.794325479060596,E,A,84.24576286736328,22.336209944999077,-210.32069658272374,B,-56.56840412306676,D,B,0
Yes,Other,-20.29237215657508,E,A,99.50595702870653,A,-83.20828707482353,E,A,-303.09002018841824,33.87567470824418,128.35287134557655,B,-68.69123737975715,C,B,0
Both,US,309.42499997440177,B,A,-2.6516536729798537,D,17.840319179864274,B,A,312.16215890759105,47.308425727925254,70.67457927902412,D,-42.15960027567368,A,E,0
Both,Other,101.19990626420507,A,A,232.61233577604042,A,7.657543305435451,D,C,58.375533002464195,-59.65430549108122,-217.74454587985682,C,184.68130176770111,B,E,0
Both,China,-163.38499298129406,D,A,92.97012920329341,B,-66.40081872718902,E,E,-128.2341380054079,-114.50375279394531,59.44739257397009,D,-140.90166425968994,C,B,1
Yes,Germany,196.27010768717622,A,A,163.05089102950475,E,-11.049378841128236,B,A,-147.64457806144,201.82507738646666,137.8497349028809,D,-117.39693604331731,D,B,0
Mental,US,-141.79853878367638,E,C,45.344602866913576,B,80.83875638090815,C,B,-18.42695288356743,-124.5526919140425,92.78039615136319,C,76.57777139621126,C,E,0
No,UK,48.56056424491065,C,A,-119.3347370309808,C,-21.905675446854914,B,B,-187.03390443250788,109.81161479767539,-133.46311837668236,C,-0.9463905315847038,A,B,0
Mental,China,181.74593445583662,C,C,-109.09859385100805,B,-77.79070779183385,E,D,37.18990762279123,26.615107170049352,58.00556377239183,D,-172.2051339550553,A,E,0
Physical,Germany,19.570486838633567,E,D,12.54777925743476,D,12.4243386827568,A,D,-33.57181760384783,-46.95399215953333,161.98894802908757,B,28.777985707124472,D,A,1
Yes,Brazil,-135.1160751610512,E,D,-18.566823864123656,D,-63.653004847830005,E,E,-26.46801971223652,11.817584292525945,93.60259237626664,A,93.42890749703865,D,E,1
Yes,India,3.2937786042758077,C,C,-80.31161983408805,A,141.2537735622819,A,A,43.83553187177587,79.37444684478082,53.42132222401609,A,-216.69508408540125,B,D,1
Yes,Mexico,-50.807599563066155,C,A,106.16095908778689,C,12.355568592555912,E,D,-91.5222924838548,-79.07789444871655,10.664253357795532,D,-61.344974538614515,D,E,0
Physical,US,127.79088646974361,A,E,28.24721530468145,D,119.41535221119778,B,B,255.44282905396085,35.213036502909766,-26.399903288048883,E,15.295067977582166,C,B,0
Yes,Mexico,-46.22297457031182,B,E,-125.51481241016882,D,20.199347772702268,C,D,0.3581181304454244,204.28238675217077,-70.80683272233497,C,74.27549547384017,A,C,1
Physical,Other,-38.36710829334428,A,D,64.79744707114395,A,157.9887444609718,D,A,21.83208877830213,-49.00493183808343,-53.65238276634131,C,6.913124962652716,C,E,0
None,US,-9.956546520671756,D,C,-30.068580854934783,E,-54.04020141060415,A,D,70.49711317002308,34.6737054004149,4.7932521552164795,D,-53.23609533791086,A,C,0
Physical,US,-117.78450471499016,D,C,-60.59985605026525,D,-6.6498409834169925,A,B,41.410784530335896,70.67706669101838,-141.6196651227259,D,-32.46786268748553,C,A,0
Yes,UK,9.489784818119311,D,E,0.1390114370508387,C,-70.74454281081483,E,C,189.7686494073361,51.58016413517851,75.93800814370762,E,-87.90786697570273,D,C,0
Mental,Other,-156.0762520981627,B,C,159.91331153407552,A,51.98764212996706,B,B,-162.84243019781033,-167.7332068237456,26.170626898535815,A,219.4102034020537,D,D,0
Yes,Germany,75.25794905669994,A,C,119.94113995978091,C,109.47790104303918,B,A,6.481146632039027,11.705909788558147,-80.78012129727871,A,210.15431927471417,E,A,0
No,China,-176.0560025276295,D,A,-23.0234384193065,D,-43.94064232231184,E,C,59.47390870530922,40.204414299779565,20.30744462037619,C,15.101958387671525,C,E,1
Mental,India,91.45623224532241,D,B,12.13691123586758,B,38.44785126940467,E,B,-50.80944816126954,-91.16771526637429,-2.1679157063332837,A,64.99106026653718,A,D,1
None,US,-118.09813096312556,A,E,-158.52028223944126,B,4.250851881823267,B,A,-41.80951806177448,-112.62373636301754,17.87480877882948,E,88.33806872334516,A,C,0
Yes,Mexico,53.06085577081322,B,D,-130.68193152614066,B,-107.03830719119016,B,D,-74.97729146479965,-98.1887780301614,-3.37636874138368,B,14.690600300544753,A,B,0
Mental,UK,15.462569778852684,A,D,-11.55525668605554,B,70.44785992427548,D,B,115.46270626229315,38.68851005643788,-29.507512519954794,C,2.7873812492443775,E,C,0
Yes,US,-83.59791788036361,E,D,10.616385327843398,C,-77.86786853951543,D,D,-160.95766553241475,-21.706457127797655,-37.44402582861217,D,-7.971545920801723,D,B,0
Mental,US,31.631082362318562,A,D,46.904541269869156,D,15.390178207539668,A,C,255.18940969201586,182.08746345549386,27.37396193288038,E,-68.18740045136438,E,B,0
None,US,-3.664950674709007,A,B,-200.5457265280688,E,45.503073334665594,A,B,124.21245644993175,-41.676385633555704,37.427392254615825,E,15.042020465024663,B,A,0
Both,Brazil,4.526014220433792,B,E,8.38233669961412,D,-153.2433817467406,B,C,-183.52374094009275,23.150326453811985,-105.07134793703298,A,49.56339659061846,B,E,0
No,Other,65.2199454433261,C,A,5.8495689048472,E,112.65782826317638,E,A,73.2836775823297,-45.26279766616639,-149.7275102339397,C,30.571933021205055,E,C,1
Mental,Brazil,-62.1762764828242,C,A,-57.98152206326249,C,-92.17541772549717,E,B,-238.27254514373695,41.506062366968294,-23.31645483786166,E,-63.60139056421518,E,B,0
Both,Germany,53.151188040018674,A,E,-109.81109419585971,A,-10.52620344769425,D,A,62.4722180254221,-117.30770673010082,62.305912292090525,C,-8.521007858823497,B,A,0
Both,UK,49.11457539160538,C,A,49.38397100242642,B,26.711132528456844,C,B,-33.35192055672248,38.81490742014547,71.71698223391802,D,133.00211364600344,C,B,0
Physical,Other,-148.43388482048945,B,A,-35.44507693990568,D,53.36999899784966,D,E,60.31613549502812,61.187504125969795,130.3212038781368,A,-151.7938202722694,E,C,0
