sexuality,religion,Race,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Other,Christian,Asian,China,A,12.001189517208358,C,244.70217476547043,-34.1949753357656,62.903729087786445,169.73505824075968,C,93.0772413138942,1
Heterosexual,None,Asian,Other,D,-13.020712279904306,D,33.87564024882218,83.96088393905828,-88.55585408058695,-91.06085947851756,E,-7.737333396140306,1
Heterosexual,Jewish,Asian,US,B,8.913421246267617,A,-105.67620050605568,-11.911186792951733,58.325754079820236,91.59742648809844,B,-59.352153716359226,0
Homosexual,Christian,Asian,Germany,B,109.68575958975167,C,64.0838234022292,-47.53773990358206,9.279171417263717,-136.3487114552863,A,1.0180811243716579,0
Heterosexual,Christian,African American,Other,E,129.66579667148062,D,33.89912865121395,69.64230187517721,15.611118804745248,35.62776619271407,A,-0.9209459835257829,1
Bisexual,Muslim,Asian,Germany,B,-13.197382554385207,C,-108.65400644265202,-60.962448666520416,-22.422631627229155,34.2780673948604,E,32.84016511316722,0
Other,Buddhist,Hispanic,US,D,126.850270030322,B,-23.025193408568185,166.5725963806957,190.32933379835976,74.73959144208902,A,-38.903154500338246,0
Bisexual,None,Hispanic,China,B,-193.60693066250235,C,-39.77603446556526,1.2716747074028674,-101.38085561076346,71.94380409162477,A,-115.58006727930147,1
Homosexual,Christian,Hispanic,Other,B,-49.944269766848294,D,44.00118429122674,70.12587338548931,-66.57305974399648,-42.442544022110695,B,-24.043113378518406,1
Homosexual,None,African American,Mexico,B,236.21789846271432,D,-116.10583652147493,100.71834745957472,129.08325851380437,195.5304513413751,E,-33.849667817169085,1
Heterosexual,Christian,African American,Germany,D,-38.30873452165187,A,-183.3081197441382,89.53334671977315,-62.308597710603884,-167.36210865766176,A,-81.29608839635392,0
Other,Buddhist,Other,US,D,-45.72358556746509,D,-0.12896340086131952,-42.87602167721041,52.223272804139334,46.198914704834614,B,4.230803549886002,0
