veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,target
No,UK,B,E,181.90165518429782,-183.82785328864458,A,0
Non-Veteran,China,E,A,88.92932563491051,24.11541662991501,B,1
Yes,Germany,E,A,-108.02906448855066,105.89467361314288,C,1
Non-Veteran,Germany,A,E,88.81330730622315,-188.04299258795072,E,0
No,Mexico,D,B,-44.77962711635481,123.95902633615759,B,0
No,US,C,E,70.76521633818945,61.4822266600912,D,1
No,Germany,A,C,54.89695137493681,5.652877751269032,A,1
Veteran,UK,D,E,44.7595498067737,-10.279049232841778,C,1
Non-Veteran,China,A,A,171.77788654734738,-216.77431354653308,C,0
Non-Veteran,UK,D,E,98.95869598552974,80.3388121858203,E,0
Non-Veteran,US,E,E,62.35573392955622,-43.03541533453329,C,1
Veteran,US,A,E,-4.291182287859876,20.36949417030672,C,0
Veteran,China,A,C,82.21212525165853,46.17472832125762,C,0
Non-Veteran,Mexico,D,E,-107.89675025761989,-131.62879943360616,C,0
Yes,Mexico,A,B,58.893766044670045,17.427889386840498,B,0
Non-Veteran,UK,E,E,4.476415265336707,-46.10997207323667,E,0
Veteran,UK,A,A,-206.70982137142636,38.62086875176594,E,1
No,Brazil,D,D,78.92181935540987,46.975433452001205,E,1
Yes,China,B,D,-138.18465969096624,-15.657969628755634,B,1
No,China,E,C,-30.07648931275215,31.980321774935618,D,1
No,China,D,B,-53.29547037544099,-83.45404282201659,E,0
Veteran,China,B,A,-97.2110988203791,-101.01601821840349,A,1
No,Mexico,D,E,-129.29981025901373,44.940359531055975,B,0
No,Germany,D,C,227.25087743381005,-23.211718805944813,C,0
Veteran,China,E,C,135.46533824717486,144.50221450030546,C,0
Veteran,China,D,D,-37.70430914442516,-173.19805434299803,B,0
Yes,Other,D,D,-63.80270035802712,6.554413942059389,C,0
Non-Veteran,China,E,B,-15.10155587508767,61.658627165176505,A,1
Yes,China,A,A,51.88511713816277,-37.6991498046211,D,1
Non-Veteran,US,D,C,48.61267247933814,7.799599740705007,A,0
Yes,Other,E,B,-23.15537069357026,137.0181175477381,A,1
Non-Veteran,Other,C,D,92.12750774699934,114.11892019108375,C,0
No,Brazil,D,E,-89.99742384477639,-104.35436922502457,D,0
No,Germany,C,B,-247.66762275548726,196.44845863665307,B,1
Yes,China,C,A,-2.7789049806977473,-46.90512607444301,E,0
