RACE,married,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Asian,Single,Yes,E,129.09881693313662,E,-54.23505189308211,D,-32.885878863171705,D,91.76753466578755,0
Asian,Widowed,Veteran,D,7.576516678883956,A,-52.40567501575708,D,91.78638841169591,E,92.709645182772,0
African American,Divorced,Non-Veteran,E,45.972168557664375,C,-4.931091655478306,A,-45.49779377789264,D,154.56983478890336,1
Other,Married,No,A,-2.679410225372738,E,-24.82121853895089,D,82.74628018224283,D,91.11544092822581,0
Hispanic,Married,Non-Veteran,C,130.29615744978594,D,42.52240110502055,D,-61.81382890311541,A,8.166067881526208,0
Other,Divorced,Veteran,B,101.69878493457456,C,-108.70804131598737,B,169.52257176484625,D,124.39171619738205,1
Hispanic,Widowed,Veteran,A,98.66868733916549,E,-12.634691782611993,E,2.5953021566260785,A,-1.8098069803145278,0
White,Divorced,No,A,16.370834637906732,E,149.92272701130486,E,-18.496542919260957,D,71.12959949160145,1
Other,Widowed,No,E,-63.98978026692181,D,-127.28651754669559,C,31.79512098630617,D,-29.23889966935119,0
Black,Single,No,B,-32.86596513144553,C,-52.97856022880156,C,165.33853905373175,E,-67.13368154473774,1
Hispanic,Widowed,Yes,B,-73.05959781203197,D,41.17104161865527,D,146.67296931697385,A,-49.89767354383709,1
Hispanic,Divorced,Veteran,D,167.57017394882064,B,36.88765370858347,C,109.4643259764399,A,131.16613948658718,1
Black,Married,Veteran,D,263.05362415837993,A,-78.0191605322288,A,170.29577527359424,A,-103.7515189117608,0
Asian,Married,Yes,A,-83.13262231115407,D,91.54225452839671,A,146.80226672711152,C,144.9465562994032,0
Other,Divorced,Non-Veteran,E,-137.70050243246754,A,-283.9049893918424,A,-127.8784322987292,B,45.00661757302367,0
African American,Married,No,A,41.93028106250142,D,-18.288749704918867,A,-84.35502447148663,E,16.950661116458143,1
Other,Divorced,No,B,-76.58517400043004,E,-48.47618217252679,A,151.692072228451,E,-105.2823536593759,1
Asian,Widowed,Non-Veteran,D,-74.95714352478751,E,-50.32394416211356,E,156.05057230777436,C,-92.70739672077436,1
White,Married,Veteran,D,-14.240297458572993,D,-10.534316357124247,C,22.170307776850873,E,6.071419361063186,0
White,Widowed,Veteran,B,21.34560899298186,A,70.2573010729074,A,-28.355267193909807,E,-95.3127654180239,0
Asian,Married,Yes,B,-49.5109789017185,C,57.98336689504462,B,-32.27119032178833,C,-66.05529287510738,1
Black,Widowed,Veteran,D,-128.4764367949689,D,-162.08117206960569,E,130.79218945482577,C,-62.28178375837937,1
Other,Single,Non-Veteran,C,-47.99514506466261,E,64.44266756657984,B,-125.51605984092662,B,27.974223096198912,1
White,Single,No,C,46.67684118525732,A,63.17981393986866,B,-82.45533745549187,E,18.863044955326355,1
Asian,Divorced,Veteran,A,7.541380083752862,E,-72.36910368994127,E,-54.37043637142178,A,30.37905565948551,0
African American,Widowed,Yes,C,152.58843395307574,E,119.10781060976005,D,194.4189093070758,A,-77.90864589361401,0
Asian,Divorced,Non-Veteran,B,-24.310868052118938,E,71.06580207934007,E,-68.18268328495587,B,-38.77619371617399,1
African American,Divorced,No,B,56.047686152297025,E,-140.44065179284263,C,156.84895667140796,E,64.94771040058954,1
White,Divorced,Non-Veteran,D,149.23888998369594,E,13.977275819483026,E,47.60726918261726,B,-86.89095501813281,0
White,Single,No,E,99.26655839668035,A,-142.212552408503,A,-53.9763231735752,B,127.95614566230087,0
Other,Widowed,No,C,30.21260293823364,D,-84.47681050987626,B,45.631571800637396,C,-18.339336679714304,0
Other,Married,Non-Veteran,C,17.54796090303292,A,-50.263300389475226,C,63.30024129206516,B,-104.64826530017868,0
Black,Divorced,No,D,214.52816144399347,C,7.7157491129608085,C,22.792354070810543,D,147.0105519370293,0
Asian,Single,No,D,84.8647510604908,A,33.95776458855363,B,172.90161702914097,A,23.18108379724486,0
White,Single,Veteran,B,-73.97671447518277,C,26.357834262973185,D,167.85531544581244,A,-13.600775142517243,0
Other,Married,Yes,C,227.31776486460316,A,-36.78614195065913,B,77.08811062985372,E,-40.82842637766599,1
African American,Married,Non-Veteran,C,-60.57740957138813,D,-190.93061187673348,E,26.68636849000789,C,-140.01487508610288,1
Hispanic,Single,Yes,A,52.94168968321829,D,7.027855067754718,A,-4.4775318402036675,C,170.51633576662047,0
White,Married,Non-Veteran,A,-68.13252900611234,C,-82.34918712406134,A,3.568139368717835,B,-148.4512060639413,1
African American,Divorced,No,C,-10.131171478030133,B,-93.84014189068365,E,75.51196832555236,D,10.925638577737333,0
Asian,Married,Veteran,E,124.48196806699066,B,-119.76533852911717,D,126.66132200606832,A,12.79222892131153,1
Hispanic,Married,Veteran,B,120.3894448882306,C,117.98892757575896,B,-91.54740017023342,B,-28.477119965390735,1
White,Widowed,No,E,-23.348736335849736,C,-173.90552038071786,C,114.75000425944685,C,-27.074287925692552,1
Hispanic,Divorced,No,E,46.48068019068291,A,162.36933280797507,D,-86.46548992760452,D,-39.84139209462725,1
Asian,Married,No,A,108.02562065285477,B,56.79217238974509,A,57.88488699521268,D,69.4275796774591,0
African American,Married,Non-Veteran,C,3.0949629603266784,C,-130.15146519623707,C,-34.32664474762526,A,53.60339203315241,0
Asian,Single,Non-Veteran,A,51.93113914229788,A,18.660531052119147,A,-251.2173446450845,B,173.1752661383305,1
Black,Widowed,No,A,-143.24812398171417,D,10.882910610004476,D,-31.676932892591758,C,41.68212689383733,1
Hispanic,Widowed,Yes,B,-11.40786128139094,B,35.223611840873666,D,38.67608576107112,B,101.10744595068839,0
Other,Single,Yes,D,160.9649144497213,A,104.86756160504139,A,116.81719773753825,B,-226.76173397434818,0
Asian,Widowed,Yes,B,66.66451980722184,E,23.24285616334994,E,-44.536788742645065,C,-90.36247360343344,1
Hispanic,Single,Veteran,E,70.35489578839955,D,180.64345209967604,B,93.48649077106008,B,65.70721940122097,1
Hispanic,Single,No,B,10.21567935994168,B,-152.23604180412588,B,-38.453628733987344,E,-98.07461795542785,1
Asian,Widowed,Yes,E,-86.2138791009141,C,-226.22092248741575,B,17.683594748460813,C,145.11953957982416,0
Asian,Widowed,No,E,-1.2114083417221695,C,124.5959536385978,C,5.659396750434481,B,-129.58722037064777,0
African American,Divorced,Yes,E,-103.0916730300383,E,-7.772996984740596,D,-269.5384223888479,E,-55.56838193783042,1
Other,Single,No,C,-6.177979956709892,C,7.4669092753388915,D,-135.309523358808,E,25.665673501858333,1
White,Married,No,E,2.4791775089962926,C,-69.69127110355556,E,-50.588551821656544,A,20.433033415547378,1
African American,Single,Yes,B,-10.323998648980728,C,8.709757360984007,B,61.14337852809254,D,-120.80244296438805,1
Other,Widowed,Yes,D,60.11581466633342,D,-62.03312428407549,C,35.910467277972494,A,-81.42128450987427,1
White,Single,No,C,-91.22126281089213,A,-95.48534067215978,A,73.97396728419365,D,-90.87848661039156,0
Hispanic,Single,Non-Veteran,C,125.38758232911282,B,-86.14354935755675,A,-3.951194049606218,B,-86.85252355049461,1
Hispanic,Divorced,Non-Veteran,C,-99.88011917106803,E,-30.18539507455454,D,-45.99770424806508,B,-110.45406286914081,1
White,Single,Non-Veteran,A,-115.46926855019501,E,42.856014064970374,B,-109.43286561756302,C,251.52717356001278,0
African American,Single,Non-Veteran,E,213.37654134003566,E,28.424471561036142,D,120.35077098802178,D,-47.562073131932074,1
White,Married,Non-Veteran,A,23.200652921834802,A,-60.186471222287096,E,29.13193572001449,E,-37.23046397558007,0
African American,Married,No,E,81.34132563087422,B,-135.73978831401115,C,92.08837777991307,C,85.4695104621507,0
Black,Widowed,No,A,-70.81319935812529,B,119.65353299765052,A,13.986879531393148,A,-9.949756273543308,1
Black,Single,Yes,C,105.54333398320554,D,-1.1190721119274112,A,-64.98854164771045,A,153.05594503378285,0
African American,Married,Non-Veteran,A,20.418904544156884,C,-19.856075201735855,A,11.596013245977094,B,-97.33820305138183,1
White,Married,No,A,-116.91540896692545,C,-45.66479609012796,A,11.3875873845357,C,-43.411819125661474,0
Hispanic,Married,Veteran,B,-180.09293173907002,B,-59.048789401711645,B,-116.72162040652717,A,-70.75444910649121,0
Other,Single,Veteran,A,32.15733856295651,C,-33.73492769562988,C,8.40402323186679,B,-166.03789197452505,1
Black,Divorced,No,A,120.006528802464,C,100.25731836802466,E,32.17798856272406,E,-302.4400019868551,1
Hispanic,Widowed,Veteran,C,147.6148805618962,C,5.371377173474932,C,-25.160441243067726,A,-140.6482262174557,1
African American,Widowed,Non-Veteran,A,-197.24433770440118,D,93.33674556459908,A,-162.06987201065658,C,-125.1812758380052,0
African American,Married,No,D,45.88561328971515,A,77.88456589471795,B,-108.45531743262808,E,-188.70476327103503,0
African American,Single,No,C,171.40782862156158,C,54.11583087230218,B,203.06431094044956,D,-164.99579366690023,0
Asian,Widowed,No,E,65.65209186488407,E,73.74326137515902,E,-74.2660279583187,B,-81.98223113361828,1
White,Divorced,Veteran,A,-154.43800709331688,B,-19.74146485974361,B,181.35971750954332,D,-56.84302746358716,1
Asian,Single,Non-Veteran,D,-34.27956067514086,A,111.32712330017831,B,103.629119317195,C,-66.70875936059615,0
Asian,Divorced,Veteran,C,38.01179989869142,C,-108.35841955341989,C,-152.80248173143303,E,38.34276731641022,0
Hispanic,Widowed,Veteran,E,-42.15419081416341,E,-32.06897369623148,B,-94.36338296648312,A,-167.55654204528489,1
Hispanic,Widowed,Veteran,D,82.58297603605803,A,-17.17720093666673,C,3.5085058469016537,E,28.937338797176064,0
Other,Divorced,Yes,E,49.91296168469855,C,58.57363233142158,E,-110.85070703742048,E,95.01115259895579,0
Hispanic,Divorced,Yes,D,-185.4230282883638,E,31.68051223023462,B,7.573875187565701,A,-83.7256349128183,1
White,Single,Non-Veteran,A,-138.17097077671127,D,115.17123246097678,B,-6.103946995781612,B,-17.11318447081758,0
African American,Single,Veteran,A,94.49136544820314,A,-263.84711465498305,A,-198.41408245970842,A,83.10608537915347,1
Hispanic,Married,No,A,-1.4630916192052963,A,25.95204208355265,B,114.7425399505309,A,268.0364809982447,0
Black,Married,Yes,D,16.769777335275226,E,98.16847434043261,C,-108.4618830548782,C,-123.93553632684706,0
Asian,Married,No,E,24.010903053413063,D,-15.7822314608721,C,31.23804805848615,B,-30.72365084934141,1
Asian,Widowed,Yes,A,-103.57735599305371,D,41.12032419680525,E,133.37596761158602,C,10.333703453496055,0
Black,Single,Yes,C,-15.386372879913301,E,-51.24885260438836,C,-32.75628386135615,B,64.19516715784037,1
