country,religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
UK,Jewish,Widowed,2.803721754478571,E,A,-14.388484817498446,B,67.08935036392135,D,28.419415003656784,-102.23596474029179,A,C,-104.52367627384722,E,E,1
Other,None,Divorced,-141.3029132876087,D,E,203.17047103647096,D,146.2559807403489,A,164.2307920467609,148.3853088313953,D,A,3.189537816237853,C,C,1
Mexico,Other,Widowed,-185.62581370814965,B,C,-51.04803817458493,B,47.831807073791,B,-25.342635589125194,-51.37007945196266,C,D,84.92734242990754,E,B,1
Brazil,Other,Divorced,110.12282814304743,D,A,62.419281617763566,D,-24.575441958083655,A,-125.45997198866144,-30.560608280677148,E,A,-19.909694838014012,C,B,0
Germany,Buddhist,Married,18.457406756402797,A,D,107.03813440398929,E,16.04650639203769,D,125.70468442961212,30.701608997742504,E,E,-147.23370759003893,A,A,1
UK,Muslim,Married,-92.70462594576236,E,E,-96.71179886461114,A,-81.1637426113087,A,49.10256100668203,-55.85037712279317,B,D,-239.41172012932878,D,A,1
China,Hindu,Widowed,-194.91672526181722,D,E,30.77214979756644,E,58.54430120106194,C,-65.08234665215694,-143.92756360357558,C,D,51.451360674788184,C,E,0
Other,Buddhist,Married,-196.60999441719275,E,B,-105.49161171764054,D,-27.591890606395015,E,98.76259690635895,-13.605812158314121,B,C,-93.01050071614544,A,A,1
Other,None,Widowed,38.56830815606581,A,E,-9.745466707032163,E,159.75669165914357,D,65.19442984849,74.35708719438085,E,C,33.22602789165379,D,B,1
Other,Other,Single,101.76184292670611,B,B,-140.15090141971743,C,91.95588654971904,E,-223.06800164931383,146.8562258012616,B,A,109.06990458356967,E,D,1
Germany,Hindu,Single,95.33123320088961,A,A,187.623863471651,A,239.93935068169682,A,73.75657230039057,-34.10517745754704,A,B,-247.20874394497793,E,D,0
Brazil,Hindu,Divorced,-128.19769715989855,B,C,115.64380923931421,C,-82.57149477346941,E,-0.7045890646095151,133.9760157687252,C,B,-6.707244659617414,E,E,0
UK,Buddhist,Married,-139.75617817890952,B,D,-99.75419720089282,B,107.96021199222237,B,83.31596191068125,-54.31145613353762,D,D,-46.46627859811544,A,D,1
Germany,Other,Married,86.98984813218374,E,C,142.82872043070324,D,65.08578916334703,E,-119.29069866273834,82.44761965808006,C,D,153.19391229920947,C,D,0
India,Jewish,Divorced,13.615790916104679,B,D,-63.24945112062825,B,-6.464889394741798,C,0.20763570831539505,-111.45778558599098,E,E,90.65166286218526,A,A,1
China,Other,Divorced,107.85447225002105,D,D,134.9961195059329,D,180.73541917520626,A,-269.02402278403804,119.23278944389483,B,B,-10.369539702321037,C,E,0
Germany,Buddhist,Single,56.20394459238073,A,E,71.69183594453402,A,-106.26190168736844,B,10.488949101401126,123.8979167157376,E,C,22.379650411344993,D,C,1
US,Muslim,Married,241.892257649939,B,B,61.331612054455974,A,65.59645632667853,E,65.25242227632545,3.2885373001357188,E,A,16.633071358199032,D,D,0
India,Hindu,Single,7.667830461391323,C,B,-10.55665126816307,C,133.25834153474477,A,-46.006683603298384,-71.63604714177963,B,C,-72.19906579486273,C,A,0
China,Hindu,Divorced,44.082231848409755,C,D,127.41826089347322,A,31.506619683611962,D,264.8784930934479,-5.107037656798486,B,B,-53.987476051763,D,C,0
Germany,Jewish,Widowed,-42.9633455129812,A,B,19.95246735073837,C,6.565153637915058,D,0.0942723199313949,-84.20932300264936,B,B,-14.844732723071491,A,D,1
Mexico,Hindu,Divorced,-226.88247299266203,A,C,17.711280721913603,E,34.404647385104376,A,282.0990294166089,1.4919798437151264,E,B,29.404442661502085,C,E,0
US,Muslim,Divorced,-18.367204017216057,E,C,-196.61580424318856,C,-74.1022425469856,A,68.55168167381451,279.684563849419,E,B,-38.13232028158616,E,A,1
