military,civil_status,race,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Veteran,Married,Hispanic,84,A,-65.27655347332649,76.51849312996791,E,B,-66.51803301990033,B,1
Yes,Widowed,African American,81,E,-21.740945310945023,110.2438713815395,A,B,-125.02312691716551,A,1
Veteran,Married,Black,86,B,33.4270143259977,-69.81709411281899,C,E,190.8400626282187,D,1
Veteran,Single,Asian,61,A,37.33027474549452,-94.56747079925088,D,C,-69.16480551380377,E,1
No,Widowed,Asian,84,A,-20.87760513849073,-35.83086595654328,D,D,-39.28206279368408,C,1
Yes,Married,Hispanic,51,E,230.66963081887772,85.23314614113289,D,D,31.415558297460528,B,1
Yes,Single,White,89,E,6.505879794606842,219.15335522821024,C,A,53.207140550424526,C,1
Yes,Married,Asian,38,E,-77.79103522747289,20.218247531340857,A,B,74.59647268916433,A,1
Non-Veteran,Single,African American,89,E,0.2922182949736161,60.68859401434191,A,A,-68.7630062114782,D,1
Non-Veteran,Widowed,Other,73,A,55.56388415888982,-47.15108385766493,C,A,-2.97038290617158,A,0
Non-Veteran,Single,Other,44,E,171.4513499047642,69.52660519617136,B,A,79.91552869239379,C,1
Yes,Single,Hispanic,93,C,87.77810196004039,-159.920378035937,C,C,74.58002735617069,A,0
Non-Veteran,Widowed,Hispanic,18,D,-73.95414730790579,96.84851147126136,E,E,-127.5087219540166,E,0
Yes,Widowed,Hispanic,82,B,46.24778603523168,22.650089023913548,D,B,20.20112009821902,A,0
Yes,Divorced,White,32,D,-10.828530377490397,78.79373173263214,E,E,-135.77588546150153,A,0
Non-Veteran,Widowed,African American,96,C,-31.46015037179068,-131.37988812737134,C,C,148.51353152366892,C,0
Veteran,Married,Black,26,D,13.070120522821425,31.2905089400697,A,B,-42.08320847165493,A,0
Yes,Married,Hispanic,24,D,-27.447796831272314,119.220506867422,B,D,-105.90758833145438,D,1
Veteran,Divorced,Hispanic,23,E,40.42395090635958,24.653309948374133,C,A,-42.449698785677,D,1
Non-Veteran,Single,Hispanic,59,C,93.69544622752795,-19.43711701880588,E,E,-162.83983087138168,E,0
No,Married,Black,55,D,-193.89494779908551,76.16307280481014,C,A,9.47071213056797,D,0
No,Married,Asian,67,D,76.75005869226507,-72.2171411844289,C,D,-120.10286769810907,A,0
No,Single,Black,56,D,-119.03202813391435,-203.5766056923991,D,B,-118.8621221135584,A,0
No,Widowed,Other,36,C,-108.02920418235094,-72.39008258083366,C,E,105.96349574900484,E,1
Yes,Single,Black,36,D,-42.08640460830001,-38.55527175863038,C,C,-54.613171613471664,E,0
Yes,Divorced,Black,60,E,136.23449656503323,-73.49486605153416,B,B,-125.18590745348406,A,0
Veteran,Widowed,Black,43,C,46.98784332584416,-6.516790339064969,C,B,-66.12038367448355,D,0
No,Divorced,African American,28,B,-74.67684956028722,89.59132657759154,A,A,-104.98355746997679,A,1
No,Married,Black,51,B,-15.456342209523774,-124.9502382035018,A,A,-90.37726072035062,A,1
Veteran,Divorced,White,22,B,-56.39126412830207,-115.79562606566114,D,B,-47.367312375085874,D,0
Yes,Single,White,25,A,37.341401621295,-49.81914589693369,A,A,-93.91692860817287,C,1
Yes,Married,Black,28,D,-22.484212497863147,80.54379768656908,B,E,-130.18820801941263,A,0
No,Divorced,White,90,C,-51.63416432179228,136.85826990400577,D,B,-44.3176612193987,E,1
Non-Veteran,Married,Hispanic,48,D,-102.08480619572676,-282.6546118812078,C,E,-15.623730465815056,A,1
Non-Veteran,Widowed,White,29,A,141.27280621151547,-16.12052527860012,C,C,-33.60951062688812,B,0
Yes,Widowed,Black,75,D,-65.42915348957601,-185.32766486211213,C,B,-229.95962226987942,D,1
No,Single,Hispanic,30,B,-10.43630455448598,195.06837361470815,C,D,141.23995755973814,E,0
Non-Veteran,Divorced,African American,53,C,-159.82154182199676,44.89066635175276,C,E,-8.337788570968804,D,1
No,Divorced,Hispanic,52,E,73.8620592722121,81.69827818588482,A,B,207.27787417248857,C,1
Veteran,Single,African American,63,A,64.8980394701765,42.397759618942956,C,E,-132.08200165877903,E,0
Non-Veteran,Single,Black,72,B,-67.80293851428902,54.151113838455544,C,E,-86.08191186038601,A,1
No,Divorced,White,81,E,16.948427704459263,-108.28072059629525,A,B,178.5284980264209,E,1
Yes,Married,Other,80,D,-36.436514209316414,-66.90440589577813,C,A,-120.4944226327455,D,0
Non-Veteran,Single,Black,33,B,40.94294089598638,146.76458065152906,B,C,-108.98965409141117,C,1
No,Single,African American,76,D,112.01370114796248,-98.76088479026967,E,B,-75.04296077069255,D,0
Veteran,Single,White,21,A,75.94601205784504,68.52391221320337,D,C,149.49886381068438,A,0
Veteran,Divorced,African American,87,C,-14.78273542219132,101.72070804820355,C,B,-40.93786931534353,C,0
Non-Veteran,Married,Other,20,E,8.93872089110986,120.37901453345725,E,D,101.5586490296386,E,0
Yes,Single,Asian,63,B,33.84131913061633,116.07266050892657,E,C,93.83183618498948,B,0
Yes,Married,Asian,68,D,64.59344511150451,91.19718378005301,B,D,-44.714791783042095,B,0
Yes,Widowed,Hispanic,92,E,-229.44811048692398,56.990390378783154,E,A,-20.672890767046667,E,0
No,Widowed,Other,34,A,1.114880674850631,147.13910947544343,A,A,-74.67645472155425,D,0
No,Married,Other,37,A,-14.269080187591662,41.912183415506966,D,A,73.04960266164247,E,1
Yes,Widowed,Black,93,C,14.353475701144907,36.20503344523319,A,E,6.416741835682739,C,0
No,Widowed,Other,86,B,-169.4474931703821,49.023164051466324,D,C,-3.233469219262213,C,1
Veteran,Single,Black,82,B,-14.787295935986492,212.30303204203418,E,A,67.42524430550421,E,1
Veteran,Widowed,White,80,A,-8.059851584350138,35.35609437841864,E,B,-44.553607136847475,C,1
Veteran,Single,African American,25,B,-65.73123734074223,-226.02011390643474,E,C,-81.78594945499843,B,1
Veteran,Married,Asian,54,B,101.98521984469467,200.5908599774732,A,D,10.19297482299578,B,0
Non-Veteran,Widowed,African American,50,C,71.00110148832285,16.59468686797608,B,B,-8.947412707573363,C,0
Yes,Widowed,African American,62,E,-124.41245273669948,11.72466758400664,C,C,-117.7951652702672,C,0
Veteran,Widowed,Hispanic,83,D,8.643482814944768,75.29161070009597,E,C,61.65078750830476,C,0
Veteran,Widowed,White,95,B,145.03511375432933,-348.3195925004985,D,C,-72.78227602497944,D,1
Yes,Widowed,Hispanic,71,C,116.61158204483526,62.31518042385478,E,A,79.38295716349111,E,1
Non-Veteran,Widowed,Hispanic,84,A,151.43031492398023,-48.71566821110712,A,B,54.069724676994,D,0
Veteran,Divorced,African American,89,D,30.708497038279635,-45.61295163704756,C,A,-65.785839524055,A,1
No,Married,Hispanic,98,A,75.85739183159362,67.13666051276361,A,D,-42.43420322291872,C,1
No,Widowed,White,72,D,4.536786950627169,-98.16556503292709,E,E,59.90038312763338,E,1
Yes,Divorced,Black,29,B,97.29023392822214,-18.013782594367314,B,A,64.40169442676921,A,1
No,Single,Asian,37,C,-38.02566832723592,-26.467670507697537,A,A,-125.42637955618578,A,1
Yes,Widowed,Other,22,D,-220.4231112258523,101.5108823524786,A,D,-22.98515773414248,C,1
Non-Veteran,Divorced,Black,65,E,64.32615968228642,-146.91690159286026,E,B,-104.10885934977847,D,1
Non-Veteran,Single,African American,41,D,77.17711768311241,-3.664122141062734,C,D,154.5917215503049,D,0
Veteran,Widowed,African American,99,D,-52.13732971066906,-87.91922928728142,E,B,-202.136002385246,B,1
Non-Veteran,Single,Black,86,C,147.9747963132555,38.02220239582542,A,C,54.14993885668091,E,1
Veteran,Widowed,Other,66,E,-14.033373815924172,88.87331166766539,A,C,56.85062294037513,B,0
Veteran,Widowed,Asian,72,E,-31.194494913667913,58.36089938366455,E,A,-84.22570592993596,A,1
Yes,Single,Black,42,D,-141.5750962235216,127.6527230233658,E,A,-151.50618828212373,D,1
Yes,Divorced,White,48,E,4.597605891467852,52.44750245060117,A,C,47.52689470535984,E,1
Veteran,Widowed,Other,29,A,-157.03165620598182,50.5807040340178,A,E,-51.961833396960444,D,0
Non-Veteran,Widowed,Asian,79,C,-14.713173645482733,-111.92915922419321,D,C,29.851176002490305,A,1
Veteran,Divorced,White,72,B,168.87478352534075,-107.41910103028853,B,D,20.428645989589413,D,1
Veteran,Married,African American,93,C,-57.23232444725037,101.1229219393712,B,E,70.15967509924495,E,1
Veteran,Divorced,African American,47,E,-32.90387969352748,-88.08349400717894,A,A,46.81648138913521,B,0
Veteran,Divorced,Black,71,A,56.63734992610519,124.01223492123079,D,D,91.47615871341881,C,1
Non-Veteran,Widowed,Black,23,A,-79.55484048117903,94.77405704628944,D,A,17.343260873467294,B,1
Veteran,Married,African American,69,C,-14.079798176731195,106.93381878286989,B,A,28.360758944354586,E,0
Yes,Married,Black,81,B,-4.601288511937558,27.634327372725142,D,A,55.32936433281509,A,0
Yes,Single,Black,27,D,-35.643028942989616,-40.71832593517784,D,B,-60.2459137231599,E,0
Yes,Single,Black,58,A,-135.8966208102018,-139.71269425284996,A,C,-180.6787844531999,B,0
Veteran,Divorced,Black,81,D,41.71093039423286,118.13776422984756,A,C,-28.147894597876878,D,0
Yes,Single,Hispanic,78,A,-115.48341463059187,-92.97196336437476,C,A,-72.91939013058962,B,1
No,Married,Asian,47,E,-141.50718177021403,73.22919048380298,D,D,-154.74809149658907,C,0
Yes,Married,Other,63,B,12.956732372581067,75.74128463460019,C,C,2.2329187736482465,D,0
Veteran,Married,Black,31,B,-25.482215962130127,-18.89010398004216,E,B,72.33037031163786,C,1
Yes,Single,African American,58,C,-81.36880537986092,167.71904809112291,B,E,-171.88408561887798,C,0
Yes,Divorced,Hispanic,79,E,-133.11666091692544,-196.47660874297537,D,C,33.855078437953196,D,0
Yes,Divorced,African American,43,B,3.5458081110102166,-78.83596790392825,C,C,15.123205055061954,A,0
Non-Veteran,Single,Hispanic,62,E,81.27671449881383,38.94111758758657,A,E,137.31454840824887,E,1
Yes,Widowed,Asian,56,D,-1.4185745616211454,69.30400175262791,C,D,92.08602367546388,D,1
No,Single,Black,32,A,-52.698368343905834,74.16394278103412,D,E,-19.95645436682035,A,1
No,Single,White,26,E,84.99459093169972,-26.84310777281015,C,B,-68.29252282802891,D,0
Yes,Widowed,Asian,56,E,134.21708657948125,38.32268682865849,E,E,71.49322648577458,E,0
Veteran,Married,White,99,E,-107.7473515188728,37.93714913010154,A,E,15.40727077800599,D,0
Non-Veteran,Single,Black,51,D,29.324700022719647,-87.65170905848343,E,B,122.35264393798558,E,1
Veteran,Divorced,White,61,E,-107.26005637018501,-31.715297338496732,C,C,-109.1793705192591,C,0
No,Married,African American,40,D,8.802623975039651,180.6692934353893,E,C,-124.97885186293773,A,0
No,Single,Asian,81,E,-7.040345282308705,-31.83349144368969,D,E,-48.79512115464958,B,1
No,Single,Asian,42,A,129.0178595366528,115.54050631246415,E,C,13.085491660457976,B,0
Non-Veteran,Widowed,Hispanic,98,D,11.794541281035135,-5.417914152137851,B,A,-13.604931458006336,A,1
Non-Veteran,Divorced,White,55,B,-53.573826640829736,-80.32585292426012,C,A,11.14394324221975,A,0
No,Married,Asian,28,C,-133.286372983389,48.78283049934138,D,C,-0.7655287486467419,D,1
Veteran,Divorced,Asian,28,E,18.323844602523543,-109.31046605926883,D,C,21.669953678504257,A,0
Veteran,Widowed,Asian,25,A,-16.80627820841915,87.30609393848037,E,E,8.646716795538238,A,1
Yes,Widowed,White,43,D,-140.32345389943995,129.9277047940688,E,C,31.8487444622913,E,1
No,Widowed,Other,83,A,-128.2597031827342,-88.08078390912914,C,B,26.370162700078996,D,0
Yes,Single,Asian,66,D,70.7760517639089,94.4054204719936,D,E,1.2043769218442935,E,0
Yes,Single,Hispanic,83,B,-83.7113932690801,-68.41031620161313,E,C,19.07936534434776,B,1
No,Single,African American,92,E,-2.1607805432487948,-61.15687393873147,A,D,256.94496939675014,E,0
Yes,Widowed,White,21,C,-45.88371312443796,-64.26190991939689,A,A,10.666005826782264,C,0
No,Divorced,Black,45,B,265.96448713306376,117.64109131761909,C,B,-146.36900324784122,B,0
Non-Veteran,Married,Other,70,B,76.8038105078449,170.62185807820262,B,A,12.487321369850152,A,0
No,Widowed,Other,53,B,-63.5799435282083,25.092046605100826,C,D,-73.1054444575059,C,1
Non-Veteran,Single,White,75,C,-3.315319342489635,175.1100040473891,B,D,16.000795859678032,B,0
Non-Veteran,Widowed,African American,61,D,117.2111093512181,-191.43734365180805,C,A,-64.59021709327834,B,1
No,Married,Hispanic,95,B,74.54479201412622,-178.75676303742716,E,E,144.51248550994458,C,1
Veteran,Single,African American,32,B,-90.08433981533632,-20.061441867616928,B,E,-45.32472596835815,C,0
Yes,Divorced,Asian,54,C,57.60616287972804,76.21789761102364,A,E,-60.61513766876645,D,0
Veteran,Single,Black,45,C,-82.23508508500792,78.77038509304548,C,D,48.15326068933538,E,0
Non-Veteran,Married,Black,63,B,75.44664793257216,-113.07223014967866,D,B,77.69558902695164,E,0
Veteran,Divorced,White,51,A,97.69239482987774,71.24215973631284,D,C,135.2789707323499,B,1
