age_range,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
36-50,African American,61.98239313029376,B,49.61332624698425,65.21659798422978,D,-120.41286202291653,C,-40.884491668294686,101.89431153539925,-66.30198744506673,D,E,0
26-35,Black,-87.91089886721696,E,124.1330083381244,50.689298257017,E,58.960070022347985,C,118.17627152667356,-55.72526586185409,-69.93108986789606,C,E,0
18-25,Hispanic,14.812323272833572,E,-56.67154611133276,36.24692779293781,C,-111.82996484315385,E,78.13290414397905,-7.4598399445860135,-215.67370427338486,E,D,0
18-25,Asian,-75.14368385485623,B,-39.56357439940685,4.989396512373847,A,89.4514032235192,B,-117.90792501428764,75.86716450941812,-92.71302107986654,A,E,0
26-35,Hispanic,48.38302030090164,B,-87.55622381284277,-56.2678046911448,B,-8.887181734084363,D,-68.34318914694134,21.28230236607985,68.85463169035341,C,D,1
36-50,African American,-71.79877999792305,D,76.94582987617416,45.752668667581055,A,-23.19023401481947,D,62.88474553816131,28.62131862866939,-132.52771703365457,E,A,0
18-25,Black,-29.942094943114878,A,48.574894131308604,-20.337821847894418,A,65.4278770682919,E,81.59300787938064,-38.456484387660076,-13.103031317064643,E,E,1
26-35,Hispanic,151.30446292951453,D,27.33086047970784,-65.67346096697395,B,152.84394690227586,B,-69.87686382228317,13.92805840077051,-142.3276236862201,D,D,0
51-65,Other,-180.6017385558212,A,125.04661824757673,-34.83599805625286,B,65.97297536535012,D,8.522552262335399,-138.97412783784293,-72.2943439760869,A,D,0
26-35,African American,-20.387726600521063,C,29.19438244987446,177.6024427369341,D,144.7149880860003,C,-10.434206196752228,187.21549848048448,-53.86795338960613,B,C,1
65+,Other,-104.64368133331897,B,148.82367523003407,52.687873418338604,C,78.97454653845134,B,68.37042766506109,-169.9274629953877,2.7735431147923895,E,B,0
18-25,Black,-39.98153670492069,D,-29.62668072257898,-139.2081260865887,E,124.12568540528481,B,49.04071469027255,-82.00939639656816,-226.18912170559682,B,D,1
65+,Hispanic,-108.99448028306931,E,-95.25589724686161,47.34637448879232,C,59.00221510609389,B,120.87342454651078,163.8917567716463,13.707343952682905,D,C,0
51-65,Asian,158.80676892624408,C,-18.32596717870581,49.78894279710336,B,4.915627464034033,D,-16.015183588846195,-50.02342974653655,124.96414402834955,C,D,1
51-65,Hispanic,23.02239340048475,C,58.73861944780779,124.03229991067764,D,-84.3274302001505,D,-128.26567505784055,64.49293090176906,94.91296782979136,E,A,1
51-65,White,98.5082301873274,E,-109.61995306880074,46.82290977251047,D,125.88320220102318,C,239.84728403053498,-34.181928164176675,119.93965375516282,E,D,0
18-25,Hispanic,-31.17297430518189,D,119.10763665882342,-66.80555863030683,B,52.29899666729322,C,-79.16207776182017,-1.6851180522201712,43.63455015293534,A,E,1
51-65,Asian,-29.96281704069264,B,23.195015777394126,146.3100544382557,B,75.66185541898717,C,7.605173597367893,-79.83717486661223,-28.74954790618802,A,A,1
18-25,Black,-54.2837169446345,B,101.05849060512715,28.758296029569514,E,76.12565369976673,A,-124.38874483379749,6.906424609325254,-213.22305878481495,B,D,0
51-65,Black,-48.97273982486862,E,-106.8994195826235,116.50566230828538,C,130.42858342573277,C,-85.79239560146029,24.480662062818816,-157.11518600400686,E,C,1
18-25,African American,-26.611755730837196,C,6.263801535280007,97.9707332194517,B,-1.6636942672501205,D,81.4287526663372,-143.08256722544505,-22.68614175591853,B,C,0
51-65,Asian,-196.76434093166048,D,36.561302862184995,-133.38611408081528,C,20.858638114342565,C,-38.91008759541032,-49.857931525562336,44.42414090858492,D,D,1
36-50,Other,-21.190357241910274,A,42.00042643617592,55.71835393250447,C,-156.27355264729832,C,121.14644367041083,78.40682855801614,-111.30764783604403,C,C,1
51-65,African American,-104.99886053710456,B,-66.8398228088887,39.54320938995085,C,13.660220399611362,E,-109.99445216167591,-6.779883060928657,10.371641799764568,B,C,0
51-65,Asian,-43.56533141431541,D,-101.07755398514955,-1.8262996092011656,E,-30.954990539863896,A,135.36770994812258,-33.38429706580989,155.12261490783393,B,E,1
