Veteran,Nationality,orientation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Yes,Germany,Bisexual,51-65,C,C,-66.42016497045125,C,B,188.93109829788858,1
No,India,Heterosexual,51-65,A,C,42.57494038036418,A,D,-101.00432867279146,1
No,Other,Bisexual,65+,C,E,26.420004389375055,D,D,-11.43223894159384,0
Yes,Brazil,Homosexual,18-25,A,E,-52.413510240258475,C,B,32.03763928014893,0
Non-Veteran,India,Bisexual,36-50,C,A,-192.34530756523418,B,C,34.78071034668721,0
Veteran,Germany,Bisexual,26-35,E,D,121.87831374746236,A,D,34.83192346267058,0
No,Mexico,Heterosexual,51-65,C,B,-148.2387485673922,D,B,-85.54729233862449,0
No,Brazil,Homosexual,18-25,D,D,-105.93317449036776,E,D,-61.54463771812898,0
No,Other,Other,51-65,E,E,16.50054340862471,B,A,33.55198332641328,1
Non-Veteran,Mexico,Homosexual,18-25,B,E,33.235235040508634,C,E,-159.53237576028658,1
Yes,China,Heterosexual,18-25,D,D,2.6985941860863543,A,D,-39.15526706020383,0
Yes,Germany,Heterosexual,26-35,C,A,37.312986580950685,A,A,-177.33785624686337,0
No,India,Heterosexual,18-25,C,E,217.72258532785264,E,C,10.362829758933472,0
No,Other,Heterosexual,51-65,D,D,11.68539442118694,A,A,12.371889710518026,1
Yes,India,Homosexual,36-50,C,E,-81.61856425005168,D,C,-28.023132503253056,1
Veteran,Germany,Bisexual,51-65,D,E,-153.92853271247048,A,B,-48.459189626163315,1
Non-Veteran,Germany,Other,65+,B,A,-94.54628482617889,C,A,-113.21708285599716,0
Yes,UK,Other,26-35,A,B,33.05207067150434,D,E,-125.43419228194107,1
Yes,Other,Other,18-25,B,E,87.31798215164275,D,B,96.34375435130158,1
Non-Veteran,Germany,Homosexual,36-50,A,D,134.8380694701002,E,D,111.22326817031191,0
Non-Veteran,Mexico,Other,18-25,E,A,48.16399961443443,B,C,195.03363970885027,1
Non-Veteran,US,Other,26-35,C,A,-168.792069618886,B,D,-126.05842574412232,1
