Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
No,10.963028948931226,A,B,-10.834769164557924,C,69.5903429877874,-85.25333216413759,-12.929974420656333,1
Yes,-73.00628913579199,D,A,-17.360835329342226,A,10.496416060106899,20.01865323910606,-26.251854341243124,1
Veteran,183.85782192350294,D,D,-7.911582193677276,E,11.082433584482361,105.62974214472919,-30.25353990899482,1
Yes,-90.88777897785508,D,C,-144.4025216579554,E,-97.38730823739465,3.2387873474768134,48.85439446019165,1
Yes,-100.1534697832444,C,D,106.7034874860588,D,125.21278221636007,-57.050026382819915,90.66509327866919,0
Non-Veteran,-137.49809258421487,C,E,5.03860627273137,E,-53.03249113338564,11.794333301553905,65.10697444798811,0
Veteran,-106.63040019208371,E,D,122.13685878068033,C,94.11043765928405,-4.287816439731668,28.320453941466926,0
Yes,45.55981022012972,E,B,299.59137919702096,D,-42.019693566895214,-113.76590014032357,-23.90815182572145,1
Non-Veteran,-107.19190527045572,D,C,30.34664350348239,A,-136.92599456372628,34.51676826571269,31.927151091771073,1
Veteran,-138.23002407856114,B,E,-62.78348986348069,C,48.75475975578438,-30.60325041822221,233.14027030776523,0
Yes,-29.177612560429907,B,E,49.80691813308123,B,-232.5794426176584,-7.339336702480074,-20.39692486018666,1
Non-Veteran,-104.55838514873359,C,D,13.954576489573284,D,129.03468144517763,-136.28101205675952,30.222315123284044,1
Yes,86.62350982802903,A,C,123.84797348017335,C,-102.96959954801663,-71.10221678802927,72.43375634118647,1
Veteran,-47.267589167438764,A,A,-96.26048544478442,B,-74.56339072711273,20.650417067733812,-169.65295995954187,0
Yes,125.48840886844508,A,A,-75.96282817256596,C,59.19314566237502,22.234639024497067,-97.99192601663069,0
No,-131.8052526817336,B,C,-28.954270948468253,B,-121.82907032690113,-60.152043036848355,129.73883912067086,1
Veteran,135.9713332526106,D,B,-51.57326187461593,B,102.96304456909576,152.5689630331054,80.7937266488361,0
Veteran,-229.71869098351587,C,E,-19.673550603822516,D,73.1932225807457,-19.62987901726167,75.55085217908693,1
Yes,102.3173782352502,B,A,86.7564075513779,C,-83.22140434991171,-123.23772070875583,-102.33677233842688,0
No,161.30061832788246,A,D,53.05949159059779,A,-38.743229314514785,8.764868844772863,13.066896718761967,1
Veteran,-10.26933249355583,B,C,21.48552898389188,E,-7.77678452375537,-28.252248209447963,74.02545990143801,0
No,195.00349258656144,D,B,-113.92440405318682,B,-56.001646762827285,-65.80464954071913,-204.97006608161934,1
Veteran,29.395672598654965,E,A,78.37755362017657,E,9.499689353661958,52.86229753188071,-96.72989054440899,0
Non-Veteran,60.505492927211726,B,D,83.00069342991117,E,-100.05940006703852,10.375088452003908,-91.14209103831263,0
Veteran,-42.4457617692537,D,B,-155.50756621755363,C,35.3455097343263,29.32787318441708,68.07821409378909,0
Veteran,87.10844719039397,C,B,-6.811153602714705,E,-140.90063458397006,4.775138299013142,88.59692286435293,0
Yes,87.09978933262849,A,B,-95.99251889094128,B,23.208560940233028,221.28920159998563,76.48277252844811,1
Non-Veteran,-14.344717213590584,E,C,-38.1026608595499,B,52.07514507470127,91.18651691197441,36.007361589383926,1
No,-6.7433359057427,E,B,-21.132770485302167,A,190.03835800251167,62.48692859258873,38.85542550714311,1
No,-57.65932277092013,A,A,-113.53409254556081,E,138.29421402445465,-70.80382121782704,-101.39045658895827,0
Non-Veteran,133.27941991473057,C,C,-29.074659663381684,D,-68.81231945557776,220.97581973081523,86.31178296745347,0
Non-Veteran,-10.456884093252402,B,A,-124.28373227159628,D,70.69606765056177,-100.7174729270172,-83.77460999481633,0
Veteran,57.40563296363804,C,B,-127.19508767833238,C,71.09318861092093,-184.31328799500375,137.04519898842554,1
Yes,-33.785870633074836,E,B,-51.866453837511685,A,70.55399416292816,51.0804018461679,4.823669183138271,0
Veteran,8.23528719909017,C,D,46.24704694693877,B,14.163078441577948,17.906908316671206,115.15215272653423,1
No,-44.340685710140896,E,D,148.00512902427036,D,90.65977971221008,0.586848144353634,-21.733133702851003,0
Veteran,-57.226411473858064,A,C,43.943764639327036,E,87.33107910647307,-90.07327967476942,61.460651069597496,1
Veteran,-150.35602036133216,D,B,-2.5400550933621946,B,-74.78095850499896,-91.17911311168832,271.37732499058734,1
