nation,civil_status,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
China,Single,Bisexual,-157.5728454191424,C,D,A,D,-279.53463567988234,118.12223137649175,D,D,E,84.73543611876357,-143.3446751113814,36.29248634624462,67.6834265012218,151.86349784418172,B,E,B,0
Germany,Married,Homosexual,-176.60251710160975,C,E,C,D,63.75061460886041,-0.16770983702003212,D,D,D,-78.50743959098891,-81.07319027164593,-69.15709095824015,-402.75128240353365,-91.48557033522513,A,E,E,0
India,Widowed,Bisexual,-39.558577875199816,E,B,B,B,-8.028551383491328,-172.22549047697115,C,B,C,14.453998614308153,187.8510582175753,-75.04669909558473,20.755872512632447,-47.94028294109188,B,E,D,1
Other,Widowed,Heterosexual,164.0680294454431,D,E,C,E,45.571525985956384,-59.39795908172487,E,C,A,96.83705016475933,11.200264324726612,47.791213826225245,-52.82632808346642,6.651516143395779,C,E,C,0
China,Widowed,Bisexual,-30.83573703710351,D,D,B,B,130.43470113624397,-143.6322153677384,A,C,B,51.081472529534246,10.102832359369026,31.526992990191737,-80.02188333913644,70.50673254455727,D,E,D,1
Brazil,Married,Heterosexual,72.71277149688439,C,A,D,E,-75.23114957187627,-55.923220848810494,A,B,A,-88.19652940307597,36.890312516432445,-72.10119650279837,209.2723890236421,-11.835863626720545,E,B,C,0
Germany,Widowed,Other,-16.488812376591618,D,B,C,E,-60.473370347477726,-57.629291397825064,E,E,D,-33.97223748557419,36.189015347629514,9.269667631930462,53.829671376646345,-16.343796799324156,E,A,C,1
China,Widowed,Bisexual,103.76468662098515,B,C,E,D,14.227554519897106,127.75559952970401,E,D,B,-233.68307638985573,77.76295819511371,43.29171214690558,138.1269809330709,-59.60009389137304,E,D,B,1
Germany,Married,Other,256.72571582403754,B,B,A,D,-27.49547196223679,-74.0502075873166,C,C,E,72.29382207211428,-51.0850010539297,-21.941844674035444,27.388014289647483,31.913052780074068,C,D,D,0
India,Married,Bisexual,-4.313365618664888,B,D,E,C,23.592665770847113,-25.813493992685643,A,A,E,48.450317385506786,84.99500092860873,9.391883780830684,-68.13373843845216,66.41458745668305,D,E,D,0
India,Single,Bisexual,29.94127955430771,C,C,D,E,-94.56216539350896,35.1667639760566,E,D,B,-172.94471871513574,-60.7811020164305,-33.202377688956844,-73.08017244363771,81.50726786467854,E,E,B,0
India,Widowed,Homosexual,-145.985151104971,E,C,E,A,-154.95007722979543,69.51107660108521,E,C,A,-191.99803036756552,-47.16696829995929,3.534375804356206,7.9654309849364076,-51.97010557649813,B,E,A,0
India,Divorced,Bisexual,23.447542521364447,A,B,C,D,27.100083538573376,-102.60132583834664,D,D,C,47.159981728755795,10.582049678097363,15.871178704948491,87.24578881173659,-236.28582239499957,E,E,E,1
India,Divorced,Heterosexual,23.603879043865277,B,D,C,D,23.05037208568379,180.1064559995444,C,B,A,100.83548206659852,79.1212952909692,-96.67316850376156,-245.32788347929588,-7.8001301637228435,A,B,E,1
US,Widowed,Heterosexual,7.886546668198047,E,A,E,B,182.89730192072702,95.71522207193931,A,A,D,59.321895030054506,134.19964515133452,66.54520870241396,169.24118216705156,-210.05701405003592,E,B,E,1
China,Single,Homosexual,-10.952188788845756,C,D,C,E,44.40408693291968,58.89114723863263,C,E,D,-6.329618010134245,86.81810724404866,95.3372540437997,-72.21173599360333,25.467186949140302,C,C,A,1
UK,Married,Other,207.4848591837921,A,C,A,A,32.51604276792738,-152.82568399852028,A,B,B,-32.75756826088535,-164.98387964436824,30.52889610851601,-3.066888053024993,42.49883246154844,D,D,C,1
UK,Single,Bisexual,-109.13724736430359,E,B,C,A,-158.21983284570595,118.95088227316728,D,B,D,139.43488031105738,-53.0822579006622,-191.9464326615254,57.468869342035504,25.569161430826803,A,E,E,1
UK,Divorced,Bisexual,-123.75241036164873,E,D,C,D,-183.98066214946485,29.987871466570077,E,D,B,-41.10434962332214,-16.322435013832326,62.3137270905745,-23.077015334008973,73.08656412350958,A,E,B,0
UK,Widowed,Bisexual,157.40020057868873,B,E,B,E,64.93897790660034,116.53804234044121,D,B,E,96.79613511334546,52.132528533042745,-148.92419933282503,7.21153345118422,-112.04466445487704,B,A,A,1
India,Married,Homosexual,-111.91923053308905,C,B,B,D,-51.82229424582161,-237.39187603410755,B,E,A,-80.58453492323004,-47.07220176944009,77.7406065243466,-27.51861634282581,-179.47271976354594,B,B,D,1
India,Married,Homosexual,127.61944731151425,D,E,E,A,89.41540636238679,16.805532814064485,A,B,E,137.90255697518586,-176.72561659079264,-131.80453500342313,-213.7731032921511,-2.6878821943943985,C,D,A,1
Germany,Widowed,Bisexual,-137.80738964807955,E,E,B,D,171.26743008588534,-234.18408241420275,A,C,D,76.28565594919984,-276.48951778018477,-101.10970381165134,100.50815137972704,-124.08323401838281,E,E,B,1
UK,Widowed,Bisexual,26.470698084434673,C,A,B,B,61.06430691690967,113.42088460885202,B,A,C,-37.29643152839926,20.274449766252957,81.57291982421283,30.56492633712905,59.349599847898475,D,E,C,0
US,Married,Heterosexual,-93.5620905968113,D,B,E,C,97.87770740556219,47.03437171287858,D,E,D,90.75602170272579,111.01540650750496,152.4679372620872,-127.7287951903353,-21.044851390039536,D,E,D,0
China,Single,Bisexual,-41.351904580316045,A,E,D,A,-51.65625609667206,-155.5135859327128,E,E,D,54.0533427611582,-150.2442347313175,88.84086229521702,-7.837634385764977,-69.66660828174824,A,E,A,0
China,Divorced,Other,-223.63124361636997,A,E,E,C,46.08956658093037,131.67941091547962,D,C,B,108.43130652843516,-6.635705434933286,-56.104015688778816,110.41162135471446,-196.28087455042308,C,C,C,0
India,Divorced,Heterosexual,125.23353107836425,D,C,C,C,10.621345805295151,12.075368690465108,D,A,D,229.6825072145226,-35.42025251518927,-63.99074989112346,-95.90834111380221,-92.38634066247569,A,C,B,1
US,Divorced,Heterosexual,-19.06315197999175,D,B,A,A,35.31225669337294,35.700527003645455,D,B,A,175.61123543774846,216.6897461421004,-21.0933373545723,-37.78379633027745,59.592657901444255,B,D,D,1
China,Divorced,Homosexual,95.60242461294347,C,A,D,E,160.10386912200113,-57.682275998901524,E,C,D,119.26120091984626,72.02884636683852,-4.674871069365577,70.23168899758062,-86.81048169025202,B,E,D,1
UK,Single,Other,-54.34659384325558,C,C,A,B,63.41556789404008,68.47673743248822,D,E,C,-71.78735862089988,45.737617403518314,-269.91511670154404,-120.68845653467679,-134.29312349388135,B,A,D,1
