SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
F,B,105.78203610215782,113.53095144177419,23.75685137341608,A,C,88.81933495917856,D,D,86.62327477169927,0
Non-binary,D,-42.02846415247066,-94.10067762443947,186.50719337506652,B,A,16.59998014664967,B,D,97.95171828023862,0
F,E,-68.93981117467608,43.393267801018936,-117.67276755151619,B,D,-161.36413039800414,C,A,46.50788258558502,0
Female,D,62.00755573261131,-125.12600208083298,209.3935148962228,E,D,184.7346461252818,E,A,-142.6619383914376,0
Non-binary,C,86.36487464017257,11.631980513840592,98.12045232578916,B,A,30.29081235670506,A,C,-76.43587090685503,1
Non-binary,D,-104.48074249447971,91.48508044272113,153.0759165427894,A,C,5.679799976709946,A,A,87.9521448349901,0
Male,E,-65.09843241724337,-184.33221730475594,12.717479487766822,D,B,-171.43380488092356,D,B,-91.15807590428531,1
M,E,-7.275986329706997,45.75171509310055,34.383227395852366,E,E,61.2598586577499,A,E,-26.23995005106793,1
Non-binary,C,8.65983614257868,135.993484643978,88.06341201832328,B,B,87.80067094177859,A,A,5.773059921168211,1
F,C,-25.473961906329194,17.205340807823262,168.1565665243917,C,D,-72.430606074104,B,B,-8.257517758278667,0
Female,B,-60.6728790796338,-151.8437085365391,-75.29378446907828,D,C,52.844855725185894,B,D,-64.36092384143357,1
Other,E,73.28736566717325,197.57395140049567,22.75389760390966,C,B,20.7496023674529,A,E,26.641974631075943,0
Non-binary,B,66.42958370321936,-96.41075892472908,150.8783466814428,C,A,33.11508108141011,A,E,-86.84303994619049,0
F,D,-30.170269290236284,-12.16912113702435,138.27547528152274,B,B,-87.04284019019805,B,B,-15.344547190563643,0
Non-binary,C,-72.51116670422174,-67.86062858616734,-24.086872162585003,B,E,24.69352063250699,A,B,4.993879543197288,0
Other,B,146.549542953546,-40.648806253702105,133.25133883088935,E,D,111.41989999075214,D,B,-63.76737006786157,1
Female,E,61.32390618621283,-264.2272715308082,60.478576004897434,B,E,27.179358958354268,C,E,73.89436363214874,0
F,A,-26.057023388976646,105.02888137381223,-79.47723079139993,E,B,-44.33710496204161,D,B,-187.49214817318034,0
Non-binary,A,-5.221550344742758,84.66523182452849,106.55637754944411,E,D,144.96223175607682,D,C,-100.26480225141799,0
F,E,92.99358121400866,-84.26865560161487,-44.738690218722574,E,A,81.80877090026695,D,B,-43.96618270018399,1
Other,D,21.691521338424003,94.65571101985776,65.33400222400411,B,C,11.041907750176627,D,A,-235.46579092775306,1
M,E,187.1164672394807,138.26823043336137,-128.95843508315693,B,E,-34.496442718417946,E,D,11.130613697483703,1
F,D,2.8554454622611836,36.81550628830631,-72.25440808640181,A,C,-201.04114173925765,D,E,-5.81569135322766,0
Other,A,-40.17489552606047,21.347965307778765,-103.10089575214445,D,A,-216.48110604151248,A,E,-212.04535513561723,1
M,D,-151.33261368821542,34.192502263447146,29.970679582895716,A,A,36.42240071655133,C,A,47.112970179725,1
Male,C,-24.58871192501948,-85.16744467327601,72.20678841548465,D,B,28.877715178338764,A,C,-43.28296982261756,0
Female,B,188.96124568587183,159.04537522252002,-107.61187944852537,C,B,-3.733810879259881,D,C,87.36467052736013,1
Other,C,-2.4428251189058114,-83.43219850051436,-1.7982519300475583,E,B,-6.567108268188777,C,E,27.102244380691605,0
Other,D,11.704015557706787,-183.75281008207602,67.92967660595524,C,E,-20.613665389407824,B,D,-57.72209646130252,0
Non-binary,E,41.64994786469202,29.6798341385007,27.68250457233483,A,C,-77.90074912942127,B,D,123.42388465106278,1
Female,B,25.957867901716103,-93.55804964315891,52.37319313596538,A,A,-128.43089079595444,E,C,56.404007239105034,0
Non-binary,D,48.89570176037996,19.042498263188932,117.36140154470365,E,A,-64.43617832238621,D,E,79.00286971442215,0
Female,D,-9.938950344738469,140.66057201047693,-15.192403195289572,B,B,29.475115110307975,A,A,-35.16386970081274,1
Non-binary,D,217.70481288601368,38.49163855598445,-147.3078759085195,B,B,-9.070682575287186,D,C,-117.21822664160268,0
F,A,-29.362008033002656,-38.24658982045502,-169.77555910729768,A,D,-33.6639792785555,C,C,-4.733105054987026,1
Female,E,-164.35283612352868,-115.84031090128657,-52.77758753201236,C,B,30.976842972176684,A,B,168.35078321118266,0
M,E,92.45862529196512,153.9462957780556,-15.684859742545656,C,D,-103.62388994576399,E,E,-98.39151269229826,1
M,D,-25.751728649778844,-28.815013582869813,17.896314894814537,A,E,54.706339610581935,C,C,118.38862439456473,1
Male,B,-154.8325542560045,135.9564486509479,-164.65073664116122,B,B,141.187832461288,C,A,3.114973213975803,0
M,B,189.6286902929851,8.60649053968124,-199.78733263699132,E,D,3.3278818530147816,B,D,-55.34484453657518,0
F,D,-65.75916920463482,-151.5068061706258,-246.2814873342184,C,E,-39.445564512076054,C,B,-153.5455109421685,0
M,C,7.694843327228843,32.24477322888525,-138.0887460810011,C,B,8.247718369028764,A,E,-71.21981321938648,1
M,C,-14.410030657533355,-4.709873708679806,-105.13055712542838,D,C,54.4523880777231,B,B,-48.90311628180194,0
Male,C,-46.25733024428843,13.872249040586182,142.52514706514953,A,C,-37.93667391918914,B,B,-140.51926084702623,0
F,A,62.30848465837925,-70.48531889615423,-104.83194671239669,B,C,4.921349938391627,D,D,41.79632161428907,1
Female,B,32.29428756804143,2.71985124976416,-8.75921485712518,C,D,-59.59321343590768,D,E,-0.006826044459807345,0
F,A,-10.603878730532589,-85.41986409654776,260.7889243117609,D,A,35.92703384787191,B,B,15.677039889310587,1
Female,B,23.07622823608531,1.6734326560893138,31.174786325277275,A,D,140.95972934742397,C,E,-94.48273274498617,1
Other,B,53.474592675815344,-61.679264054507584,-128.54695288746586,D,B,63.10297269815533,C,D,45.653892201503744,1
F,B,-76.30153291166484,61.20227165791113,-92.9308533915408,C,D,81.24048762940652,E,E,-14.07930851808023,0
M,B,-75.23806340916317,63.46206827352633,-219.0747951857619,D,A,-62.54033048942282,E,D,-106.49261169682234,0
Other,C,41.84365313581498,-35.061845590220955,-117.97547052667245,E,B,151.05293469863875,D,A,-184.60839775142622,0
Male,B,41.032022429799945,-96.34519345671643,-179.33784113668537,A,E,63.97782201236984,E,C,118.01811559606764,0
F,B,1.181810455493831,31.36852441236216,54.85924134646933,C,B,-63.964399976317324,D,C,-156.02334166740036,0
Non-binary,C,-129.83630931209603,13.232919279230728,-58.32848618262108,E,D,0.8869369098584043,E,A,-24.237768464884386,0
F,C,-20.66282998309422,121.99500809950845,-26.20531852296459,A,B,172.05684529220918,E,E,211.3049431144439,0
Other,B,-48.55690309404422,42.68238057277724,-156.2148569885128,D,C,5.187793212708272,B,D,-77.81862703375624,0
M,C,-255.55052294121384,-193.6728542334141,150.78375531910177,E,D,-78.72718827675457,C,A,-17.698290745412933,0
F,B,-70.87357498426734,-108.07838079721779,-8.707665162689876,D,A,162.46352876715187,D,B,129.613569841519,0
Male,B,157.4347439601649,-103.58768451119009,-26.40183354765091,B,E,-76.0488710585326,C,E,37.99176203513568,0
M,D,148.4078747934212,54.880760489518785,-68.92448844067387,C,E,61.511265994601295,B,A,131.9255299387284,1
Non-binary,C,49.19703227090924,-130.89450766551977,-80.28130564822582,E,C,-124.46503750130167,A,B,-56.219380901472306,0
Other,A,-89.47434357583249,-28.931884398937846,-132.17272748412228,D,D,185.03217129028664,A,C,105.00362045932994,0
Male,E,152.9072050986474,5.015534974751378,-38.150611260231095,B,A,-40.833848478504734,B,E,58.233488899513354,0
Other,A,-14.604152333895554,-166.991229259598,114.43295811789129,C,E,60.4294969899753,E,D,66.406348418693,0
M,A,-43.292682116980636,-78.20035472780833,-6.331923396927302,E,E,-29.920851356644768,C,A,23.94169730008792,0
F,D,78.66894277746216,-151.65876114327182,55.15340952502987,C,E,12.133239546346,C,E,-43.53877314879874,0
Other,D,51.37401382938971,-136.23685112399392,77.95569529643818,A,A,150.66907761361762,A,B,99.78167485595867,1
Other,E,89.38671820963633,41.09793136551276,-90.90250250283832,A,B,114.71700218542851,D,C,201.57972979130489,0
Other,E,-20.097903931649558,108.58551334870353,32.99992638067166,A,B,94.06238150122688,D,B,169.5709866065086,1
Other,E,49.27882945775578,-16.735483022583995,-4.934955507454854,B,E,-94.68304486695544,D,E,0.3251694319853296,1
Non-binary,B,-33.55017997479517,-70.91227556734378,-21.666389784894502,E,D,-20.854135474867437,E,C,110.05591706674736,0
Non-binary,C,23.472918021313053,101.46479251174958,-44.950303532448785,D,A,97.31028580378019,A,E,-15.869601911005224,0
Non-binary,A,151.40827263054507,31.699149727261815,-69.09627962553073,D,A,-0.8951050855005298,C,D,56.88363026986571,0
Other,C,-154.1262968584317,-57.9364884860346,-49.52850806865071,B,C,10.879562988040446,D,A,56.26193452183812,1
Female,E,-111.40214887506738,68.83194774117072,-55.317755564529,A,C,37.46337413949593,B,A,0.330698653184622,0
F,C,21.127674560932117,-113.76548193562179,-97.25858222457703,D,C,-52.856586872029766,A,E,89.02127043617787,0
F,C,75.68729448106434,-96.8211107377114,-92.75188744362508,B,E,-49.739972535025984,D,B,68.61278450324703,0
Female,E,-47.494923632458494,-24.948523882121602,57.16517025246157,B,E,93.97745999373036,E,D,83.79960659488579,1
Non-binary,D,1.8285557716778116,31.610134942479363,-125.17876822358159,B,C,-9.306449354053816,A,D,-70.82988510306872,0
Male,D,-54.80055691690553,-114.00463766303939,102.37790232266232,C,C,27.531019322123175,C,B,10.234015744440155,1
