sexual_orientation,AgeGroup,SEX,disability,feature_0,feature_1,feature_2,feature_3,feature_4,target
Heterosexual,26-35,M,Physical,-35.82697873966564,C,D,-92.15776211767476,66.26150008535856,0
Heterosexual,36-50,Male,None,110.83341819142318,B,B,-58.051120328623995,-194.9025375836301,0
Homosexual,51-65,Non-binary,Physical,10.068669327894865,E,D,72.40982307477786,77.99570197877831,0
Heterosexual,51-65,F,Both,84.40048110228177,C,B,38.55509345237583,89.20184547959224,1
Other,65+,M,No,158.20545622599914,C,C,43.21308000938075,183.36952966591355,0
Other,36-50,M,None,-33.17237897630804,A,C,109.83048207242419,51.33337187407035,1
Heterosexual,18-25,Non-binary,Mental,57.859848410912626,C,B,-4.888963506879134,-94.15922391590257,1
Bisexual,36-50,Other,No,-60.017864042527755,D,B,-14.487011765151776,17.69080100693511,1
Other,65+,M,None,-146.76531147311093,A,E,-132.8026743744183,7.873031186477672,0
Other,26-35,Non-binary,No,22.185637476241535,C,D,65.93376286935919,-35.316553447444896,0
Heterosexual,18-25,Female,Physical,135.80501634685794,C,C,47.63130484141573,21.224918229590298,1
Heterosexual,65+,Female,None,-255.11943542060638,C,B,28.172224156959576,-18.6711708995487,1
Bisexual,65+,Non-binary,No,88.50417630788841,B,B,-206.62964202924488,154.30632708324427,0
Heterosexual,36-50,Other,Both,-115.95933326231467,A,E,-126.40955190471774,-48.103876127424705,1
Other,51-65,Male,None,-11.441827073012915,C,A,-41.406884313987995,-252.78260548831955,0
Heterosexual,18-25,M,Physical,-65.36024731303738,C,E,-91.17410773474059,-34.923240925069365,1
Other,36-50,Other,No,-35.091956553534565,A,A,-59.97948546219563,112.13604233701761,0
Homosexual,51-65,Female,Mental,58.89861660522442,C,A,-37.25095287743444,-111.1363871212397,1
Homosexual,51-65,Other,None,119.28546310938985,C,C,-128.38749355111685,-69.86810318003937,1
Heterosexual,65+,F,Physical,134.0069140068431,C,C,-104.90127997606271,-24.609633725727193,1
Bisexual,65+,Non-binary,None,128.83290665251604,B,E,-107.10921741394435,-129.14945050390008,0
Other,51-65,M,Mental,60.71568273243714,B,D,165.02637941451047,132.86863723859338,0
Other,65+,M,No,40.04736959083327,D,B,-41.62615372342415,-162.15158000976373,1
Bisexual,36-50,Other,Mental,-31.374459597031567,B,B,-1.4634062740317038,-219.89669586655444,1
Bisexual,26-35,M,Mental,-56.99885637197527,E,D,-5.534961210462156,-93.12374247652988,0
Heterosexual,18-25,Other,Both,-5.460552769044584,E,A,-41.75026270849557,-51.870621633401925,1
Heterosexual,51-65,Male,Both,-39.30114589099887,C,B,-136.99343545570972,61.43325818699134,1
Homosexual,18-25,Non-binary,Both,-38.51923713402125,E,C,-88.96401921937664,25.596654451748176,0
Other,65+,Female,None,-30.95093427969572,C,B,-61.112464540840286,-22.37263159310001,1
Other,18-25,F,No,-15.568293549434564,A,C,-76.45775201786064,-108.4206446865953,0
Heterosexual,36-50,F,Physical,-82.69435028272648,C,A,-99.71315636035835,25.09489983473221,0
Other,65+,F,Mental,-57.77392237219717,A,E,-117.3826192482109,78.05811958352719,0
Other,51-65,Non-binary,Physical,-175.82469657705138,E,C,54.720596849335415,-25.91502523949898,1
Heterosexual,26-35,M,None,-140.09071534732456,C,D,-75.95629345966356,188.2838442538268,1
Heterosexual,51-65,Non-binary,No,-102.62384753945754,B,B,-62.42106742821855,45.8642337293935,1
Other,26-35,F,None,122.95342134002492,E,D,127.69076479633897,25.713816918372302,1
Bisexual,26-35,F,Mental,30.108649581329722,A,A,15.195955280706968,132.11778072870467,0
Homosexual,65+,Female,None,-155.78688308203627,C,B,-108.11381276430363,-13.395204058858177,1
Other,36-50,M,Yes,138.20870659120303,D,B,26.741366977657155,-57.19874291929202,1
Homosexual,26-35,F,No,51.816336720108325,A,B,40.67265038983055,-86.2333027591483,1
Homosexual,51-65,Non-binary,None,-144.16184338169523,E,B,-101.38741767385177,57.31784097616098,1
Homosexual,36-50,Non-binary,Both,-34.202853838409055,C,A,-130.17296354424386,37.73961572216825,0
Heterosexual,26-35,F,None,-104.3062629104725,D,D,-94.36297609319301,60.87554521255899,0
Bisexual,18-25,Other,None,-108.53717031288978,A,D,10.364774642688515,8.12179688350218,0
Homosexual,65+,Male,Mental,71.70305056671872,C,B,48.32037066643618,0.12552247797987448,0
Other,26-35,Female,Physical,105.68204164281521,E,B,-2.8076287455747146,92.62164066790439,1
Heterosexual,26-35,M,No,59.60814155537173,B,A,-99.7298700136425,-45.08785905784218,1
Bisexual,26-35,Female,No,39.58786884739347,B,C,153.65443482663258,132.03908640712532,1
Homosexual,26-35,Other,Both,-41.128657551744176,E,A,132.36476954232268,49.08408773733208,1
Bisexual,51-65,Male,No,-27.67131328648914,D,D,102.91662558946135,160.2428998248437,1
Homosexual,26-35,M,No,22.295206244069252,E,C,-9.690188180688777,9.133194810683314,1
Homosexual,18-25,Other,No,-88.89657489376295,E,B,-80.75456654737435,45.338653896043866,0
Other,51-65,Non-binary,Mental,53.9091204534683,B,A,-181.16486230308138,-141.4472017906563,1
Bisexual,51-65,F,Physical,-59.4391579664484,D,E,-15.695239007230894,167.98278355318476,0
Other,65+,Male,Yes,38.04679206112202,C,E,-34.19601087426412,87.83924953377405,1
Bisexual,51-65,Other,Physical,110.88959200510244,D,A,-61.44777338439014,-18.79672876569044,0
Homosexual,18-25,Other,Both,15.727410714670636,B,A,301.29384075781695,-80.41225658921012,1
Heterosexual,36-50,F,None,-72.48451666876313,E,A,23.13264081956652,104.74838366114199,1
Bisexual,18-25,Male,Both,73.71152723964236,B,A,-47.999645002557706,-11.11972126337971,0
Other,36-50,Non-binary,Physical,-113.33228627877807,E,E,8.15618882076266,24.981016442451743,0
Heterosexual,26-35,Female,Both,-40.341949099338045,A,E,-236.21959230048884,-54.87809325451306,1
Heterosexual,26-35,Other,None,-121.8166354128085,A,A,-29.489969025713393,105.19901273509265,1
Homosexual,51-65,Non-binary,Physical,39.26380571889484,B,E,-171.08839595776368,96.95655587205506,1
Bisexual,26-35,Female,Physical,55.864127489897,E,E,216.5998068111699,179.3390585938565,1
Homosexual,36-50,Male,Both,-33.55184948685304,A,B,127.56378154075072,108.26665735438796,0
Other,65+,F,No,8.377727669572014,B,C,-84.03453372295581,132.28041841710686,0
Other,51-65,Female,None,-0.06912609828268539,C,C,126.51050156159607,-59.068977717780726,0
Other,51-65,Other,Physical,109.55915045442256,B,C,-104.75641840284027,13.473901460632442,0
Homosexual,51-65,Male,Physical,-11.368348186176808,C,D,-97.96168405932902,37.103154025456746,0
Bisexual,36-50,Other,Both,142.83596154136652,C,B,16.306664975380738,-71.69031673764562,0
Homosexual,65+,Female,Both,59.49809728788091,B,B,37.76650474967476,-31.340655991850458,0
Other,51-65,Other,No,20.055864262631324,B,E,-34.12023596642524,-25.069080796438758,0
Heterosexual,65+,M,Physical,9.55274954655126,B,D,-171.7427743157618,-57.91722604342876,0
Other,65+,Male,Yes,-11.987282807522574,C,B,167.41772892183417,17.817288152388222,0
Other,36-50,Non-binary,None,144.2713060222709,C,E,70.60558170522239,164.84022170053697,0
Other,36-50,M,Yes,-52.81942498179695,B,A,-31.42513560665179,20.11215933848997,0
Heterosexual,51-65,Other,Mental,129.77500531453546,B,C,-4.561191997572822,-53.80851674631991,1
Heterosexual,26-35,Other,Both,44.922006044505615,E,E,-143.8561388008964,-69.14559912554957,1
Other,36-50,Other,None,43.0111394508472,A,C,-14.153376432798137,209.79572977601347,1
Bisexual,36-50,M,No,64.25582752298648,B,E,95.46309849080411,-7.652470242354076,0
Bisexual,26-35,M,No,-6.3523644750967,A,B,109.17373728040072,5.065215140508847,1
Heterosexual,26-35,Non-binary,Both,155.32757232952946,A,C,56.39528311057435,47.21338443599629,0
Heterosexual,65+,Non-binary,Mental,-6.994885082114326,B,E,-33.804290467232626,-77.61714504810001,0
Other,36-50,Female,Both,-206.85268408511632,E,E,73.70033266565598,58.14696007032428,0
Bisexual,18-25,Female,No,51.02354816193313,D,B,-15.799642182734033,-109.933971890446,1
Other,18-25,M,Physical,-74.69728970245195,D,B,207.63317797642634,-24.84383996858541,0
Other,18-25,Female,None,57.38238150981637,D,B,66.12671412460375,-101.88099233420186,0
Heterosexual,26-35,M,No,-64.88567799200305,D,C,17.726041273073474,-58.19214360438843,0
Heterosexual,18-25,Non-binary,Yes,12.053303526900326,B,E,-80.7660962741061,-90.25558765794682,1
Bisexual,51-65,Female,No,-88.04228432903956,B,D,-83.47246068528683,24.740100741687677,0
Homosexual,36-50,M,Physical,-168.5928385937804,D,D,-11.908837041458776,-36.02484308082028,0
Bisexual,65+,Male,Physical,133.5792851317226,E,C,55.402703784676966,68.78605122935427,0
Homosexual,26-35,Female,Mental,-113.60754835846674,D,D,65.41515863915943,-180.3483888381692,0
Homosexual,51-65,Male,No,122.59346065553609,D,A,-93.73938481455806,-131.13149573932574,1
Other,26-35,M,Both,-157.56032498392477,A,A,108.0799686148336,-88.23071920631442,1
Other,51-65,F,Physical,105.65478777245364,D,C,-27.1427052399256,45.18702368982405,0
Heterosexual,18-25,Other,None,-263.73004671704695,E,B,8.53774160095789,-166.09196349676674,1
Heterosexual,26-35,M,Yes,-18.324669030110822,A,A,7.2067577836333205,14.9653704272795,1
Heterosexual,65+,Other,None,66.55526378419299,E,A,121.07632121395544,55.73207623605375,1
Other,51-65,F,No,34.78647140821076,E,B,58.400048056372775,35.91060857197946,0
Other,36-50,F,Yes,-10.386284401644247,E,B,-138.53415129273947,-8.907592102674739,0
Heterosexual,36-50,F,No,-82.25049604985382,D,C,121.93255317286476,201.54667548335982,1
Bisexual,26-35,F,Mental,-112.37468312869865,E,D,-18.616916336092768,145.36762186039354,0
Homosexual,51-65,Female,No,137.6702187677238,D,E,-118.64902367140276,-168.34195050747397,1
Other,26-35,Other,Yes,-63.748058106794794,A,B,-161.24702479939214,-16.479758707318794,0
Other,36-50,Non-binary,Both,-13.949697585424973,E,E,-52.68876756519395,-104.81352194840021,0
Other,36-50,Other,Physical,28.538333439815194,E,E,48.621223400072836,-106.87224255747954,0
Heterosexual,65+,M,No,-49.68205163949469,D,A,23.4585694885837,-96.98620114331304,1
Bisexual,36-50,F,Physical,76.78046846410082,A,C,71.76597301672018,-1.8130374243747132,1
Homosexual,36-50,F,No,124.44194559415548,C,D,-246.04811132281884,184.77395933855195,0
Bisexual,65+,F,Mental,-55.51092098172098,A,C,99.36589020372423,30.713711672758432,1
Heterosexual,36-50,M,Mental,-6.487965324438756,D,C,166.74755283855265,-20.5168722196236,0
Heterosexual,51-65,F,Both,116.5935232839108,C,B,53.78919791658211,-101.32440455258944,1
Homosexual,65+,Female,Mental,122.37437426075593,A,C,12.456820233315872,33.79707881835223,0
Bisexual,51-65,M,No,71.08261005087503,D,B,-225.32868065600263,55.62215104496521,0
Heterosexual,65+,Other,Mental,166.18464896441566,B,E,-13.514564887169675,-53.384605744505755,1
Bisexual,36-50,Other,None,-36.3602518228101,B,A,56.55894226626694,167.11586336516584,0
Other,36-50,Male,Mental,60.51356289301558,E,C,33.09459202892802,-42.14485162761251,1
Homosexual,36-50,Non-binary,Physical,-38.47595691724727,D,A,39.608103828383136,-68.09710917480967,1
Other,26-35,Female,None,-58.7634355400681,C,C,100.18383987214459,220.10039060774628,0
Other,51-65,Other,Both,-38.47916841255598,B,E,58.784374641352144,-8.413578415822355,0
Heterosexual,51-65,Male,Physical,31.992512252353368,E,E,45.424347478695054,102.66729622657229,0
Bisexual,51-65,Other,Physical,-54.78480247855345,A,B,173.28306600724665,-4.538903678795802,0
Bisexual,18-25,Female,Yes,102.32000379456811,B,E,152.0764627073934,107.56872096664792,1
Other,26-35,Non-binary,None,33.12038075695954,D,A,-54.737649905706895,-25.17599153106592,1
Other,18-25,Male,Yes,89.54233108132334,C,D,-22.36749921755361,151.04114015986607,1
Bisexual,51-65,Other,No,78.4471907714628,C,D,109.46178948368792,159.37352000087256,1
Bisexual,65+,Other,Mental,5.550350806951821,C,C,193.62525999263198,48.551624515713414,0
Other,65+,Other,Physical,166.2951041957284,C,A,-32.12212486919797,19.76958543183263,0
Homosexual,51-65,Male,Yes,136.32916419696036,B,C,-35.00730310554232,42.53423326928983,1
Heterosexual,26-35,Female,No,18.89608538029565,A,D,-48.8522945137513,-87.83291800651988,0
Heterosexual,26-35,Non-binary,No,19.23361253047895,C,C,-0.19926786104482974,-6.01403527899408,0
Other,65+,M,Both,89.02537476853882,C,B,34.94773765435871,-270.59031667558673,1
Homosexual,51-65,Female,Mental,10.007268437360391,B,A,104.20972231058833,-18.733524668022795,0
Homosexual,26-35,Male,Mental,-50.17615794246185,B,C,37.03553178649537,47.66769762066557,0
Heterosexual,36-50,Non-binary,Physical,92.9886211343839,C,B,-95.63418005585459,61.26842434882461,0
Homosexual,36-50,Female,Both,11.933199422777609,C,E,19.07620765358379,5.738560785673644,0
Bisexual,18-25,Non-binary,Physical,-184.99293939950152,A,C,-52.19043723571672,190.70551160583068,1
Other,18-25,Other,Both,-36.61144105789012,D,B,-29.265825431249432,95.66036483870994,1
Other,65+,Female,Yes,136.2277384216178,B,D,-57.16493794396342,18.7236094009299,0
Heterosexual,18-25,Non-binary,No,-36.32206366953501,E,E,92.77901473684321,-11.001652967481263,1
Heterosexual,18-25,F,Yes,-46.7555622733086,C,B,-160.5627440019599,-56.21468028607081,0
Other,51-65,M,Physical,-28.115509165083065,C,C,47.8865154786609,-161.82502667666853,1
Heterosexual,26-35,M,Physical,93.64706087781236,D,D,38.723817034384204,-126.13566791802275,0
Homosexual,51-65,Male,No,154.26253308491943,C,C,-40.27541428139349,45.84298121065415,1
Heterosexual,65+,Female,Both,-89.20657354342734,D,C,-49.461761442065,-33.68022906653883,1
Heterosexual,51-65,Non-binary,Yes,55.272747544747446,B,D,-21.652030158290096,18.97937446960856,0
Heterosexual,26-35,F,Mental,93.66519312279556,A,B,22.0486322435991,-75.42665267517683,0
Heterosexual,18-25,Male,Both,-18.44687279354752,C,B,33.9530002588441,-61.61438426001437,1
Bisexual,26-35,F,Mental,67.90053618197453,D,B,33.11501550184003,17.22597967474144,0
Other,18-25,M,Both,-96.71568098113978,B,C,-50.64029660885371,119.83611916846866,1
Other,36-50,M,Mental,-125.48277197639396,C,B,112.44662969536788,-23.909153447337054,0
Bisexual,65+,Other,None,88.90397730880564,B,A,106.63403358866756,-17.671954880214635,0
Heterosexual,65+,M,None,-38.424984924619196,B,A,19.691192107606565,-109.22970352001353,1
Bisexual,18-25,M,Both,79.05961177923176,A,C,31.741581288400546,-40.354165817561814,1
Heterosexual,65+,M,None,18.59876762930672,D,D,-129.4191568782642,61.055480656925646,0
Other,26-35,F,None,94.05668399689334,C,C,180.31388236251516,83.33672302504871,1
Bisexual,18-25,Female,Mental,169.9414083080999,C,D,-40.14490181670535,-38.838384326859256,0
Homosexual,51-65,Non-binary,Mental,72.71525973948965,A,C,50.87335559936754,102.73176085002001,0
Other,51-65,Non-binary,Mental,-30.062585337497772,E,C,82.29508754169,2.9255222475259526,1
Other,65+,F,Both,-75.07470329957245,A,A,-57.067912792488606,90.86272539425133,0
Heterosexual,65+,M,Physical,-85.4710982975706,C,A,39.780861132836804,80.37240615877707,1
Other,18-25,Non-binary,Yes,-7.87611205142026,B,D,-230.7122613468252,-56.88842311021496,1
Bisexual,26-35,Other,None,-178.4137185379898,A,B,-43.94118539621666,-27.51120020699925,0
Heterosexual,26-35,M,Yes,-41.50913874257753,A,A,-40.79080077466924,-65.87654313422739,1
Homosexual,65+,Female,Mental,-9.797252840254483,D,E,45.11077802047446,-121.46235429305621,0
Other,36-50,F,No,23.39409226135337,D,A,-102.17468628699584,-30.34266112041365,1
Heterosexual,65+,Other,No,138.97425333414733,B,E,75.02305723309645,65.52278959656596,0
Heterosexual,36-50,Female,Physical,147.90327266158107,A,D,-92.46444142889575,58.34656822856389,1
Homosexual,26-35,M,Physical,-9.189644929861391,B,D,-40.28749555364045,-143.49784731613985,0
Other,65+,Male,Both,137.58992118045805,A,C,81.44755275245556,120.2386664037117,0
Bisexual,65+,M,None,111.45008329628445,E,B,-37.76582328469795,129.04241366045324,0
Other,26-35,Female,No,132.72993928384008,D,B,-57.235618264551725,11.939306502498367,1
Homosexual,36-50,Other,Yes,-34.879724394242324,D,C,20.153333568157127,3.1780084943294247,1
Homosexual,18-25,Other,No,-8.985108368638063,D,B,-39.5175842449049,44.05484062272097,0
Bisexual,65+,Non-binary,Physical,-243.96468979809632,C,C,-97.0796463054574,-22.950479706055056,0
Other,36-50,M,Both,-27.05577403945936,C,E,2.5587102613057056,61.21110850686486,1
Bisexual,18-25,Male,Yes,-33.81568346131002,E,B,4.190063993906685,142.67008226328758,0
Heterosexual,36-50,M,Yes,6.65326484397974,D,B,-119.29666531320822,37.87290508521034,1
Bisexual,65+,F,Yes,46.98056639463659,E,B,-180.33973888838943,10.469962601150298,0
Other,18-25,Female,Physical,131.16795372886284,E,C,87.25970452154542,3.332151079259385,0
Homosexual,36-50,Female,Both,-38.69728118826076,E,B,-119.77510048324645,68.6719660427158,0
Homosexual,18-25,Non-binary,No,132.07868304487306,D,D,6.847370710831489,26.155433319189015,1
Bisexual,36-50,M,No,140.33670829082595,C,B,-72.87633340949856,65.52185043096691,1
Heterosexual,65+,F,Both,-4.534690007736926,A,D,91.55610434662525,16.31128304051832,0
Other,65+,M,None,185.6895202587988,E,B,201.74098318763689,30.948635216375052,0
Heterosexual,51-65,Non-binary,Physical,-148.57547972927915,E,C,45.25394445725159,43.23311933363215,0
Heterosexual,26-35,Non-binary,Both,-13.29117362702981,C,A,14.203155369169663,84.10074943376115,1
Other,26-35,Non-binary,Mental,84.83928322847477,A,C,125.75638420367252,-58.16307922111304,0
Bisexual,26-35,M,No,-122.66764201594273,B,E,72.73546995185485,84.93021652331298,0
Bisexual,26-35,M,Yes,-91.56470971102414,B,A,121.26639952859799,-127.02545926479854,1
Other,51-65,F,Yes,66.3528956915748,D,B,25.790117873611123,152.68874802919623,1
Bisexual,26-35,Female,No,172.55212402530924,E,B,32.123132590326215,119.56665233789055,1
Homosexual,36-50,Male,None,228.17129161165903,C,C,10.531802643852147,103.12259160336932,1
Heterosexual,36-50,Other,Physical,-46.415254457761655,C,B,-115.30250788080623,-274.65742275649967,0
Other,65+,Non-binary,Physical,-13.395077143513387,C,A,-137.38118691449458,-35.509544340580526,0
Homosexual,26-35,Male,Both,134.07868402642208,C,C,-31.783303518389765,-155.07183888101142,1
Heterosexual,18-25,Male,Physical,-188.5197819517353,B,D,229.9605019231461,-19.21077311309098,0
Heterosexual,18-25,M,Mental,50.71108296720909,C,E,22.88097676246051,184.78769311173482,1
Homosexual,36-50,Non-binary,Physical,-90.1001113734264,E,A,63.99386356734511,39.012272221948216,0
Heterosexual,36-50,Other,Both,-89.0916431120956,D,B,14.823877128093304,-51.46622203384901,0
Bisexual,18-25,Female,Physical,-16.07228095768846,E,D,26.217466628079876,-36.0379719195896,1
Homosexual,26-35,Female,None,55.55443650588129,B,A,10.1791922219635,-109.09400736872892,0
Other,51-65,M,Mental,-186.12563329741678,C,E,31.512474306898973,2.189664462832042,0
Bisexual,36-50,M,None,-176.93961262881868,E,C,67.78423103634267,87.04329700107309,0
Heterosexual,26-35,Other,Physical,-97.27427032198966,D,A,-26.283994922617737,-44.975314457166945,0
Homosexual,26-35,Male,Yes,-80.41694069851938,B,E,-64.40545901199886,146.70640243236255,1
Homosexual,51-65,F,Mental,-35.20725886335858,E,C,-37.52314641364158,-143.97755026154175,0
Bisexual,65+,F,Both,58.07315853657761,A,B,-65.95463885544646,-189.60167510511627,0
Other,26-35,M,None,166.7415368001026,D,E,-81.4527064233449,-30.961293582326878,0
Bisexual,18-25,Other,Mental,-92.95315970539242,E,D,34.139975529325596,-127.25859126404895,0
Other,26-35,Other,None,47.92057885458864,E,E,143.4959563252533,27.806525237354347,1
Homosexual,18-25,Male,Mental,-42.236455807637086,D,B,70.84218803109277,-13.091663774429152,1
Bisexual,36-50,Non-binary,None,-37.569231826222705,E,C,-74.71604090895067,74.96056935007081,0
Heterosexual,51-65,Female,Both,21.15285147280104,D,B,32.061364316154666,-4.183177535482221,0
Bisexual,36-50,Other,None,-97.4956152541432,E,C,-218.10389141409755,47.99870984103321,0
Heterosexual,51-65,Female,Yes,14.70884911624979,C,D,36.52634965061516,-18.773348772863123,1
Homosexual,36-50,Non-binary,None,-98.25196211763803,A,B,-190.85821877295982,-14.264318598863754,0
Heterosexual,36-50,F,No,-55.73248860573891,C,E,-8.022604496736205,-10.509827741929051,0
Homosexual,26-35,F,None,-145.2098401627926,C,B,-154.96836798252968,122.75179353519982,0
Homosexual,36-50,Male,None,-102.06786992665944,B,D,-80.67210330359836,-207.6554648074917,0
Other,65+,Other,No,-24.817662245643103,A,E,-242.91118115803533,-95.74335866504266,1
Homosexual,51-65,Other,Mental,75.9347006949713,A,E,47.28617353398178,-139.1517157021524,1
Other,51-65,Male,Mental,-15.396742429001236,C,B,55.84381598992613,-58.08709476706076,0
Other,65+,F,No,-10.876582793442704,B,E,-92.3359762765384,-28.765027965243235,1
Bisexual,18-25,Non-binary,Physical,45.97364239747513,A,A,45.36734696185548,127.19965167086973,1
Other,65+,Non-binary,Both,-59.77306616493587,C,A,36.982289533702165,101.42383547772253,1
Other,51-65,Non-binary,Yes,101.26674973513425,C,C,0.4564743257822991,8.222045379475826,0
Homosexual,65+,Other,Yes,-54.42092197815168,E,D,59.74189036093121,166.51774932757624,1
Other,18-25,Non-binary,Both,147.1059148072336,B,B,73.91360484462626,3.873898117054845,1
Other,36-50,M,Physical,28.238989659159774,C,D,-86.81328941896123,-50.17562575523705,0
Bisexual,36-50,M,Both,-46.50736378440368,C,E,40.55071510053649,44.90319819937935,0
Homosexual,51-65,M,Physical,182.9230693159186,A,E,60.561773426724045,-96.20259796172247,1
