ethnic_group,military,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Hispanic,Yes,Both,A,D,-143.47920673452938,41.254833671847,A,-62.25660983304857,C,E,A,-46.56298373016412,112.86899160014099,1
Black,Veteran,Yes,A,A,46.53848736193508,-120.01226676192253,D,-12.503208787524411,B,C,E,-86.60595145698625,-87.5366009968592,1
African American,Veteran,Mental,E,E,68.31720100456538,47.24430593888746,A,-86.65561630476533,E,A,E,54.638223577497605,87.76902734233687,1
Black,Non-Veteran,Both,B,E,21.297680174173344,-96.41743986424625,B,20.723768555247812,A,B,C,105.80122794052005,-32.88743211184225,0
Other,Yes,Yes,A,E,-170.10569120548735,74.03225369608299,E,-16.101379137789156,C,A,C,-6.642490297996728,19.497636078189036,1
White,No,None,A,A,-34.033065690617086,26.061035106465784,D,56.14655657242804,A,D,A,-68.48225132887119,69.00939709853431,1
Hispanic,Veteran,Mental,E,E,-81.6458676541449,-11.642340239696884,A,-45.995117992549005,B,C,A,-43.13224619943304,52.087053266266295,0
White,Veteran,Both,A,B,6.690018620096934,43.86927918986942,C,-67.45438394239326,B,B,D,-58.88495079060385,214.05185281893918,1
Black,Non-Veteran,No,D,D,-7.338531856867818,-45.39505319432189,D,-67.5460128009457,C,B,A,-36.61701624701014,-55.26819292366456,0
Black,Non-Veteran,Both,E,E,-28.250464342168456,91.10523933700424,E,-35.483913920785305,A,E,E,-32.11327907940621,-18.262175627764986,0
Black,Yes,None,B,B,68.10435901988893,-38.68726393196359,E,-134.37252168715932,E,E,C,-138.5574943740205,43.88886397582295,1
Hispanic,No,Physical,E,B,-175.15040457806,82.66418923878459,B,58.742281719272825,B,A,A,-97.02107674345541,169.6348067459177,1
Black,No,No,C,A,-167.0626714857069,-21.897066231542198,C,104.06228451249449,E,C,A,115.15497664508581,-182.90048661273147,1
African American,Yes,No,E,D,-152.92646550548062,-2.4897593359239405,C,7.253027465051141,C,A,E,163.30105393744626,-116.57953024274236,0
African American,No,Physical,C,A,65.67754000239424,98.07420043396061,D,-11.289852989193596,A,A,B,16.402108480281107,-76.50154983281455,1
Hispanic,Veteran,None,E,A,40.26802987632602,-50.66935766664245,B,-50.076879003025134,B,C,C,7.994917536289744,94.61333245269486,0
White,No,Yes,E,D,-54.46489672565761,144.74447633429327,E,-115.00200994433843,D,D,D,-144.24367355545402,181.16356597309073,1
Hispanic,Veteran,Both,B,E,122.45520662087421,6.585244992444316,D,5.42550720131792,E,E,C,-94.2504000722314,-54.61979130070701,1
Asian,Non-Veteran,Mental,D,D,-22.905866743237155,-265.2202026731265,B,-6.922119495365322,E,A,E,-26.43348448491667,105.71705652981866,0
White,Yes,No,D,A,68.76114043597497,71.40430944603136,E,-184.88174499001423,D,E,A,-128.98223766649036,13.65354193389374,0
African American,Veteran,Physical,A,D,71.85011570801898,-60.04904383750237,B,0.09841739997724121,E,B,E,-150.24662017657127,-128.49982185920382,1
Asian,Non-Veteran,None,D,B,203.38538192517882,-0.3425873827655695,A,48.584960384389156,C,D,E,-61.0297170886818,-154.89840664568447,0
Other,No,No,D,D,-145.9458243659771,-146.76363020271728,D,28.568776642963467,A,A,B,-32.891933810968524,-34.6934765910697,1
Asian,Yes,None,E,A,-52.70648945262476,-95.39583082780426,B,198.31619768503447,C,E,E,13.328204082883769,-132.39062382977852,0
African American,Veteran,None,B,A,154.90911143940704,29.180494283322144,C,-99.30854432828916,A,E,B,9.106813395530818,198.17642234050837,0
Hispanic,Non-Veteran,Both,A,A,51.27292497440933,72.11281757543911,D,-36.976096026619345,A,E,D,7.023530427077591,-45.135116333175276,1
African American,Yes,None,D,E,-149.6670511011511,-103.8550141083393,D,-195.47012491753105,B,B,B,-106.96987051473866,-93.42443671908337,0
Other,Non-Veteran,Mental,C,D,50.27965745825291,-40.72680119939664,B,45.558971940913665,D,C,D,127.66359485274232,148.01092781284368,1
African American,Veteran,None,C,D,79.60828176396811,-62.21967180042424,B,192.97201918821486,B,B,C,41.14521434354516,-22.58687271883728,1
