Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
59,B,E,E,-102.28061184532487,E,C,56.03989586926611,1
69,B,E,D,-85.07843958996074,A,B,62.007062473652766,0
92,C,B,E,33.31288138162042,E,E,-83.19433654618057,0
31,C,A,C,-93.06719691303553,B,D,-60.29339894180168,0
93,D,A,D,10.23391818919109,D,E,-27.990226824447124,0
20,A,E,D,-1.8055779398175553,C,D,-49.91461413570549,1
62,C,C,B,-23.38047273503221,C,C,-94.96842538333343,1
97,A,C,E,-67.15006591656044,A,D,-14.974485933638121,1
98,A,A,C,1.1167110919640952,B,A,-133.67885267950078,1
65,D,C,C,70.26224979942396,B,D,3.431440495233301,0
68,D,B,B,-0.8630627830137877,D,E,-164.61653119454044,0
50,B,C,B,59.76824715605675,A,E,-115.88872936679806,1
92,E,E,E,36.4029004854119,D,D,-214.92072220489104,1
99,D,A,E,15.592920670308775,A,A,-188.7192697076315,0
58,D,A,E,136.70361862385548,A,B,6.77280420735774,0
98,A,A,D,-93.73949373069742,A,E,121.26642660785754,0
63,A,A,C,28.12282033095076,C,C,102.12472743579846,0
55,B,E,B,-87.46727834073111,A,B,31.72812983174169,1
84,D,C,C,-199.78905887432106,A,A,74.79382284811335,0
38,E,A,A,-103.56032166225783,A,C,-120.64214170119753,1
20,D,B,D,-33.65321521362906,E,E,121.94747856856245,0
54,B,A,B,-88.96649301865303,B,C,26.485435114962,0
37,A,D,B,275.1257417231734,B,B,-84.17828833588534,1
97,C,C,C,30.6288171071196,B,D,62.10543916551158,1
20,B,B,D,83.54442148498752,C,A,0.6244998128789075,0
32,A,B,D,37.83493394505492,D,B,8.919274673025996,1
54,C,D,C,147.6898222011897,B,B,-64.1655522192305,1
81,D,E,B,-109.16939865359598,A,E,-116.28263458799206,1
79,C,E,E,-60.852542778882665,A,A,-18.767967078512378,1
66,E,C,C,109.7190288257382,E,C,42.274982466375576,1
80,C,D,C,-1.3802331132216172,C,D,26.158600661679433,0
59,B,A,E,-111.60739493384237,D,A,-78.03062375697421,0
87,A,D,C,-56.25364583339588,D,E,143.78890067530804,0
37,A,B,C,42.53728441050663,D,D,-17.51266332720174,1
75,D,E,A,-2.4694059640817048,E,E,-23.514328537610574,0
74,E,E,A,131.67733651150496,B,E,76.06683879635318,1
20,C,C,B,-202.19175202192253,D,B,65.95437223298589,1
29,A,D,C,88.15130469937367,A,C,87.89559190966256,0
50,B,A,B,132.88833699825017,A,E,-95.07383487878978,1
82,E,C,E,187.16676231700987,B,D,186.31144489980724,1
85,C,C,C,41.42123867889161,A,A,72.48694600467763,1
23,C,B,B,-14.81889683117987,D,B,-75.26577872977933,0
60,D,A,D,49.56702841476748,A,D,-280.157047305955,1
97,C,C,D,-2.9493844978292043,D,B,61.6850087753481,1
35,B,A,D,-2.3379957851323825,C,B,-139.7927590090935,1
40,B,C,D,-63.013345192956784,A,C,-23.92127809139977,1
29,D,B,A,104.21019199159534,A,D,-86.27587876311591,0
61,D,B,E,-79.2261563299803,C,B,-7.007073713277919,1
65,B,D,B,-60.535749613199826,D,A,-94.13277420588105,1
67,B,C,C,-136.5867482461123,D,A,138.4659009228477,0
85,B,B,B,-19.178829969891353,A,B,-258.17839667571604,1
18,B,B,D,-102.00685266028712,C,A,57.15216135486336,0
47,C,C,C,-18.68063909131484,B,E,28.502917161202674,1
44,B,B,D,-32.123053664410016,D,C,-19.544446442882823,0
92,C,A,A,-80.98418437260567,C,B,105.32416145488253,1
40,E,D,A,12.962515306304711,D,D,-115.35319357157306,1
82,B,C,C,90.04836570474536,B,A,17.341037605468173,1
28,A,D,C,-76.76034159170221,A,B,-58.945311593434155,1
24,D,A,A,125.85111742440473,E,D,-65.50413309308128,1
18,D,B,D,209.26723817024606,A,E,-140.581537497871,1
89,A,A,B,-25.810185330554997,A,E,100.39356715290077,0
38,C,A,B,-108.9981744669027,A,D,-29.897835243104055,1
36,C,D,D,-135.27185912922297,B,B,22.635151565543744,1
22,D,C,D,-8.374675698955372,A,D,-65.67132786494393,0
95,E,C,D,-272.384812603599,B,E,69.75189618491775,0
27,D,B,A,120.01863405992357,B,A,68.37559340430347,0
80,B,B,A,1.7222850635130516,D,A,-9.145047360324677,1
46,C,D,B,-22.345569380433115,B,B,4.424757042436848,1
57,C,A,C,177.8079886495101,E,C,-37.043670897579204,1
69,D,A,D,9.200683270335146,A,B,198.6331543057225,1
53,A,A,D,-37.39418377215666,D,E,29.54072215869603,1
56,E,D,A,55.972444201197916,A,B,104.0192321671609,1
65,A,A,D,-71.13770594346953,B,B,-3.0897408787573597,1
58,C,A,D,99.13621057990795,C,C,38.10833519409901,1
64,E,C,B,-134.89775403412904,E,D,-133.0598070783352,1
34,D,C,B,76.474334444858,D,E,252.887645724964,1
25,D,D,D,94.03247515404158,D,D,-30.54903309428231,0
86,A,C,A,4.591224695732742,E,A,-22.075318906743576,1
28,C,C,A,1.7362045894089124,A,E,-69.95046745944538,0
37,D,D,A,96.14361056144111,A,A,205.79194030405904,1
41,D,A,C,-42.01450014393156,D,B,127.9132501656766,1
28,A,A,C,-101.80604131581738,B,B,34.99390715613276,0
59,D,E,B,29.325792028414405,A,C,-55.66400004199109,0
23,A,E,B,-79.2674530281912,D,E,-174.28755975311964,0
26,C,C,D,-149.72484778941487,D,D,150.03847650375477,1
40,D,D,C,48.63619117679924,C,C,-129.76082083857867,0
43,A,E,B,-10.936964550769442,C,A,-168.4517601762418,0
25,B,E,E,192.50520450591455,C,D,-258.1445317442326,1
36,B,E,A,106.88431143481307,D,E,-26.325106588253387,0
36,A,D,A,229.08022073338935,B,D,-122.3895868633102,0
62,B,B,A,-6.3144424232898695,C,C,47.863266595929986,1
54,C,A,E,145.04089370995743,A,C,63.39053702255381,0
78,B,B,A,61.68592948023809,D,C,-123.63354305928469,1
38,C,E,C,-77.07107385943559,B,A,150.49337617578252,1
68,A,D,B,84.24925488588694,D,E,-15.475062949145402,0
66,C,D,C,116.05469654228764,E,D,27.08277043278616,0
55,B,D,A,-49.230114129400896,B,B,77.94126325017943,0
76,B,E,B,170.74310083414355,B,D,31.324024889321443,0
59,C,B,C,-36.7474040338149,D,E,-25.814529857666574,0
58,E,A,A,-108.62455430092758,A,B,-98.14711156008033,0
59,A,C,E,-66.96153356131046,A,D,69.40289429757951,1
46,C,B,C,-85.22699511070273,B,B,54.56407858587168,1
43,E,A,A,-2.8942026444323603,C,A,286.1238839745163,0
70,A,E,C,-58.5804912503473,C,E,63.032146189898384,1
59,D,C,D,-105.02497396164456,D,D,-124.85236619010234,1
70,C,A,E,-36.24217515268983,A,E,98.20812242372865,0
41,A,C,E,41.4199334558064,E,C,-20.01471397098127,0
91,D,C,D,-83.02973317497433,A,B,59.39386499778294,1
83,D,B,C,90.55988700712625,A,E,-29.234879449496948,1
46,B,C,D,-23.64992346652247,A,A,-179.22747686382328,1
82,A,D,B,97.66093482429955,A,C,-6.33248633250828,1
20,D,D,E,34.4984201670302,C,C,-0.2689186572466263,1
67,E,B,C,-67.60942700146377,B,E,-127.30937715331736,1
67,A,C,C,54.47494022810564,D,A,-78.1406420852715,1
38,C,B,E,-141.72403538234994,D,D,-121.24649759159428,1
90,B,D,C,-23.828136571540934,C,C,44.420760443277466,1
55,D,B,B,120.73846765795946,D,B,3.6891901708914445,1
80,B,B,B,79.45670356108519,A,C,-11.583505720713621,0
59,C,B,B,-99.04233836109779,A,E,30.412528896234132,0
