country,race,Veteran,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
China,Black,Non-Veteran,Homosexual,E,E,-37.04204231399385,-17.044557473033866,B,-10.93146540233971,B,-85.00800110415251,0
Other,Hispanic,No,Other,C,D,-81.33478370916194,237.49189308701966,A,25.285134816850835,C,202.26401851373396,1
US,Black,Veteran,Homosexual,E,B,-163.15005169518093,-39.69445321607347,D,172.60401964647934,A,-80.94668508614944,0
India,Other,Non-Veteran,Bisexual,B,D,14.857420138959496,-4.745017652267814,D,132.43438666333424,D,-120.33440451937587,0
Other,Asian,No,Bisexual,D,C,-236.59331027014593,11.708875387293293,B,48.23812263015841,A,-39.14150140361306,0
Other,Hispanic,Yes,Homosexual,A,B,64.52513137793063,-71.06232558206194,E,143.6046451660142,E,-2.3752423060031407,0
India,Hispanic,No,Heterosexual,A,E,-75.38018951176602,-23.242275251879562,A,69.58082850141743,E,133.40364947232746,1
US,White,No,Bisexual,B,A,56.09324382706795,-141.37935386654047,C,-122.99050339268317,D,-81.21676732070372,0
UK,African American,No,Heterosexual,A,D,-229.63150237950418,19.384572068301306,A,-124.84557594893761,E,-3.643701520018716,1
India,Black,Non-Veteran,Heterosexual,C,A,-155.62585016861135,-150.08436474655974,A,-61.433936741295184,C,-226.9265128361955,1
Brazil,Hispanic,Yes,Bisexual,B,D,-69.44006888011906,61.3292962010812,E,-12.731393332821359,E,55.23425092499894,1
UK,Asian,Veteran,Heterosexual,B,C,29.30337733738207,76.94387725887245,A,79.5589868543948,D,35.14329436741937,1
Mexico,Hispanic,No,Heterosexual,E,B,-140.66506748414395,-66.19820871648619,E,-26.497563534641866,D,-118.34430630135148,0
US,Asian,No,Bisexual,B,A,-39.68615980749699,-28.475321535163772,E,-0.3931908488126195,B,-101.90072967644532,1
Mexico,Asian,Non-Veteran,Homosexual,D,D,-63.28668491512253,37.34410994027819,C,-28.659306913363615,E,-62.635249415467754,0
UK,Other,Non-Veteran,Heterosexual,B,A,-151.72527160818444,145.0670646260705,A,-10.209963714035059,B,52.16756926858832,1
Brazil,Black,No,Homosexual,C,E,159.4597601607977,-8.241517396479974,B,-89.59167145231035,C,1.909925908839342,1
US,African American,No,Homosexual,A,A,-170.43433522229586,4.644442820075235,B,231.40097013354824,B,-36.312191927590014,1
Brazil,Black,Non-Veteran,Homosexual,A,A,-20.4691321061206,31.573674005372087,B,-96.89336380192213,C,32.709414069434985,0
India,Other,Veteran,Homosexual,B,D,-19.21608484855307,-30.277267616257685,C,-113.04853516862259,C,-18.455975086199956,0
Other,African American,No,Homosexual,C,A,41.483269361992974,-31.392146844727066,A,-4.577243477293994,A,-5.873897265320411,1
Germany,Asian,No,Bisexual,D,C,-0.3722299857288926,8.635047181775635,B,-216.31116836626578,D,-5.256615193646728,1
India,Asian,Veteran,Homosexual,D,A,109.34527089276058,71.39451677423405,C,117.21272361098963,A,-70.47922879426709,0
Brazil,Hispanic,No,Heterosexual,C,C,91.1580382984246,-85.74733769808265,C,164.20075374748663,E,4.767079223825031,1
Mexico,White,No,Other,E,C,91.97270924430777,-109.23558184467113,A,-97.40120721931817,B,50.63436671199547,0
US,Other,Veteran,Heterosexual,C,A,3.134454362317257,-0.765646986414858,C,14.300458820876855,D,-30.768389950024645,0
Other,Hispanic,Veteran,Bisexual,A,A,102.114804773376,85.3253241086551,B,-55.76674521145113,C,134.56227880216815,0
Germany,Other,No,Homosexual,B,D,196.2563515179112,-59.831136294423374,B,70.606187040323,E,-46.30645067725842,1
UK,African American,No,Bisexual,B,C,94.62019540289373,-150.9768589336126,B,-24.130601226744385,B,114.04256412763951,1
Germany,Other,Yes,Heterosexual,D,D,-13.337355874830251,29.180655686608613,A,13.971317642621209,B,-91.04369467915433,1
UK,Other,Yes,Heterosexual,B,A,-1.229988092260843,-101.35033729677842,A,166.94189279893774,E,-146.9290414864936,0
Germany,Other,Veteran,Homosexual,D,C,-33.65537081838363,-23.00572960894157,B,5.472017768359102,C,-121.97621175542935,0
Other,African American,Non-Veteran,Bisexual,B,E,77.52297295523393,35.774531231998914,A,-13.546106362272564,A,-189.0580520316967,0
