married,sexuality,Age,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Married,Bisexual,46,Both,54.484872907551164,D,C,19.21419923345252,E,-65.91891283958395,-42.8015098904296,-70.79743418176375,A,1
Married,Heterosexual,18,None,168.44025850012625,C,A,-102.62848043221224,C,-43.7793692883585,-70.61065224661112,-73.60336411956541,D,1
Divorced,Other,50,Both,-15.454137341049371,A,B,-163.50830795915942,D,-113.04664911960289,-277.63957243491524,135.58286646827744,A,1
Widowed,Heterosexual,28,Mental,-68.11372027644185,B,B,-105.7862592061194,C,-74.73551970568899,106.67863410328802,87.94446592524623,A,0
Single,Bisexual,42,Mental,-92.82735878955887,E,E,-45.61740550094749,B,-95.70511553808608,-93.92245270937836,1.2476616592821868,B,1
Single,Homosexual,70,Both,-56.369669150509516,D,E,-51.75814525152411,A,-35.656433937282536,31.933756233509257,48.0647291698643,C,0
Single,Other,52,Mental,104.37355705606466,D,D,49.91234585128246,C,61.38895839796231,92.27584455064006,-190.85534853263317,C,0
Divorced,Homosexual,64,Physical,63.47956954280796,C,C,13.463533844971536,A,68.05480827846388,-65.23742149372477,-75.17637536769806,E,1
Single,Bisexual,61,None,-106.77908645763652,E,D,-189.13409984883776,A,4.778545626707027,-68.72081905475565,-44.290730375691425,C,1
Widowed,Homosexual,41,None,261.3689836415199,C,B,114.07634567938227,B,-32.861647000502906,-258.19230150549464,-46.801356023753655,E,1
Single,Heterosexual,48,Physical,-162.25997801429045,E,C,-44.694106288319105,C,-85.30797075801952,-24.012460443414174,-31.722199773302144,D,1
Divorced,Homosexual,50,Both,52.86224256724692,E,C,-9.945706839847018,E,10.629994930061693,-72.65143083566171,-204.28375044929842,E,1
Single,Bisexual,60,Yes,66.02309973577879,E,A,-87.45579197602447,D,182.49256959212866,78.62924326273114,-170.39434023022017,E,0
Married,Other,29,No,-4.39729896728503,B,E,-113.6050619077545,D,1.1972584659319903,153.9105909631209,-90.2903385576181,C,0
Divorced,Homosexual,65,Mental,55.877522386129655,A,C,26.402241122076646,D,71.25802583262106,-17.05402005521991,107.65480620146708,D,0
Widowed,Heterosexual,23,Yes,-69.92677247521122,D,A,-29.384428869264223,B,2.7302261418273437,89.180991477307,106.39406921579706,D,0
Married,Homosexual,77,No,97.36993993756121,D,E,49.75280337978722,B,-102.93378315654155,-71.79628831141292,-51.96758679266197,C,1
Widowed,Homosexual,39,None,-29.6754048310375,B,C,204.73144133368334,A,22.49316064482371,-198.59620697788,102.82448154772052,A,0
Divorced,Homosexual,52,No,-148.08665167286793,E,B,-152.36738408349956,A,-23.286145981278715,21.603192167553882,-25.936110985320042,A,1
Widowed,Bisexual,61,Mental,0.15582653304221356,C,E,-138.93793468516748,A,-50.156587591254976,-93.41487519911685,86.24780469457235,A,0
Married,Heterosexual,45,No,-132.5382012718161,D,B,-142.37354604744928,B,22.1318259460189,-62.22118858884495,12.912191706888887,B,0
Married,Bisexual,30,None,108.93962749147059,A,A,10.765794927953822,E,-82.06274332765982,-49.360478526634076,4.518877328056788,A,1
Married,Heterosexual,26,None,-35.554814313769704,A,D,61.53130171746039,A,50.20279580099795,18.117938361958064,101.64051554542797,B,1
Widowed,Homosexual,74,None,28.715485887432923,E,D,91.27010945001187,B,97.74635529016797,-117.22276271615095,79.74967545975083,B,0
Widowed,Bisexual,42,Yes,-78.18518518856679,A,D,62.80647454754611,C,35.945029343644535,-34.56241201428418,-210.26840730795846,C,0
Married,Bisexual,36,Mental,-49.237829598257754,A,D,-96.64422832790962,B,-9.26193989291406,41.87280709941967,138.76811601959696,A,1
Married,Heterosexual,56,Both,-47.21178257611341,B,E,14.02602348362918,C,-151.8506255315279,65.21215853297852,29.737064587554094,A,1
Widowed,Heterosexual,22,Physical,93.61674982032659,D,C,140.9578634621558,C,11.564467595265272,-74.7406181602386,-69.77114085212014,D,0
Divorced,Homosexual,53,Mental,25.0138778017571,E,A,70.11533762274986,D,31.96715636530143,-155.9039883050505,3.8082673287291473,B,1
Married,Bisexual,29,No,-3.7577381488717267,B,C,58.036037545168284,E,-5.480290596742499,33.43431087419009,61.90302373205,A,1
Married,Homosexual,61,Both,-46.65170616067754,D,A,23.68206339864106,E,-131.89727030739016,-174.7263371026343,-70.75751821953153,E,1
Single,Bisexual,68,None,-137.39682750546464,B,B,70.96236061066527,D,58.619035267143396,193.3517901770187,-24.28974277129373,B,1
Married,Heterosexual,75,Mental,-72.15114165991086,B,A,39.29735288580716,B,-71.24662532627003,-116.00430572180032,-88.91671865523898,C,0
Married,Heterosexual,52,Mental,-117.61986035347604,D,E,46.143208368940826,C,-79.06703066077125,116.05987032991003,-34.54074883168951,D,1
Widowed,Heterosexual,62,Both,-62.38854204584436,D,E,-12.725051684899514,C,56.611822397555336,59.196233030115444,-205.1257540787594,E,0
Single,Heterosexual,25,Yes,-122.79034461402392,E,D,-22.842152193642125,D,197.5766819430642,81.21267634614148,-42.24201327150682,D,0
Single,Heterosexual,60,No,-26.495094209017527,A,E,-216.72320503800862,D,-1.1114202428925823,-126.64021513172798,-24.983841988494856,A,0
Widowed,Other,62,No,51.44648987593688,B,E,-2.0879624163900243,A,164.81817542054057,49.06379532544721,88.89662214224639,C,1
Single,Homosexual,38,Mental,-25.140689398406945,D,D,-149.31987913299733,D,-44.489848671213714,164.12782110457294,12.843194518405966,A,1
Widowed,Heterosexual,74,Yes,-196.10490436972526,E,B,44.94130880666389,C,-13.575564013084268,77.33983547639215,-83.59937924523759,D,1
Widowed,Other,19,Mental,55.708642823544665,A,C,222.22534249831978,D,8.036206362804059,-6.168234860969466,-107.14776679880691,D,1
Divorced,Homosexual,74,Physical,-19.701600556735475,E,C,76.29123331248162,C,173.65074332393132,-39.745675763717706,-83.22961763906315,A,0
Single,Homosexual,63,Mental,47.260782190526264,A,D,44.272675337576764,A,-48.773650371004024,36.082013560612594,-7.203498614372982,B,1
Divorced,Bisexual,65,Physical,-69.73762144007559,B,B,162.81708229712032,B,102.57102699773479,-77.29878876208134,34.44520324192121,E,0
Single,Homosexual,52,Yes,256.5700074904773,A,D,-26.663246073612495,A,-35.559153229306645,-150.43935107209762,156.03336791080602,A,0
Married,Homosexual,49,Yes,-106.71480207222059,E,C,84.37084858605836,E,39.95251873559843,-90.04799339756828,179.05837616733854,C,1
Widowed,Bisexual,78,Mental,17.50355272014653,A,B,-56.19991606935544,C,64.82787520188744,-12.395452243643259,93.51171071744041,B,1
Divorced,Bisexual,19,No,126.97068230014735,A,D,-68.52123884348366,B,74.36618098902548,-52.63439157859755,-76.34365983123028,B,1
Widowed,Other,54,Mental,39.35322926511742,A,C,47.65994577304543,A,-121.08906864784896,-109.21809995078104,131.8922781113507,C,0
Widowed,Homosexual,27,None,-89.62107597920462,C,E,84.60907009729611,B,-190.68988923171452,-47.23457884981035,-99.89447835160445,E,1
Single,Other,43,Both,180.25118587509644,A,A,-61.727866415823755,B,136.2673312444886,47.32071758330576,-97.70494363084934,E,0
Widowed,Homosexual,22,Physical,118.58036865337458,A,B,-116.72653319014469,B,107.64682870926553,-112.84861563810398,-188.58293085588778,E,0
Widowed,Heterosexual,59,Both,-83.10541470235209,C,C,50.810290189718344,A,-35.60614032205886,32.649494863575526,-63.98633268576484,B,1
Divorced,Heterosexual,62,No,-96.48524928636256,B,D,-36.19842375220417,B,26.814287249631192,-20.999490092169026,-132.42302127926865,C,0
Married,Bisexual,64,No,35.84308705042572,B,D,-0.28301378650611253,B,135.39251472254563,40.13138094379883,166.96648204455244,D,0
Divorced,Heterosexual,62,Physical,-169.10991489054067,B,E,-1.9491100839362052,C,-82.34693081078923,6.755638029820438,-95.71755458760704,C,0
Widowed,Homosexual,49,Both,129.4634439473357,B,B,189.72598252624962,A,25.88777185015369,101.6354170982319,-98.55727962247445,E,0
Married,Homosexual,19,Physical,2.725103516308386,C,E,-128.41575526664974,C,-64.848828102547,70.86370929261663,87.0281169505224,A,0
Divorced,Homosexual,33,Physical,53.36575450402595,D,C,121.79206402266476,A,5.032121042285141,106.66802675334964,-34.85135099088962,E,1
Single,Bisexual,53,None,14.719161087603084,D,C,-51.670909126655786,D,-61.96831555631136,48.49517380647627,0.3568894068108856,E,1
Married,Bisexual,18,Mental,-22.55808934409956,B,E,52.16493480449179,D,28.013951457918218,103.35241687484074,-133.269302535607,E,0
Divorced,Homosexual,38,Yes,-145.4863852294122,C,C,115.96722142929828,A,-34.825350029125794,-109.40927321349913,61.43027106562534,D,0
Divorced,Bisexual,44,None,20.373722294689372,A,C,13.012754378176203,A,72.11893482494003,-81.95400413122147,104.1518474216766,D,0
Widowed,Homosexual,57,Yes,-145.49724089932232,A,B,-108.14723571846928,A,120.53635140125607,-79.61150583253345,135.72232768063955,C,1
Divorced,Homosexual,45,No,63.39401509880233,B,A,21.679958746699057,E,-23.38105512435628,-118.92399332371882,-11.08722198210863,D,0
Married,Homosexual,22,Yes,230.69707565983765,A,E,178.54133022094078,C,110.16177817652348,-203.84742148480294,29.57088077763448,B,0
