faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Christian,B,-83.64744585989436,E,-101.06592629383948,-128.0972798074528,D,1
Muslim,B,10.511367807056338,C,-153.67475180330464,-53.31361803429713,C,0
Other,A,-169.9350782424602,B,148.84518641751532,131.8419257750748,B,0
Christian,B,34.616695411107045,D,-40.00779003606888,-148.8869630428992,D,1
Buddhist,A,89.49429069998158,A,-116.7824543736575,-58.16339908057958,B,1
Muslim,C,134.02386024002578,C,-88.26555833652736,-115.68520566516499,E,0
Jewish,B,122.39199593914127,A,87.13324636322928,-34.62306346444816,B,1
Hindu,B,3.524579216235636,A,25.626754114439,41.851861363086755,A,1
Jewish,C,-151.44845659494447,E,-58.04460973940411,89.85575351230742,E,1
Hindu,E,9.433741309211557,B,-114.48882430736968,-17.338017858063434,B,0
Jewish,E,-40.743123621330035,C,32.418133200130946,-176.10967295507004,A,0
Muslim,A,-76.89209557525834,B,163.40209011597236,80.71210566124107,B,1
Jewish,B,72.41654100031681,D,28.624111924599333,-59.0950142971579,E,1
Jewish,D,19.726483391568614,A,10.813567290202222,77.09058185447103,D,1
Buddhist,C,212.14832035030696,D,20.5760907510462,-172.68603446079624,B,0
Jewish,C,191.19988412627012,B,-3.699540588134659,-29.96658816956043,A,0
Jewish,D,33.94168055464138,C,-14.031682224915912,9.522640999701014,C,0
Hindu,A,30.151931052218718,A,-27.94223941501175,70.09594915189582,C,0
Buddhist,C,-16.760335874772185,A,-43.887478848303914,41.084832773087946,E,0
Muslim,A,-169.00828370850857,A,-75.1703194982826,78.49689582930657,D,0
Jewish,D,21.05691660491246,C,53.85350400039888,-29.859638149588406,C,1
Hindu,B,-3.9526075275774857,A,-158.40837430440226,-247.81763351864075,B,1
None,C,-133.62606071282278,D,149.65646202155105,-50.742727875933255,C,1
Buddhist,C,-211.4438884811091,A,97.62457853039935,-89.52147728069309,B,0
Other,E,51.57014461417111,A,239.75841986153767,-146.31052871526452,A,0
Muslim,D,-145.7232242271382,E,39.149549177474,-58.19065637149537,E,1
Hindu,B,111.94081025948024,D,11.68712601785757,-172.4334437561822,D,1
Hindu,E,37.33929539600434,C,98.76048594663716,-128.51718255408852,C,1
None,B,-0.5664386540351327,A,-17.177134675999678,-27.881476073140103,C,0
Muslim,C,-94.7493575367263,E,-22.6642239904535,59.712728904460185,E,0
Hindu,B,-167.48280639848196,C,0.3947469738430332,53.4484414534348,B,1
None,B,-83.25671145530309,A,-48.757565294671124,133.59604862758522,C,0
Christian,B,77.5552104275379,B,95.08789140818148,-160.358889282749,D,0
Muslim,E,44.378568703488924,C,-86.41217303523595,-148.81230714733329,C,0
Other,A,44.43566504972616,B,-29.06056309838399,-4.176639372325,C,1
Jewish,A,-122.7311798558326,A,-39.66735028254597,61.892379909177855,C,0
Christian,E,124.09983398933149,A,-18.683798916839734,-27.77160966881883,E,0
None,B,-158.8133235335225,E,17.61248073232869,-120.30780018023081,B,1
Hindu,C,67.17500518645481,D,24.74088227852486,5.433961792122029,D,0
Buddhist,B,55.162509770030596,B,-30.170663372651042,50.007183793252075,C,0
Jewish,C,-8.664062227560406,C,-74.2664450572466,-19.388013877876855,C,0
None,C,-180.75923042127985,E,9.613520579298498,146.64423637625427,E,0
Christian,A,68.55068783223032,A,154.59771764527682,-3.7879977194089935,A,1
Other,D,-26.208178676620737,B,-111.4678119976856,-145.76554094474264,A,0
Other,E,-27.769269120174446,A,130.3476529417006,63.10198087648412,E,0
Other,E,-76.05257071003378,E,40.672261922314426,-2.445815787685345,E,1
Other,D,155.1925176002047,A,93.52585131739423,78.94073202698694,A,0
Other,D,-77.97135051256767,D,-141.10634023507208,-13.679617345385756,B,0
