sexuality,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Heterosexual,Germany,320.51124215995736,E,-77.39780044301791,C,B,E,C,D,B,-74.64044950957485,79.03615590336088,-116.48388583861752,C,0
Bisexual,Brazil,-97.89575302513394,E,-82.30504101558287,B,C,B,B,C,B,95.23045685374333,-64.01683998353064,-44.743840569460716,A,1
Other,Brazil,12.186347671529223,C,-81.27221827166397,E,C,B,D,A,E,4.335019674996656,68.62923950782174,-10.962911490619886,A,1
Homosexual,China,93.23004053725028,E,27.384791964838488,D,A,B,C,A,A,-150.23393005504104,-169.53292791871985,-42.25156847849084,D,1
Heterosexual,Brazil,42.62556475708771,A,-74.62651816739219,E,D,B,D,C,A,-52.60179451465387,-68.91218410986542,-217.3773777289989,C,0
Other,Brazil,56.0311937947504,E,83.41573423533244,E,A,C,B,D,C,26.837614777392783,73.11472108754513,-14.726281681514614,B,1
Heterosexual,China,36.92600595667456,D,-7.921161646519264,B,D,D,A,C,D,-156.46219398142676,38.31817123843935,205.85822731571972,A,1
Bisexual,Germany,-45.16119696362347,E,150.5196571369452,A,A,B,D,D,E,-147.6241718592843,-84.15529856007777,38.176950461722036,B,0
Bisexual,Mexico,19.77729334012794,D,-74.24738860687474,E,E,B,B,B,C,166.2889666380836,63.21012994912508,55.31796672014732,D,1
Other,US,-10.072188149046928,B,-112.14265019980249,C,E,B,C,C,A,-27.32149058708725,-39.214242526297,82.73709477242805,D,1
Other,Other,-154.2458109576412,D,92.77687947307427,B,A,B,C,B,D,-46.12522761566614,-102.18175201971383,168.35904054887197,B,0
Homosexual,US,64.10780025030829,B,88.4835068915226,D,C,C,B,A,D,120.3816750833039,64.03806914233161,-25.771967211601236,C,0
Bisexual,India,-77.66564989474652,A,-152.8699790007426,B,B,E,A,A,D,73.05269550942353,182.38352834612493,-57.68041729648197,C,1
Other,Germany,2.1055388007271367,A,98.68154939491616,C,C,D,E,E,D,180.22598346171372,-73.74328777282986,11.109306201546259,B,1
Other,Other,91.65299087962792,B,-111.31391867688103,D,D,E,B,D,E,87.04075367740943,14.85039768181014,-3.7258397759315227,C,0
Other,India,-7.531982239396127,A,4.509631126367097,B,D,B,A,D,B,-56.85397688558044,-88.89286581691107,-54.43072032115003,E,1
Bisexual,Germany,-133.4058794908304,B,56.45171722297776,E,E,E,B,E,D,-128.63534943588368,-19.081042503702676,71.92516272958864,E,1
Other,China,36.76083716695611,E,136.38951078102218,E,D,E,A,D,E,29.963806299677415,90.8165584685921,-81.1109688752423,C,1
Other,Mexico,114.51235758326972,B,22.041922645270322,B,D,D,A,B,B,238.71308311140362,26.290612664978568,-102.28299532897805,B,1
Heterosexual,Other,108.92075685965699,C,-9.936802004028808,A,C,D,B,B,D,-13.644975064341915,48.314986660144996,4.256162367786492,E,1
Homosexual,US,-95.1497198019725,B,-104.28607490768336,D,C,A,C,B,C,-20.865045175498004,71.73265020618061,7.547123630302844,C,1
Other,Brazil,115.34809947051635,E,-39.53591019964017,E,A,E,E,E,E,-55.70083316946642,48.46013666796081,117.12132296805025,C,1
Other,UK,-72.8430002169141,B,-122.52248099499991,C,B,E,E,A,B,-29.597180479574238,-89.26842262150925,43.818848186645724,D,0
Heterosexual,Germany,-153.38481373776492,A,-54.36491300600692,A,D,A,D,D,B,71.0135866921424,166.98661806927242,62.61557576769381,D,0
Homosexual,US,-141.27324665222713,A,-116.3206405936114,B,E,D,C,E,A,-144.01700912926592,-41.87186740374913,-68.28876843867943,C,0
Other,Brazil,-96.03370178921824,D,-88.97515247567765,D,C,B,E,D,D,-29.850230735655575,-10.805962912483444,161.7517390513848,B,0
Other,Germany,-140.26215853272464,D,120.07156222387107,E,B,C,D,C,C,57.706019679301114,-98.95644245183712,-130.97042927199152,E,1
Other,Germany,-25.650645645152004,C,-47.01825556396102,C,B,D,E,E,E,50.15052317684328,117.39105586545371,-4.643973428797042,B,1
Homosexual,Other,-81.13203737630997,E,123.27342140115954,E,D,D,A,E,C,-190.3707079800537,77.67927812419174,-233.64895493597123,A,1
Other,China,-152.61520320717938,C,-86.7919196856324,E,B,A,E,C,A,-172.3980269296797,-45.38228522476688,73.2067565480632,B,0
Homosexual,US,-66.7815305973574,C,90.16631630959921,E,E,B,D,C,A,-74.77850524707503,146.61055052465116,-46.42469621339698,E,0
Bisexual,China,-92.09211379905298,B,-0.5167835566693131,C,A,A,B,A,A,-27.07319159068841,63.356994124514564,-131.16128615936523,C,1
Other,India,-36.426324815017914,A,-22.867706695636,D,C,E,C,B,E,71.63029262402777,-182.03742009365402,-75.15680001812798,A,0
Heterosexual,China,17.588017620395675,D,-4.446916668714638,A,A,B,E,A,E,103.72167457427759,72.18490994778593,92.17362931229496,C,0
Other,China,-103.674986872271,A,103.38089584838397,C,E,A,B,E,D,8.622774633118892,88.2429080598368,-29.422729966342764,A,1
Other,Brazil,73.24937226609516,E,53.51793993184422,B,C,A,B,B,E,-111.1122227133477,34.539157319275816,36.249327181731644,D,0
Other,UK,-2.392242697229234,E,123.37728291957161,E,A,D,A,D,D,-35.820844912388964,65.90571873561315,-26.419300019187595,B,0
Bisexual,UK,-38.39130425368714,E,-80.26104014848435,B,C,D,A,A,C,101.65895211799487,22.74791117417752,-208.7823274948932,E,0
Other,India,-8.284024037770576,E,1.8182411913659786,A,C,E,D,B,D,163.39105693282474,5.0933800045006405,-158.18833837165116,E,0
Homosexual,Mexico,106.99861077444514,E,-103.92847713197773,E,A,C,E,B,B,-136.36169322486498,16.86359571568531,293.4512826605501,D,1
Bisexual,Germany,-159.71967567659811,D,57.78536280603822,B,B,D,B,E,A,28.65254848490145,46.61951822712027,52.095806052558956,B,1
Bisexual,Germany,7.149611378587828,A,-190.30893909352258,D,D,C,B,E,C,34.67342650435689,112.17327089552842,84.10296299824466,C,0
Homosexual,Brazil,41.600234481498575,C,-153.1817402797691,D,C,B,A,D,A,63.37656682180085,100.89827854673572,49.79290483096522,C,1
Heterosexual,India,14.479305491436445,D,-17.116799547753697,D,E,A,C,A,C,15.956654850959456,146.99239205517424,-143.20500074354118,A,1
Bisexual,Mexico,-56.45578564623639,C,26.739516147809734,A,B,C,D,E,D,-1.6000555654010398,-91.18090162574804,-31.178936413856757,E,0
Bisexual,US,71.34675827240362,A,-43.564143523113344,A,E,E,C,C,E,111.51207844480173,42.32285349167927,-50.434993230991466,B,0
Bisexual,China,46.69254703680055,E,-10.512979803305152,A,B,E,C,C,D,-30.990358827022195,50.06643972689412,42.241073273595745,C,0
Homosexual,Other,59.425520439499834,D,-205.04317517558178,B,C,B,C,C,A,-70.66385301447593,139.79191926930008,-115.08308028259151,E,0
Homosexual,China,-25.524042269595753,A,-76.67094125341679,B,D,E,D,C,A,167.1863233943103,7.470687795067718,179.67783296829217,D,1
Bisexual,Brazil,-38.76064367672337,D,-95.29859959257676,C,C,B,D,A,E,-143.34093465515713,-16.5747351656747,43.34906727104071,A,1
Homosexual,China,-2.832093990166057,C,52.95609863735511,A,A,E,E,B,D,79.10519264398728,16.601755384909676,-48.81050138533413,E,0
Bisexual,Germany,126.56383020320273,A,202.92648315999395,A,A,C,B,D,E,150.23237892830437,162.8817733541269,55.68533194614559,C,1
Heterosexual,Mexico,-30.61500508966369,E,-21.435137862472086,D,B,D,C,E,D,95.38660845231735,-2.4567848484627666,23.087380861153708,B,0
Heterosexual,Germany,-121.19621675777907,C,5.398383480472849,C,C,D,B,B,E,70.586085107671,51.38262680376127,-26.00882582825934,D,0
Other,Mexico,42.06663552667763,B,5.218160984921171,C,E,B,D,E,E,3.7308878105479315,-63.93292109014945,-42.39027777412688,E,1
Heterosexual,Germany,26.66110460318713,E,87.20645300651331,C,A,B,D,C,A,46.83458747801254,-33.05666232025723,-139.97881528177166,E,1
Homosexual,Germany,62.39840265568743,D,17.763345457047276,C,C,A,C,A,E,40.53200733034139,225.64548446832524,25.764404908032475,A,1
Homosexual,UK,26.473941551652157,A,-62.43465854179362,A,E,B,E,A,D,-264.48089025649796,-21.66527558862659,-99.59146639779941,E,1
Homosexual,Other,92.18468055939093,B,-105.78369656666051,D,B,A,A,A,D,-0.8383976201322711,36.03439040646546,105.93138918270051,A,0
Heterosexual,Germany,-89.12859154849826,D,-49.53320713576241,E,E,D,B,D,C,-90.76552886027771,-24.90263005006385,-74.62707342860958,A,0
Other,US,-144.42104189174373,A,-83.11444910335838,C,E,A,A,C,C,118.25177634925322,35.17865900397019,-1.5182808121836189,C,0
Heterosexual,Germany,-63.3312570380969,B,83.11330576594264,C,C,E,A,D,E,40.08417032454773,102.68543921981181,-33.42314593273233,E,1
Other,Germany,64.22996338048843,B,9.997173639017088,D,E,B,C,D,A,4.109841236133735,51.48614464479385,-95.90274109854133,C,0
Other,India,76.35813034733131,D,-43.00579983550989,B,C,E,A,B,E,-33.48732957198468,-161.34547068841042,142.24433882603196,D,1
Heterosexual,Germany,-84.3049755134295,B,-130.72448660433275,C,C,B,A,A,A,-23.25522035792298,-65.88222098696505,203.05019664399094,D,0
Other,Other,-91.44460155688814,A,-195.1383874413301,B,D,C,B,E,A,-62.17195272190929,-62.8667495237146,-144.48529062594102,C,0
Homosexual,India,106.99603443976655,A,108.21619906689276,E,D,C,A,E,C,-3.6568172481274717,32.270726906074756,-75.36145819495412,B,0
Other,UK,-208.85036034707,E,-22.33995268425238,D,C,B,B,D,A,102.84543673412536,-108.82999465169907,32.79051214195813,A,0
Other,Germany,3.1446391397544398,B,184.47004930265504,A,A,E,C,B,B,-110.17156951211129,42.03093102194803,-63.563473935835255,A,0
Homosexual,China,-8.129073843644878,B,-103.37573570965847,B,D,D,A,D,A,114.27040113121379,-121.2066530882435,-227.48616426245945,E,0
Other,China,-76.72448040108173,C,26.23213924327642,B,D,A,A,A,D,-88.47467613981367,-36.08542523992775,-4.574280417692943,E,0
Heterosexual,India,-136.69375720618845,B,20.856237732347058,B,D,E,C,A,E,88.99680818042096,15.326124024564642,-87.26005466174955,B,1
Homosexual,India,-111.05013638164453,A,-113.5135784152691,D,A,D,E,B,D,-47.80161062589396,280.8835025025376,-35.58709131756198,D,0
Other,Mexico,249.9284698033138,D,42.981692241128215,D,E,D,D,A,E,3.7336474649544136,27.67290184887372,29.65089599011855,C,1
Bisexual,India,3.6006221006386294,D,-117.64322747065286,D,B,E,B,B,D,-43.6693903637413,-23.531577349977066,-48.402884783013654,B,0
Bisexual,India,1.9691332334291374,B,44.80011806553405,C,B,E,C,D,C,130.39704788345105,-48.7561601963809,-221.02621343521943,B,0
