gender,country,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Male,UK,None,A,128.36492365524342,-11.77914202063147,D,44.71820424221379,-37.609600951701054,-85.97323351096337,A,-42.5411702786214,C,-19.18713711035867,C,A,0
F,US,Christian,A,-105.81818396823843,-34.54684802722429,B,-117.26620965294372,-182.04222074886516,-72.39786602644305,C,-230.5008241054351,C,53.264680871511416,D,E,0
Non-binary,Mexico,Christian,A,-47.41958790516768,127.35523725856208,C,-129.40172653337913,-104.53468945286937,-30.179215448715762,E,125.82374861621548,E,127.48805135200823,D,C,0
Other,China,Buddhist,A,46.24400411822284,145.43075951394934,B,-243.76232401695276,-112.74025709599897,-0.10576958403211299,C,6.688935552036694,D,52.202196176568236,B,D,1
M,Other,Muslim,A,-7.949295475579849,57.60339472467364,A,56.904626035957804,-199.28291449175677,-86.66724764025243,D,59.72933142365869,C,-55.87437439035716,D,B,1
F,Other,Muslim,B,119.61214458073997,-18.568312516509657,C,-41.55199006816821,57.58408086987089,-84.75985473859161,A,52.1075874068882,E,147.72346031724766,C,C,0
M,China,None,C,9.685749495416912,112.60100660687715,A,-47.14847580850657,153.85704391991874,-87.00819129717317,C,118.50578033643949,D,-63.327871105534506,B,D,1
Female,Brazil,Other,E,45.75615500862141,-20.106603520479446,C,148.06688203119856,-82.45337565270961,123.8687795778961,B,102.59498006988781,B,-49.885218505319244,A,B,0
M,China,Muslim,C,-61.98168568788407,2.3268489027937576,A,98.78208281951527,-144.3078803475596,-9.163308889195076,A,-74.98124739606926,B,-53.0983772087524,A,A,1
M,China,Other,A,-15.149421809299385,112.77405338364561,C,53.73381657348819,-151.755836318029,-226.55448377673443,D,125.82168764628807,B,61.434629808645994,E,E,0
Male,US,Muslim,D,24.47770030881585,-0.16983142450059724,D,-52.7051543268756,61.65081603920976,113.74857230343724,B,-119.06198041050556,E,-20.41063757835265,C,C,1
Male,Mexico,Jewish,B,131.53039202081197,-50.40120068872507,B,42.1087824172856,5.727047862891635,-40.434507302565606,B,-27.049209528205715,B,-17.178955888159873,C,E,1
Female,Brazil,Jewish,E,-67.73073212840768,77.25307469602363,E,4.730684661577649,-50.18870443044735,-54.62595294039885,D,-107.66750553616582,B,92.4323982016647,E,E,0
F,India,Christian,D,164.08607514300607,-137.77329619627812,C,42.6005834517913,-42.94527809414612,24.376169571652646,E,-5.9295514781743375,E,64.84679980344728,A,D,1
M,Mexico,Other,B,26.955335145008775,-67.73027872954967,E,120.58465670127529,-42.17582855761727,24.11336616299827,C,-25.595980155808622,B,31.440201998995356,D,A,1
M,US,Hindu,D,70.00153203157335,-9.216971298430375,C,-41.070001204151275,-179.86924328433165,9.761152677100421,C,76.36791639030818,E,126.38261008975786,E,C,0
Non-binary,Mexico,None,D,18.410888292322557,7.83260946464792,B,-8.549508230705372,49.823122825272456,-205.36973367291637,C,-73.54434300927824,B,14.56422796882159,B,A,0
M,UK,Hindu,C,74.6036373156836,-134.76730240692027,E,222.7492945770489,-58.26570370438201,-88.23216199938541,A,195.31193277948964,B,52.47274618497584,A,A,1
