RACE,feature_0,feature_1,feature_2,feature_3,feature_4,target
African American,63.37227950197448,18.689279528230692,A,161.24740539563894,-191.01094120165342,0
Hispanic,127.17395204807549,-42.31414666894594,D,-143.92019228678674,-105.23328980980915,1
Asian,36.988552231948596,-326.4317922876263,D,-48.698622967825315,10.11503010529298,1
Other,-41.942121208250995,-15.914197948717087,E,54.473784426761654,-147.9579927316915,0
African American,30.98287415873794,81.23732508639789,A,-1.6428032900338951,108.69054591023564,1
White,45.56911789157317,-76.8259300261248,C,80.97927720040846,1.8174182685622118,1
Other,-148.0119046331959,155.16483101002626,B,12.477410541535896,66.70422178922362,1
Asian,-2.4373400569483503,58.01555582380901,C,-76.00528472214025,-41.25449797762923,0
White,-36.18598600658313,-34.71660778306564,D,3.062177345435301,40.290205289889464,1
White,-121.84012762278695,216.78054889939625,A,14.234249641640625,-45.157327995225884,1
Other,3.4479188659043563,-15.099469343563761,D,11.545710643120522,-12.835163387060112,0
Black,3.149755123567064,8.55528317753942,B,66.43303456124235,41.055164414012395,1
Hispanic,-110.97456876256433,115.954904016124,D,-47.04836199492924,-184.62247951089103,0
Other,-109.85510013430233,-2.2244445533200405,C,12.343280814362211,-73.42780786808805,0
Asian,-40.500484223690314,32.79623895425484,B,-125.07631590303549,-36.223590028104574,0
White,-23.135845579122822,-87.57245980685494,C,-140.17657203553208,-24.248106622224608,0
White,-18.11188533942108,-91.33931943826647,D,35.02225418867593,-40.666554435612916,1
Black,-57.077778612427565,84.27599488577438,E,-208.7940006592666,-22.31381987490391,1
African American,-161.65484347586934,-117.04370495290775,E,2.972762108146194,-260.0118607525864,1
Hispanic,2.4765466736875097,-74.7205304063336,D,-144.58597090789286,-28.94057866724382,0
Asian,-109.82081420425105,98.9626023168754,A,108.3782770758418,-50.60151983978015,1
Hispanic,-66.22893727259788,-9.13632807126948,B,-54.1096969960924,225.18559721476427,0
Hispanic,-101.49891574614863,36.31221179143736,E,-18.06635224334638,-67.43166392155001,1
Asian,18.8539673441589,47.06475437291625,C,-33.53772939016278,88.87155117648031,1
Other,-57.903551704942025,-71.41223549876273,D,-7.891491116246045,-176.47964613269122,1
White,-72.89011384780473,-59.24174915405587,D,9.099896627406945,-181.52733672845247,1
Hispanic,17.24461048922412,-32.383549041715945,B,75.80636534953142,53.566041556902654,0
Asian,20.774691642111637,-79.19196235561408,D,33.671578297196255,110.08158058108215,1
Black,66.06588623607334,-158.22652375171918,C,-135.86888061667267,-67.15911818919577,1
