Race,nationality,AgeGroup,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
African American,India,65+,None,61.084419772665754,53.01287388747933,E,15.879424447622121,E,C,1
Asian,Mexico,51-65,Jewish,-44.87489501103081,-2.212265284972082,E,197.2107662603841,D,D,1
White,Germany,26-35,Hindu,-83.97260455795524,72.70966958010241,A,-59.75932978837528,B,A,0
African American,US,18-25,Jewish,-149.52429950736132,55.19419882306893,D,56.233227534496336,C,D,1
Black,Other,65+,Other,84.31951957941916,8.2168138581277,E,-8.996376159443887,C,C,1
Asian,Other,36-50,Buddhist,98.15720031975592,124.05958800993982,C,-134.87375479000255,D,C,1
Black,Mexico,18-25,None,19.52460030855633,-14.01241681742887,C,168.1723558283378,C,D,0
African American,UK,36-50,Hindu,-15.139681390300899,70.12356835010011,B,-98.34042437589238,A,C,0
Asian,Germany,26-35,Other,22.386960241078345,158.86674567290777,C,34.779479155532044,B,E,1
Other,UK,18-25,Jewish,120.38043323625563,-92.98674178086588,B,-30.375442024009054,A,E,1
Asian,UK,26-35,Christian,229.81520311622901,-26.344996383799106,A,158.43524938741947,C,B,1
Hispanic,Brazil,18-25,Christian,13.065616222311395,-64.91023425810816,B,83.50758327943063,D,C,1
Hispanic,US,36-50,Christian,128.7273325595113,0.8849658970072035,C,-120.73894797703369,C,A,1
Black,Mexico,18-25,Other,47.8238244309985,-86.32056718516623,D,-173.1876181881772,D,E,1
Black,Brazil,26-35,Christian,78.80276142111119,-23.24580364098469,D,127.38134833117446,E,D,0
African American,UK,51-65,None,99.6657352807903,-90.01575333016416,C,82.86162587535209,C,E,1
Black,Brazil,51-65,Muslim,-18.470337595988962,159.53561704733974,E,-108.33526644783915,A,A,1
Asian,India,51-65,Christian,118.04040584983733,76.04240562361511,A,116.46123723634301,D,A,0
African American,Brazil,65+,Christian,-90.30768623077871,-30.41548398503447,C,43.21605355397576,A,A,1
Other,UK,51-65,Other,-39.205529710065164,-112.79912582507363,A,-144.31897046587662,D,A,1
Black,India,18-25,None,-25.00737469558861,1.0011893914001266,D,80.56817128363744,D,D,0
White,Other,51-65,Hindu,-190.09656563081649,125.56406969973307,B,8.300864773258882,E,A,1
Asian,Brazil,51-65,Muslim,-90.07892668670343,134.1399314643104,D,33.746389586277346,E,A,1
Asian,India,18-25,None,12.878661934983828,81.03532047275688,A,50.64703961363317,C,E,1
White,UK,51-65,Muslim,-79.70556582847054,261.50307809387306,E,-135.77617532055942,A,E,0
Asian,China,65+,Muslim,-62.93478118142399,130.72867538837596,E,20.067807857671426,C,A,0
Asian,UK,36-50,Muslim,71.5476203830121,89.41573464724235,C,-47.6167087827756,A,E,1
Hispanic,UK,65+,Christian,17.061268127516165,-80.99403784024021,A,31.58205549005829,E,A,0
African American,India,18-25,Muslim,-126.43534039347233,67.79130476824803,A,36.40478460288269,B,C,1
Hispanic,Mexico,65+,Hindu,157.36736767691647,-95.986085124645,B,52.64626669584636,D,B,0
Black,Germany,36-50,Hindu,5.115603470570714,-157.0566822415262,E,-52.303712777918754,D,E,1
White,India,18-25,None,-109.3847441993429,8.783393044481501,A,90.11411827032858,C,D,1
Other,Germany,26-35,Buddhist,49.943153724947784,-6.511254737664427,A,-32.3157439042277,B,B,0
Black,China,65+,Hindu,-77.32116742769102,265.25139859810116,B,13.75430246975077,A,B,0
African American,UK,36-50,Hindu,27.707499649769407,-34.644170688367716,B,52.69792291090345,B,A,1
Asian,China,26-35,Jewish,94.72774884957637,-42.833783297341,A,-168.48519892240628,C,D,0
Asian,UK,51-65,Other,-96.15602945304762,21.370384468084396,B,3.1285379999076697,C,B,1
Asian,China,18-25,Christian,-22.703665087499804,-40.776311532322644,D,93.36521083079052,A,C,0
Asian,UK,26-35,Hindu,-87.96288430815082,-1.382095432548744,A,92.25464697712957,B,B,1
White,Germany,36-50,Muslim,-131.69995293786258,74.0814665697547,C,171.84690452162255,B,C,1
Black,India,65+,Jewish,-28.817591816234295,149.85943797423292,B,-138.4800238871718,B,A,1
Black,US,36-50,None,119.87499078932855,80.52108864222987,C,128.30708656612333,C,C,0
White,Mexico,18-25,Jewish,29.721397826121322,86.53893995714455,A,-133.3482851672477,A,C,0
White,UK,26-35,Hindu,-119.66241618242601,58.80967964907232,D,-31.40529566812709,B,E,0
Other,Other,36-50,Hindu,-177.1008162846121,-65.35363082158324,D,114.60570823095813,B,B,1
White,Brazil,65+,Other,-128.2100376376029,29.090323063862257,B,120.43630354028491,C,C,0
Hispanic,Germany,36-50,Hindu,-132.22771588276382,33.654990433210905,E,48.88851286942075,B,B,0
Hispanic,China,51-65,Muslim,209.13173118567659,-181.0519896313568,A,11.072669291956437,A,D,1
Hispanic,UK,51-65,Buddhist,23.514523245133244,78.82023542662365,B,-74.87849843713961,A,D,1
Asian,US,18-25,Muslim,89.46157646240128,91.69682147463234,C,-3.9173717849107415,D,D,1
Other,China,18-25,Other,159.3857852367495,172.44265834229213,B,74.52645885994558,C,B,1
Hispanic,Brazil,36-50,None,177.79835557538723,-9.185234172714692,E,53.99156702830623,D,A,0
Other,Other,26-35,Christian,-109.34391942931319,57.37570463262097,B,-45.25193863575738,C,C,0
Hispanic,UK,51-65,Jewish,179.34744532663785,-129.3356515900425,C,21.37715873930544,D,B,0
Asian,Brazil,51-65,Hindu,34.20913740727365,-147.1678410516573,C,-29.451796838707278,E,C,1
White,Brazil,26-35,Christian,64.20368538344776,-24.259717541944365,D,-68.97708605108869,E,E,1
Black,Germany,18-25,Hindu,67.11487656082421,196.91481145307569,B,84.67565519607226,D,C,1
African American,US,36-50,Muslim,45.791253577203086,65.80805579346574,C,-35.74762459362981,B,A,1
Black,Mexico,36-50,Buddhist,-66.47768966911593,-4.499178190393658,D,-11.120753135077688,E,B,1
Hispanic,US,18-25,Other,7.660412913417431,54.23383106845585,E,262.9854693054604,E,E,1
African American,Brazil,18-25,Jewish,-32.426896755252436,53.92738973392408,E,-27.865323142828657,E,C,1
Asian,India,18-25,Buddhist,-37.25983866451363,-38.42745270623306,A,272.105439634632,C,C,0
Asian,India,36-50,Jewish,131.76521501986173,121.8373371445279,E,5.430979922862262,D,A,0
Other,US,36-50,Other,8.489411131702242,-3.985945823023994,A,32.618754935101954,A,D,0
Black,China,18-25,Muslim,37.77565649245898,98.13956899756447,D,-186.3965575535007,B,D,1
Hispanic,Brazil,36-50,Hindu,195.45236629909402,-177.02995193420648,B,-70.64561839071365,D,D,1
Other,Brazil,65+,None,49.40473477511316,75.43760109191174,A,-15.12952430155338,E,D,0
African American,Other,18-25,Other,-7.836804335980904,-13.866818708730811,A,-19.55676843870456,B,D,1
Asian,Brazil,36-50,Christian,-66.3867259146108,26.356533651041484,E,-92.6630930980355,B,B,0
White,Other,65+,Other,-168.7051313988539,61.538607282164,C,132.87890538334784,B,A,0
White,Other,26-35,Other,41.49331875064337,-109.19424247511651,B,79.34432350987572,E,B,0
Hispanic,UK,26-35,Christian,99.73161606295963,-110.53303939580897,E,10.68811629748866,C,A,1
Hispanic,Mexico,65+,Other,-40.88823303681376,151.6221057133596,A,93.25791246733836,B,A,1
Asian,Other,18-25,Hindu,60.85603904774858,133.01048072988877,B,4.259534072202769,B,B,1
Hispanic,India,36-50,Hindu,-201.80358612596194,-0.5618743909396261,B,106.44582728130115,C,C,0
White,Brazil,51-65,None,-161.16008586261117,-51.859810201427024,E,-112.29288366816148,B,E,1
White,Germany,26-35,Buddhist,92.54389951303204,-66.15436060446811,C,-143.01610892651954,A,C,0
Hispanic,UK,36-50,Christian,59.595197846760186,-55.44941343512103,D,-185.35227299937657,C,E,1
Hispanic,Mexico,65+,Jewish,55.82615030283653,50.04723586284434,B,73.11987115110419,A,D,1
Black,India,51-65,Other,159.94505891790004,142.80541678728326,A,-104.24586616834854,C,D,1
Asian,Other,65+,Jewish,194.3947123718436,-16.174703146047655,C,165.17859326702677,C,A,1
Asian,India,18-25,Muslim,-14.305934903269776,-40.937160962256684,E,0.3205066393185948,E,D,0
Black,India,65+,Christian,24.51910372637302,-51.661718248224744,E,-38.31020199099681,E,A,1
Black,Germany,65+,Muslim,-44.31366864253551,-96.11140305706398,D,50.98499055431468,C,A,1
Asian,India,36-50,Christian,-36.40866571125143,40.05554449084529,E,128.83403837252322,C,E,0
White,UK,36-50,None,-115.92465210774847,108.0039140906382,A,57.492650572192204,D,D,0
African American,Germany,26-35,Hindu,-43.82779245662423,-48.12977924170216,A,-104.05470652263075,B,B,1
African American,UK,65+,Jewish,202.30129350429692,-71.86947923162876,D,-63.53557193846338,B,A,0
Hispanic,UK,65+,Christian,236.62901808986038,-40.55516810676701,A,11.70946472679498,C,A,1
Black,Other,51-65,Buddhist,-1.7986807972387449,44.83225733420977,D,-8.325091212191975,E,E,0
Other,Germany,65+,Muslim,34.81418445451054,-184.6650360618584,B,-36.05656388433212,B,C,0
Asian,Other,26-35,Muslim,133.9964695864663,-28.829151054037887,B,-118.25950921461279,A,A,1
White,China,26-35,Christian,93.37862053349859,-101.41936760077361,D,23.139462656288384,E,C,0
Black,Brazil,26-35,Christian,-34.308609519159624,71.93894710034179,D,141.3740277482044,E,C,0
Asian,Brazil,65+,None,49.361579695130175,37.86657589274727,E,-90.7143741529158,D,B,0
Asian,Other,26-35,Christian,54.589362964490185,15.868806512329304,A,-101.08404209375882,E,A,0
White,UK,36-50,Other,4.308988027702479,32.22821215911987,B,-7.170691449877078,E,A,1
African American,Mexico,36-50,Other,115.35279066987079,-36.604839263571634,B,96.33229344352897,E,C,1
Asian,India,18-25,Other,-51.470088495667795,-6.8599999044445275,D,-22.34975409592306,C,C,1
White,Other,36-50,Christian,120.00644027050701,-188.24786018484576,C,13.23066285712106,B,D,1
White,Other,51-65,Buddhist,-61.098443334641516,99.86220409931147,A,-39.50328061642391,B,B,0
African American,Mexico,18-25,Other,84.51404281212108,-73.64190263690624,C,-64.23871904096903,C,D,0
Black,India,18-25,None,-54.63958928892069,57.04279563952424,C,-60.10516303761477,D,E,1
Hispanic,Other,18-25,Buddhist,-247.35711612656837,125.34908505493485,D,62.9625204349864,E,A,1
Asian,Mexico,51-65,Muslim,157.82036149279844,-110.76821914045458,E,-6.9865487687478485,D,A,0
African American,Germany,65+,Buddhist,-3.4145635766073386,-176.8689221909462,E,-112.85952561170257,E,D,1
White,Brazil,65+,None,-96.21265866312469,14.348705185430813,A,-2.7104130101425024,E,A,0
