Religion,marital_status,sexuality,nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Divorced,Bisexual,Germany,-124.54527201618,43.005253619555454,-223.70086847694722,-20.805665782084063,A,E,-34.128156591372225,D,15.684513351934893,C,C,E,52.16146692555941,D,-42.76117588403724,A,-10.278363926403793,0
None,Widowed,Other,UK,-117.47550533112168,-78.74485635601253,89.74380101210447,-38.04003600872466,D,A,220.5714943428878,E,53.5613127785038,B,A,E,-124.49505956650349,A,30.29482818823044,A,45.172593367388984,1
Christian,Married,Homosexual,US,-136.8526144107543,-20.241883059937514,-61.6973890490943,-66.28066363051529,B,B,-81.69076516861624,A,211.69929006818907,B,E,B,150.9332757782066,C,-21.21031653696301,A,154.23164433525932,1
Jewish,Married,Other,Germany,-39.41143737857757,3.0286031475458106,-81.13468181163788,248.71278598155132,D,C,128.4922425338619,C,92.85040055040355,E,D,D,-83.38820373697298,E,-87.19579402622045,A,58.83506185568231,1
Muslim,Widowed,Homosexual,Brazil,71.49794783799162,124.85667962083535,1.8774035479897644,31.95918287935593,A,C,-68.28995671055822,A,52.568764251597855,B,B,C,54.96585278806473,E,67.41188363853526,C,-28.958345831533244,0
Muslim,Married,Other,Germany,-25.399405427152523,0.409571772768773,18.504096810369518,161.0288307101751,C,A,-132.63340669158544,E,63.40911491214253,E,B,A,238.37213333702044,C,214.54138551956876,E,100.50502269017085,1
Muslim,Divorced,Homosexual,Brazil,-6.884654753218811,84.30530169854681,6.0891602994022795,144.0315488293226,C,C,7.772712334145532,A,-314.00272258867903,E,B,D,240.02539427550786,B,143.42959121833766,C,-93.95634259949746,1
Christian,Single,Other,UK,126.33088366824113,163.38466130381178,-150.58729108070506,-55.67845509821002,E,A,-75.65264523559676,E,-80.35557679823525,B,D,D,-72.1838909353456,B,-94.23772810082292,C,-18.344474458217856,0
Other,Single,Heterosexual,China,-72.21359509883375,141.59016779675505,73.91203444977677,-12.33891714677477,C,A,-211.87681163761448,C,-131.7156078943005,B,E,E,34.37163677279029,A,-30.766584197539952,A,-33.989712377875655,0
Jewish,Married,Other,Germany,-163.6945086473272,94.21245185722529,105.23589486252814,150.01319927791644,D,B,155.79253805909985,D,106.8253486401685,B,C,C,-117.41217271481237,A,38.11829916484805,C,-169.6789520022714,1
Hindu,Divorced,Homosexual,UK,-174.60639996977878,50.584155555338114,12.871303059362441,-167.50138424085816,B,C,-72.28907400821217,B,136.5192137606283,B,C,B,68.63850425067594,E,76.14778870825111,A,-46.209274417097134,0
Other,Divorced,Heterosexual,China,-63.199438501331414,13.51987077073381,152.68674597371856,-107.90331060964004,B,D,-20.646978391765757,E,266.1055168277457,A,D,E,-38.006429087471325,D,24.645816711473024,A,121.35127389623672,0
Hindu,Divorced,Bisexual,China,-1.4413900654153602,24.446895988151756,-54.59303445550068,56.44366165727271,D,B,-95.57230720030367,B,-209.56949993267995,D,E,E,69.9741991074484,C,40.56856152153863,A,173.17971069525572,0
Hindu,Married,Other,India,-167.85946404659023,53.441337585984364,137.13777147078432,69.72462396030562,B,B,84.10329723021573,E,206.12752618991115,A,D,A,-127.23479881720665,D,-68.2896033292613,B,-177.14992864882458,1
