married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Single,-194.97860454151413,D,-204.29724819226882,-88.86818595579044,-43.11993210894221,27.53813201886142,106.47838915589496,-59.6544403504525,A,90.98012407829489,-55.776943664255406,-0.13109985869342963,99.18152831677638,C,0
Divorced,99.89850272500507,B,-244.87197249482438,146.96241283877137,-29.11834862407981,-122.90140168624602,192.19682462340245,-54.396028654153284,D,-174.12806968570945,-171.19798746716512,55.89774526117056,-74.99524558514149,A,0
Married,-27.153860926641098,A,78.40877484636589,-141.50520328132595,78.00256982624656,62.91855944022152,156.81597198239353,-1.0637384328086017,D,-220.03824939272755,-74.57752990835532,54.36640878443858,-9.133287504417758,E,0
Widowed,-94.99476630409809,E,-43.748724652759954,65.42546605428483,19.946625771707353,-165.9169361030261,-45.447299618901596,-5.2335630797258,C,-73.75482503506377,29.548993839673592,71.7912554408285,-103.0480909436998,C,0
Widowed,-174.16147170102778,C,133.44715195660504,79.2911212501575,219.8295044152873,-146.2203101540898,-218.85026286501136,38.832039560100746,A,19.50964649000987,-161.14928771597508,42.27460275654511,-78.20608842743877,A,1
Widowed,-103.608180471318,D,82.20568609544851,-33.659337261844065,61.99932185212032,9.633210465220884,44.772075513970364,101.37074969802859,B,-151.27754573526556,10.754281978211386,162.01998166521784,6.453303136987603,C,0
Single,52.0940877208813,B,-40.86000936270025,-133.65436622537703,22.73414753453969,62.630461764909114,183.4082121509805,121.0725600111051,B,214.56312347358755,-6.956651203811937,-119.93808369176887,206.02382796262444,E,0
Widowed,-94.51483386932831,A,13.309935611831127,-95.61171114896004,-101.59661817933376,75.53923793639427,-52.89057094157903,-28.971615844925992,B,22.951154420239313,-37.196373665875896,-148.36569470435842,-151.295903787204,B,0
Single,66.25832094024538,A,199.30226162779596,-84.54058069063552,93.1579570450999,-75.46606549703218,168.1137631283175,116.7069756108957,B,-33.77237215955723,-50.14891206328517,-10.013775274480492,76.52082256721515,E,0
Single,114.01729260524765,E,-65.70334663001002,-180.7714883593956,95.68672665598486,91.62231553154881,-69.38279061629312,-92.85897868514903,D,-103.33960024350093,-22.01156090648398,34.97240316465805,45.4576658455906,A,0
Married,-80.83631543830118,D,-15.35796328173588,-123.84730088091618,-130.52608527357347,76.22278247692714,39.979822140047226,-101.61994145350451,A,-52.52738611700575,-107.46121056018487,36.79288920151238,-29.65272369277377,B,0
Single,-49.30254952000549,A,-33.832024938477076,23.41934576292466,84.38320538179354,-135.59259386048882,61.08061918873622,-29.559322359365126,C,-49.98386301751863,33.6472241028088,147.09285547008838,124.2226405411885,B,1
Divorced,-183.64146623764435,C,-125.60115868025238,-113.75263521573756,-44.84052285034961,-13.277534635852643,-92.90759343297115,-170.52507369963257,B,103.07035579384774,108.88698509848886,141.60926252873435,-24.52948396223845,A,0
Divorced,25.29075633653578,D,-201.72206196230036,81.85689548905714,-56.92165398017417,107.1142213897661,37.33449506384641,-106.84440212615098,B,-63.253149701673316,166.6281332785399,-93.1956141748121,-103.55005117453295,A,0
Divorced,69.25359324816507,E,-49.01151871508248,-39.76713960212387,118.10825306414242,-113.87954251197824,45.66295852263882,86.92978500261442,B,-11.861535279170036,51.78324536803315,-68.42722135279865,-9.423494739932805,C,0
Single,45.81714568843283,E,13.103103609372328,138.82778127720843,-106.40241958839498,235.76855614718974,22.737296786129175,-152.81795685276018,B,-123.95314111995228,-165.6753839169358,107.2303492295698,85.01982432939599,E,1
Single,-76.29934167887623,E,-149.48409491966723,-78.34275286844135,-51.934669997671904,-89.38101001560361,75.9172092138585,55.882787611398676,C,-91.59805706057305,-20.926551604048495,-24.74363396798569,-80.04579484921709,B,0
Divorced,-34.543449384466115,D,-134.63055025663968,-86.10377579362432,147.10461518525085,177.72642086217988,7.046159007267009,211.19135250945797,D,-81.01082510367334,140.41369629936668,86.37553577400212,-144.29558630309853,B,0
Married,101.6126533406059,E,114.70584185493689,93.12233205836007,-109.92794162189034,23.29829439426782,-64.38347936155924,-12.099440371508681,E,25.732752800179316,120.00347003317937,247.6436529091162,-4.096194966173018,E,1
Widowed,-45.86652294948681,C,74.8960938481642,-106.61387539324392,-137.8073214570862,3.902860972688724,-27.39838694381249,77.90491438156192,B,-43.11099430978691,37.91769712567134,-29.190186667405825,135.47947447931406,E,0
Widowed,-175.50209542031575,C,3.834473505891388,-154.97378105160203,-136.05718817849285,27.03415481190342,65.39163568494972,126.8565275319699,A,-51.56733102187043,43.536862478995346,36.241439306542,44.001302123600034,A,1
Married,104.05717127962278,D,-37.983821041252156,-14.806071427539063,113.53353469251974,120.13628469631949,-33.77239414353076,-55.42941067110541,A,50.40770359754618,-246.92391110789228,-70.07908782654822,-7.1958469162565875,B,0
Divorced,149.17021105237836,E,164.83712422807957,4.634085154347088,143.80149070589974,-105.66925213851748,8.729637823653,-192.09671876704334,C,92.4608819105014,87.13764713465962,-133.3188511761343,-39.607159748677894,B,1
