military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
No,A,C,A,-115.82932940416619,D,-85.71905847332127,A,-56.81496710884086,42.34316647289678,A,B,0
No,E,E,D,-60.70662310223941,D,-35.94988734937662,D,96.6767591616404,10.412137337252387,B,D,0
Yes,C,D,A,-14.702553672611817,C,-52.60469829723977,B,-49.67980876408962,79.05336572728353,A,C,1
Yes,A,A,C,-115.53859400705096,E,65.16020608000504,E,-129.67909222174637,-84.0828413549947,E,C,0
Yes,E,B,C,-100.41974339816795,B,-1.5783142437264943,A,-3.819007277864924,129.40547894489646,C,A,0
Non-Veteran,A,E,B,61.49494022988574,C,-2.594910045903224,E,40.84658038579743,33.86685160237775,E,B,0
Yes,E,B,C,-96.61460998076161,A,35.60227851102864,D,-172.45438255955543,104.13689952422442,A,B,0
Veteran,A,C,A,134.68878243925454,A,33.7887929334967,C,211.38558976476128,-132.95662845821604,C,D,1
Veteran,D,D,C,-26.137306047835374,E,-137.9664545140062,A,-41.58629694026952,169.39544768399566,E,D,1
Yes,B,E,C,-19.72746427661792,D,-78.2395142239239,E,-158.11866716267872,22.650181995418638,A,A,1
Non-Veteran,D,D,C,9.913991437857003,C,278.84450791597857,A,-42.19359632293066,121.80715180244528,C,D,0
Yes,C,D,D,9.392042298081913,E,-45.331620509956636,E,150.94069110058072,107.38382441128618,E,A,0
Yes,A,D,B,2.47735524116851,E,21.091810279146227,C,76.24779134958001,-98.93241497599666,E,B,0
Yes,C,E,D,43.82112150032182,D,93.67139224600443,B,-225.80198024173401,55.47452746084615,A,B,1
No,D,E,B,26.00024248114472,D,52.402807935068616,C,36.37560080132044,1.4299343092683943,C,D,1
No,C,A,E,-61.272359774736486,D,41.903639559467265,C,-174.63647551524605,36.208516238300284,D,E,1
Non-Veteran,E,E,D,-85.00903628571275,D,41.623402115743225,A,-28.849995066742977,70.83198105745721,C,E,0
No,B,E,E,-0.1702657619245344,D,-6.094538274214072,B,140.97559320188773,-29.540185747998464,A,E,0
No,E,E,E,-53.74181764174495,C,-64.13094716317485,C,-105.51978581303287,64.66730825265655,D,B,1
Veteran,A,D,B,-2.6288625831512875,B,-4.026137024684541,E,-49.37224673795658,-119.69420571857854,A,D,1
Yes,B,D,C,-60.867176446709934,A,-39.37683070060114,C,-36.41935470276279,-11.61883410613726,A,B,1
Veteran,B,D,D,11.801878804780861,C,75.15652246012824,B,144.80533484492418,99.32548130657315,A,E,1
No,B,E,C,100.3954143100235,E,-5.147740930110233,A,83.6861370787837,-98.25927340395803,E,E,1
Yes,E,A,B,3.9834842101171803,B,-6.740871724019465,C,-50.88117570035896,129.730377916192,D,D,1
No,B,B,E,73.91337942723611,A,44.603275533314786,A,19.858735005232255,-76.98308901077647,E,A,0
Non-Veteran,C,E,B,-8.033686055737034,B,-71.11927015496661,A,23.396453410441566,-108.0991888973574,C,A,1
No,A,E,B,-177.03102063203946,A,14.853707784797665,B,-120.97878136502563,-40.49486515189459,E,E,1
Yes,E,E,C,-107.30195508194645,C,14.959117242468176,C,4.613022534464261,-97.9233126212143,A,A,1
Non-Veteran,A,C,B,-39.296235607370775,C,10.743129050680782,D,17.480241999105512,-122.24259164222624,A,A,0
Non-Veteran,C,E,A,-11.00556232492278,A,-8.923820457696802,A,-96.38776744815458,45.60182775958758,E,A,0
No,C,D,D,25.098810071765126,A,-40.234257748887316,E,116.13847404742677,153.4001730766068,D,A,1
Veteran,E,B,C,60.065449326168505,A,-54.77503975891776,A,10.10671709131953,143.97002122813765,D,C,0
No,A,D,E,24.88207055896704,E,238.8181903860048,D,180.99134509670554,-101.38795850150719,A,B,0
Non-Veteran,B,C,C,74.14834328084491,D,31.53501705194431,E,-9.849109608099196,-120.3922582366378,D,D,0
No,A,A,E,-5.125720551686087,E,165.23968823459313,D,-28.15775751974567,163.93670869860753,D,E,0
Veteran,E,C,B,167.28925274576235,B,-26.13323028181696,A,-159.69652668561255,-201.66797763470709,E,B,0
Yes,D,B,E,0.5715504912418262,A,111.3490336295057,D,-161.2966226159523,-70.90525200827543,B,D,1
No,B,E,C,-22.191834416341234,C,-87.48239750525491,E,-60.827969795338966,-78.3282077406675,E,C,1
Non-Veteran,B,B,D,-176.1925441076096,B,-13.4332855670943,D,-39.55411283874595,-13.389299531377382,D,B,0
Non-Veteran,E,C,D,-93.09704925756557,D,-18.33596574992641,B,8.043515931113307,-24.11291430048292,A,C,0
No,B,D,E,-86.4671642053795,E,-134.8338383821727,D,-201.4572264000814,-15.062423525912378,E,B,0
Yes,D,D,A,-55.443035256885494,D,-25.88994039290827,E,-259.407468068373,-51.09503793938467,B,E,1
No,C,A,B,-98.67618390300315,C,81.18927452824424,A,1.598545665830103,23.7849872642408,C,B,0
Yes,C,D,C,-55.50359214139493,B,-85.27644692184695,E,-89.5717429932688,-53.65270138525572,E,A,1
Non-Veteran,C,B,A,47.35747576817387,C,-0.3060513171387144,D,116.56671440357165,-99.60031480301319,A,B,1
Non-Veteran,A,C,C,-98.51458346712826,E,246.5911033062388,B,101.14438406827182,8.423546178873233,A,B,0
No,D,E,E,113.30999286049838,B,-38.19105790810467,B,-70.83948713207482,-12.548051267222803,E,B,1
Yes,C,B,E,59.14453090187596,A,23.860281049574418,B,-58.04566302672964,93.68262735869224,E,B,0
Non-Veteran,C,B,B,-155.03260029876606,C,77.77546601082223,B,-131.59438484151158,-221.01414763821242,D,A,0
Veteran,C,C,E,-134.6320716140276,D,-86.89881085635359,A,195.31115931651493,-2.077186520716066,D,B,1
Non-Veteran,B,B,C,162.55069482034844,D,288.4795475578025,E,12.078664242462704,182.5586689703799,A,E,0
Non-Veteran,B,D,D,89.6642530145662,D,61.395832831346276,C,44.41898379393307,122.44764834266164,A,E,0
No,D,A,E,-47.83755653294472,B,-55.524213224158125,A,146.15747408790884,-105.50157924176101,B,E,1
Non-Veteran,E,A,B,219.20927497871295,B,-133.19877221497197,B,133.12435461027917,34.45218144551658,B,E,0
Yes,B,E,B,-90.12086807443175,B,26.000584781215423,E,-36.09126504477619,41.68913848571694,A,D,1
Veteran,A,A,A,-102.57084894807026,B,-75.69115488938664,E,-0.31262385790178915,-25.226227199584468,A,B,1
Non-Veteran,B,E,E,-9.957083969356745,C,108.59296450280544,C,88.8000700848053,-5.106953439708424,B,C,1
No,E,D,B,-8.887291971187242,B,-96.82780963817285,B,-193.0439638489946,45.140202153496986,E,E,1
No,E,B,A,-60.792220252184734,A,-157.6460365950525,A,-67.73953747567325,-68.70544861600449,D,B,1
Veteran,E,B,C,69.88737640303405,E,-127.5481348716634,D,-111.76679472338434,7.066786823621668,C,D,0
Veteran,D,A,E,-18.722610710749713,C,-25.410205550981583,C,2.6303969513020977,70.49657887025491,D,E,0
No,B,B,A,-65.68219475113617,D,73.82821303789366,C,175.7106265234373,181.5082628942246,D,B,0
No,B,A,D,4.887054008434146,E,49.58558176578225,E,37.12779615428868,118.65585653855415,B,C,1
Yes,C,D,B,36.51201554952096,A,-247.69096402860785,A,-39.59007945183061,-105.61959772131515,A,C,1
