age_range,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
65+,Other,-117.6337663099136,-62.98079508910684,44.44202658942573,-185.23251356304903,E,32.102777775094886,D,A,32.06655397439422,E,D,E,A,116.81978811001892,-92.43786638783124,E,0
51-65,Other,-29.23194160083582,128.94385487356433,-126.07852853084822,-1.2549967206281347,B,147.6513301575273,B,E,91.87411752499472,E,E,B,A,-37.86250829877282,141.8364680833834,D,1
36-50,Homosexual,197.38765540184679,57.23106056164793,-17.758056147103314,116.619301316884,E,150.542239803369,D,B,-90.3627086269592,C,B,A,E,104.99338706018284,21.484985925434685,E,0
51-65,Heterosexual,-124.67423649487176,37.142624804925376,116.29661063603425,33.34791399650947,D,-21.59255838327729,E,A,-11.834587860653707,D,E,E,D,-13.858115269535903,15.89772542619552,D,0
36-50,Heterosexual,-126.94496909348354,72.86322580757214,-5.82170260254748,-104.89362729198307,D,44.404759384151,C,A,25.782734621097546,C,B,D,A,66.6066967725688,-155.16199597251173,C,0
26-35,Homosexual,54.174423148244685,-134.37023838447232,-21.58261545020116,-35.46600345302894,A,22.12173113156456,C,C,2.601914424748398,E,A,D,B,-105.65797463751248,60.57668028256453,B,0
18-25,Homosexual,-69.31192065813245,186.4225668133177,41.85193081238437,-67.69426890443432,C,48.07116150917237,B,A,-72.89998727385236,C,D,B,E,127.92610851922548,51.4055647901274,D,1
36-50,Other,-27.09159774754097,-75.917602887133,-6.747732765835947,-69.13663229012778,C,-41.61025033664089,E,A,-51.041683691436354,C,E,D,C,-262.15910468346715,108.24326921036803,D,0
65+,Other,-21.778912221122372,-131.2999130592629,-9.131663757852932,-108.6422743320887,E,101.58740674818586,E,B,47.75555497855,C,C,A,C,-88.93564203125118,110.43697820726483,D,1
36-50,Other,92.04128832463503,-137.92980940978902,14.45706061098701,-1.4087926423268287,D,67.16250935596784,C,D,8.045851261080484,C,E,A,B,94.68663148084777,-39.65577848359766,C,0
36-50,Homosexual,-52.12481377716266,48.90279259625403,-78.57364835916194,4.4900403644945515,D,102.71277548189113,D,E,-49.7985823956197,E,C,E,B,-35.0348760320092,63.62627047807011,B,0
65+,Other,227.03219170867533,-109.7370263680651,110.9886815383719,-10.200961663294777,D,-54.14193505856167,B,D,-73.81937851124663,B,C,E,E,-69.18568884937896,-83.56998024775861,C,0
65+,Bisexual,-41.97022856029246,189.94132847996624,-6.608404564056906,105.97157662382021,A,-125.38970488074348,C,B,123.83114010288756,E,B,D,E,-31.262880202121814,-41.85939955990835,C,0
36-50,Heterosexual,-3.021068082475547,0.9098451473299417,87.47990070581842,-165.81580538806136,D,-12.97004260606109,A,D,149.18124122904703,A,B,A,C,68.9989810347591,55.05104659274313,B,0
26-35,Other,54.732758442151564,-126.22740810980815,14.730158787415354,-13.532163327360971,D,127.27508033377906,C,D,-131.09705814860413,D,B,E,E,-2.0781959815663127,-132.4267198530616,C,1
51-65,Homosexual,-179.96603546279312,45.24297851123494,105.12332141095533,40.93441055454928,B,-83.5000818479139,B,E,33.14558515342297,C,A,C,B,4.241554647152894,-135.50584294270124,B,1
36-50,Bisexual,-7.80518113182362,-81.498930972178,202.51775846118937,37.73998886192446,B,-7.633537587814524,D,E,-102.62354092766412,C,B,A,C,-14.597970296312704,-129.439171225627,C,1
18-25,Heterosexual,-200.98924649718305,70.24460046283683,-125.60537562262401,18.189574987241368,B,-24.484966384181632,E,D,-14.717590058525518,B,B,C,D,-37.53685000961003,-207.77294690993534,A,1
65+,Other,-6.532383189703244,66.08675534233828,29.831847910202892,-38.73852733826313,D,13.340316774089272,B,A,40.11487840471582,D,B,A,C,37.199472044155584,184.2152935394551,A,0
65+,Homosexual,-0.5616398495509519,-104.94947159043373,-46.11347291606579,26.738244777321597,B,89.87645275397325,D,C,123.00634156088412,D,B,D,A,87.16628545268938,-74.86752918792838,E,1
18-25,Other,63.556485868459504,-29.083870521580508,-104.85521879799337,-228.5209818277565,D,5.2757800547120866,E,E,110.56390316971509,E,E,B,E,-10.204194735763243,69.9457250399425,B,1
51-65,Heterosexual,22.636563539920417,220.3075057734505,-166.43853388834845,43.77786535808121,E,33.31852827868786,A,C,-13.377698059256316,C,A,E,E,-99.12252364639042,72.98666737831606,B,0
36-50,Bisexual,190.46577870911204,271.87076092460114,102.4797033864647,43.40472790251012,C,20.521811054580592,E,C,-42.37306841951366,B,B,A,D,-17.76868926315697,-39.22928844709142,B,0
18-25,Other,54.04434823436704,100.92876718723961,126.40728889086638,-22.420430216031527,B,100.34575814408161,D,A,129.45303239017812,C,A,A,A,-37.98002105837853,39.22721468103684,E,1
51-65,Bisexual,128.72819290034116,84.37627268807559,-205.88364549613067,-10.116408055970389,D,-1.6907129560053877,C,B,-192.19004255472746,B,E,E,B,-27.431416359963844,93.04757110831906,A,1
65+,Homosexual,-120.65669038997618,-327.8596575191849,-170.24338404553075,4.514467903086341,A,74.72403461986919,A,E,88.16369014406429,E,B,E,D,-129.7071749008333,-20.62981672495228,A,1
65+,Homosexual,-89.07142009590444,63.080663413560835,105.30387199998728,58.54693322508078,C,103.55539608735572,A,D,47.20852703563875,D,E,D,E,-115.95992626626035,64.61224257342379,C,0
26-35,Other,120.54801318809885,131.02001394708776,129.83624942780168,-48.024142709774296,D,128.90888757169822,A,C,0.13572352968534257,E,C,E,B,130.21489680741948,19.52204990613421,E,0
65+,Heterosexual,15.84931829915092,-62.90002801866245,-25.408499501375232,-185.94086832872944,C,109.63718909753166,B,C,108.50089182445213,B,B,E,B,-113.20102572587278,49.676523469067064,C,0
