religion,Race,disabled,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Buddhist,Other,No,65+,A,C,D,A,-143.45876508919036,C,D,-97.72776347171796,-54.734802301609854,0
None,Black,None,51-65,C,A,E,D,251.95581994356036,C,E,102.06234316704577,103.59533645753476,0
Buddhist,Other,Physical,51-65,B,A,B,E,-65.127147986652,A,A,2.240995818291378,-63.250866775897904,0
Muslim,White,None,51-65,B,E,D,B,-69.26495499038047,E,E,236.815705910979,9.270336337452658,1
Jewish,African American,No,65+,C,B,A,A,-43.95562876194392,D,C,-179.53637943908615,4.085288810303218,0
Other,Black,Mental,36-50,C,E,A,D,-180.43003311832834,A,E,-214.4583767725538,-205.71219142770838,0
Hindu,Other,Physical,36-50,B,A,A,E,-90.15852900332739,E,E,144.51008005009902,-12.673991607336571,0
Christian,African American,No,26-35,B,A,E,E,-43.67605729751725,E,D,-90.73003638023556,61.10180786364161,0
Other,Asian,Yes,26-35,A,C,A,D,53.55371149838468,C,B,-145.59142026690003,-24.44511214763125,1
None,Asian,None,18-25,E,C,A,A,135.96713885781347,C,C,67.90252434851813,-29.658738778763947,0
Jewish,White,Mental,26-35,C,C,C,D,6.126026833245265,C,D,0.9313621710851723,-220.22798193496018,0
Jewish,Hispanic,Mental,65+,B,C,A,D,-136.41140430023714,A,B,-103.64501984954602,-187.30775575960652,0
None,Asian,Yes,65+,A,D,A,D,-148.17488667218294,C,E,-67.77557797964474,67.37853308081813,0
Muslim,Asian,No,36-50,B,C,C,C,52.78226544917357,B,C,-242.92188298607346,-63.29846455888053,0
Other,Black,Yes,36-50,C,C,A,E,-22.849745159904863,E,C,128.24513841180888,61.49575834869728,1
Muslim,White,Physical,36-50,B,B,C,B,31.45658410859607,E,A,-11.077241297991005,-142.00623354215242,0
Muslim,African American,Mental,36-50,A,E,D,C,149.93636116688617,D,D,6.041926339079817,53.29333724693417,1
Hindu,Black,Mental,65+,D,C,B,A,-26.70930865731611,B,B,124.98340978447091,-38.75981054230465,1
Buddhist,Black,Mental,26-35,C,D,A,A,-44.495395903621926,D,E,-44.89768709045004,-71.02236896716133,0
Buddhist,Hispanic,Yes,36-50,A,C,D,E,85.40338049931438,A,B,-111.22232285329308,107.1598573077176,0
Muslim,White,No,18-25,A,D,E,B,214.98669019649932,B,E,-33.622249040591456,-72.75268639290759,1
None,White,Mental,18-25,B,C,E,C,-11.122129053445901,D,A,46.11940625347563,-140.4662223080703,0
Christian,African American,Yes,26-35,C,B,A,D,-4.962242489913643,E,E,-74.76020532509354,-62.55632497258539,1
Hindu,Black,No,26-35,E,B,C,C,11.874936023845638,C,B,-91.12913255518305,40.58816752870843,1
Christian,White,Yes,65+,C,D,A,C,3.4036458800891354,A,E,-180.0090613665624,7.4059200441762005,0
Other,Asian,Yes,18-25,D,A,B,D,170.16462663728066,D,B,-69.64323573882103,-121.7557956912156,1
None,Black,None,65+,A,B,E,A,84.62367652951478,C,B,120.97442539930164,-119.09354016291466,1
Buddhist,Other,Physical,65+,A,D,B,C,-105.91722642336859,C,E,-46.397131410136836,-129.41795469768516,0
Muslim,Black,Physical,26-35,B,B,B,E,-83.00320536412903,B,E,46.89198357111374,-103.5003665069239,0
Hindu,Black,No,65+,A,D,E,B,-45.75632827851124,B,C,8.614715550355573,59.318674487592695,1
Other,Other,Mental,18-25,C,A,E,A,44.30410455278768,B,E,-49.38965681969906,73.25976713619512,1
Christian,Other,None,18-25,C,D,A,D,-118.12455907722983,D,E,-53.81241623343856,10.789218302937547,0
Jewish,White,Yes,26-35,A,C,E,D,8.110723722640136,A,A,-135.97793357625966,84.76135632634771,0
Christian,Hispanic,Mental,18-25,B,E,B,D,174.70729864819714,B,B,-34.925536272992396,-24.765984803449946,0
Other,Hispanic,No,51-65,E,A,B,E,-53.18752517894282,B,D,19.79967460527461,86.31152215671717,1
Muslim,Hispanic,Mental,18-25,A,C,D,E,33.05186342073006,D,C,-139.42241884405792,1.509856998399958,0
Jewish,White,Both,51-65,C,C,B,E,-103.1278913288011,D,D,27.313141229449307,91.93292722922028,0
Buddhist,White,Yes,36-50,B,A,A,B,-24.299426725618606,B,D,71.53013575113785,78.74798532530993,0
Other,Hispanic,No,36-50,B,D,A,A,5.609951303894634,E,C,-66.10249669171333,91.06457301712884,1
Hindu,Asian,Both,36-50,B,E,E,C,36.46785733412932,E,E,96.62967769219351,59.31164195782414,1
Other,White,Yes,65+,A,A,E,D,72.0181828289718,A,E,71.1786087825748,46.345178211400174,1
Christian,Asian,Yes,18-25,E,A,E,A,-80.32834214142527,E,D,-35.30724488386566,-52.89753812784498,0
Muslim,Black,Mental,18-25,D,B,B,E,179.76549611953308,C,C,-188.34095432177372,-59.705395550880056,1
Hindu,Black,Both,36-50,C,E,C,A,84.38135416870564,A,B,119.0667183165466,-17.152677925564504,0
None,White,Both,65+,C,E,E,A,102.07796948774852,A,D,130.99544043266107,-31.09655508546565,0
