religion,birth_year,Disability,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,target
Christian,91,None,Bisexual,D,-47.97191552237379,D,E,E,0
Other,84,Mental,Other,B,35.02015191224785,D,B,D,0
Other,66,Yes,Bisexual,B,-28.429574833617426,B,A,A,1
Buddhist,28,Both,Homosexual,B,18.21088705150386,C,C,E,0
Other,70,Yes,Heterosexual,A,-140.3241523962493,E,D,B,0
Jewish,24,No,Bisexual,E,108.04066119822761,A,A,E,1
None,58,No,Homosexual,C,13.582259327919367,A,A,D,1
Christian,34,Both,Homosexual,E,55.19352874733099,A,B,A,1
Other,73,Physical,Heterosexual,B,-105.41844064499402,D,B,B,1
None,93,Yes,Homosexual,C,14.079383786414363,C,B,D,1
None,35,No,Homosexual,E,-242.7924533251848,D,B,C,0
Hindu,50,Both,Other,D,115.99812135758394,E,E,E,1
Other,51,Physical,Other,B,-130.09707550477657,B,D,B,0
Buddhist,25,None,Bisexual,E,-23.683338824370995,E,C,E,1
Jewish,60,Yes,Bisexual,B,62.75463344219029,B,D,D,1
Christian,20,Yes,Bisexual,D,-54.37879986698218,D,A,B,0
Christian,69,No,Heterosexual,C,-28.72037943918745,C,D,B,0
Other,19,None,Bisexual,E,26.123199769864186,C,E,A,0
Hindu,65,None,Homosexual,D,116.96743793661959,E,C,D,1
None,76,No,Bisexual,B,-10.510306808970956,D,A,A,0
Hindu,71,Yes,Other,A,-46.300928773886575,B,C,D,0
Other,22,Physical,Heterosexual,C,97.87336819803342,B,E,B,1
Hindu,49,None,Heterosexual,B,-131.88412278434163,D,C,B,0
Other,45,Mental,Bisexual,C,35.26519968989902,A,E,A,1
Muslim,77,None,Heterosexual,C,154.9699158922703,A,C,E,0
Hindu,76,Mental,Other,A,228.28937635246214,B,E,A,1
Jewish,37,None,Homosexual,D,10.223565765896181,A,C,A,0
Other,83,Physical,Heterosexual,D,-120.12579790157551,E,E,D,0
Christian,38,Physical,Other,A,33.620672821293965,D,B,E,1
Muslim,26,Yes,Heterosexual,A,77.63601371147398,B,C,A,1
Buddhist,72,No,Homosexual,B,-64.16591362046645,B,A,D,0
Buddhist,20,None,Homosexual,C,15.31227314446085,D,C,B,0
Hindu,28,Physical,Bisexual,E,54.29212571232328,A,D,C,1
Christian,72,Mental,Heterosexual,A,150.80359639535413,E,C,E,0
Other,27,Mental,Homosexual,B,-35.681250358067686,D,D,C,1
Buddhist,33,No,Other,B,-100.3341075273077,B,D,D,1
Buddhist,42,Both,Homosexual,A,161.31318869713445,D,C,E,1
Other,35,Yes,Heterosexual,C,-162.9010366666599,A,B,B,0
Jewish,67,Yes,Heterosexual,B,74.89546471990289,B,A,A,0
Jewish,43,No,Other,E,-74.68989591417187,E,D,C,0
Muslim,46,Mental,Other,B,-21.101591969326346,D,D,A,1
Jewish,90,Both,Bisexual,B,116.6307579500895,A,A,D,1
Hindu,22,None,Other,D,-6.1481062213710125,D,C,B,0
Christian,75,No,Heterosexual,B,-98.7864192453781,E,D,B,0
Hindu,30,Physical,Other,C,-94.47051380383178,C,D,E,1
Christian,91,Mental,Other,C,58.60510847750111,D,D,D,1
None,21,Both,Homosexual,C,-82.1535282209704,A,C,C,1
Buddhist,96,Mental,Bisexual,E,-37.45911777601302,E,B,E,0
Buddhist,51,Mental,Bisexual,C,139.78714906842043,D,C,C,0
Other,46,Yes,Heterosexual,E,-47.55356366273278,A,E,D,0
None,95,Physical,Homosexual,A,100.1058895029776,A,A,E,1
Jewish,69,Yes,Bisexual,A,8.02072838034118,C,B,B,0
None,68,Mental,Homosexual,C,-114.41912523633442,C,D,A,1
Jewish,80,Both,Other,B,-106.67021741390764,B,C,D,1
Hindu,56,No,Heterosexual,D,-24.844430147143363,E,E,A,0
Buddhist,85,Yes,Other,A,109.58472872254386,E,E,B,1
Buddhist,79,No,Bisexual,B,13.048306835644233,D,C,D,1
Christian,31,No,Bisexual,C,89.12383935400156,D,D,E,0
Christian,58,Physical,Homosexual,B,-4.823773183977461,A,D,C,1
Buddhist,98,Physical,Homosexual,A,-122.36245323459714,B,B,E,1
Hindu,18,Physical,Homosexual,B,-61.05983543179244,B,C,E,1
Jewish,95,Yes,Heterosexual,B,-201.481250407976,B,C,B,1
Hindu,38,Physical,Bisexual,C,45.0480425793235,C,A,A,0
None,21,Both,Homosexual,E,-76.22746503285049,E,B,E,1
Other,64,Both,Heterosexual,C,-87.04552296400084,E,A,B,0
Jewish,96,Yes,Heterosexual,E,150.20701439363856,A,A,E,1
Buddhist,99,Both,Homosexual,D,15.846624195440137,C,B,E,1
None,37,Both,Bisexual,E,82.82191711719784,D,B,D,1
Jewish,26,No,Other,E,-137.07232207891607,A,E,B,1
Christian,87,No,Other,A,6.096272415090695,C,E,D,1
Buddhist,88,No,Heterosexual,B,99.43032196816745,B,B,B,0
None,55,Both,Homosexual,D,-13.720036684646727,B,C,E,0
Buddhist,84,Physical,Homosexual,A,129.28094894926411,C,E,B,1
None,86,Mental,Heterosexual,A,21.05723431435187,C,A,A,1
Buddhist,35,Both,Homosexual,E,7.306981412563671,E,D,D,0
Christian,85,Mental,Homosexual,D,-80.73121414552688,A,E,B,1
Christian,95,None,Heterosexual,C,-2.6547061781331256,D,D,C,0
Christian,45,Yes,Bisexual,C,47.184225933538265,C,C,E,1
Buddhist,67,Mental,Homosexual,A,79.66366922555807,B,A,D,0
None,47,Mental,Heterosexual,C,-210.668808055454,E,D,D,0
Christian,52,Mental,Homosexual,B,66.54467772115599,D,A,B,0
Jewish,87,Yes,Homosexual,D,-104.28464595198628,E,E,B,0
Buddhist,38,Mental,Homosexual,E,62.249932555512146,D,E,E,0
None,47,None,Bisexual,B,57.11733834192548,B,C,E,0
Christian,47,None,Other,C,9.924047103591155,D,D,E,0
Buddhist,20,No,Bisexual,C,-118.8132268821888,E,A,C,0
Buddhist,40,Physical,Heterosexual,B,116.98173507099136,E,E,A,0
Hindu,60,Physical,Heterosexual,D,129.46987835880552,D,B,E,1
Buddhist,38,No,Homosexual,B,-98.47748173434833,A,A,C,0
Other,21,Yes,Bisexual,D,-30.170798813644247,E,C,A,1
Jewish,72,None,Heterosexual,D,38.60524388973863,D,C,E,0
Muslim,94,None,Bisexual,B,-83.16479169963426,D,C,D,0
Muslim,39,Mental,Homosexual,B,-22.670868516686642,E,E,C,0
Buddhist,84,Both,Heterosexual,C,-47.45040526887271,C,E,A,1
Jewish,52,Both,Other,C,-100.74872455638608,D,A,B,0
Muslim,93,Both,Heterosexual,B,-30.569013813409168,C,E,A,0
Jewish,85,Both,Homosexual,C,-91.9161230794447,A,A,A,1
None,28,Both,Other,B,-128.9507216072752,C,A,A,0
Christian,69,Physical,Other,E,57.84990642437925,A,C,C,0
Other,32,Mental,Other,B,-30.37341308733349,A,A,E,0
Muslim,38,Mental,Other,A,107.88212824175825,E,B,E,1
Buddhist,45,Yes,Heterosexual,D,4.611763055416949,E,E,A,1
Buddhist,55,Physical,Other,E,56.92889502238181,C,D,E,0
Buddhist,67,No,Bisexual,B,22.88674510743154,C,E,E,1
Muslim,74,Mental,Homosexual,B,-167.30285252886569,E,A,B,1
Muslim,51,Yes,Heterosexual,E,34.18561998709348,E,A,D,1
Other,96,Yes,Homosexual,A,84.77907672191135,B,E,D,1
Jewish,26,Both,Homosexual,B,240.67847382213432,E,D,C,1
Buddhist,98,No,Homosexual,C,90.2294907163536,E,A,D,0
Other,96,Physical,Other,B,-52.27751109348343,B,B,D,1
Other,64,Yes,Heterosexual,D,-43.50320589714987,E,D,B,0
Buddhist,19,Yes,Bisexual,E,21.322394206230747,C,B,E,1
Jewish,53,None,Heterosexual,B,127.60123537564654,B,B,D,0
None,39,None,Other,E,-20.00764330795379,B,D,A,1
Jewish,43,Physical,Other,B,41.878743856642856,D,D,B,1
Christian,25,No,Bisexual,C,9.785344497445829,B,E,E,0
Muslim,27,Yes,Heterosexual,D,104.79380531500284,D,A,C,0
Other,94,Physical,Heterosexual,B,-38.770583773233206,E,A,A,0
Other,99,Physical,Homosexual,C,58.983804567881556,E,A,D,0
Other,25,None,Other,E,15.726998298997335,B,B,A,0
Other,54,Yes,Heterosexual,B,22.88194570839385,A,D,A,0
