birth_year,country,marital_status,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
27,China,Single,Other,-98.1201516867252,C,-44.34113828170596,-123.10916941187777,39.16563496505997,-2.496966461236911,44.953402488018476,A,E,14.609172667665081,A,168.41140770569515,C,1
26,Mexico,Married,Male,-17.879139858969243,A,-111.36917555303718,-156.44591027653658,-21.552853784401893,-42.26445404028006,-129.61195118443624,E,A,124.43303360688063,E,-98.44027190477661,A,0
34,Mexico,Widowed,F,71.16179912585903,C,-210.3327259202567,-120.9809103790632,-96.91681806913776,59.93434874382676,-155.5046390916757,E,A,40.66153335440911,A,-38.07804217925365,B,0
75,China,Divorced,Non-binary,-196.17239875201534,D,-3.1975583435737356,60.113887295884595,-6.06654452251197,-68.27963078148771,-103.73175130893037,D,B,11.296722208679816,C,-73.74031782195762,A,1
21,Brazil,Widowed,Other,-32.100143100773806,C,64.95777163679071,-51.011008124128374,-23.297324074316197,-44.5915961068992,96.08554956077258,C,D,-8.044140650719655,B,-16.21045617038725,A,1
18,UK,Single,Male,-75.95664178726783,A,-120.1777745302679,121.87468756386824,190.85640305619134,47.07808812420342,-82.20379062274007,C,A,109.8232910695482,C,5.3824270342255,B,1
38,Other,Single,Male,-116.00085603819454,E,40.310454890770735,-0.06398432882691432,-69.54721648765508,-66.95668337867077,48.735335791133444,B,B,31.957571914848472,C,69.23546725657016,A,0
22,Other,Married,Male,-29.944490928328054,B,-183.04278891986576,84.72207077220463,30.32015739974845,-96.8555290502294,-40.31763565338748,D,E,21.860582197424936,C,43.00105478501558,D,1
35,Other,Widowed,Female,-95.81523014598224,B,-6.761886945705376,-191.1163579823713,46.88336937591049,-15.13070543469338,-67.0780152961153,C,B,65.11135458027293,A,-46.26158243985312,C,0
73,Mexico,Divorced,Male,-18.58641538577333,D,-37.44761704178926,-8.066418738456829,52.45013208614295,-65.4004340832411,-18.30628394244485,E,C,-117.66804115183058,E,-49.40037280704938,D,1
62,UK,Widowed,Male,-84.09920021686517,A,45.351241919019195,4.547974664719058,-30.428037055431208,178.0775337973594,-2.577994068276557,C,A,117.64222918660856,C,-86.91873098940937,B,1
39,Germany,Widowed,Non-binary,-41.724762309809385,C,-28.73384638853887,26.34855652471594,-92.7052902947393,15.099445147965335,-67.29093119791193,B,B,66.37805723319818,A,-220.2048701380646,C,1
57,India,Widowed,Other,70.97750457927131,B,-51.45184604382707,110.62651273237122,216.16280504152502,30.259071971712242,-128.6324110481565,C,B,-89.4453786671063,D,36.23443636158959,A,1
57,Brazil,Married,Non-binary,-181.32684385315287,C,-50.373498769041504,71.98809962052248,157.92096376056875,-109.34541222095446,-20.48147768538321,A,C,-9.406333534854769,E,3.340353028662214,A,1
72,India,Single,Other,13.969153126786015,C,120.30693744559639,-123.64750142664714,1.5861096832354296,151.2766512507524,57.954529449845424,E,D,135.42062654496047,B,-154.30825032095646,E,1
44,UK,Married,Female,-104.54760836622461,B,-117.0546088231201,-161.22452451475388,-98.89715808803433,-80.48378414931415,31.773157009480556,C,B,24.431586960496315,C,-16.157230620128896,E,0
57,Mexico,Married,Female,37.66150474260444,D,45.19129199680819,-58.33340725385489,288.45723542232327,-47.55900115249624,20.576173916625212,E,D,158.29758495202898,A,61.367124728594426,D,1
55,Brazil,Divorced,Non-binary,63.781842383009554,E,-27.782062051845692,62.566373684559586,-107.97143875267605,-117.80328497523556,-48.50411382958007,C,A,53.70516200507836,A,62.14242940935924,B,1
48,India,Widowed,Female,-123.81699562256172,D,33.268374977365426,123.90885791150869,113.71028215352868,-49.466462881683064,94.84631028019761,B,E,81.32609642052998,B,230.8258693716926,D,1
35,Germany,Divorced,F,36.91612489424939,A,120.76284402249907,74.17356144092497,-176.574256094124,79.7618004063493,106.94561493758687,A,B,203.3878756639681,E,-208.09311264566736,E,0
75,India,Widowed,M,-113.958750657983,C,-113.57476188749666,39.46247107696717,14.110994514295525,-81.03755383063367,40.14527577249937,C,D,5.3079668416851336,D,-100.20961412039182,D,0
42,US,Divorced,Female,114.0323392407469,C,26.606179781329114,-28.933920368387277,-87.0335147779296,-56.41280556851442,-120.83469292669895,E,C,52.89416651888934,B,-19.09398177963723,E,1
23,Mexico,Married,Non-binary,-71.56136251814283,B,-71.37922001546039,158.27115558841632,62.32749830233427,36.09791122330326,-19.445962709331514,B,C,-102.65306108000813,B,-105.71131877555003,E,1
49,Germany,Married,Other,-73.72783819750653,A,81.21558690092395,45.057577047261546,-20.265716038527867,6.9421105450730005,-53.537619174514774,D,E,45.327664495007056,E,70.48835848122485,C,1
37,China,Single,M,-31.712237700318962,E,-238.91714878877636,56.80318835059466,-136.3532410868045,74.63250020065489,98.85871935747127,D,A,-72.73440451276066,A,56.4271305715867,D,0
49,US,Widowed,Female,170.39978666080094,B,70.8606643620097,-124.67691151750286,-115.75240693601812,167.51504666170163,-184.59858369612306,D,A,90.38742254157789,B,114.34966931607764,E,1
41,China,Married,Other,-5.255291594609337,E,-41.44959443082715,-55.74894814957078,47.85553336606218,30.146975539391885,-57.62338259063496,E,D,-19.991257794484714,E,125.72519667781894,B,1
60,US,Widowed,Other,21.43056220520364,A,179.21183253537419,-121.84932071040248,-28.68435341676371,57.97540579454474,-111.69213823778156,C,E,17.284251480099247,D,54.53257377889093,E,0
53,Brazil,Single,Other,150.70319034878685,C,-51.28089909886015,152.10277324572755,21.553347176618555,-14.235922047363486,57.31565645189245,A,D,-128.64649914965835,E,-59.22629597500627,E,0
31,India,Widowed,F,-128.44951890088555,D,-108.97515707345498,-28.655610833921486,-52.412611099043716,20.470824453659944,-87.09350141891322,E,A,-90.88210681344259,E,28.740593242107305,E,0
78,Germany,Divorced,Other,-57.6778916726551,B,65.66776593148683,107.1473937015329,83.1531285316907,211.21175866233725,-155.80270573008795,D,D,-142.95952106884042,A,-50.78168354108145,E,0
36,Mexico,Single,Other,-80.85941344193319,C,19.098640549613595,-75.59221232991143,133.11718924711312,79.33245508964077,-33.18752757013933,C,E,111.27900007814597,D,21.670895932869204,B,1
31,Brazil,Single,Other,-120.22841383053404,C,-112.59789564807568,-132.51758860095856,-24.765216615516174,-56.62270810437917,56.2024935860543,A,A,-132.49953315481127,E,104.41983895188712,C,1
58,Mexico,Married,Female,-47.59266173557287,A,134.02765864661367,-5.995374967579937,-44.51534674749472,-111.37065236050512,95.79693923868004,B,D,125.9493087359544,D,-18.553174993337922,E,0
39,Mexico,Married,M,-109.14327730166902,B,47.08997695178226,-5.733612077921895,-93.53660895729186,0.6400837045144984,-52.883933188660215,B,C,-63.369458332915876,A,194.0646882590474,E,0
46,China,Widowed,Non-binary,25.61188789898336,E,-43.88160892967167,21.846133871387703,70.63469105123177,29.45237059949285,40.15155520731382,B,D,-198.5384241163161,C,38.452837153847284,D,1
28,India,Divorced,Other,46.03717905396189,C,-29.389554115333837,-78.03709926944393,-40.551736098478884,-193.49564223121033,-231.504950667265,C,B,-4.057859349676416,D,-205.69775532015802,D,1
48,US,Single,F,149.6289403834429,A,-50.1629001247912,-46.78449354779045,-197.25533900684022,29.029738538044704,15.504941660536748,D,B,112.63799548874206,C,-46.50338326783568,A,0
27,UK,Divorced,Other,79.38333323210792,B,164.9630964037795,244.13063206676105,-12.822786369422712,29.079353701577617,-4.8502083726773355,C,E,52.111254315953936,A,-162.75725125405324,D,1
50,Other,Widowed,Female,-101.49197138462239,D,-116.28800233172878,-42.88010955503634,-211.6403699740881,-83.02768593818818,-50.903230939844015,E,A,46.252622490541754,C,-27.733291220666107,B,1
45,UK,Single,Other,-15.806553347580326,A,-97.89523507776276,-59.059065342425534,-122.43378558753164,89.8922762333863,84.95775124785756,C,D,-203.3334314958146,C,2.6941222584830027,B,0
50,US,Divorced,Male,-38.338347077461854,B,-47.65312870260697,107.74698392347624,-96.00377114472738,66.67241320037196,79.61192632909948,C,A,44.51850281699423,A,82.7872421821551,D,0
55,Brazil,Single,Male,30.83776954085006,E,197.71146420803524,-147.4264629508784,-52.323831457447575,171.0331549353898,-32.58732905861558,A,E,-118.79222248500105,C,30.48006448918844,A,0
48,UK,Widowed,F,4.5390098264554934,D,-64.45836991330788,59.892606348351094,-140.69119422330112,-39.369865752473224,31.129035822356855,E,A,21.623009318003884,B,94.75924461214899,D,1
21,Mexico,Widowed,Other,-86.55619261099282,D,-35.68705877096966,74.4916683689816,-183.59475474257025,-138.51574325216927,-39.49921948349064,D,C,-10.072115197633437,D,-49.72026312939742,A,1
21,US,Widowed,Male,-112.02412778321498,E,-37.849902927549536,-34.70662259767869,-82.5794944244995,-134.36731499601933,123.59783891271627,C,D,9.388178573354363,E,71.70168278918356,D,0
73,UK,Widowed,Other,-167.13161371943798,D,-24.99050252875899,73.37820085498818,22.913720402847375,89.79285316381062,-72.41970044923355,D,A,89.78039118095595,C,37.15855166283477,E,1
46,UK,Single,M,-131.64050434245542,B,103.95750024105604,-27.046593640643685,70.0896694843702,-45.26348164842224,-51.25051741427518,C,E,-33.895762340764044,D,-76.73306144832179,A,0
77,China,Divorced,M,11.44228837443171,A,61.22062385496323,49.74465839688639,-29.695997281828195,7.9330229185289936,-81.19997409986355,B,C,24.236128081820947,B,71.9375920652577,C,1
24,Germany,Widowed,Other,28.7841113129079,B,-173.67302282533348,134.30301776657006,-8.627421473853584,85.67426326771084,-82.4512673322109,D,C,-68.99841372466037,E,69.336231598878,C,1
22,India,Divorced,Male,-56.20823923339048,D,-36.28918383121268,52.526353831739605,9.405652820426269,-148.64306751359206,11.681039419205339,B,E,-205.86814472157172,B,-17.308811233190696,E,1
64,Mexico,Divorced,Male,25.391036991869324,D,-61.29674823545632,44.51472183991568,-31.386285482780718,97.99147777707354,22.025657347724355,B,A,26.723664397590923,A,-56.032419964577215,E,1
41,India,Single,Other,-7.19842491277641,E,33.23170371866163,143.43723125694697,-107.57402216486771,111.16011617114192,-41.124337828315745,E,E,389.14842880409293,D,58.848985167173005,B,0
61,India,Married,Male,-56.127785738468084,C,-140.12434631552594,1.147585844385456,-65.07545631295116,3.0458137660166393,-35.390066128283905,B,D,-14.739359950220932,D,212.05907991242557,C,1
20,India,Single,Other,-22.287731429377956,E,123.43559247321227,-83.69116961750538,-5.593442450726834,-142.0073680388612,50.88340509216786,C,E,112.91759347904842,C,-150.56157052179918,D,1
30,Germany,Divorced,Male,171.64705057052558,D,-122.25573463036771,-85.17507258269278,34.71548963298699,-10.022173478027579,-95.28662304877183,C,B,40.956327898735324,C,34.75720153403592,D,1
33,China,Divorced,Female,-216.21750747746563,E,46.166104536522056,-29.673939234967,24.827575270040832,-23.469837445384588,217.32869070760975,D,C,162.36102272464106,C,-45.19196192079827,A,0
63,UK,Divorced,Other,-227.40557257356335,C,71.98271076080314,-3.6851290219418846,109.16681331602531,-137.88927531100472,-141.57904199890456,C,B,-79.90060327100355,B,9.773237744270746,A,0
69,Other,Married,Male,-69.51193539708507,C,-13.293515937354433,-42.44145477425182,177.1612742159155,-40.91438028558946,-243.02382751892137,B,A,152.14080241789517,B,26.57451735071738,D,1
79,China,Married,Male,148.48868335201442,C,-66.83533107366172,84.25905662053542,100.20437201610797,62.924703712266705,47.76558883796576,E,D,125.96562405633875,D,23.955427395808883,E,1
35,US,Widowed,Female,-104.49061027442681,B,-34.22638866841626,-32.15102320494315,-64.96093429826293,-49.2287071948573,-32.66862438127173,B,A,44.83547941696353,E,110.09746844995804,E,1
63,India,Divorced,M,-129.77289939598757,A,45.36291291331587,20.646812704383937,95.8603416817231,13.800655797625176,21.18687624726633,C,D,-90.52014144273353,E,-111.78470090182084,A,0
49,UK,Married,Other,-86.2301706761996,B,-55.12793790618815,102.7902072418592,-115.948318738807,-129.16931945667395,-49.53503322688662,C,A,65.20844990526082,C,-84.69577134128372,B,0
22,US,Single,Non-binary,-117.02744526791969,D,21.051826852610105,-13.471577332195869,57.866116299204364,-74.46101693995816,44.912840702862255,E,B,-34.07774589210678,E,-52.611032565111934,B,0
74,Brazil,Divorced,F,-214.55521169840745,D,-120.16110530519842,175.92163802366102,-3.025427619590905,108.09127939920327,52.45533062130529,D,E,99.19181444988232,B,-8.994231761477511,C,1
32,UK,Divorced,M,83.84357878315178,A,144.53320549509644,137.08373017627167,65.02277266239075,-61.21507752836466,-10.693359103650266,E,D,124.9919386434752,D,95.55787589508364,E,1
37,Brazil,Widowed,Non-binary,-124.64784284014453,C,111.08728317463905,-32.84116517758321,59.428121355889964,-15.52830611633525,71.92973968825794,D,B,135.4586887651931,B,-64.36396475681238,B,0
48,Other,Divorced,M,-47.805474328553316,E,-180.3740195030639,-109.28228873659623,106.05100876584524,-35.531167806624566,-89.81984432397772,C,B,14.18678505065908,B,-12.007229265318808,D,0
19,Germany,Single,F,-26.519915835026538,B,-5.05633945886882,38.04394997032459,-45.785106323453626,-56.636324482159594,76.23003280863242,E,E,65.14374736547171,E,124.1596408826131,C,0
67,Mexico,Married,Other,-1.643824362128175,A,83.85281877412851,137.90867066493163,-101.49957826353906,216.00253261575867,-108.96327495730418,D,C,-128.8723991962454,B,15.620306568557213,D,1
31,China,Widowed,Male,27.249884180084177,E,-100.60258802259328,-100.73178090962148,-39.657875082068344,-27.049763558487612,48.32216305936517,C,E,161.89541855601308,B,-41.88454206017423,E,0
74,Germany,Divorced,Male,-108.88861200986983,E,38.204728761667425,-56.56436812720326,29.251098047881342,-39.61502540016382,106.88622673898792,A,E,-125.35960268675137,A,-135.84429318641313,D,0
29,Brazil,Married,Other,103.1116858108769,C,-33.769527470429054,118.72045918085574,-103.81594301672239,23.65027080425042,-100.69200793633965,D,B,25.68100747958497,A,25.83991440231567,E,0
68,Mexico,Single,Male,-213.10467028911398,B,97.62230542790248,104.76521010110761,95.80054792259396,-3.2098257376716575,-102.41239039559605,A,A,50.01202490133638,A,2.603411857826155,E,0
38,UK,Single,Non-binary,133.87035427895228,B,-70.75511071320513,67.01996381271715,-15.160873934989452,174.1941769131354,36.92616460227624,B,D,-274.7849887185225,E,-37.21003046857384,C,0
48,Mexico,Single,M,19.810412764470353,C,84.08743961859957,90.8864867142871,106.58185893573253,8.626768580571916,79.78256551174793,D,A,118.54525933193776,B,-96.97430688006477,E,0
39,Germany,Widowed,M,24.777443429486645,C,32.816033447239725,-235.93499993013998,53.355917037527725,155.4864390621433,-167.10890605676613,D,E,-5.669680004787205,D,9.883187760487539,B,1
30,UK,Widowed,Male,-33.32439305083528,C,-9.139866051948527,-64.82237939354701,-30.430479295835926,96.54922601859886,36.15663345639619,C,D,-42.333699015035194,B,-134.21315911943424,A,1
55,China,Single,Female,188.78960797394583,C,115.8809966694752,118.45037555430105,-41.51631945418782,-117.46949330868033,-11.463289346397088,B,C,73.87609220524378,C,-125.23278014364676,C,1
29,India,Widowed,Male,90.13790625113909,A,74.06420332951225,54.515967594448725,-98.43793573112674,97.21631426693904,70.53160829708835,A,E,49.52862240842143,A,100.68645253346922,B,0
22,US,Widowed,Non-binary,-158.14015803280702,E,-88.76151150883761,-5.464440012584341,137.7379126136915,116.1611595988375,35.04214520220048,C,B,33.91172524722184,D,-43.714202924361715,A,1
25,US,Widowed,M,7.82192268667475,B,19.932626283441838,-62.26371548803292,-61.78782744410367,-7.830136514109368,-25.953623606075077,A,D,-147.50853203467364,E,-99.59306631358574,A,1
67,Brazil,Married,Non-binary,35.013041950814376,D,-48.52397173040841,-30.2417378254474,-123.056169492841,-3.9416802353693208,-66.81924273826607,C,E,111.2627280157384,B,-292.64771351061347,C,0
28,Germany,Married,M,50.78696197074132,A,-56.36207809635826,-32.655404075120785,-37.499311665704354,42.19186357427791,18.102966818390286,A,C,54.68771263837587,B,-36.24324851864414,A,1
38,Germany,Divorced,Male,-1.3077468571350366,E,-59.741626444585535,88.14392922581312,-67.05451895776746,-3.8443221080050485,-17.175074804977502,A,A,-56.10248399669647,B,245.96344051850502,C,0
37,China,Single,Other,94.85551848209958,B,102.78145452242464,-91.59127547984335,-20.686840640512933,142.98567414236467,2.872217229539478,D,C,84.51851555870928,A,-179.9522969647007,E,0
73,Brazil,Single,M,13.364222681380564,B,-76.529488200637,12.847178034940733,-47.18483305504296,41.75715987732258,-142.0682608360276,D,E,38.8078700151277,E,190.100913358454,D,1
36,Germany,Divorced,Other,107.13605930637702,D,57.4954813079388,-30.159011561222176,-24.983279203409435,-195.72909127365185,-50.48388132842657,E,E,-58.30638826526952,D,-27.388101876477673,D,0
52,UK,Married,Non-binary,-48.0461607093402,C,-140.16387744254996,82.33682436782425,-116.31483312150618,-25.872198934767255,-56.330317808541665,E,D,65.53031164714173,D,-52.590736331392016,E,0
21,Brazil,Divorced,Male,-177.32780804890527,E,-73.5544235349202,-17.904233953315046,97.41795161858255,26.273883265786104,-34.98183663500818,C,C,230.44748887917845,A,-106.87763552613862,B,1
42,US,Widowed,Male,-45.70737334249801,A,-72.59662611807856,-99.17604333765132,-119.34247512901044,63.689374438814916,59.16736127556287,C,C,-27.270773022519958,C,-102.26363392170069,E,1
59,Germany,Married,Other,20.36517267107255,C,-122.32018796025983,75.26182390952596,112.53978313070883,-45.430483863353246,131.34432798074332,D,E,-15.076703356174804,D,-48.44831068405697,A,1
71,China,Married,F,-0.4277123511545409,E,-31.666461809183062,25.16645954361543,-75.9268403789167,-33.37023179735617,-63.6707674384314,A,B,37.14068727420926,E,-25.159462908439462,A,0
18,Other,Widowed,F,-9.35124402923735,B,-56.34697141342103,119.74432169593474,-79.24188001517419,195.14880372988299,154.75153684181018,E,A,88.87750307238315,D,-80.57028433568082,D,0
79,UK,Single,Male,30.112233932551813,A,87.18386014469347,-62.89369824425267,86.60990579786538,-38.28594070730208,-63.95120755366064,E,C,22.42420033636462,A,51.497763048712116,C,1
77,India,Widowed,F,149.48605242382396,A,108.76946197042936,-20.194632197267545,-1.9936743027798969,-62.17203572537944,98.40169593043284,E,D,-42.68036001816947,B,-77.56066499774683,A,1
49,Germany,Single,M,11.265667936832635,D,86.28820015515733,-141.34612018100825,211.33596472727677,-87.99885311061779,141.8411254416887,C,E,-129.40155911305425,D,108.27592057400884,C,0
64,UK,Single,Non-binary,35.29752923794603,D,177.8821914246592,33.38287042223696,30.385833149234564,60.073171897740586,61.77318337436716,D,E,-124.7700979129579,A,38.71772862985298,A,1
44,Mexico,Single,M,126.34913602249705,A,24.540597436149568,66.32437478166847,32.949887011651185,122.03297615691937,-120.17165624842083,C,B,0.54473864599243,D,13.069206963643259,E,0
64,UK,Single,Non-binary,-98.80708418492472,B,45.599514540669276,-56.208985545201195,16.81184748873764,-119.57184924140584,100.22324691413853,B,D,96.70499822892968,C,-107.06848233140443,D,0
21,Other,Widowed,Non-binary,-49.68412559070383,C,63.214165261813804,34.8319990325393,-54.39296038343201,-129.0612822893982,140.20555725038744,C,E,-54.495414325949085,D,264.4873432433326,E,1
48,Brazil,Married,Female,-71.43604593153906,A,158.07124583781376,-11.02709123832368,-162.10763691695223,-28.937280060881466,43.077078629103696,B,E,50.945112272452164,C,59.123023931527555,C,0
60,UK,Widowed,Other,-42.14320471458712,E,10.013217019179235,96.03217630013391,-93.57327711430872,8.0550489667114,76.2064594251259,E,C,181.24792460280634,A,-26.01507733723267,B,1
18,Other,Widowed,M,45.35691244221778,B,-6.774703599790009,11.610964467311714,75.3602735368896,79.25704764181371,-267.04535709579534,E,C,16.998358016743563,C,-92.85364357690744,C,1
59,India,Widowed,Non-binary,46.08086423442946,C,154.58721332991675,81.44654067161137,115.11181234824129,264.59248014639314,-117.35570299347636,E,E,80.95734248561195,C,-221.1411642309334,E,1
23,Germany,Divorced,F,42.97096329569462,C,-53.99394433412205,69.78482945404274,-83.05957624215714,232.85332328073162,-71.17630674372502,A,A,175.19268885467446,D,-112.06795562247291,D,0
76,Mexico,Married,Other,-65.77637362037267,D,-44.013769912275016,125.73403084222885,-97.22572886677915,-82.39628132682066,-30.614653749571502,B,B,-7.358451016338168,A,55.34773980312251,E,1
34,China,Married,F,-48.45592478247202,C,58.81959208121231,-113.20119068999817,205.7313519679562,57.42245724579593,29.471790445666546,C,C,-56.1816108651439,C,-6.937992809864086,E,1
50,Germany,Married,Female,-62.99748960667293,C,65.99288021958489,44.026703670206274,-28.66854268548447,49.21655377798739,-36.337614724024334,A,D,76.88875062810311,E,-106.08611719554392,D,0
50,India,Divorced,Non-binary,83.97840195812572,E,23.37151439816955,132.72723900887652,-30.09952050448948,1.241401879125161,-10.03896725892584,A,B,-143.6179750039964,D,-33.61997382465076,A,0
40,Brazil,Widowed,Female,103.34532000911274,A,-65.58152497184332,58.74314372629992,72.85701608384412,-38.91588528814044,-74.33869266284562,E,D,-63.079072298884434,D,26.14910845407025,D,1
75,UK,Divorced,F,-124.5140184104304,C,-17.33530390797465,-96.00952536801056,-121.29833359232245,-75.81596034059615,-7.938795552938957,E,E,-130.00477771245917,B,-11.648730926195832,A,0
45,US,Single,Non-binary,-220.8443872818159,B,48.30047825869887,62.216674158196504,8.28333889298795,-5.8832354011185135,-45.38213827588589,E,A,55.39609752802104,A,-10.75021548832995,E,0
48,Germany,Divorced,F,-35.578429224191474,C,-30.61330428962809,16.97099696892969,36.868152588721365,-83.8888373888723,-30.491313639490585,B,D,-137.31609947899713,A,82.70621409803391,D,0
51,Germany,Divorced,Female,-148.16754652372632,D,-132.79783393626826,98.8177146046437,33.512960847280105,-148.51845569964752,-53.998509121034665,D,D,-77.09873471298573,E,186.52298072432416,D,1
24,India,Widowed,Male,121.34218301004643,C,138.78662670580923,92.70141978000326,-32.45843555767975,-186.47037908385036,64.12939128196118,E,A,31.18530927907692,D,87.57048472697922,E,1
61,Other,Widowed,Other,20.36863256839598,A,77.60228057279168,89.2409116255858,-228.38761870376203,-92.22732240842359,101.80621750070881,E,B,-164.61846105327115,E,94.48003012725324,E,0
74,Germany,Divorced,M,150.09318859663765,C,8.712219655911843,47.08253705790153,-81.45416187331791,71.12523037067969,112.48048318186284,E,C,87.1293106151476,B,40.896243076492404,D,1
60,India,Single,F,161.79724557226612,A,17.31109140457833,65.70381148854023,55.35653694834903,215.90502723239894,-13.120543831847757,E,B,-18.56448532833817,B,65.49599633810206,C,0
56,US,Single,Male,33.418076359971224,C,-56.34601093648892,121.20202734014627,13.115080962102738,111.58837090263023,131.86768322964366,A,E,-131.79430312764367,D,170.40436079480835,C,1
36,UK,Widowed,Female,76.90925315566919,D,-74.07948212186749,64.62827058822106,96.1487754556763,-72.6117156040808,-30.101137872958745,C,D,-150.68179746056904,A,-116.54335100466598,A,1
28,Mexico,Married,Male,-32.72992928936968,E,-259.88486135411733,-56.768917174963065,-25.295307674739842,16.60313112894443,-24.006724143793598,C,D,41.447069709257754,A,-98.5084846747274,D,1
19,Germany,Widowed,M,-30.343407664011067,B,-281.1174053163592,7.890510520636776,-205.18199247542213,-74.77524223022637,0.9488857827029746,E,A,20.6307464984835,D,-18.607180795228807,C,1
76,Other,Single,F,36.792945036395565,B,96.48276081100387,-33.895082298655346,141.23299214405338,3.2245850110873873,-13.788157737896157,B,D,-34.52249087065265,B,18.98901918844173,B,1
64,Mexico,Single,Non-binary,106.79107800381811,B,-156.30313386224358,-120.74418360546358,131.94151123290106,90.76185887667403,-5.63043187406789,D,B,-103.90764484633283,C,-118.83510295767212,C,0
21,China,Widowed,Non-binary,63.00126084185618,D,-39.824100481587,118.49060028892924,124.88365833863759,50.706723661066974,58.32321455469413,B,A,115.77923134288409,E,-50.715188855414574,D,0
20,India,Single,Female,-121.23436141022779,D,6.417802299873165,-124.28567906372068,-54.21325324838406,62.31923848850614,136.39295427591662,B,B,2.965359434586973,C,-31.272850349477434,B,1
47,Mexico,Single,Male,167.13392793178272,C,284.2993089686602,-67.92199004110883,-212.7327407843852,215.46947577155214,-111.98387273516153,B,A,-52.460507794519,A,131.03905811587748,C,0
44,China,Widowed,Male,-114.02061755208068,A,89.07680064164522,-28.356335654415073,-2.3818630049315095,27.374548609915838,66.88772961745396,C,C,-165.71194757803423,D,-111.7254847006796,A,1
50,Mexico,Married,Non-binary,-149.77240209461806,C,-89.43154748938898,160.00859952937552,-155.73017772762256,-76.69662845694798,-33.281082320460236,B,C,-182.47407044089803,C,-58.20085220325015,D,1
59,India,Single,Male,-95.27788834236956,C,116.3891013049553,-290.3544014994286,97.44609899187374,-21.24611009703808,-73.832104656073,C,D,123.6718263003759,C,-190.2677729691607,B,0
52,Brazil,Single,F,87.45724495919214,E,-129.1313425182955,-185.34393080412528,112.14372470266434,-33.493090508121355,241.55101336706423,B,E,-49.80497737109769,E,-11.270868606673563,E,0
56,China,Divorced,Female,-91.53807258555068,C,-205.76524200916512,-55.00542360666159,-247.3987918137886,45.30353017902495,-145.75166035347561,A,E,9.925543334614865,D,42.51453644885235,A,1
57,Other,Widowed,F,123.2012256623235,E,169.84626666464348,-42.926289190603455,-79.62525660033857,8.210693136450997,-8.732932128161025,C,B,72.96584061316258,C,-114.0492402030375,B,0
65,Brazil,Divorced,M,-9.808252318217853,D,-94.15334504351388,217.43132261360603,37.257555206597004,-115.38078654123223,-224.65592452316736,B,D,75.15456518265147,B,17.67068184900932,E,1
