orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Bisexual,-58.02757607445207,E,33.77709873649627,E,-55.020981629239444,1
Bisexual,233.7178788130734,E,41.36958390880871,C,144.1429509661965,0
Homosexual,-26.92850868537871,A,-31.900367291277554,D,-35.21151158957646,0
Other,-106.54080824107557,D,77.8441956731245,B,116.68505105800733,1
Bisexual,25.520015858843188,A,111.81367766894562,A,-116.69230636713313,1
Heterosexual,0.9876863502479356,D,50.217998913071746,A,39.32064847505494,0
Homosexual,-22.148810672706258,C,34.60470251762885,D,92.33516848779145,1
Bisexual,46.57901179879788,B,43.976105539733936,B,-44.76080111307263,1
Heterosexual,108.60627544332438,E,-121.65232229462345,C,-98.485311959,1
Other,-122.78273822458532,D,64.35062449475821,D,32.561371942956725,0
Homosexual,-62.26613608104139,C,-148.70912719600614,C,50.80437497091791,0
Heterosexual,-76.6079414461398,C,-80.3326512611753,C,-42.77802172488997,0
Heterosexual,63.41970178798461,E,-61.17411574914742,B,-52.66615250354495,0
Other,5.720202817366795,A,126.57914349558783,A,-38.51236530109933,1
Bisexual,-75.0695572260896,A,165.28272586835243,A,-81.45806171428589,1
Heterosexual,55.245216399620176,A,114.06788419687285,E,8.333100533544298,1
Homosexual,117.04236754032489,E,135.14474978367195,B,35.04395668809708,0
Homosexual,-12.483640551004017,E,12.885176930017828,B,165.82581376557363,1
Heterosexual,16.79526885181282,E,52.68091010597027,A,-275.95489969735985,1
Homosexual,107.01068964216695,D,61.75599451630024,C,3.7379566366089954,0
Bisexual,24.227898718303386,B,-31.770401901206018,E,-61.00688783647612,1
Other,92.34745284324559,E,-93.70122384706862,A,-112.4789725171554,1
Homosexual,-57.196045970264905,A,-36.640421469791114,A,6.493101542756263,1
Homosexual,33.70781706962328,C,13.475669152474604,C,148.8144850430299,1
Heterosexual,10.846601673471417,A,80.86261854967199,B,179.16389445794385,0
Heterosexual,254.95549931347088,B,-97.39781513723652,D,86.54648444567275,0
Bisexual,43.986871674071246,B,81.41580158948454,A,131.49918389561486,1
Homosexual,15.68674422707869,C,92.0586753673211,E,-149.4704833586102,0
Homosexual,193.99833709443124,A,63.15557122659051,E,188.45226090683414,1
Bisexual,-15.58700505890061,C,-35.55469050038707,B,99.48949113903929,0
Bisexual,-20.830398184209326,C,194.1055877166664,A,34.243548153579404,1
Heterosexual,-72.10107589212909,A,-105.22249090469522,D,10.898794992579992,0
Heterosexual,176.95732206940502,A,-4.602488072945926,B,-35.166795873165135,0
Other,146.70721720014262,A,-60.27967312027106,A,2.1602704808331965,1
Heterosexual,-4.054370249151573,E,86.84025283601693,C,-60.60133810503835,0
Other,82.63344198482187,B,-3.149655978793886,A,-11.52082180642043,0
Homosexual,162.00098890543484,E,179.77971520368558,B,-60.79692551889876,1
Heterosexual,-112.877488429444,E,119.13621537233342,B,-37.660229376460045,0
Heterosexual,-77.83276833669176,C,114.18672793274914,C,25.086578506482493,1
Other,-14.616626038840163,C,-144.17986933363838,C,-141.259431231344,1
Heterosexual,-5.882592128307537,E,-103.70472027443513,C,44.63925762242789,0
Heterosexual,-23.432655071573958,B,128.39947948815123,B,-76.30791475251968,0
Other,38.54604824073337,D,54.46148174532052,B,-147.26653777446396,1
Other,-40.27967990571608,C,71.63909639339298,D,-178.4255876527965,0
Homosexual,-51.2595414433196,D,-87.36955525252412,E,74.5742571698342,1
Other,-90.06007982691744,D,55.55279430516917,E,-60.809381773388196,1
Bisexual,174.2716811356521,D,35.31039669239038,B,-204.430743699243,0
Heterosexual,-78.75274267750602,E,-10.042797640327278,D,69.85264501668289,0
Homosexual,182.6139452254093,C,73.98597077545,E,-139.6661523286686,1
Other,-23.00052303420991,E,-9.382433864450917,C,105.64297259013354,0
Heterosexual,-35.422325734260355,A,194.4817031803188,E,-121.96322808808966,0
Bisexual,24.425640344296223,E,144.10041552514969,E,-1.583040989956244,0
Heterosexual,-33.679360366273215,B,91.11033451036988,B,36.73471375483532,1
Other,-166.01573760906092,E,195.1277713070968,A,-33.02084173981512,0
Heterosexual,51.22366483778459,B,131.65056550111382,E,96.39632055852083,1
Bisexual,43.49488953469424,D,89.52429942076249,E,39.84074145119433,1
Other,63.736081287590864,D,30.894143159004976,C,54.51871436425188,0
Other,17.541049654817748,B,35.57718738373312,A,-193.13680710659978,1
