age_range,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
26-35,US,A,A,D,D,51.35250565853009,A,0
65+,Brazil,D,E,A,A,-25.458335650163278,B,1
36-50,India,A,C,D,C,47.10246569405447,A,0
36-50,Germany,C,A,E,E,118.27941501972545,E,1
51-65,US,B,E,C,A,54.10249359045983,D,0
51-65,India,C,E,A,A,190.58849778478245,C,0
65+,Mexico,C,D,D,E,14.685399678398209,B,1
51-65,US,E,C,C,D,8.564864947596593,B,0
18-25,India,C,B,C,D,-142.23012430749267,C,1
36-50,Mexico,C,E,E,E,-78.3963373250832,D,1
36-50,Other,D,E,A,B,-22.826269502082198,D,0
65+,US,E,B,E,B,-63.44017162591776,A,1
18-25,UK,A,E,C,A,0.5619348353874427,C,1
36-50,Brazil,C,B,C,D,0.5667757747192667,D,0
51-65,UK,A,B,C,D,19.04371186510833,B,0
18-25,US,D,B,D,B,30.28462458445541,D,0
36-50,Germany,D,B,D,E,64.72337616504433,A,0
51-65,Mexico,B,D,A,A,-58.4578223089689,A,1
18-25,Mexico,C,E,B,B,170.83221349197314,A,1
36-50,US,B,B,B,C,10.797758060720938,D,0
18-25,US,B,A,B,A,40.3489658219072,C,1
36-50,India,E,C,A,D,-40.25585763643314,D,0
26-35,UK,E,D,E,C,-85.26944779832306,B,0
36-50,US,B,A,C,C,139.65794013231616,E,1
51-65,China,B,D,A,B,-67.66291605286328,E,1
36-50,Brazil,D,D,D,E,258.9322991061858,C,1
65+,China,E,B,A,B,-55.56399272772462,C,1
65+,Brazil,B,E,C,C,-66.39698671661199,A,0
36-50,Brazil,D,A,B,B,-29.644284840694517,D,0
36-50,Germany,C,B,A,E,-49.42670459289783,A,0
18-25,Brazil,D,A,E,C,27.411651281195027,A,1
65+,China,D,C,E,C,-102.6636148028089,D,1
26-35,Mexico,A,E,E,E,-23.727911797557205,C,0
36-50,US,B,C,C,D,-69.16810403358042,C,0
26-35,India,A,C,D,C,-86.52416135885926,D,1
36-50,China,C,E,B,C,97.06901605626396,D,1
36-50,UK,A,A,D,D,-76.53749576620326,D,1
51-65,China,E,D,E,E,195.50424617981378,C,0
26-35,Other,D,E,E,E,-30.56277193107963,A,0
18-25,Other,D,D,B,C,-79.22315917151838,D,0
18-25,India,D,E,B,D,-112.78516290198148,E,0
18-25,Other,A,A,E,A,-1.6524605883388899,B,1
