SEX,military,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
F,No,Mexico,E,A,147.65354668455987,-141.80406406567886,90.29535756245761,B,A,100.95322937608829,-17.32742556209509,E,51.03773680695166,B,53.337549417283604,D,-101.90370628624719,206.00148725245532,54.77127403154181,-159.25337928006945,0
Non-binary,Veteran,UK,C,E,234.12131625834118,52.875337459179285,183.7006609275641,C,D,86.49456956928006,-5.324519425616769,E,34.4576088108192,C,-12.589179410760151,A,-133.6674023575897,-103.4944672253172,167.10072067666323,199.8720534112562,0
Other,Yes,Other,A,B,-154.2895590067199,72.36697295659489,-129.1242867123064,E,E,51.06622292204575,-52.967565264941726,D,-39.79719312334626,B,-24.470657143028085,B,28.349321147674704,57.42456779998949,90.76980051974323,107.4672807109417,1
F,No,Germany,A,B,-131.71398940714363,-47.340879205532325,-3.2960401003599022,D,D,26.518609616121886,74.70403084824022,A,-89.2342199625355,C,18.722363735323263,E,-10.256512066494041,177.66919018908192,107.02920960885987,4.319436042886355,1
M,Yes,China,C,A,-13.205731761996292,-137.42418894264355,23.572286771663514,D,D,-18.077661194645735,164.7944463322194,C,-4.1259494571663184,A,-75.59969232408721,A,-136.32154139102232,43.23800134135817,-135.79189301763057,-148.84421194012043,1
Other,Veteran,UK,A,E,78.88238517738786,-112.09297691774442,18.429862086763634,E,D,46.938119700752765,35.80027611011659,B,68.07653687209995,D,103.37513974803028,A,19.15750231746643,-50.10258196311184,19.975187288137267,11.38313765930349,0
Male,Non-Veteran,Germany,B,E,-228.21206654664573,-116.54852048747131,44.978784716407446,A,E,70.9838537353265,-37.858585997750154,B,-111.8566250327587,D,-40.2246225267941,B,-76.36890660434459,13.38738013156309,82.94967000207947,106.16253758800245,0
F,Non-Veteran,Brazil,E,B,-32.84884972799345,14.006433136835309,79.38564347881308,C,D,-77.38184726795365,-104.12103165054462,B,-38.63150636814612,D,-9.159600738810367,C,102.87352618182153,110.72018613648278,100.59852526806776,-71.8191230688869,0
F,No,UK,B,E,124.4552944249935,-64.93269027959713,-0.826329074764998,E,E,-91.72711833449216,-111.9896352305146,C,124.18237498855937,B,-58.46329927217607,A,-108.78407979337672,-203.37695683802934,-14.692785167122022,47.19745551359201,1
Other,No,US,A,A,71.06097756007506,44.60843259853902,90.01769902650945,D,E,61.49249995901101,220.78007161848205,C,-29.427103094698055,B,-147.7618566281039,E,11.334187621963396,-52.97652719246053,128.5163304665167,114.3384330472045,0
