age_range,country,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
65+,US,Widowed,-125.00334038122527,A,371.176360677881,-62.24020879935015,7.408498593967053,29.09747370066413,-37.63724175631765,A,D,164.69244355488925,1
65+,Mexico,Married,164.16028348712234,B,128.2877581481511,66.61317692809725,-131.28605213704162,17.52599663910322,-166.4251692639051,E,C,39.413118677277524,1
65+,UK,Single,-92.14985556375025,E,-27.41098055164457,142.65547767969534,30.444149437662553,-54.90692746901624,-129.1605246568921,E,C,-76.35003053413233,0
65+,Mexico,Married,-34.9014923935601,A,-32.04115945618896,258.0517226423913,-270.10257079378613,-19.336142053367546,0.07629401487569842,C,B,-72.72349797625698,1
26-35,UK,Single,-23.76017060740113,D,43.41396385233025,-175.74754000955835,-45.88032464467462,-190.4425779133666,-56.0290966622647,D,A,197.1831328580185,0
51-65,Mexico,Divorced,-60.43158277769738,E,-86.03442520639777,-94.37352703469479,123.22897530958039,35.82762019674408,-56.132370639989006,E,E,-174.6558724373031,0
51-65,US,Divorced,-42.00308146760674,A,76.45251098356238,-34.44626136481846,106.2705420882811,-152.56130887713502,-94.91489294928924,A,E,-18.72904248123237,0
36-50,Other,Divorced,-36.753637613010135,A,53.040600364013336,-155.63734066045788,40.97434027993669,-7.687502828521159,-10.408311587095653,B,D,-38.19270989473023,1
65+,Mexico,Single,140.47523042622493,D,-55.828875579176376,5.909750113297462,114.36533716694561,-71.49412504875814,63.31005493657565,E,D,24.80177187600648,1
36-50,China,Divorced,244.22740583867784,C,-54.589092700092266,118.7046677585593,-38.587132378580456,-206.9924588386428,-67.53197937592384,E,D,45.595759170202236,0
18-25,Other,Single,164.96913039520837,D,32.685631680264365,52.284616845191856,-84.58477372711408,104.23015774739281,-54.0256057286957,D,A,97.74352955747302,1
18-25,Brazil,Single,67.12180754109608,D,-81.05154960302359,60.564201820178056,56.01684192741961,2.278212809400142,-97.57050719307469,E,B,-169.41464091948632,0
26-35,Other,Single,-194.18877128967318,A,-57.97027214697823,-136.1518266019121,-161.50935475064395,21.088661778810085,158.17841076145507,C,A,116.82851670355289,0
36-50,Brazil,Widowed,-26.66197290648607,D,4.992787937239095,100.91371240183182,-0.32215425657676927,36.823284453205076,-32.3266452939643,E,D,-117.61785134223021,1
18-25,Brazil,Married,49.42848196599927,D,9.19038987682626,20.914629433405654,-0.9439386131172416,20.687088795678253,15.017110922310591,E,C,129.77043642508318,1
18-25,Germany,Married,-106.31829332136178,E,149.1472512802108,-82.88711514137896,90.7657763998955,179.4369473848436,-113.56075217516894,A,D,-125.21451263287993,0
18-25,Other,Married,-6.580191228874567,A,-123.0711758104639,-69.498999226128,-37.01090242970888,74.42792314106383,-39.98486405334402,B,D,-149.07884590421443,1
26-35,India,Married,194.9516138922295,B,-51.9890773143951,-42.79058079321113,169.37202112020034,135.72218168903387,-29.813358434659857,C,C,-85.15544823335911,0
36-50,China,Divorced,-38.60630311162678,D,-110.03181590416342,-8.129429068160643,-88.69313525440306,-50.745140124435665,-77.24916072216737,B,D,-121.36545676633833,1
18-25,US,Divorced,118.85453527262919,D,88.95759783595817,-29.30397453743315,-33.945823546453276,36.64352720123361,39.96976824066085,C,E,-23.581922287510547,1
65+,Germany,Widowed,-48.867683630673376,D,-46.01767812494519,126.54150136408033,-115.98245439300045,57.23476862573834,259.59022338080575,A,D,-201.41633202073263,0
