AgeGroup,genero,sexuality,age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
26-35,Female,Bisexual,71,38.470512196562915,13.968320273924254,E,B,B,-108.89319610681451,D,-89.39653112171243,E,73.31858355921109,A,D,-1.9421008055443654,B,D,A,-174.623071332174,0
65+,Female,Other,70,42.06302539412108,-33.0835889739905,C,D,B,74.30619095858009,D,278.9215952900281,B,-49.83645337285039,A,C,23.561684790754857,B,E,B,55.66116859335172,1
65+,Other,Heterosexual,48,-131.41364881091008,2.236259866239819,E,B,E,101.94809371771917,D,53.84733962203253,C,-22.59693579478177,B,B,71.30113868654423,B,C,A,101.02104539221799,1
18-25,Other,Homosexual,39,53.4941554744683,-10.154618266959641,E,C,C,6.945086782373476,B,-10.04611867976431,B,60.28723761741098,C,A,-70.92513803636183,D,A,B,67.91136314825135,1
26-35,F,Bisexual,70,-161.96576539572533,-57.01819272748849,B,D,C,21.79302206750195,B,-55.72444858139526,C,-187.88007977838575,E,A,-11.417782015116154,A,D,A,-77.12432925274896,0
65+,F,Other,19,96.50948499809712,65.03581043295242,E,C,D,-103.97791266465617,E,-29.628222685503037,D,87.21994103450669,B,C,-117.20061520408818,A,C,A,53.026424510259965,1
51-65,Non-binary,Heterosexual,36,17.865181439601116,195.07307573917322,C,A,A,134.97587604917135,E,73.5704755494658,A,80.06573953709868,D,B,-67.45672301082472,D,C,D,-63.294915553507415,1
18-25,F,Bisexual,65,-63.3398539021359,-42.93301457165498,E,A,D,77.71289955126204,C,-30.349807316917925,C,19.949517580523406,E,D,-105.71216075323684,D,E,A,-119.16477016702048,0
18-25,F,Bisexual,63,-287.57993397067423,95.67119365619557,E,D,A,-233.0196377170182,D,-47.050137261158945,C,-147.03833157598302,B,E,121.34892723467507,C,B,E,281.4729579811401,0
18-25,Other,Heterosexual,57,35.62565762642999,-25.595473052949025,A,B,A,-68.88435409796514,D,-118.16987408315633,D,-110.0851703606777,D,A,-18.341969007659937,D,E,A,-14.340113472545458,0
18-25,F,Heterosexual,30,-103.05394270845466,148.38591395538725,C,D,A,89.12843859233736,A,-108.61261403233466,D,100.88007639207682,D,E,34.42932060770978,E,D,E,-170.1912362397303,0
51-65,Non-binary,Other,69,65.35202951288012,52.27507796962059,D,E,E,142.84873901882727,B,149.39256821069057,A,-112.53801830553876,C,E,133.80914182807027,D,D,C,-167.60186272519576,0
36-50,Male,Homosexual,24,28.992087420834846,-110.89916363256485,C,E,E,107.93293367506772,C,-169.17665896905493,A,143.65473770995447,C,E,-122.60036758365933,B,D,C,83.1668898820784,0
51-65,Male,Other,27,-96.24291325527301,37.9150758899863,B,D,B,9.780648930628267,B,-96.97713003900988,C,-108.15056974491321,D,E,78.2298790192249,E,A,C,-19.88892422859195,1
65+,Female,Other,20,90.91912497769675,-93.6150172388622,C,E,E,128.52485840981072,B,104.37758021353699,C,-90.10539000753428,A,A,-61.356868563970046,A,C,E,-21.50550794558874,1
51-65,M,Other,22,35.519716642742225,11.339524606652397,E,C,B,81.1912943380625,D,-160.8239787703579,A,-74.27022864973083,C,B,-18.67968757138359,C,E,D,-70.89136438600968,1
36-50,Female,Heterosexual,70,-67.37855598872227,-1.0505204597243702,D,C,E,-67.15457983507382,D,-40.89116375994208,B,50.800815848375834,A,D,8.705633755161074,A,A,B,-71.24572295850324,0
51-65,M,Heterosexual,44,-46.42983118287319,-3.097303407610217,A,B,E,-66.4473663559882,B,-159.4021698784562,B,-49.791049911726255,B,A,-20.403148888533014,A,C,E,-50.43485875111254,1
18-25,Other,Heterosexual,21,30.615004130404028,-182.49280362140672,A,C,C,-48.85770405149094,E,86.39584359976358,E,-39.94933458022158,D,E,-47.443795457700645,A,A,D,-74.42236176601436,1
51-65,Male,Heterosexual,48,147.43119839671664,37.30634023198455,A,A,E,116.47427815333857,A,186.61616199315043,B,187.8147002098848,B,A,-20.990947023871094,C,B,D,-12.69293122126422,0
36-50,Non-binary,Bisexual,63,-111.8096246704389,23.613538458592863,C,B,C,30.05385364715496,A,81.88760972750156,C,25.8278457970603,D,C,-36.646949455038566,D,D,A,-24.92972245998346,1
18-25,M,Bisexual,22,-49.19044680973526,57.79061644854855,A,B,D,-98.1688267552688,C,-13.970973728108719,D,130.62329369256454,C,D,-25.04059827256453,D,C,B,-5.099452907129031,0
36-50,Non-binary,Heterosexual,38,-22.1302335366503,45.99317870972442,E,C,A,16.818561960465686,E,-124.53243421177929,A,137.1710914708878,A,A,28.80429794964919,C,B,B,11.225579746723168,1
18-25,Male,Homosexual,57,-5.894351133099955,36.053153990327544,B,D,E,62.390532040342094,E,36.96452923755953,C,73.17124520151211,C,D,-19.975952471137372,E,D,E,-197.0210416278513,0
51-65,Female,Other,18,-31.916556116038464,71.97566904810473,B,A,B,32.39283791908707,E,-69.43219631899011,A,162.47059879529888,E,B,-92.87632504406885,C,B,C,112.39198258064805,1
51-65,Non-binary,Homosexual,58,22.25064283423073,201.48915990637795,B,A,A,-108.58207345400979,A,-75.42705965726864,A,118.19927758128385,D,E,-6.737029127304687,D,B,A,-277.3196073596862,1
51-65,F,Other,40,28.75422690261069,6.117157831028939,A,E,B,87.23207020772436,A,192.95196036308957,E,-261.19549339175836,D,E,87.5056559843209,E,C,E,41.14828158707052,1
65+,Female,Bisexual,28,-100.16684891999049,-89.56877655659774,D,D,A,34.49734823582877,C,-27.030409518818516,B,94.49157705996069,E,C,5.8321474455885625,D,A,B,26.15051252866435,1
26-35,Other,Heterosexual,36,62.007512240858475,-36.72262716498573,E,D,C,-54.07987879809689,A,-63.03139118302005,B,-70.32118906234966,B,E,227.04523083869424,E,E,A,211.31173286847735,1
51-65,Female,Other,40,-51.71393818884695,59.530684877400596,B,E,B,35.32240501294517,A,131.3905376184841,A,-32.53518584207192,D,A,-32.28962136978733,A,A,B,-104.35952974959149,0
65+,F,Other,52,19.82262461866663,139.28730726998091,B,C,B,15.79477113475279,E,-35.09919565566059,B,74.85221093799868,B,B,57.46656543590218,B,E,A,104.87075773698751,0
