birth_year,age_range,Nationality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
99,36-50,UK,Other,D,-84.9447010088399,C,A,B,-11.166668450308972,A,E,34.340943212371954,E,68.53183412725943,A,120.67584237351258,-117.76581151964794,E,96.1974552000914,D,-102.76779937250826,1
91,65+,UK,Female,B,-167.48497447696917,A,A,D,58.225225111365376,E,B,73.24966653868809,D,155.44457370072195,E,9.755198280351236,-134.12195136491266,D,-35.363599136943805,C,-16.784841825968567,0
41,26-35,US,Non-binary,B,-185.96776119617556,D,E,E,47.12347531139179,C,B,7.328683274929554,D,-101.27887024874163,C,18.099561908890895,53.80000469134084,A,-132.4488946076258,D,43.40993315042218,0
58,26-35,India,M,B,76.86139043631486,E,E,B,28.55255395317376,C,C,-33.044715882231515,A,-110.98593573274256,E,-28.919837819576678,32.792322242202474,A,-49.773198697274644,E,-48.625261437107746,1
99,36-50,China,Male,E,101.17876901112662,E,D,E,-73.4620925531337,C,D,2.650139004964124,E,140.18119832918282,D,-103.51072019409312,-55.0400791276743,B,44.334159718149785,E,-46.528857573426095,1
73,51-65,China,M,C,-17.94748702320841,B,B,E,-128.9678971205403,D,D,-29.695785460508333,E,89.50375578810453,A,-177.73445902213118,-181.1618388994166,B,-5.506524909514388,C,27.47830217769692,1
54,36-50,UK,Other,B,-90.84729512282111,E,A,C,-6.727107880398209,D,E,-27.521471635456784,B,22.031427692271947,D,-60.54057746595765,54.55680205905284,B,72.9623143995748,D,-11.709422436338484,0
60,18-25,UK,Other,C,63.73968501665124,A,C,E,6.237595385956326,B,A,192.58591722307568,A,-75.69068392340694,E,-26.128255769383973,54.73279907091608,B,155.18850396438827,A,-48.1117185162166,0
88,36-50,Brazil,M,E,67.9213622679604,E,C,B,84.71829422302667,D,E,-19.21408212519041,E,-106.12135888795665,A,59.75831794237846,132.99982119590769,E,35.40328149289493,E,53.14842315630403,0
92,26-35,Other,Non-binary,C,72.2025638844681,B,E,D,-30.886004950012236,A,D,197.33243845261725,A,12.539864619626234,B,-74.4911782746962,81.4927516155353,B,117.94542426104697,B,-76.53699662727134,1
93,36-50,Brazil,Male,B,29.453072894659854,C,A,C,-37.04893642729865,B,D,-33.85306798745242,B,41.57688474058437,C,59.415160488048905,10.205811975949478,E,-60.74442444642252,D,-16.516561010153357,0
67,51-65,India,M,C,85.32448731839814,C,B,C,22.82838857681196,C,E,-77.06236432868839,D,-116.98415893525775,D,-223.10438366786184,-57.27659537162712,C,162.34820794082026,D,91.8678965247078,0
47,18-25,China,F,A,147.9101632312643,E,C,E,-75.57298916220657,E,B,-187.1934540967243,B,-49.57855123784666,C,4.197580582393186,114.29142666524055,B,-22.213994437735725,C,-39.8212708432099,1
