veteran,civil_status,age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Veteran,Married,36-50,Hindu,E,A,163.65036318337457,-2.3508815286701603,E,94.14519997856871,C,D,D,C,1
Yes,Single,36-50,Other,A,A,38.15975446215511,69.89899329431776,D,108.20038106046634,C,B,A,C,1
Veteran,Single,26-35,Buddhist,C,A,-184.37417427491434,-15.713974505381875,A,57.55807392849772,D,E,A,B,1
Yes,Widowed,18-25,None,C,D,30.99639261592299,36.769350191817225,E,-19.467959852785803,A,C,C,A,0
Yes,Divorced,18-25,Muslim,D,B,-123.86368448237188,42.64617573914921,B,139.21990260466666,D,D,B,E,0
Non-Veteran,Divorced,26-35,Other,C,A,28.152632271520012,-24.572169508913568,C,7.81779791844734,B,A,E,D,0
Veteran,Divorced,51-65,None,B,B,239.3184761056233,101.20356023903017,A,105.0050416988112,C,C,A,A,0
Yes,Widowed,26-35,Jewish,D,A,127.0583071193349,152.1926046229631,B,132.9610054373332,E,E,D,A,0
Non-Veteran,Divorced,51-65,Hindu,C,B,199.23222162331012,-56.06807098270622,B,-183.84982142651023,E,A,D,E,0
Non-Veteran,Single,51-65,Other,D,C,-19.047182148935963,-72.44943011141788,A,43.75728451150637,B,A,C,A,0
Non-Veteran,Single,36-50,None,A,D,-106.91275971005112,-2.8844758165590867,A,-20.12560687627713,B,A,E,B,0
Veteran,Widowed,65+,Other,E,E,-160.63131814058062,-25.370011534283382,E,-28.219324744870594,E,D,E,E,1
Veteran,Widowed,18-25,Jewish,C,A,-27.71026458932192,-66.04475612068661,E,101.54968722723139,A,E,A,A,1
Non-Veteran,Single,51-65,None,C,C,25.7163266762337,-124.9706333787553,B,7.671589266992333,C,A,D,B,0
Yes,Widowed,26-35,Hindu,E,D,37.41426482636922,65.0696405890491,C,-5.596205571429576,D,D,D,B,1
No,Married,36-50,Buddhist,B,C,-88.91373050452061,142.60181840606606,C,-135.06738492046517,B,D,C,B,1
Yes,Married,51-65,Other,D,C,214.050103550654,23.99090442156518,B,40.388672400976326,E,D,A,C,1
