Nationality,sexuality,marital_status,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
China,Heterosexual,Divorced,36-50,E,D,-113.90678701314569,B,-81.79711869013563,-46.87772339141106,-53.23591334599671,A,C,E,-77.76476940628565,-87.8422283809454,89.39021079850032,1
Other,Heterosexual,Widowed,18-25,B,B,-121.0157943237232,B,84.95934089248253,53.38407810162181,-85.8724582069574,E,C,E,11.326255916939392,-15.796163192748642,-258.0152961204058,1
US,Homosexual,Single,51-65,E,D,-30.697908587626866,C,68.78484044279888,-35.30569493356907,-200.06999130101738,D,C,B,86.79875920650227,-45.992570019202915,29.08261338842772,1
UK,Bisexual,Married,18-25,B,B,252.36474262361887,D,94.96216552935718,104.08744740188381,-200.57587240611113,C,B,E,-4.367307877236975,-34.41960645768983,-49.5466032299213,0
India,Bisexual,Divorced,26-35,B,A,8.431160769549633,E,43.55089086024487,57.559762966044204,185.57320466752424,D,D,E,88.07146653106854,-5.973608278827999,-46.850320791349695,0
Brazil,Other,Married,51-65,B,D,-22.3318633652234,D,-163.76023086695545,-20.16280519613508,128.61754100773373,D,D,C,-9.535802924401091,187.7414103352074,-186.2331063312605,1
India,Other,Divorced,18-25,D,E,-69.11410803526853,B,6.871344068105277,-36.304345793628634,7.4871854316948605,C,E,E,-105.95140860732894,42.031702467389344,-91.60394427137408,0
Other,Homosexual,Divorced,51-65,C,A,89.17618355587217,E,122.63386335260509,-130.9296181339756,-283.0529465617968,B,A,B,-0.5414344896181661,-63.517379625149616,-38.48189875041299,1
Germany,Other,Married,26-35,D,D,-210.01595653315084,E,49.51022131129514,-174.5697007926143,-12.7094863981213,D,D,A,-214.23443622187924,-26.004747616944044,11.968684083251961,1
UK,Bisexual,Married,65+,C,C,-59.58816811153839,A,28.1455157919231,60.798438598741676,-55.334939397194674,A,E,D,6.20666653386752,-131.8930002913511,81.18463175774126,1
Germany,Other,Single,51-65,E,B,70.77793259938304,C,35.40936711967099,109.86149540169075,83.20014467968302,B,C,C,37.46610117226946,24.981514024914496,30.689065285033447,1
Other,Heterosexual,Widowed,51-65,B,A,18.6795334776448,E,30.51882985702225,-160.81644316575202,24.667008419396712,C,B,C,-119.12950893542164,98.83341890104734,-23.473760925106056,0
China,Homosexual,Single,26-35,A,D,69.66837660812519,B,-9.954843929113268,-49.668897903651946,-138.07773361959534,D,D,B,-40.3228120805459,-72.67375503927414,-149.3959115086258,0
US,Heterosexual,Divorced,26-35,B,C,62.13954842773055,E,39.068959293754176,129.76896778666708,-77.75934484857243,A,D,B,19.715971103012624,92.73476319572609,-10.182727218878927,1
Mexico,Homosexual,Single,51-65,E,D,85.84981036228369,D,-138.1442239904866,55.09939120470813,24.85816213619901,B,D,B,-157.44440634973634,-34.46066983207857,-153.8533796272151,0
Mexico,Other,Divorced,18-25,A,D,-3.0850195844195665,B,11.569424785947676,-144.74901413834027,41.91251403384145,A,E,C,16.00791227331133,60.2949602819995,-43.408205610812686,0
Other,Bisexual,Married,18-25,A,A,63.68763780083317,E,35.58947563348759,-69.88773025158828,-140.27122150834617,C,E,A,50.2091239673357,120.41499279993917,-120.40417682607094,0
UK,Homosexual,Divorced,36-50,A,D,6.598783134056742,A,-83.08739671754138,-249.92854937392147,16.6035555226701,A,A,D,65.96804680863517,-264.70871020680005,-52.38199305526923,1
Other,Bisexual,Divorced,65+,A,C,18.566125194542288,A,4.273676020320008,-86.28779967562468,34.173646491406664,E,D,E,108.85977115344627,28.12940363420508,41.821647092604806,0
Germany,Heterosexual,Divorced,18-25,C,B,57.23223814016516,D,-34.25434811603811,7.714812984731596,10.273609642473499,A,B,A,-121.21899185304055,-1.8684206739347171,1.9746947141777822,1
Brazil,Other,Widowed,18-25,C,C,78.15834336175,C,38.89740354267077,57.242807040862274,-144.41727128668026,A,B,A,-33.402625600213916,-8.85238710894128,78.10253014355837,0
China,Other,Single,18-25,C,C,-119.38320249379201,B,143.54017790499574,146.7162502946337,-25.091498606428473,E,C,C,96.12011382586824,81.26630756582965,136.71528454118192,1
Germany,Heterosexual,Divorced,26-35,C,B,143.57606454850023,A,-70.79314436735407,139.81068491324356,106.09790911543166,C,C,D,47.1678412068909,134.36972454420712,112.34505581286689,0
China,Homosexual,Married,65+,C,B,-43.70176156053452,B,-28.014118643188823,71.87787782424947,-12.814609915920459,E,C,B,169.3739032140552,-112.13542851791397,1.5313731417302916,0
Germany,Homosexual,Divorced,65+,B,E,-46.05728793805204,D,-90.02042583864322,53.58516174486196,44.442173328827536,E,E,B,43.09773747855804,-134.75299636679466,40.939814910678216,0
US,Other,Widowed,36-50,D,C,-27.475777307808556,D,74.7296491285703,154.51396203634386,-127.11054026835377,E,A,A,-83.97379610468296,-154.45126922819898,51.245567704214025,1
