Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
No,B,B,C,-12.582403717009589,A,21.238699351437102,-70.10730452764274,-93.68522936463636,-86.01460509381273,-19.455184898026292,18.527299958487628,A,A,81.4903217488984,D,1
Non-Veteran,D,E,C,95.73764183426701,E,86.12120962685687,10.76841758027125,-54.10356368668262,114.30951728695544,170.6620782400067,-25.593144987146243,D,C,39.74115828369936,B,0
No,E,C,C,-217.21762119357737,C,-113.95109389634092,38.866632221576275,-28.06582760735189,-110.06226198168054,-140.42008379544365,93.55900472822421,A,E,1.8719335950456204,D,0
No,B,D,E,43.9524747787458,A,-158.75272593089034,7.053729963034476,-29.94304492390803,-36.231516630727704,23.14176025911758,-71.18687721870145,C,C,-76.43165732877922,B,0
Veteran,B,B,E,98.54706727072188,C,-195.56052494323288,48.9275816677895,-146.50968358901298,97.28254087258355,25.427771770192297,19.47605410298795,E,E,19.74818712209406,C,1
No,B,B,A,-12.457407466788881,E,127.398833727254,-40.49384632951437,-151.77106751245472,-82.61490246634361,-128.19698964665233,-28.95406745098944,C,A,111.92771306759413,A,0
Yes,D,A,C,-25.723925480949134,E,-17.023643267128485,12.27356619934678,-64.34865592530993,29.5713370254483,153.55852748202472,-32.09631095767854,E,B,29.286984394939697,C,0
No,C,A,C,227.41725659781116,D,-48.27662401719618,-47.19612800520849,77.82152906565246,-43.173362650748366,48.17591150593289,9.182144262116719,D,C,-46.579038378360686,E,0
Veteran,E,C,C,118.02285247770826,D,-114.5213534720494,-83.29810640542424,83.56732518202519,-109.45720686086192,144.10386289641045,173.26882303300684,B,C,141.91694927479665,A,1
Non-Veteran,A,A,B,-163.6033214186422,C,106.32954813570478,169.63737869808958,81.4104640200076,-72.30554131250051,-47.82289292955773,138.6780542883734,C,B,14.592070110834463,D,0
Yes,A,C,B,198.460240277788,B,258.6305442723629,-49.922354586433414,-35.69036891471529,72.98840757367259,-77.46424441858373,204.1775360065182,A,B,-38.58845931485575,D,1
Yes,E,E,E,-155.81401956349254,D,-141.78905708063152,27.396395277306524,-28.70707710773211,-77.8230054435955,9.596767589187312,-149.3026748106398,C,B,-44.299911649159846,A,0
Veteran,A,D,C,-3.592170575258027,A,-8.236771337822884,3.7980000570626262,-151.65911289875115,-99.06144931707875,-140.1594167825539,-76.70777618562695,E,A,-11.73258869537775,D,0
Non-Veteran,B,B,D,-183.5294581434037,D,161.57016940201726,-126.653865622383,-6.506295700602592,-86.96659477722231,39.51796470425136,-24.602152362223446,A,D,-54.80138104753779,D,1
Yes,C,D,B,1.7924298286689628,C,57.16857839631795,253.59851042866492,55.88918494656847,62.82783175842568,155.43658906596798,27.07234504062095,B,B,-146.45346652001402,D,1
Non-Veteran,E,C,B,-106.43896275422442,D,28.15485507764201,21.210402318088388,6.884088836374924,46.21096002628169,196.6084815661958,-114.75122709808514,C,E,46.120661224681506,B,0
Veteran,D,B,C,12.583246782106587,A,170.82554899025254,12.752353014572519,57.908808590774704,-145.50820059128887,74.62687333293147,72.561100436601,C,E,63.22198629040283,D,1
Yes,E,E,C,-100.9550428277151,E,-134.33947697185855,78.11921954360757,-119.78972913700704,-119.8258149375923,274.3226812239538,-26.65744931320845,A,E,-49.57196905652502,D,0
