country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
US,-158.81241206089302,D,-28.789748107052787,-250.85831964374563,37.79875278032679,-92.85712939705539,-5.346090732829478,E,C,-76.54055382127132,-232.40393872815383,1
Mexico,-78.089111334629,A,-234.41759242973848,-124.50106957813027,7.570076850183721,-114.78916003029723,74.45901402569291,C,A,161.30499566365572,86.31077712871478,1
US,-27.990897598305718,C,-142.48476585494188,-100.86500387107205,-73.55913289965753,25.399038160064347,10.528896057723564,E,A,70.56009076509842,-77.78418725439654,0
China,49.2314841442787,D,-20.14603206936398,-108.90086032609938,-34.101840818677196,17.334190252994798,219.233384214842,C,D,38.88447991171754,19.27511822940675,1
China,-7.959173590410707,C,49.417553391299705,112.4745646131277,-184.7107943947913,-50.7739342209767,-12.568353979402744,D,B,272.85747149918944,-191.72509888952175,0
UK,-98.41833047255804,B,158.25413022123948,60.17566049654705,-110.1864390793611,-22.878061147428145,56.64692738239374,A,B,52.62359069163865,70.04797611842382,0
Mexico,-134.74644559472898,C,83.65846469895439,-26.07132754003961,4.977032018725328,79.20675664030401,66.4425003129205,E,C,-185.77289795700088,71.4413900793072,0
US,160.58376194310836,A,-74.74598798409836,84.35111124388183,-138.77984728273447,29.884033680099993,33.00709408593352,E,E,44.355703190851294,-31.15802630993962,1
China,160.7202231826222,D,230.83512174206084,158.9823536799012,95.9708493147797,-63.50057588491538,84.81220728124156,E,B,-32.68946974376425,41.09934013084535,0
Brazil,-83.87942559412458,A,-99.22838640181816,26.41974374023941,34.894014285141076,71.56933514309723,191.44898264715496,B,C,156.99442975290805,-188.4839254772029,1
China,-19.639109298505637,A,-60.81309550067636,-42.65712256654639,31.35891136657464,-9.08445001823674,-72.70872894109344,D,C,9.438626948114488,35.30326552638615,1
UK,65.78296227536845,B,-119.06912505788621,-96.80934715119346,-117.3203541178943,9.087186948061351,-13.717098417331735,D,E,-55.033765495281926,-125.36388435372095,1
UK,-45.333055004527836,C,-104.72382542824839,25.440915159315697,67.96205570176743,-50.195646456467045,-50.72132321883676,A,C,-95.61783238009865,-142.53210607701294,0
Other,12.21191995410703,C,-42.44227078239527,-105.06147678983177,74.30556437032918,6.966008621603859,89.13017597765167,E,E,-61.18734698613243,-46.83104317426289,0
US,-52.42824897383338,C,120.39949876869535,-39.469316582706206,-169.84707121533393,-4.290293977917971,16.301005064645256,B,E,29.81114151542777,-90.42695271902966,0
India,-98.36845669114295,B,-53.32885824444996,-78.93093932553381,-12.148509727169035,-66.92677784272492,-42.96464413983953,C,B,40.5368515810904,70.38720351034875,1
UK,-68.94551879248998,D,-43.394815960374544,88.72114983090535,9.56631321388935,-157.3113393790381,73.52163161732152,A,A,38.18625676273101,-78.91202924342447,0
India,-93.21376288449866,E,112.59641416473205,-74.89006802939659,75.36984077097621,-23.319509972035164,-177.05286858919382,E,A,-136.86379624135284,-157.54106445612248,0
India,-151.36778079832422,E,-96.51521211975839,48.4951324180546,-165.94277234126628,-29.386855838026698,64.8645083767225,D,A,8.57132271116294,-95.46741241584259,0
Brazil,-65.86030284904277,E,-62.78323138639303,-323.79309146779855,41.1608811394982,-18.96545612539317,-86.54638022659144,C,D,-42.86756350135607,67.84463550222611,1
Germany,-232.42298470929143,D,14.306303987180083,-55.56905372720874,-42.919018358012465,-65.2139214112483,71.03925590833032,E,A,26.7852226707956,83.4003999455578,1
Other,-43.948699077896315,B,-9.075854445509364,24.63507129269297,73.88678837603631,-203.72384048191714,-89.68792422447076,A,D,-45.24911972172711,-160.32073420737225,0
US,-97.47977523999369,D,-25.244609005784984,14.513591723563628,-72.80523917338053,-4.546003266346191,-151.55716097818163,D,E,-21.11382311587171,-203.31213097758697,0
China,-16.05554016901054,B,134.71907955965452,-112.31971383627885,14.66162429579799,112.20017122443831,93.18354879319219,C,E,-208.69024741761802,-118.64160075113763,0
Other,202.67882955578366,C,-95.57053365783995,-16.824313213253518,-112.73596480475359,57.42612858133329,32.78320399627036,C,B,-70.49045279296472,137.28641787723308,0
Germany,-234.90260235032224,E,74.63128214491628,52.31756685801058,82.35589525032012,75.73009154885855,-60.885292111247246,E,B,68.39794953637693,-23.214734346656527,1
