veteran,sexual_orientation,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Non-Veteran,Other,26-35,None,2.3498925851995285,E,B,31.372253493220686,A,E,1
No,Other,26-35,None,89.18922324245054,C,A,-60.54698717322158,A,A,1
Yes,Bisexual,18-25,Buddhist,39.40693158517272,B,C,79.12722661368298,D,C,0
Non-Veteran,Other,51-65,Muslim,-199.41618971955154,E,B,-23.023209184267937,E,E,0
No,Other,18-25,Other,-92.84381202422462,A,D,-51.71840741452684,D,A,1
Yes,Other,51-65,None,145.70545314506342,C,B,-8.189728758901634,D,B,1
Veteran,Other,65+,None,-113.82011549579387,E,B,-22.943666318937627,B,B,1
Yes,Other,65+,Other,-29.84464451249969,A,A,253.25402518201406,A,B,0
Veteran,Homosexual,51-65,Other,123.99416644910669,E,D,-146.22352166451586,E,C,0
Non-Veteran,Heterosexual,65+,Muslim,-69.04682011780389,C,E,-25.89118050918961,E,A,0
Non-Veteran,Heterosexual,65+,Hindu,90.41751689837405,E,B,-28.25536602652955,E,A,0
Veteran,Homosexual,65+,Hindu,77.26727719710806,B,B,43.34313955708267,A,B,1
Yes,Heterosexual,26-35,Muslim,-25.70176749167265,C,B,27.176533761098554,A,E,0
Non-Veteran,Heterosexual,18-25,Other,-74.97955887016758,C,E,123.02443527475681,A,A,0
Veteran,Other,65+,None,132.4253598237849,C,D,55.1491177510614,A,C,1
Non-Veteran,Bisexual,36-50,None,14.838056330122212,D,A,-56.037264102466544,D,B,1
Veteran,Other,18-25,Hindu,19.105134474816214,C,E,-4.146586893849266,B,C,1
Veteran,Other,51-65,Other,17.767542853641892,C,D,-90.69565047207374,D,D,0
Non-Veteran,Homosexual,18-25,Christian,18.643707514888344,D,D,4.645127332643505,C,A,1
Veteran,Heterosexual,36-50,Hindu,-14.09138713580134,B,E,-5.699545318592206,E,A,1
Non-Veteran,Bisexual,65+,Jewish,-92.56940005249027,D,B,-182.69854215152083,E,A,1
Veteran,Other,26-35,Buddhist,40.51792898949485,C,D,45.12389033636705,D,E,0
Veteran,Homosexual,65+,Other,56.992158625257126,D,A,18.622017670388413,B,E,1
No,Homosexual,51-65,Other,37.72013348831027,D,B,117.67462107170684,E,A,1
No,Homosexual,51-65,Buddhist,54.737180122459876,B,D,7.614202739734548,C,B,0
Veteran,Bisexual,51-65,Jewish,50.69827794787215,B,C,103.2721338083093,C,E,1
Yes,Homosexual,36-50,Hindu,-60.55294166654698,D,C,159.4847727686866,A,C,1
Non-Veteran,Heterosexual,51-65,Hindu,-109.38391381565114,D,E,179.278627800914,A,B,0
Yes,Bisexual,36-50,Other,-105.06364514303428,C,B,-89.10654963377075,A,B,0
No,Heterosexual,36-50,Buddhist,-77.68344978005717,B,E,-271.98111140759215,A,C,0
Yes,Homosexual,51-65,Muslim,88.72836842126016,C,E,22.617407614438427,C,C,0
Non-Veteran,Other,51-65,Jewish,-0.29498216875125927,E,E,37.0195475852198,B,B,1
Non-Veteran,Other,26-35,Muslim,-2.1658374475950835,C,C,67.41194332108661,E,D,0
No,Other,36-50,Jewish,-77.45408941129223,C,A,-20.988990712074983,E,C,0
Yes,Other,18-25,Other,-15.428967573681202,C,A,79.77958143110037,A,C,1
No,Bisexual,18-25,Other,-156.10050964861412,D,B,-69.84886460616458,C,A,0
Non-Veteran,Heterosexual,36-50,Jewish,78.35950091191589,D,E,-100.75022668331334,E,A,1
No,Bisexual,26-35,Other,-86.83686546245593,E,D,149.8921578966963,A,C,1
Non-Veteran,Homosexual,51-65,Muslim,40.67761725231398,C,B,11.472861772567718,A,C,1
Non-Veteran,Heterosexual,36-50,None,-180.82319742367017,B,B,-63.45656532963747,D,A,1
Yes,Homosexual,65+,Other,-75.48839929301212,D,C,-35.092549519496544,C,D,1
Non-Veteran,Homosexual,65+,Hindu,-139.64464404581074,C,E,-37.7643213472362,B,C,0
Non-Veteran,Other,36-50,Buddhist,73.81784026162363,D,C,78.13609037065213,A,D,0
No,Heterosexual,26-35,Christian,144.1789515304219,E,A,124.3332739568433,B,A,1
Veteran,Heterosexual,26-35,Other,-159.10734126853117,A,A,42.91512478812079,B,C,0
No,Heterosexual,65+,Jewish,0.9182723572310086,C,C,-176.49482040179328,A,C,0
No,Heterosexual,26-35,Jewish,102.86927229533514,E,C,-195.33370897907278,A,E,1
No,Homosexual,36-50,Christian,21.795918507209766,B,D,-96.50369997880861,E,C,0
Veteran,Other,36-50,Muslim,10.905396002679769,A,B,52.21297262622273,B,B,1
No,Homosexual,51-65,Muslim,-14.129228895936272,E,A,-20.844790598699316,A,C,1
No,Bisexual,65+,Muslim,14.118531488776926,E,B,-72.7696377151499,A,D,1
No,Heterosexual,65+,Jewish,103.91718053764909,D,E,144.9645906057482,B,D,1
No,Homosexual,65+,Buddhist,-77.88620584341042,E,B,108.85262037009123,B,D,1
Yes,Bisexual,26-35,Muslim,21.592465709715352,B,E,-97.12261675098928,E,D,0
No,Other,26-35,Other,-106.70812641408922,B,B,12.200712676841547,B,A,1
Veteran,Heterosexual,51-65,Christian,3.6029246981777576,A,A,-17.802900922758784,C,C,0
Non-Veteran,Heterosexual,36-50,Muslim,52.2777856051136,C,C,31.403197869040174,E,C,1
Yes,Homosexual,18-25,Other,92.10278238073903,B,A,-43.56937148702593,A,E,0
Non-Veteran,Bisexual,36-50,Other,-82.21680665653385,C,B,29.64075727948401,E,B,0
Veteran,Heterosexual,18-25,Muslim,22.077729549841745,D,A,222.82049741989272,D,A,1
Veteran,Homosexual,36-50,Other,21.01618683210948,C,E,-66.64051947380379,D,E,0
No,Heterosexual,51-65,Hindu,75.38673567657224,E,B,-146.8673838219725,C,D,1
No,Bisexual,65+,None,-59.107325328032786,B,B,92.76791404459547,E,A,1
Veteran,Heterosexual,26-35,Buddhist,80.47158250560761,A,E,-24.12105020244369,E,D,0
Non-Veteran,Heterosexual,18-25,Muslim,-131.09465722419247,E,C,-142.36901298856938,D,A,0
Non-Veteran,Bisexual,18-25,Hindu,-86.05967968847138,C,A,-74.87223660700984,D,B,0
No,Bisexual,36-50,None,-139.55551179122222,B,E,-76.52854515004394,A,C,0
No,Other,36-50,Christian,40.4801236750544,E,C,-42.393241824828934,B,C,0
Veteran,Heterosexual,65+,Christian,88.26055620013182,E,A,-16.270493950216316,E,A,0
Veteran,Heterosexual,65+,Jewish,-117.30035385627899,D,B,-27.550970862024464,D,D,1
No,Bisexual,51-65,Jewish,143.42155417665901,D,B,39.44426079646942,D,E,0
Veteran,Bisexual,36-50,None,-26.74750634723089,A,C,-36.01707900296548,C,A,0
Veteran,Bisexual,51-65,Buddhist,99.84009006298604,B,C,35.19862356693478,D,D,1
Veteran,Bisexual,65+,Other,-176.4689042296051,D,A,66.97837467575962,B,D,0
No,Homosexual,36-50,Other,141.55485801912639,E,D,-55.5949305069435,B,B,1
Yes,Other,51-65,Muslim,-164.74306570938128,A,E,-29.21843235639211,D,B,0
Yes,Bisexual,51-65,Buddhist,48.71048577170301,E,E,3.540973130239269,B,E,0
Yes,Bisexual,65+,Buddhist,31.23605787079394,D,E,67.71665968725699,E,A,0
Yes,Other,26-35,Christian,78.06401540293044,B,A,-166.8564544868011,A,E,1
Yes,Heterosexual,26-35,Buddhist,26.07441238174242,D,C,195.9349289237164,B,A,0
Yes,Bisexual,26-35,Buddhist,68.45812896314989,C,C,42.43228147778345,C,B,0
Yes,Bisexual,18-25,None,13.164825775638352,E,E,-209.01672296308828,C,D,0
Veteran,Bisexual,36-50,None,55.80362922374344,C,C,-2.4342544059375637,B,D,0
Yes,Heterosexual,26-35,Christian,47.49333874616714,D,D,-125.26098982822076,B,E,0
Veteran,Heterosexual,65+,Christian,1.4956676020667892,E,A,2.489478812425881,B,E,0
Yes,Other,36-50,Jewish,-31.945892113445257,D,D,-158.11796189637488,B,A,1
Veteran,Bisexual,65+,Christian,59.88438851701402,C,C,-20.373929802536274,A,C,1
Non-Veteran,Homosexual,26-35,Hindu,9.705824150017882,C,B,6.261477173072913,A,E,1
Non-Veteran,Other,18-25,Jewish,21.493487353139052,B,C,19.449525015779486,D,D,0
Veteran,Heterosexual,36-50,Jewish,13.967004163550122,C,B,19.564572507644932,B,B,0
Veteran,Heterosexual,65+,Jewish,-9.799950941254915,A,D,-47.499360643183515,E,B,0
Veteran,Bisexual,26-35,Jewish,-140.88040856381184,A,D,85.79357528887431,C,D,1
Veteran,Heterosexual,18-25,Muslim,-22.062734328922275,B,A,-112.53788212240107,E,D,1
Veteran,Bisexual,26-35,Jewish,-198.09325568827504,D,A,-93.03802955783704,B,B,0
No,Other,65+,None,-146.56011938103154,A,E,-133.87684452328895,E,B,1
Yes,Heterosexual,18-25,Muslim,-34.75696317350813,D,E,-7.9947230503884095,E,C,1
No,Bisexual,65+,Other,-44.507040601850875,D,B,19.942332072930263,B,A,1
No,Homosexual,26-35,Hindu,47.86010141745828,A,B,69.2605769620094,D,B,0
Yes,Homosexual,26-35,Jewish,-150.4057403404496,E,E,-19.887103334247357,E,E,1
No,Homosexual,36-50,Hindu,-76.19696797911075,C,C,-6.411031581826896,C,C,1
Veteran,Other,51-65,Muslim,-106.98062242198839,D,B,-116.36095806880942,D,B,1
No,Other,51-65,Other,61.809796161539744,A,B,188.56071354233336,B,D,0
Non-Veteran,Homosexual,18-25,Other,181.0502449702028,C,B,-116.89877877852778,A,C,1
Veteran,Other,36-50,Other,-246.50590798848535,E,D,-25.79902219696547,D,C,0
No,Bisexual,51-65,Jewish,-28.338936119484302,C,C,3.2022473620693463,D,C,0
Non-Veteran,Other,26-35,Muslim,-46.40714053852712,A,B,-70.24791472481614,C,E,0
Non-Veteran,Other,51-65,Other,27.769471518017596,B,B,192.15442556176018,A,C,0
No,Heterosexual,65+,Christian,25.919048477437844,C,A,141.22189263239997,D,E,0
Non-Veteran,Bisexual,51-65,Muslim,-79.47976110990523,B,D,-154.0307617136515,C,C,1
No,Bisexual,26-35,Buddhist,-7.9334230256616625,A,B,-18.500266948188617,A,C,1
No,Heterosexual,18-25,Buddhist,-21.751590322042325,B,B,-11.061817101753519,D,B,1
No,Bisexual,18-25,Other,-84.72012249548257,E,A,25.997027185245365,A,E,1
No,Heterosexual,36-50,Jewish,0.05328888090280374,A,D,-189.19725480189453,E,B,1
No,Other,36-50,Christian,-86.3161215350772,B,A,17.97369984506363,D,A,0
Veteran,Heterosexual,51-65,Muslim,10.231859642958854,B,C,-123.80959102352067,B,E,1
