religious_affiliation,genero,nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Muslim,Non-binary,UK,Married,-200.6509835308143,78.38372983732434,-31.361438897437623,-44.2243510849224,138.2429037458974,26.455421450115,77.51874433831432,C,B,A,B,0
Hindu,Female,US,Widowed,23.940186633316223,-100.05942348619483,-98.2137933873885,-234.61542528624855,98.24453172577304,38.269592817785636,75.2685309838344,D,A,C,B,0
Jewish,Male,China,Widowed,-22.643541357347313,62.345172835683606,-251.5757421659314,-135.60911786915534,-40.32389008627085,-144.6003489712402,-74.48541453278949,E,E,D,A,0
Jewish,Non-binary,India,Divorced,-205.63175878814596,20.82288932308586,124.8338634073105,36.36431612664566,-38.835516076357294,14.528185839066705,-30.240622487958525,A,D,C,D,0
Other,Non-binary,Other,Married,155.79080665745,174.46700233529194,-7.956940016135018,-69.7664640955791,-152.95782751927726,-4.745664417256815,-14.393368006318036,D,E,E,C,1
Christian,Male,US,Widowed,42.684004688479526,-59.597499026927856,-35.91367963012747,-19.867070001511607,-175.05077630150083,-14.391046017515762,-120.3380995584561,C,B,C,B,1
Muslim,Non-binary,India,Widowed,-54.232305729896744,160.86038602945348,-40.37522708435077,-170.02714220952896,-109.66721740863872,-86.16327619927672,-63.52827324499383,E,C,C,B,0
None,M,Mexico,Widowed,-69.04829481516548,-98.1712416732929,159.97660542942424,125.23197051544288,76.63331553023362,-60.73439524089456,39.762481979833666,C,C,D,B,0
Christian,F,Mexico,Widowed,-227.64040130290545,83.67082641593531,-34.66164167061673,-112.6445744088729,-48.706411783315936,-53.571657530396,-140.6659926222496,B,A,E,A,0
Jewish,Non-binary,China,Single,-81.79773271993098,126.97140169974612,64.7237063458303,-84.05548442729415,-59.475821415427134,41.23348640330852,-41.341995613717316,D,D,C,E,1
Christian,M,Mexico,Single,-20.35897305011878,-143.24232405561605,40.886236234058025,45.289071231844694,5.880545055919124,-65.5264894224955,53.08110959272333,C,E,B,E,0
Hindu,F,Germany,Single,-235.1332844657022,-5.702937143657417,-21.98912284445885,31.614755166691587,7.45201776020821,-118.78122495513199,-17.990693363039572,B,A,B,B,0
Other,Female,India,Divorced,124.9388376278828,2.8573599533819047,65.74443013466433,-22.99961582540902,68.39920350778618,-123.93388163374519,40.18234257770506,B,A,B,E,0
Christian,M,US,Married,-40.79287363714229,-73.13642376739482,-9.00405822189216,-5.704940532159931,134.87617279198838,0.5232919147705553,-96.72055003029921,D,C,D,E,1
Other,Non-binary,Mexico,Divorced,-135.79175170241913,-14.450436900418653,-53.87438743011579,-20.628322239293777,-30.37514850363316,11.646350941344615,-0.39971473040134764,D,E,D,D,0
Hindu,M,Germany,Divorced,73.63413503006022,-108.09587474600389,-45.32827276521537,18.189872761009944,8.396826280798706,125.68998078257411,-12.595788648820538,C,A,C,D,0
Christian,M,Mexico,Divorced,-14.289943809817174,92.21361894975425,-2.033661994498736,78.11238151005284,-94.98292672784665,-17.72642277896178,-87.73928738183471,E,E,B,A,0
None,Female,India,Widowed,-22.33768509302706,-67.41070537922295,149.68325516114936,-64.17167696871643,-12.922113865531237,0.8917278602462482,-13.56751435817307,A,E,A,B,0
Hindu,F,Mexico,Divorced,-2.928014521087585,-37.76582879345589,14.773463766961756,-38.23044029011686,-73.69480555191006,-70.38820045639844,-120.53895387713784,C,A,B,A,1
Hindu,M,Other,Single,-53.339070701065914,106.78942535724165,17.19913744628953,-86.66979843804242,94.93290012012552,-13.38933543706658,-123.76803810186124,E,E,B,C,1
None,F,US,Divorced,-54.548959988853426,-67.07434706873245,-67.23188728332924,-106.0304043269261,-203.4399753651161,-95.04699737823766,66.43564514037719,B,C,D,D,0
None,Female,China,Widowed,81.19066618324504,216.37511633236502,-223.43557381383653,-35.27584423330738,72.09707686377797,150.8257785874288,68.772379995665,A,B,A,B,0
Other,Non-binary,Mexico,Widowed,-4.564681597663529,-49.83724006046503,-290.55940577085437,7.697627615337234,52.83816871189656,-103.22080506902476,7.765911460061046,B,B,A,D,1
Buddhist,Other,India,Married,192.24421364954893,-59.5142963556893,70.35725419641238,-51.12364878645255,-52.18158632653157,12.436291088739532,185.15696458122508,C,A,E,E,1
Hindu,Other,Brazil,Married,9.256334382496986,-64.9119001091781,222.7112695433573,-106.18294799775023,-276.3916775942722,48.49538010322145,-45.014105745614266,E,C,E,B,0
Christian,Non-binary,Mexico,Single,185.97685043680107,41.576703478459734,-236.84684161794996,136.74834595403144,24.528944546802396,-104.13423196954983,-128.57451397298496,D,A,A,C,0
Hindu,Male,Germany,Married,-38.09770779686988,53.00711600914275,57.02171422915077,-22.85159279523686,-165.93236307405917,-140.7145279979142,31.167082927557683,A,A,C,D,0
Buddhist,Non-binary,China,Married,-22.683247378114594,157.13264055492053,-143.4106113739371,-77.02248869624898,37.4178833268159,2.4340920608383487,-22.51023038292655,B,E,B,A,1
Muslim,Other,UK,Single,25.829918702713773,165.03314141411965,42.79241882222992,187.5328714608404,-27.915393309449314,-82.84237804191247,52.83786323422516,E,D,C,B,1
Hindu,Female,Mexico,Divorced,139.26625869750276,-20.66795087846129,-296.85032748953336,-27.264094772603332,41.960233065246726,89.41920370477185,3.046667168120604,D,C,C,D,0
Buddhist,F,China,Widowed,-142.29916112783386,17.145071925299916,-52.100101729191536,6.926619491811493,-61.036693606952994,42.2193741138903,-45.68636548757655,E,D,D,D,1
Other,Female,China,Married,-179.0195967300856,-27.391808030165727,231.72645962687045,-5.729740945812916,-23.698823360547188,157.2992548029747,-77.27102644705656,D,D,C,B,1
Jewish,Non-binary,Brazil,Widowed,52.999025666782806,133.23818766402292,-51.291497710118264,-12.682514218614093,117.08923203360612,-1.2917784318981695,-21.638290681790185,C,E,E,B,0
Christian,M,UK,Divorced,124.79848440975456,-119.14013610257605,-200.01344883009108,-131.03065402878755,-155.3093567135864,76.7815042157387,157.5451903781035,B,E,C,A,0
Other,Non-binary,Brazil,Widowed,-12.143089235677547,-107.2989908768224,38.477561257093946,-114.38987781113067,70.79517346672507,-18.470250726405503,-19.459450151668612,D,E,E,A,1
None,F,India,Divorced,10.998252393465828,-75.31441413928644,-22.47622343969657,-129.10884830696284,-56.26229697261945,-32.12408303308223,-26.108910952990193,D,E,C,B,0
Other,M,Brazil,Divorced,-52.58539518593486,-137.7906494745083,-27.674718026958544,38.29033668942792,134.322865514085,180.31054161808672,45.2873029092016,D,E,E,A,1
Other,Female,UK,Divorced,114.10868584472446,120.53707980088785,19.81147630879515,86.1289190656811,-28.981544238100838,-40.94452966105655,215.64737875257399,A,E,A,B,0
Christian,Non-binary,Germany,Widowed,11.677821604702736,138.28611266443065,79.80034250291455,82.4286894503664,49.683377714503344,-37.596949053691894,-7.8569431392098625,D,B,D,E,0
None,Other,China,Married,-90.50311586192596,-75.67732468529329,73.31859501615413,105.03348606883102,56.68466050011709,43.45151989431352,54.21898162481047,E,C,C,B,0
